param,mean,sd,q05,q50,q95
gamma1,0.421102570923381,0.0278112570261269,0.376417556171022,0.420380081028389,0.467514696408999
gamma2,-0.227842117652294,0.019826760878178,-0.257301001304823,-0.229282012012688,-0.192259893836385
xi1,-0.218049328670807,0.0338994488616442,-0.270752449250271,-0.21823386694606,-0.164241439433342
xi2,-0.0953607300077906,0.035893801830698,-0.152999539923549,-0.0956013999795049,-0.0371623178257794
rhoU,0.810220419996959,0.0658006770246377,0.698202835472593,0.809332492662283,0.9212470221326
theta1,0.151691198556922,0.0666274553320713,0.0371337582150911,0.158444082628182,0.244960465264508
theta2,-0.122487167112532,0.0477113748006636,-0.197578930881989,-0.123460943310561,-0.0417588290663189
rhopr,0.403900458414008,0.0404495288609386,0.33677354265524,0.403613848239572,0.46812477179359
lam1,0.191381496510508,0.0625744841815427,0.0978176434810109,0.187607141706529,0.304642920120844
lam2,0.0167869703676311,0.0712762270674921,-0.0949595388344142,0.0162195828621341,0.131118613372808
rhohpp,0.585713999702854,0.0469404585035456,0.50125907167771,0.591743296535754,0.653436884931352
chi1,0.0823807466528428,0.0199038109573089,0.0520767069550914,0.0814646479156265,0.115317433129922
chi2,-0.0406107574520088,0.0252556310566476,-0.0864294704896996,-0.0383866587812551,-0.00256153711682416
rhok,0.842438464992716,0.0575234716218732,0.745968685898357,0.844276183078482,0.936560414599545
rhow,0.939422257315708,0.0571877169470849,0.826552750257953,0.956311534919769,0.995709259882659
phisum,0.8389525719948,0.0532429982760358,0.753898674914691,0.835835432445253,0.934775895702993
phi2,-0.196372834709052,0.0975881690114233,-0.335362389231913,-0.209873695155522,-0.0155496410812439
nu,-0.0177911953079188,0.0135637433921938,-0.0407232388104197,-0.0177518074561208,0.00491294669353019
alpha,0.387457691832549,0.00974327105268547,0.369618265013328,0.387576906780503,0.403056107516937
gzbar,0.0932787271820506,0.0523691917872367,0.0110164208511917,0.0920408847871999,0.186609767094154
gwbar,0.393176671025763,0.02444504594037,0.352570759076249,0.394021256854699,0.431063627220429
pistar,2.5653271897558,0.0473568362042006,2.4759783883685,2.57121196375307,2.63160347825526
alphapi,0.354114545726005,0.0489360029164655,0.266535558441906,0.358534685517471,0.428867388526349
phiy,-0.0739261556693643,0.0103737555886624,-0.0943694473700229,-0.0726241014383456,-0.0594638466854558
phiu,-0.0174744173331593,0.00310783163130241,-0.0231200423199439,-0.0173210062846954,-0.0126270741485172
phipr,-0.00713607249063958,0.00531005250195334,-0.0151881776754184,-0.00730552555167211,0.00214609526772929
phihpp,0.0709292083383775,0.0137585864542058,0.0466521372106153,0.0716186540160058,0.0917183788085352
phik,-0.00628065881482558,0.00285477495259294,-0.0105249387667573,-0.00645973942957606,-0.0013155817982415
sig_c,0.439482200872333,0.0405767791850437,0.362024758005783,0.445828030548247,0.495218326248301
sig_Ustar,0.1321835486855,0.00639490737362948,0.120191499188735,0.132675156977206,0.141960674904002
sig_pie,0.268104958073437,0.0142685381376639,0.242981357421774,0.26864208380541,0.290231177673002
sig_z,0.391719927337367,0.0272326288143977,0.350616755826968,0.390020128603471,0.438764759103907
sig_gz,0.0436025800799234,0.00895730428878428,0.0289064543717229,0.0434966619270576,0.0587311890488145
sig_k,0.101601888672942,0.00634973729917301,0.0910232709733136,0.101610641173462,0.111777124407505
sig_gk,0.0406258880331879,0.00635793703468327,0.0308519327948166,0.0401166107195129,0.0523381465693446
sig_w,0.0685450193872446,0.00932373325724187,0.0560352061754611,0.067462072714083,0.0870031691639007
sig_gw,0.0377772049110955,0.00489751662651508,0.0299268934390627,0.0378811873548108,0.0460787830963794
sig_hpp,0.245149256086318,0.0293466377622295,0.195313172170294,0.246339924547776,0.290912115275015
sig_ghpp,0.0464451727832021,0.00553129160018097,0.0372310138935932,0.0462759902273494,0.0561697452991263
sig_pr,0.246250287863086,0.0200639253573366,0.212553816540103,0.246874563643736,0.27691582718868
sig_gpr,0.0718221380198588,0.0070440897631253,0.0588446878410129,0.0725541545548921,0.0827918286017765
sig_xi,0.135497918144837,0.0324720832174634,0.0870138884099036,0.132885003243156,0.196293756479591
sme_y,0.314002017284943,0.0242922110884672,0.276443008541467,0.311238551856482,0.35923557082363
sme_pi,0.719502826544957,0.03921718021519,0.652457746489785,0.723481452502324,0.779708815190379
sme_w,0.0518022490644495,0.00493331407262679,0.0450089070462454,0.0511270568288787,0.0609261452789632
sme_U,0.159490088940272,0.0168490159035949,0.134354608934957,0.15744116482632,0.190182443026792
sme_pr,0.273427530645172,0.0157171337214535,0.246989810747708,0.274024095143863,0.29786868681191
sme_hpp,0.356674230321678,0.0113577473261669,0.339653266932136,0.355664424615283,0.376332682534289
sme_k,0.0652514350073994,0.00808574567180997,0.052784159778469,0.0650587622235829,0.0778654658030264
sme_pieobs,0.3,1.66533453693773e-16,0.3,0.3,0.3
m84_y,1.50161686773266,0.638799721484069,0.639589089224956,1.418189997211,2.69762191405932
m84_z,1.07269501305459,0.265815061918226,0.597013942135848,1.08198797785154,1.49266674220381
m84_c,1.63524822272097,0.096870561820978,1.4563016938698,1.64405119261331,1.77897379678791
m93_pi,1.68782214920799,0.120036455039598,1.44629266436632,1.70681172063512,1.85365240206397
m93_U,2.37581659599092,0.140980984867743,2.11593530705603,2.39085077540558,2.58878938494536
kapc_2021,3.08509803724019,0.535260872916224,2.21308779256801,3.05313875920102,4.01637071020563
kapy_20,4.21138518377416,0.340069274273288,3.66352205659748,4.22119309686531,4.73654984488515
