param,mean,sd,q05,q50,q95
gamma1,0.589012152064434,0.0486660914941704,0.51172689791156,0.586661364510508,0.670740825778235
gamma2,-0.333045873801087,0.029667851195529,-0.381330631238218,-0.332268269893633,-0.284803372487315
xi1,-0.189747444233039,0.0579132974086813,-0.282050823243163,-0.191121829827618,-0.0943104609356392
xi2,-0.240993357528814,0.076070934109491,-0.374528745826666,-0.233499700945912,-0.125660468769587
rhoU,0.625254726668532,0.058759340211092,0.527900095560865,0.624735076848953,0.721443110864308
theta1,0.427175693861839,0.101876089328685,0.257073350988129,0.429074144012682,0.590334338400205
theta2,-0.200506342880717,0.0802391052629745,-0.339546812251967,-0.196175980502207,-0.072807481824773
rhopr,0.838221291670291,0.0820844459775861,0.699399409938931,0.840607351315298,0.972557797620016
lam1,0.389866051210423,0.114520858043167,0.20628009045438,0.389918422049845,0.584269037435096
lam2,-0.206569934209708,0.108498077460555,-0.375532445021666,-0.208203703720619,-0.0236577974996904
rhohpp,0.415472186385277,0.0640686234779555,0.312096088784358,0.415525550043424,0.521086920179966
chi1,0.0464419471700198,0.0348228363845848,-0.00806260768150843,0.0448257321767826,0.105109839074833
chi2,-0.0589065188538466,0.0352887031081531,-0.116324958313751,-0.0587843061841165,-0.00113671451811159
rhok,0.285826106132421,0.102857700497996,0.126928833719196,0.280025938407676,0.463173011868277
rhow,0.763718130271322,0.0963049840407886,0.580861565622805,0.774041360717946,0.903056870744076
phisum,0.818298696200001,0.0733107272686843,0.685373703200936,0.826916735593218,0.922405927609436
phi2,0.0504901421421974,0.0845247251697913,-0.0852354970275926,0.0514211842589031,0.195828411330631
nu,-0.0696180928006692,0.0427853542079052,-0.144790510980934,-0.0662736331406033,-0.00374781625165003
alpha,0.379829982205426,0.0138138823972829,0.35628714662918,0.380164083095498,0.401324822770131
gzbar,0.34949947760291,0.0381283606234493,0.284417469793992,0.349537155658467,0.411614529326787
gwbar,0.325796902053663,0.0414631376211027,0.261469577299167,0.323330536357188,0.39763545603288
