param,mean,sd,q05,q50,q95
gamma1,0.495345420027027,0.0338000751315117,0.441266456042814,0.495770426618435,0.551627162665138
gamma2,-0.324719743393696,0.0549000965649863,-0.406166318802976,-0.330916319063417,-0.225210422297565
xi1,0.124060001122357,0.039373045219428,0.0574455475457517,0.125409255896816,0.185782462156945
xi2,-0.34347391329689,0.0533364626446282,-0.439444363717727,-0.340223885819517,-0.261588608255947
rhoU,0.836415628174383,0.0558281501819207,0.732344647090151,0.843876086561623,0.919182328542157
theta1,-0.211986600347799,0.154666151050957,-0.467168075803449,-0.206308790023457,0.0105632259562105
theta2,0.138849255439112,0.0794171557012415,0.00715191210142881,0.142236522025514,0.25798211132403
rhopr,0.473216372765325,0.131259789282386,0.235364424058905,0.480245122775474,0.681673802595459
lam1,0.0354194679316438,0.0991766866446933,-0.129993779935333,0.0423408147064326,0.186508700472775
lam2,-0.0103154175341197,0.0801138730196267,-0.140206589604224,-0.0115367122296921,0.123745129638047
rhohpp,0.862614651067029,0.065276895089898,0.747600614891521,0.86377450562093,0.969861008619847
chi1,-0.201961940426413,0.0479684726172343,-0.290586307453044,-0.196604419677707,-0.133586930426303
chi2,0.114473013204158,0.0399805061335076,0.0470615469955188,0.114650999283755,0.180358048583077
rhok,0.910446156007141,0.0687294586561582,0.774954840615868,0.92660826299854,0.992688486170182
rhow,0.955203847397481,0.0410675871229571,0.866731991252853,0.967049888921305,0.997081677259838
phisum,0.865843327810303,0.0506768457462128,0.769577603421613,0.872404528828628,0.935819732831214
phi2,-0.0636795825283873,0.0757118715795633,-0.187664015077813,-0.062284503846986,0.0589502136070103
nu,-0.000248460763252791,0.0293425654201388,-0.0441613129923591,-0.00112691646964473,0.04754934053818
alpha,0.384595713107259,0.0120965872850078,0.363809373202455,0.385935452259405,0.402936790659014
gzbar,0.244913027551129,0.0686654568375167,0.131879993704864,0.254089895354759,0.345262886201943
gwbar,0.363756119007322,0.0811695572765077,0.2342749066467,0.362357643727505,0.49595493052407
pistar,1.92833214755704,0.186497380789354,1.63028210378681,1.9410557333871,2.21546332274435
alphapi,0.56499664583795,0.168268612554211,0.293507488629273,0.569218171467725,0.838335711918627
phiy,0.0295029352741025,0.0360571971608579,-0.0227775054358787,0.0242736729477069,0.0923185127990357
phiu,-0.0119614202100008,0.00669635792174411,-0.0235465950505246,-0.011258869286597,-0.00174617740171997
phipr,-0.00328571155973732,0.00967244752118447,-0.0205720019763389,-0.00233882693874961,0.011530475392373
phihpp,0.0614885882960132,0.0161681977599404,0.0349406316591038,0.0615370241219411,0.087542355640695
phik,-0.00132863535686054,0.00196460345234878,-0.00420105333064344,-0.00146580975654867,0.00209414744510419
sig_c,0.319228612959851,0.0150979005632348,0.295629878072113,0.318737972482853,0.345274851436489
sig_Ustar,0.113536802897953,0.00618972286462644,0.102214119770451,0.114195872431362,0.122668506341272
sig_pie,0.302722613980104,0.0315964106972538,0.255969745457725,0.300272649133868,0.357027322781056
sig_z,0.313734146903535,0.0295648311446863,0.263651990168456,0.313499583531133,0.363597861931268
sig_gz,0.0335334487860375,0.00358047247285486,0.0276826370735222,0.033469353449234,0.0394191365230735
sig_k,0.122781327889005,0.00769664981183226,0.110096994730219,0.122669872580474,0.135452793781455
sig_gk,0.0383045739916973,0.00329914725791291,0.0330378484825087,0.0381061797378023,0.0437470858206396
sig_w,0.0712538951318503,0.0064975810437958,0.061232011962952,0.0709514727362859,0.0819282518519472
sig_gw,0.0368355387342718,0.00287251719455738,0.032361484840342,0.036735590815118,0.0417139757555772
sig_hpp,0.351566674500439,0.0265410074309161,0.305693396351823,0.353294691580525,0.391774900403683
sig_ghpp,0.0497139769192483,0.00623176005137825,0.0398562572833765,0.0496802960274265,0.0593831535771256
sig_pr,0.237439419073315,0.0193826380158059,0.206031333144831,0.237345076203413,0.268663324714019
sig_gpr,0.0425934749898323,0.00326775295617592,0.0376566883546053,0.0422976496234879,0.0486306376456088
sig_xi,0.158168928514633,0.0315166022144786,0.105230789469653,0.160820020891534,0.207101485245928
sme_y,0.430877615614059,0.0312793715315362,0.384432764116791,0.427353452955321,0.484272850613186
sme_pi,0.578596291860439,0.0369596666716181,0.521497930289973,0.577454877069793,0.640997535324825
sme_w,0.0662188041257747,0.0070248934243,0.0552760296471711,0.0659623637648303,0.0785831393641208
sme_U,0.163508108563245,0.0205621467407374,0.130732054527665,0.161846146216876,0.200347664834176
sme_pr,0.194194920312485,0.0184417008251188,0.164779558064317,0.19410710807812,0.224317134074731
sme_hpp,0.350535470450098,0.0199288508865479,0.32070138060347,0.348529750111882,0.385950198686077
sme_k,0.0703433012380955,0.00877512689524299,0.0561778605586652,0.0706201656587748,0.0846954924191865
m84_y,1.27501092586412,0.153949381376844,1.01282267723734,1.28537953045952,1.52600660836149
m84_z,1.44093317069646,0.164433647602685,1.18938053148999,1.43422936379365,1.71700672973339
m84_c,1.43487334931919,0.249817606403144,1.03169023894515,1.43526025017799,1.8460761964947
m93_pi,2.20664852347561,0.278450525799187,1.78088094653213,2.21389295072517,2.67986049193918
m93_U,1.68308593427601,0.230093564931346,1.30332460950229,1.68996315149751,2.05032824505241
kapc_2021,4.2249643094085,0.652715051616659,3.28982403681657,4.15166762790469,5.34321782719177
kapy_20,5.42336311169577,1.09248504838878,3.66187192376782,5.43719772730262,7.21087156032423
kapy_21,3.65809961998645,1.10618215540344,1.83428171960465,3.6578656600918,5.52872676274438
kapu_20,3.42972997375799,0.464859243945823,2.6967674140415,3.4061119998237,4.24336000368751
kapu_2122,4.82545227100582,0.645126811449022,3.81731979512031,4.81520815951703,5.84201288279349
kappr_20,7.1373831012546,0.801187562191755,5.89457275500157,7.1192748162039,8.46518249491784
kappr_2122,4.13897178121132,1.08696451883149,2.40629727309659,4.12493993102525,6.04645784474598
kaphpp_2022,4.32116804099812,0.362853911803487,3.73374568374482,4.31881184462048,4.89258868592832
kappop_2021,2.41771212232407,0.640593329849672,1.42965804184772,2.34701357906796,3.57840273928547
kappi_2023,2.90671764747316,0.552199884785005,2.05605441382507,2.85841030738957,3.9377185010106
kapk_20,3.86649669076104,1.08381997536943,2.18194287206308,3.77763612545997,5.83876000644367
kapk_21,2.3075643530422,0.619633743546229,1.35267314839219,2.24000066732239,3.36537158015363
Lq_Ustar_c,-0.41576682293101,0.102406675313032,-0.621750903043808,-0.391877815807429,-0.260333548304051
Lq_pie_c,0.39170087735428,0.34173192238895,0.0320518376563173,0.242925656578443,1.0311720773439
Lq_zstar_c,-0.264541954726913,0.255893423620298,-0.605544067218847,-0.32828798281064,0.17418907291449
Lq_gz_c,-0.000108685373346698,0.0259214296537017,-0.0291781038335659,-0.00451908897352012,0.0373724959909573
Lq_kstar_c,0.190842365100415,0.072947986131685,0.0922801493284656,0.178400363485275,0.320842027434619
Lq_gk_c,0.101612067217507,0.0385624307710316,0.0426968174110996,0.103282223325724,0.162702919534592
Lq_wstar_c,0.00134888420800364,0.040178710382635,-0.0578469541789669,0.0019884626192211,0.0862670581714886
Lq_gw_c,0.0257527642276501,0.0200288203090239,-0.00625738530756696,0.0295045551090954,0.0553842182570732
Lq_hppstar_c,0.231223803963986,0.179086656992576,-0.0318480699356738,0.222738005925834,0.532897904986415
Lq_ghpp_c,-0.0177337686262206,0.0222107451791971,-0.0473754148551384,-0.0196160462363515,0.0184241633510112
Lq_prstar_c,0.18907256830109,0.151923664295826,-0.0729877310239242,0.16726600421947,0.447536786753297
Lq_gpr_c,0.0583701537687972,0.056423711753026,-0.0193757431192355,0.0707674239892198,0.145595186661241
Lq_xi_c,0.13477293943591,0.11426419261744,0.000111682212610958,0.120368835063818,0.310599002246645
Lq_pie_Ustar,0.171795714947633,0.186803875251481,-0.0135248087357907,0.116656526732869,0.614023080676112
Lq_zstar_Ustar,-0.243530448245707,0.149731049846853,-0.535030231744487,-0.228070137000533,-0.0224259462081998
Lq_gz_Ustar,0.0549672291735749,0.0849695331631227,-0.0339777141780695,0.0360143325873141,0.2149873297554
Lq_kstar_Ustar,0.0292718068655677,0.073784696826996,-0.0889700758545467,0.0226837347739113,0.135560559433446
Lq_gk_Ustar,0.00259215548323227,0.0685739469778552,-0.112428443798696,0.0293007031926809,0.0787260496216456
Lq_wstar_Ustar,0.0597970416304158,0.0689103048610248,-0.0297275092716581,0.048630898614958,0.189639207842713
Lq_gw_Ustar,-0.0564448726212562,0.0636826875209942,-0.182001514048377,-0.039758716713913,0.0147481591569784
Lq_hppstar_Ustar,-0.20552538362145,0.19963456758884,-0.49835877750377,-0.225976223459465,0.0624614341578163
Lq_ghpp_Ustar,0.00854843106502825,0.0489715147374877,-0.0510534735221317,-1.76357642695751e-05,0.087387748468725
Lq_prstar_Ustar,-0.013627602454404,0.139503108844299,-0.286336932129682,0.0321007803808454,0.134421890564117
Lq_gpr_Ustar,-0.00320156070896786,0.0597535877755143,-0.0802684053571521,-0.0111841442901014,0.105811624279108
Lq_xi_Ustar,0.0213923361184118,0.0812956405954552,-0.0696559661318464,0.00648054569954204,0.158163938147808
Lq_zstar_pie,0.277116239807881,0.167755790280858,0.0400693208265192,0.271522033114125,0.567623572110658
Lq_gz_pie,0.0172721170822186,0.0428526559803922,-0.0266913657134858,0.00539917998281424,0.0938388268340205
Lq_kstar_pie,0.0373473775261665,0.0389628714072989,-0.0396224506571569,0.0443257173863594,0.0813565041494521
Lq_gk_pie,0.0151921328955536,0.0266371742808994,-0.0109331394983005,0.00412124523167427,0.068053304194893
Lq_wstar_pie,-0.0172607586183359,0.0306122790800626,-0.0688118351052732,-0.0166931851196903,0.03496895502204
Lq_gw_pie,0.012366494049262,0.0190713408114978,-0.0149248331534163,0.0120874352511421,0.0496333605639767
Lq_hppstar_pie,0.0893043921247863,0.0970085263016466,-0.0458155588410532,0.0806352427338798,0.252192411759113
Lq_ghpp_pie,-0.0345687531316604,0.0380224426172217,-0.0884531654729798,-0.0326840283019594,0.02216603573421
Lq_prstar_pie,-0.0511071509499062,0.0960782186881731,-0.261306437405709,-0.017376830642907,0.0549656909198987
Lq_gpr_pie,-0.0121963138779901,0.0369249665737027,-0.0718179305900819,-0.0201673980336482,0.0416485427767548
Lq_xi_pie,-0.0418442340808014,0.0980786705850884,-0.213355387627657,-0.0329538639722027,0.0936680539613252
Lq_gz_zstar,0.0434768018632376,0.0499668282222165,-0.00991229833333535,0.0192489942791648,0.123087929039569
Lq_kstar_zstar,-0.00658427291257574,0.0397741657250521,-0.065009567683317,-0.013842456346421,0.0665031226307219
Lq_gk_zstar,0.0170519885177228,0.0210195729938169,-0.0105249563104932,0.0162851332686004,0.0518712964084773
Lq_wstar_zstar,-0.00215839587164027,0.0258681524765563,-0.0384069993447323,-0.00314415619611295,0.0424649764636974
