param,mean,sd,q05,q50,q95
gamma1,0.58148868010754,0.0248145165469509,0.542584715431815,0.580117405569785,0.624815203345658
gamma2,-0.136949511369226,0.0119890264769166,-0.155789659977614,-0.137724053949113,-0.116388250666717
xi1,-0.354886984170074,0.0448349748956221,-0.428612562176284,-0.354433020413794,-0.283460375407021
xi2,-0.258089832008148,0.069299032076898,-0.363719942627553,-0.26790520589618,-0.131749236937412
rhoU,0.846263599330124,0.0227522526740392,0.808780626472698,0.84600137744816,0.883483097452258
theta1,-0.0275050296143519,0.0575043153136547,-0.120089706071795,-0.0270919654663491,0.068710221976572
theta2,0.295593362991413,0.0515498649138917,0.216368122576914,0.289703338407575,0.392166425477763
rhopr,0.201077010302141,0.054067275319102,0.110799693231171,0.201080898188091,0.289122572736743
lam1,0.463950664903014,0.0893265540955933,0.323589568922184,0.463959933423131,0.609294403297412
lam2,0.408815613536011,0.114639222540442,0.202417997056827,0.416447692223023,0.580495327541825
rhohpp,0.326774549798986,0.0486699788056634,0.257453678116817,0.321964713979864,0.40988008551795
chi1,0.0701149829953998,0.0277712001187154,0.027971062731607,0.0685770789368527,0.120169160809866
chi2,-0.0924344020936701,0.0284268749655999,-0.131786406863944,-0.0963188556195005,-0.0399229386230062
rhok,0.885763405655519,0.0377047129979345,0.821695579009792,0.886256511100576,0.947400742929998
rhow,0.621592651298938,0.103252369808342,0.44877333859252,0.623506086419723,0.790687428416336
phisum,0.661742045795957,0.0712491094366706,0.56909187493782,0.651471902915147,0.796074801095388
phi2,0.141733803786373,0.0612011190990267,0.0320891302497467,0.143921354550951,0.23867866467738
nu,0.0309769032639417,0.022300052302659,-0.00154416989701196,0.0283037257042505,0.0693896199357469
alpha,0.317375215696541,0.0116953465262543,0.299580997343278,0.316312639498616,0.337669727781882
gzbar,0.408794512515747,0.0277991791035513,0.362515727310984,0.409021601038498,0.454438720136042
gwbar,0.444311123355984,0.0351945836504088,0.391000964714776,0.444168233251423,0.508003268225121
pistar,2.62615926866522,0.031220535506886,2.57727079825017,2.62600420263131,2.67546698348494
alphapi,0.313428374625883,0.0466581682756286,0.237194270774366,0.315267077327623,0.386780250271761
phiy,-0.0300078404216304,0.00880019338700161,-0.0427922374151852,-0.0308454220333698,-0.0131549817218599
phiu,-0.0104617821796406,0.00269969236877879,-0.0140230125980494,-0.0110010884208757,-0.0051081713670986
phipr,0.00203798566700606,0.0063792632104405,-0.00837017272434622,0.00134133620087466,0.0132925601812641
phihpp,0.027738983054141,0.0119821267320629,0.00644818191936464,0.0276012917821558,0.0472779925258606
phik,-0.00375252874279389,0.00233802985063675,-0.00780001436124761,-0.00365019865401067,-0.000179343455615284
sig_c,0.293767181695917,0.0324611453808887,0.247005146052148,0.289091054509376,0.355699336218343
sig_Ustar,0.118982355326589,0.00519725762500282,0.11042182663616,0.11896533279183,0.127557037486449
sig_pie,0.232768167325538,0.0161105521143897,0.207493856785752,0.231272688299636,0.261850843888198
sig_z,0.320495427681521,0.0140400978382111,0.297195783254375,0.320941159031809,0.342507855406649
sig_gz,0.0321368259240537,0.00235878715074796,0.0280581377975526,0.0321752645547951,0.035922491211564
sig_k,0.0810826477433738,0.00765965182352075,0.0704329901989484,0.0801510550433599,0.0955271530792286
sig_gk,0.0532927627318539,0.00575288766768728,0.0427749592597372,0.0537844984911791,0.06142942996186
sig_w,0.0882524535355405,0.00501711356430035,0.0802042124036512,0.0884363757149654,0.096112035462998
sig_gw,0.0392390806331889,0.00405711452492943,0.0333547823613381,0.0388546587764568,0.0465344862511152
sig_hpp,0.303376686624967,0.0218383871535319,0.264556929262033,0.306462989305467,0.334517255507548
sig_ghpp,0.0600701087650801,0.00336674537992131,0.0547726348700106,0.0601865878577671,0.0655218902647156
sig_pr,0.166095713408774,0.0197830633341225,0.139264354517089,0.162228832088853,0.204012434686889
sig_gpr,0.0303187503525406,0.00478401681381678,0.0233629452213718,0.0296379647218736,0.0392483648816388
sig_xi,0.126177688816868,0.00636083699015686,0.11547130978818,0.126306868069158,0.135847878171956
