param,mean,sd,q05,q50,q95
gamma1,0.491901040198137,0.0616626970921763,0.394874865475268,0.50172937400228,0.579818119738388
gamma2,-0.223053781336822,0.0398440492419364,-0.285597748125657,-0.226158119333229,-0.153777488741828
xi1,-0.217319841675893,0.0701757083147486,-0.332144750175025,-0.21604169576701,-0.106087958439658
xi2,-0.0836395329574019,0.14275087509545,-0.293383356366486,-0.0951053355336048,0.158670661865358
rhoU,0.743408696722407,0.145921973340757,0.505216032167857,0.78656843262838,0.941218716619004
theta1,0.0276492141093911,0.146922454873452,-0.210192186764355,0.0777412487180207,0.216519205353829
theta2,0.0728655243311646,0.190631345952662,-0.16806900355788,0.0217739975332487,0.363563322230239
rhopr,0.605237811323716,0.175031625268149,0.366150039457133,0.640582939531085,0.845659603370602
lam1,0.201411248729613,0.236918896093175,-0.17748319187397,0.186436655726985,0.569984005718309
lam2,-0.0985428908329136,0.201104664277837,-0.453226196393681,-0.0378763792626835,0.174335481085134
rhohpp,0.437237774181122,0.193371331972477,0.0971358831288227,0.509755115561682,0.660085494436524
chi1,0.0364484679753498,0.0573517251373698,-0.0659217764478152,0.0536743349456194,0.108709062943261
chi2,-0.00343633970434594,0.0433807719762748,-0.06963062649257,-0.00664958665203811,0.0684185154789008
rhok,0.77155867996842,0.156209150214829,0.518065894525845,0.813064110404605,0.985049249842369
rhow,0.841979327404125,0.142514453601184,0.550121146976514,0.893495138707022,0.990537835494232
phisum,0.864933648681849,0.0644897759878897,0.765430185182668,0.858648322884544,0.967097862885669
phi2,-0.268425730345181,0.136795895871428,-0.516960179066938,-0.252252029262758,-0.0652669009041102
nu,-0.0412051536095817,0.0312998578970501,-0.10071286075848,-0.0356591080464422,0.000130651726787405
alpha,0.366208494502169,0.0352662016330475,0.302417209308751,0.383136949208608,0.404322374042927
gzbar,0.232626116748123,0.111858082440369,0.0432648457365525,0.263813202918006,0.386589255875517
gwbar,0.315013067442124,0.132574519969762,0.0977264768181652,0.384100614940324,0.455732090815807
pistar,2.54066946730195,0.115136278817231,2.31516791065168,2.56726311358895,2.69944195857994
alphapi,0.271993783766193,0.0704188842109303,0.181911811311327,0.250392728438135,0.400348519153475
phiy,-0.0756450382832675,0.0266377724948298,-0.121949814967682,-0.0728542263675918,-0.0355669655155613
phiu,-0.017816719447951,0.00475341738094705,-0.0263516970094776,-0.0175107777641686,-0.0104012174863924
phipr,-0.000802082244649732,0.0204290422500723,-0.0302837639129464,-0.00621030510925382,0.034035570975359
phihpp,0.0231630966979443,0.0456264333941907,-0.0539050014035172,0.0301135601938572,0.0848112369216546
phik,-0.00219771405543939,0.00714142279591664,-0.011561847058714,-0.00414178876520415,0.0103777658314053
sig_c,0.486463682415238,0.0534293921108233,0.391388072056546,0.488185583395734,0.566990830944215
sig_Ustar,0.118856427786758,0.0184676110729056,0.0863291165983181,0.123161582547279,0.143131837285024
sig_pie,0.240815906556598,0.0265640274211721,0.199183435499442,0.240534476377529,0.282160753194359
sig_z,0.326702834892159,0.057015750360455,0.240612436564278,0.316841706820404,0.41754577094236
sig_gz,0.0528262944782417,0.0151418390664815,0.0341571213931646,0.0472711108467392,0.0805699455457828
sig_k,0.100697819483687,0.0137516916295934,0.0802551444533584,0.0997848616332359,0.126016989604292
sig_gk,0.0386472116193141,0.00870790222124837,0.0259097573244313,0.0379600445248534,0.0549780777464356
sig_w,0.0731412677342327,0.00977000916475028,0.0582200801835801,0.0724287794654369,0.0895531274977935
sig_gw,0.0433209386082332,0.0094385686879299,0.0315244239466192,0.0400801106234602,0.0603396565777964
sig_hpp,0.316677607677819,0.0617081681758088,0.217287065854548,0.324320299476552,0.400220858617391
sig_ghpp,0.0524851163299127,0.0119119043688865,0.0380749285426317,0.0486863761396305,0.0761126241715169
sig_pr,0.214050740106688,0.0306249509681116,0.169305878579507,0.210398793091221,0.265927956042588
sig_gpr,0.0465702914770072,0.0187825575870296,0.0267366254465213,0.0383093637337365,0.0783637986231038
sig_xi,0.144990025376173,0.0240464700369399,0.104386620990707,0.143957155907759,0.185561645525419
sme_y,0.345448515773547,0.0459329667396642,0.278137766527595,0.338997281923651,0.421852340306141
sme_pi,0.698672343578306,0.0721459386674705,0.569549684803374,0.713655097350251,0.798908077881134
sme_w,0.0635191952016697,0.0139696007367963,0.0465234017099914,0.0599492667042002,0.0883334035686693
sme_U,0.158557174497225,0.0201487290404419,0.128057400683478,0.158519208464439,0.187637975288053
sme_pr,0.254008543634489,0.0240539580720665,0.212269896859486,0.258462489742365,0.288846218393406
sme_hpp,0.319672854480586,0.0342134199637542,0.26696864601855,0.316970615085209,0.369668547170211
sme_k,0.0838374899091332,0.0200860888674211,0.0566782196623459,0.0784996941365393,0.117694386413193
sme_pieobs,0.3,5.55111512312578e-17,0.3,0.3,0.3
m84_y,1.34883614406635,0.450703914702347,0.766651499072172,1.29072761254865,2.09176801591031
m84_z,1.78468539105944,0.787473187697133,0.828122284487127,1.5000046794683,3.09862234958029
m84_c,1.34109395913182,0.310922420018284,0.866253202892511,1.32667621124229,1.76297865772869
m93_pi,1.77232339119912,0.191419543044549,1.44830915148617,1.76102065439916,2.10607080074157
m93_U,2.052154072315,0.383235629138543,1.41321173759338,2.13895501174953,2.5512078355353
kapc_2021,3.03092595550265,0.86931323805236,1.65922836956632,2.9924227332824,4.58151428121533
kapy_20,5.52404847581785,2.38146537654515,3.13134301312248,4.34416501358958,10.1345813319726
kapy_21,5.05846049635332,1.55716896455581,2.88971720121464,4.88560881560056,8.00599798011902
kapu_20,4.8614565769357,1.33683224909633,2.93088260360774,5.22759398139761,6.73891849302931
kapu_2122,2.76162512533955,0.974197542882699,1.46706484328912,2.49621542806325,4.56436407941613
kappr_20,6.22925761093957,3.13601446371101,3.84318533065716,4.55842117842437,12.9541274451013
kappr_2122,3.42401825702152,0.994221349384591,2.18109508772099,3.11766740429855,5.24699322824105
kaphpp_2022,5.89043806996203,1.08329342568732,4.11193331554424,5.84629174378074,7.71306977935246
kappop_2021,2.6014409083372,0.727100742005855,1.50748151519624,2.51148865671438,3.9752637135436
kappi_2023,2.5624258928855,0.628710162790004,1.48109106200922,2.5887058468606,3.53298588774618
kapk_20,5.78230003773932,2.09816851103821,3.41021239041026,5.17485464238041,9.74342068341129
kapk_21,6.02295681382455,2.94224096941602,2.14003497322189,4.94782326751559,11.6628299233797
kapHyp_lm_w2020,1.35757679782666,0.324377893421675,0.868367477014111,1.42611967576446,1.81524220002637
kapHyp_lm_w2021,1.32695015304819,0.311086511472962,0.81180344949071,1.38948882541284,1.7715659884632
kapHyp_lm_w2122,1.17792970727776,0.350059418640477,0.721396816521428,1.09987214676075,1.79049262608845
kapHyp_lm_w2021tot,0.838650506369761,0.282821010010018,0.426229547529563,0.811529208992067,1.31738649579944
kapHyp_lm_w2022tot,1.15411893304561,0.391057287882645,0.607296751649532,1.06143155611379,1.77961492736261
kapHyp_lm_w2023tot,0.82166016989104,0.226052162038341,0.457551093538382,0.849083502332179,1.17201494470287
kapHyp_la_w2020,0.998174203847835,0.275430760997755,0.568110826747724,0.997892205547425,1.43709951937609
kapHyp_la_w2021,0.565433896611596,0.280109418231917,0.132987196601887,0.588701397133152,1.01993750754668
kapHyp_la_w2122,1.00449386823652,0.375846448382787,0.350514581621109,1.0270355573785,1.57161189925977
kapHyp_la_w2021tot,0.608308654758848,0.442998828374053,-0.0841853157937942,0.65227686014091,1.24496170144764
kapHyp_la_w2022tot,0.560639017889236,0.439168193593318,-0.165850064833845,0.613791747774665,1.23674364307115
kapHyp_la_w2023tot,0.490731281136136,0.41748977317328,-0.0441574902829571,0.459153241107523,1.11649313810971
