param,mean,sd,q05,q50,q95
gamma1,0.589678425292335,0.0532808243531119,0.498164924842232,0.593100175443002,0.674713877949691
gamma2,-0.285179985580325,0.0565872418953395,-0.369691514068915,-0.288585946174039,-0.187688166964518
xi1,-0.281712886301373,0.0330267627283111,-0.334655737483046,-0.283776702040251,-0.226238809508895
xi2,-0.0177558132862527,0.0621471478129201,-0.129169046236035,-0.0153713353737266,0.0764452914620152
rhoU,0.768062340484492,0.0795284888010193,0.617960714215319,0.780431191548927,0.871412790432189
theta1,0.00712571889401831,0.0746718855753766,-0.128549896002162,0.0160112003092579,0.11973110114176
theta2,0.0879247205008593,0.0724841915096204,-0.0260660086235163,0.0833269028486335,0.213318188357912
rhopr,0.861421346967602,0.0716117165127216,0.723572914058284,0.878918804211549,0.954741672561598
lam1,0.25808101357582,0.100922277249929,0.0789983046645462,0.266007634280996,0.407031858930762
lam2,0.0288532084548619,0.107592359113262,-0.147952199875185,0.0303436959759295,0.203227363400555
rhohpp,0.416573695381276,0.0834831345292878,0.28216033355841,0.415669110118655,0.562117608850841
chi1,0.0356321095454393,0.0165876496099251,0.00757715698592994,0.0362904527895815,0.0624596352240948
chi2,0.0253654979503436,0.0180995757799543,-0.00367228683593709,0.0242671713456684,0.0563105043182479
rhok,0.989988480262029,0.00678340174270655,0.978586625503257,0.991919592761636,0.996098666585359
rhow,0.981124054765565,0.0201058544335438,0.945055620755866,0.988304158057197,0.996908955027998
phisum,0.94070549681671,0.0256517519574375,0.891202388812684,0.946600855065984,0.971905082904758
phi2,-0.198446748769936,0.0746862772496771,-0.318935971050315,-0.198483035890368,-0.0721747691188717
nu,-0.0521502290040591,0.0246295956592098,-0.0903454481954692,-0.0537033201192689,-0.0125212604793951
alpha,0.214918308181485,0.0232038787399788,0.185189692800774,0.210795247102326,0.259201561150103
gzbar,0.19166026942901,0.0486608322672815,0.120125896475479,0.188140788975349,0.279874617546592
gwbar,0.309937237677072,0.0496760272194892,0.233604172409839,0.307445936634805,0.400366478495207
pistar,2.84239830745938,0.0683623343967121,2.71938229329274,2.84886070117014,2.94722094270709
alphapi,0.0953206006636909,0.0377544541780163,0.0484134087138094,0.0865829336628215,0.169535765646622
phiy,-0.0356358758925821,0.0111115968396011,-0.0570965785799366,-0.0335711102917802,-0.0220250241945441
phiu,-0.00962305863028696,0.00240208397399901,-0.0137384137282517,-0.00949881778399859,-0.0060453901619319
phipr,-0.0127682968636247,0.0097966500856425,-0.0312613930153339,-0.011507885523954,0.00192452362041264
phihpp,0.0458692122317144,0.0154045459002405,0.0203746061952553,0.045732242901099,0.0717780746773498
phik,0.00158533582202435,0.00160113327511337,-0.00111447495049936,0.00161757370343178,0.0039319128230945
sig_c,0.429711010662485,0.0246543103171371,0.394097928840212,0.426638941274304,0.473650876252976
sig_Ustar,0.0962549784212484,0.011159725875991,0.0770601821565403,0.0965213166780657,0.11402207544051
