L_entry,group,median,q05,q95,band_excludes_zero
Lq_pie_Ustar,2,-0.0190678587540444,-0.214642364936419,0.066280194859333,0
Lq_zstar_Ustar,2,0.116887116997088,-0.0522024914255147,0.34603696300649,0
Lq_gz_Ustar,4,-0.543439137579104,-1.03832586081099,-0.0968048966916874,1
Lq_kstar_Ustar,2,0.156070840573089,-0.0514264924412805,0.290913212430521,0
Lq_gk_Ustar,4,0.000547680169328981,-0.137202047049473,0.12490025883206,0
Lq_wstar_Ustar,2,-0.0237200065945955,-0.12438361091834,0.0771544723162899,0
Lq_gw_Ustar,4,0.0281604189155983,-0.034630847810403,0.0749189074900702,0
Lq_hppstar_Ustar,2,0.0835657983530374,-0.0490053739737335,0.303284969146216,0
Lq_ghpp_Ustar,4,-0.0738767435922189,-0.236891843024616,0.104573650953319,0
Lq_prstar_Ustar,2,0.00577095808447138,-0.110377000631987,0.177769111587963,0
Lq_gpr_Ustar,4,0.0513767008635412,-0.225097327697118,0.169276363762067,0
Lq_xi_Ustar,2,0.0497510521124941,-0.179070701371242,0.208508813511065,0
Lq_zstar_pie,2,0.0543149157600707,-0.0530250903168828,0.137909047564203,0
Lq_gz_pie,4,0.0226066510692202,-0.137411343380517,0.101753012758663,0
Lq_kstar_pie,2,-0.0621629577943405,-0.119790269783538,0.0211420976606444,0
Lq_gk_pie,4,0.117329552472587,0.0147233962872068,0.187079607720503,1
Lq_wstar_pie,2,0.022548676494877,-0.0927810061924254,0.0871332772437014,0
Lq_gw_pie,4,0.0410898714877903,0.000901122068515425,0.0812119637805397,1
Lq_hppstar_pie,2,0.195479288903628,0.00368755154233963,0.590773526511631,1
Lq_ghpp_pie,4,-0.0774510993887774,-0.146193340125862,0.00631710377926205,0
Lq_prstar_pie,2,0.330469562724023,0.0555642855492468,0.695763483303975,1
Lq_gpr_pie,4,-0.0245612456390175,-0.0763770127582846,0.103913393705003,0
Lq_xi_pie,2,-0.209410772437233,-0.399258012755376,0.0262297848728404,0
Lq_gz_zstar,4,-0.0878978211782888,-0.193627379587059,0.0372170911009791,0
Lq_kstar_zstar,2,-0.0376749150082457,-0.0935197730534158,0.0292740451541218,0
Lq_gk_zstar,4,0.0281582172708724,-0.0189088099170915,0.08784110760685,0
Lq_wstar_zstar,2,0.0292688425264212,-0.029441757673542,0.131602474372132,0
Lq_gw_zstar,4,-0.0234897757204425,-0.0527069610245807,0.0291522727273879,0
Lq_hppstar_zstar,2,-0.0938487206280204,-0.344485985463439,0.15838479282312,0
Lq_ghpp_zstar,4,0.00439585179017276,-0.0871177064001274,0.157893600767613,0
Lq_prstar_zstar,2,-0.17845909220472,-0.293990321007928,-0.0287262931761307,1
Lq_gpr_zstar,4,-0.0382231898284282,-0.116208806859034,0.00984104834426596,0
Lq_xi_zstar,2,-0.114742446337747,-0.334611074230008,0.0437791459492449,0
Lq_kstar_gz,4,0.0125883482181974,-0.131149081426462,0.10583685433106,0
Lq_gk_gz,3,0.0985834530166923,-0.158111782098576,0.532831398589376,0
Lq_wstar_gz,4,0.0900597405965145,-0.0109445971534264,0.221465485113562,0
Lq_gw_gz,3,0.0100359723711938,-0.243387438879038,0.10860882469465,0
Lq_hppstar_gz,4,0.697036008950699,0.069342098719103,1.04061643797514,1
Lq_ghpp_gz,3,-0.0763044970031413,-0.2401696005969,0.193852308695515,0
Lq_prstar_gz,4,-0.0179867406245137,-0.0791887043021272,0.0275301469249419,0
Lq_gpr_gz,3,-0.364750325854337,-0.776616142896079,0.105013172255676,0
Lq_xi_gz,4,0.256305244449257,-0.102150946833164,0.494907320858333,0
Lq_gk_kstar,4,-0.318230944404349,-0.617936785998762,-0.179302977503554,1
Lq_wstar_kstar,2,-0.0548050189822651,-0.165257555655057,0.0324908447918055,0
Lq_gw_kstar,4,0.00573350664616172,-0.0553859810255751,0.0341485137610316,0
Lq_hppstar_kstar,2,-0.0890617840402229,-0.528940591058621,0.0407208403591843,0
Lq_ghpp_kstar,4,-0.0550363698358173,-0.305471565481492,0.132277135842156,0
Lq_prstar_kstar,2,0.290651090549147,-0.243907487053682,0.586745485368297,0
Lq_gpr_kstar,4,0.0264398926617374,-0.104246489099134,0.199112514364576,0
Lq_xi_kstar,2,-0.0602887417158852,-0.222582322844002,0.0668407984300238,0
Lq_wstar_gk,4,0.00570213428908287,-0.24635006232834,0.0850457715649632,0
Lq_gw_gk,3,0.033203501645775,-0.209158805236989,0.239963846212463,0
Lq_hppstar_gk,4,0.0463768612917535,-0.249222341475786,0.121045778432195,0
Lq_ghpp_gk,3,1.09485656198814,0.481884751849887,1.41311489326811,1
Lq_prstar_gk,4,-0.0338945273121053,-0.0987322713881136,0.0833701616573249,0
