stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,n_cloud,wf_m,wf_p,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_s0_y,mean_s0_u,mean_s0_pr,mean_s0_k,mean_rho_c,mean_kapc_2021,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapHyp_lm_w2021tot,mean_kapHyp_lm_w2022tot,mean_kapHyp_lm_w2023tot,mean_kapHyp_la_w2021tot,mean_kapHyp_la_w2022tot,mean_kapHyp_la_w2023tot
1,0.00567855595207457,1999.99999999998,1000,0.222625,9.14447108333333,-7.5605422575762,2,4500,500,9,0.595501866171301,-0.202019424162799,-0.329442214512037,-0.286858347262463,0.549143035549377,0.254898043754658,0.222106384259079,0.478090419140035,0.22598471731195,0.218314404745256,0.501126330783976,0.0260408717585822,-0.00541002129150897,0.496867232006755,0.514844222872762,0.515177584008417,-0.213364303017652,-0.100826759547011,0.348869984945412,0.290424952228022,0.399838575408977,2.52021815030497,0.447814753405915,-0.0698944623660263,-0.0337158037010158,-0.002933952366318,0.000895553953510376,-0.00272416560171648,0.69567571312774,0.141731574534451,0.280963894671309,0.479613180751709,0.0471310766280576,0.273299329862155,0.0480974813308318,0.179251961363053,0.0477753870551399,0.379720922881489,0.0471475132076852,0.285219173253732,0.0459341956721483,0.145721540073528,0.55395902276683,0.914722490377152,0.180782377736575,0.232624301489374,0.285420191458744,0.47077211465232,0.185307616726893,0.299999999999999,1.70464539604323,1.67229999518703,1.58384807635702,1.69952622433559,1.73909343133623,1.81740490188071,1.86066771183781,1.90482390510671,1.78898761376631,0.604383461017479,3.25552778307043,3.74770368074775,3.16376099132316,3.44706842138484,0.901577551999435,0.982754898936818,0.953839141798262,0.72663172005405,0.660882270135667,0.63074842559512
2,0.0128401769980268,4500.00000000003,2250,0.2085,9.624435,-8.56942570572748,2,4500,500,9,0.603322701882544,-0.206931329607381,-0.382149041142393,-0.275638766267517,0.584035165033119,0.238792360150463,0.243655245640053,0.470940361088358,0.246819900368543,0.191615527620386,0.491209687945589,0.0147987011644962,-0.0102610686835372,0.512787428240226,0.544951779204141,0.545725073046637,-0.178991310153655,-0.0897769580216391,0.348561908924676,0.277561706996304,0.39858987878458,2.5281435050444,0.393074200738563,-0.0646483023622023,-0.0282040708954391,-0.00250578206445197,0.00761317399163607,-0.0020346157595073,0.652313603046837,0.142260450771177,0.276760162592073,0.480500538818535,0.0462734442380759,0.260041197460308,0.0475885136818668,0.16886295553959,0.0480261524824716,0.378116926981456,0.0472725877428478,0.273954043764387,0.0465301392088055,0.148067765592044,0.550103480783427,0.906010785217893,0.169058466180955,0.229868329983796,0.278680114091853,0.464218359700245,0.179971637026864,0.299999999999999,1.73275024116302,1.67271731451368,1.55289944744213,1.68979781262936,1.82061172879515,1.80622371706563,1.81139535207436,2.01730537699991,1.77511367398575,0.622944697763471,3.32080105164374,3.91119325555263,2.99522612191189,3.10493166250482,0.879465010687448,1.01267633795108,0.942273620698663,0.731984103459982,0.680123119317628,0.627522815559059
3,0.0220408356485779,4500.00000000003,2250,0.222,9.67091095833333,-10.0280002008278,2,4500,500,9,0.616750383655395,-0.225583826996703,-0.421323588685227,-0.242510596913888,0.618629647276701,0.214645476592258,0.299582099336829,0.47937150301546,0.266378214571666,0.106464091569323,0.462474172783636,0.0104885903309115,0.0158002088626705,0.536258821845311,0.596389682797474,0.591974710730411,-0.171470395369754,-0.100717778727421,0.347769468695324,0.275807960938293,0.405833331584336,2.55613826860549,0.332759918930838,-0.0605945491460058,-0.0222140480592949,-0.00224476929594708,0.013846063662638,-0.00436432077500678,0.614423794077864,0.139982646053924,0.270892935950726,0.468525205543726,0.045918848354351,0.242171099951834,0.04970299610948,0.158555897076141,0.0490181766487017,0.377368300943792,0.0467343543391534,0.267242493214121,0.0460537977997289,0.151338728284867,0.541222788575193,0.908926557353456,0.159763252291246,0.222583341685586,0.278024428841444,0.443078403793359,0.169529104884187,0.299999999999999,1.84200260566762,1.73751521522705,1.51351859997581,1.70749414210798,1.9682467972322,1.73515399559667,1.75275430255003,2.14169403865151,1.73241198997934,0.615065534072042,2.98348262671387,3.69258386696024,2.91489653993357,2.86426897245803,0.821586827750893,0.991767012326856,0.916315032470138,0.736743156410315,0.699423360002819,0.638740966766771
4,0.0332246733276541,4500.00000000003,2250,0.24425,9.68488141666667,-11.2089956686144,2,4500,500,9,0.635481694702032,-0.233847387926909,-0.45398751120885,-0.245968161162295,0.642215655215328,0.172918832572207,0.311253180132727,0.493767922565867,0.328251732373442,0.106285410614715,0.455301867330611,0.0380291339764466,0.0320356453765594,0.567917399344768,0.669496913927964,0.627561311494189,-0.192467507299742,-0.10483268421078,0.349701869558697,0.273660551880322,0.40203859187317,2.61289835264114,0.288073003400299,-0.0558552051013631,-0.0179972788185627,-0.00382108397982639,0.0120399485614699,-0.00554463703044863,0.588576641257081,0.135535657584991,0.263033802678882,0.452482266845644,0.0458489926578653,0.227601024421588,0.0493808147600924,0.149250940484849,0.0496480149455225,0.369993606384814,0.047095416023175,0.25966474569737,0.0456431478983945,0.14642803956005,0.526006003823626,0.909338650442593,0.148422022177077,0.216885432786423,0.27757812775132,0.431754964729552,0.157349116044075,0.299999999999999,1.94526505860361,1.72483893934917,1.46103512235534,1.68270301870613,2.08976516407194,1.69344101739782,1.74089351473984,2.3212665597407,1.67498469184911,0.593819711413185,2.63315561644753,3.74148453146634,2.80359069159039,2.63133264317785,0.754845843802973,0.953343992574734,0.911628619176527,0.753970124362758,0.703749753966797,0.689538499374881
5,0.0464407035169132,4500.00000000003,2250,0.2605,9.68120366666667,-12.2176092794898,2,4500,500,9,0.645229932656886,-0.235598205214915,-0.441897977786749,-0.270158627356273,0.665231500448187,0.154042077979689,0.302424549848631,0.498729956359456,0.336094643598282,0.116376100845749,0.481892952920197,0.0336851366742713,0.0591270282961329,0.605011818067207,0.731986784373821,0.64527481668659,-0.187648551459041,-0.103085560744729,0.346213235786668,0.26669537936933,0.396284770225449,2.62778812292744,0.283336664579915,-0.0537835571270711,-0.0155224678820007,-0.00747044732347941,0.00957232693570644,-0.00475048048941654,0.579109696695699,0.128187151249465,0.250854995598144,0.432232198226109,0.0454272494880833,0.211225666209009,0.0481026227280141,0.141603268419423,0.0499490266335495,0.34649824177444,0.0479609646707561,0.257608513144146,0.044201047862434,0.141795917437468,0.511586253037295,0.894820982497736,0.139840684912314,0.215803897134752,0.279808347397324,0.428045744377863,0.147447974234176,0.299999999999999,2.00440665854659,1.67810970284929,1.42967833699047,1.62243712215786,2.19091373326464,1.66893494311147,1.69165185510243,2.41297038767252,1.60293352104955,0.583173532547555,2.43862287583082,3.74978519114068,2.79330647411738,2.47996719774961,0.694850125805681,0.931480538513064,0.900657612532534,0.818737481833236,0.742650222970893,0.721708915337014
6,0.0615294796783441,4500.00000000003,2250,0.259625,9.760230625,-13.0197823205936,2,4500,500,9,0.631374948112024,-0.233127051441927,-0.390445874455582,-0.240679183176097,0.675110280872245,0.15216135018415,0.253798426774413,0.502425827052786,0.376804970558143,0.134579827824209,0.499559252223272,0.0307004610043186,0.0634794144559294,0.622924711587839,0.75483714945379,0.654080397430372,-0.192157795432208,-0.0937460838592404,0.341455374008811,0.251973910770241,0.384793815027104,2.61372686953344,0.290894602269539,-0.0500216370221439,-0.0142500628399509,-0.00801135161485759,0.0104246375274256,-0.00207253338801691,0.569210794804875,0.122237206928281,0.244541991251958,0.421105094222672,0.0454393338957548,0.20002257972134,0.047229182255463,0.136960545308635,0.0486479619096225,0.331887733651424,0.0480874494285792,0.261129549685774,0.0423730194374224,0.133989720182401,0.497125235660424,0.884382590741454,0.135628655940541,0.212796150581973,0.277277393583445,0.425800148827866,0.139131045882396,0.299999999999999,1.98939789495737,1.62128109452203,1.3860926123636,1.51475793748841,2.2942886141016,1.64239964944184,1.74323655766395,2.58047918901669,1.56831997276242,0.574082534951747,2.37192468451918,3.60433978481741,2.78325168857644,2.28181099246363,0.70676732468821,0.932544302975268,0.86227159332877,0.881150157353453,0.734218928759522,0.750905443043058
7,0.0772675702362525,4500.00000000003,2250,0.274,9.705255,-12.7332418350306,2,4500,500,9,0.614732971878549,-0.235106731968157,-0.363375551285405,-0.228457535946282,0.682747971532871,0.158701308401157,0.22629546563438,0.512633163079425,0.384040913474896,0.114314663041721,0.517646007365577,0.0244559129154358,0.0662948880891984,0.626617112699954,0.777678551705677,0.661085904815821,-0.224541402088675,-0.0779928999150145,0.336714394355236,0.239980413824515,0.388198396538617,2.60326402482416,0.281765887338299,-0.0465819482892608,-0.0127833442275176,-0.00860568258532247,0.0104717723448725,-0.000468746344026116,0.557933735322257,0.117390172020128,0.243142181222992,0.420511603882038,0.0456007879506492,0.189761846629434,0.0472853142593932,0.131960934250876,0.0465986100932322,0.326546290383846,0.0467313947460645,0.265101966820073,0.0421639314430546,0.133166683462549,0.474793848531421,0.875631570259806,0.130548164990294,0.20069534376726,0.268662069938925,0.431063838264071,0.13335222768305,0.299999999999999,1.9355571253574,1.63604193813607,1.34328686556972,1.38400322743975,2.42679411767495,1.72043011197289,1.9067496871328,2.75582067609747,1.54653061181921,0.570445246973685,2.34826729000638,3.58293874038946,2.7062127454221,2.13694545056186,0.743287966510007,0.933219759232163,0.837676272310285,0.884097550743281,0.765613616139961,0.770220695563794
8,0.0938609276382932,4500.00000000003,2250,0.282375,9.73230479166667,-12.5425431199288,2,4500,500,9,0.605848458222557,-0.241345132196743,-0.3189432577529,-0.194748813909102,0.707582006185897,0.159814312581279,0.190263883686012,0.544984934731365,0.393316866764361,0.0401219132678757,0.546730476027141,0.0277791216407869,0.0504283161350649,0.622258340479789,0.788454244488539,0.661147768448755,-0.247394719817371,-0.0648627025913926,0.335289073457496,0.231591141743514,0.38415348251562,2.58674521137206,0.277623528354189,-0.0459994826892239,-0.0114496950946876,-0.00846149098466759,0.0131523337495051,0.000257823066848495,0.534147247500059,0.115733155723824,0.241797424099312,0.427182582740818,0.0457208590091878,0.185349644579564,0.0469040353149217,0.126504100559629,0.0465665738085506,0.326005407394429,0.0459686033104265,0.261372802431023,0.0420627364468761,0.130319970618174,0.453745388653279,0.865498099141361,0.126134592901777,0.187302796293433,0.263723459324696,0.447724245028195,0.130831805925064,0.299999999999999,1.82711288216989,1.63351305077092,1.30072174713119,1.28117709590931,2.61522552819926,1.85649368611387,2.05667373772532,2.88449411987959,1.53715196065266,0.563827587590235,2.49930100562139,3.47018195058783,2.73379269563544,2.08650498236629,0.791712792160808,0.924366314296738,0.826129479602581,0.858748215938799,0.787610979555543,0.775939634186217
9,0.111940891928733,4500.00000000003,2250,0.305125,9.80571854166667,-12.7653718521655,2,4500,500,9,0.595793666021373,-0.249095766936801,-0.259247476233679,-0.141293747955762,0.752651352524111,0.146264218182569,0.149634393181563,0.576418513975883,0.382629364179777,-0.0619192539787893,0.601574180926409,0.0413382399269984,0.0375015598727425,0.61444227931535,0.806701635574068,0.669115973896407,-0.258413686523088,-0.0607658081056548,0.337463405914416,0.230819650165675,0.377510364518488,2.58253686787462,0.268795638009985,-0.0440359471614195,-0.0103086861222164,-0.00867880070002057,0.015997697220906,0.00119143278742483,0.522171342120664,0.114471985656244,0.240251406868589,0.432002842380365,0.0462976207349122,0.17948128085145,0.0471751316119384,0.122147820266987,0.0464569641344984,0.320562479334653,0.0451700886296278,0.253650811491522,0.0419921939624402,0.129211838707701,0.429358080856555,0.868748522197191,0.122283329283161,0.176607089760314,0.26268223395835,0.457232590455733,0.129203830213919,0.299999999999999,1.72973886313453,1.58099048185905,1.32081980721509,1.24453184518362,2.68283431334265,2.0613217650605,2.32303750753763,2.99360641234423,1.5843225398193,0.557855624749574,2.68490644729838,3.30122907275186,2.6174059247717,2.05465422751925,0.841016283944471,0.922505697745437,0.846724208788387,0.837049085004284,0.791274588688783,0.704154213253176
10,0.134128731952919,4500.00000000003,2250,0.32175,9.81800779166667,-14.6270937879208,2,4500,500,9,0.59583517793327,-0.252236749917948,-0.223545560077465,-0.105870237922316,0.780415660681585,0.124643413644544,0.10115291818193,0.59439927947712,0.382288616939056,-0.121981728565315,0.632042155286705,0.0445660515840683,0.0362264383704525,0.616217891140869,0.822104745194553,0.689538233995123,-0.239992258868688,-0.0577660587886673,0.336824020147775,0.230210591104831,0.383715179413013,2.56645884048837,0.259373608708959,-0.0407194236661692,-0.0095038247983532,-0.00945873892587741,0.0137263236274613,0.00219795955963685,0.507622185336368,0.112959929581302,0.236053873278776,0.426384876613788,0.0465746330628588,0.172883784291787,0.0480430501828048,0.117080734008785,0.0461284645327089,0.312738306839298,0.0445982954484895,0.246822962414844,0.0413721147475231,0.127621170613492,0.407308925405006,0.873135840995782,0.11799053561312,0.169094123603766,0.257967290177709,0.452830170268572,0.126626219087685,0.299999999999999,1.74425675862295,1.49255619471452,1.32839439139272,1.25453583051418,2.74250196120862,2.22185695824479,2.51196643258974,2.96266434741943,1.60912899363733,0.54259004997155,2.7350529023072,3.05183400490102,2.48859160391948,2.08194098666172,0.867522297334799,0.916282172167066,0.89304639842524,0.849382631339219,0.785700642670295,0.589986532644283
