param,mean,sd,q05,q50,q95
gamma1,0.486534215072518,0.056499126560486,0.390619742337314,0.486323326487559,0.582147403986865
gamma2,-0.19276190063336,0.0554349597633173,-0.289827321068734,-0.188454154934659,-0.108469139906827
xi1,-0.220303406246303,0.0381634150843433,-0.280564745916832,-0.219882979860186,-0.159156150475496
xi2,-0.113600959335393,0.0623142203346179,-0.216508133681581,-0.112853090778902,-0.0115202698527223
rhoU,0.585035130302485,0.084525595916494,0.445626726534595,0.584353360812632,0.724116701782929
theta1,0.175668505436607,0.0832045761450682,0.0365699877178028,0.174709997453954,0.312666542332773
theta2,-0.0805691225563787,0.0858191106860377,-0.220846850870624,-0.079627025771764,0.0611022955480379
rhopr,0.807902040258137,0.0869626914469998,0.646978237295036,0.819823447891071,0.928120323867078
lam1,0.382513430510658,0.0963056450467519,0.226700577562186,0.378691244328841,0.542196887088123
lam2,-0.232602312452252,0.114251526315317,-0.416852091432695,-0.237359887477793,-0.0396373135311438
rhohpp,0.556581650643765,0.117229721204526,0.364312300117867,0.5592575429626,0.749537015074996
chi1,0.0224379553274997,0.0145546316530576,-0.000464625740407061,0.0221034367144398,0.0472992391580321
chi2,0.0248945042598836,0.0144768601819375,0.000145874419045247,0.0253064517091361,0.0484134612515613
rhok,0.981199882891364,0.0146488990066793,0.952245224768434,0.985250720211305,0.996236573536491
rhow,0.935825829753588,0.0287745147106806,0.880980032391339,0.939855836217147,0.973652786926067
phisum,0.956767397815586,0.0196160088930527,0.919627035007077,0.960603968030223,0.981529222038743
phi2,-0.300621841071131,0.142679503425911,-0.514524696966087,-0.308783367787062,-0.0515353672013763
nu,-0.0294253377570497,0.028763476800806,-0.082330426569589,-0.0260977770331813,0.0111933707389164
alpha,0.364723467722617,0.04754139594413,0.283400390537665,0.36457610675332,0.446344840620747
gzbar,0.199183467319748,0.072603646581889,0.0748360479053396,0.200863996427518,0.31198059315768
gwbar,0.290280087659002,0.0623404035767611,0.187729906628606,0.28836521310647,0.396935231519179
pistar,2.48328598619773,0.178201390591586,2.15001582659656,2.49820199262524,2.74977522377024
alphapi,0.102388154990604,0.0435864832215962,0.038245971962013,0.0975453498205508,0.178759413304632
phiy,-0.0133402274892314,0.00681908970420642,-0.0254461625391415,-0.0122446268092197,-0.00456023697260194
phiu,-0.00456411447894874,0.00206184923471921,-0.00828777021873136,-0.00433419578454947,-0.00174130369246162
phipr,-0.00604995019743405,0.00542838800028306,-0.0148871987445691,-0.0059141150309368,0.00245169186553068
phihpp,0.00333220082707625,0.0136623440295412,-0.0198666746757772,0.00350953464239676,0.0247661099995738
phik,0.000545837246254905,0.00123718751460672,-0.00148446478425028,0.00055031009915075,0.00255978850557675
sig_c,0.374952314413665,0.0351360099571394,0.320377487188501,0.372274386546475,0.437657535945408
sig_Ustar,0.094864004647694,0.0124683317328761,0.076998697025372,0.0935372561489537,0.116827637575406
sig_pie,0.204460698760261,0.0180425625975111,0.175230900811648,0.203775748995168,0.234196153571958
sig_z,0.352410052340421,0.0377052421755856,0.289571091714048,0.352498719156357,0.412533668065973
sig_gz,0.0468050056379906,0.00985793304365301,0.0322959225720694,0.0459187624857243,0.0646777972801872
sig_k,0.0720334693582687,0.00534423917148971,0.0640636172533933,0.0716074517661496,0.0815608362486825
sig_gk,0.0349746639870142,0.00418697796600362,0.0285438699972007,0.0347458866535714,0.0418401475634907
sig_w,0.0575001574574575,0.00425556796719299,0.0508514086904163,0.0573689844995298,0.0644827829238752
sig_gw,0.031129847651573,0.00407612355357728,0.0250809240252529,0.0307141568773289,0.0382780269197519
sig_hpp,0.228808185609277,0.0297317384827674,0.184789766038471,0.226116393468315,0.281290830719595
sig_ghpp,0.0342221665032035,0.0065020553327627,0.0254174958328794,0.0331637191994848,0.0459582498534826
sig_pr,0.169465927227688,0.0241636851399223,0.133055456435923,0.168010525931017,0.212050373230705
sig_gpr,0.0399805421681077,0.00830701320671356,0.0283934575163786,0.0390621564458389,0.055128013406099
sig_xi,0.112540290442491,0.0288760781583478,0.0746054560180208,0.107962613270432,0.166211738506766
sme_y,0.258260744198399,0.0270246676324053,0.218220178944968,0.255932736172569,0.30568569390433
sme_pi,0.609633453004854,0.0344838033391722,0.555635118173058,0.60833701361619,0.66852491844699
sme_w,0.0556183902996269,0.00411604499978711,0.0493337146826788,0.0553437390828606,0.0631498818501279
sme_U,0.117613597204502,0.012194378957293,0.0990360121414362,0.11729055724852,0.137785582381093
sme_pr,0.249302675990989,0.0233269024849893,0.210712381330333,0.249450460990862,0.286681993089697
sme_hpp,0.355992619371836,0.0303348695925874,0.304015335102598,0.355429245240547,0.405240267873603
sme_k,0.0599615839995917,0.00494274358746633,0.0524166257836076,0.059782630235466,0.0682983722931231
sme_pieobs,0.299999999999998,1.72084568816899e-15,0.3,0.3,0.3
m84_y,1.1288412579901,0.370483790000958,0.60313207460855,1.08312826945753,1.83994030551368
m84_z,2.14777638026525,0.384515180281904,1.56946568422382,2.10676862722443,2.84118000531261
m84_c,1.72643448925109,0.319986826479607,1.21951587570711,1.72717893124488,2.2590283252392
m93_pi,1.94421302001378,0.237128194320854,1.59666051647086,1.92555101073231,2.35771728611343
m93_U,1.9394791861726,0.435882016950859,1.26045308517239,1.9209722261815,2.67532979670484
s0_y,1.85648180072779,1.03170736863968,0.711957963196005,1.60843390992093,3.95727187279446
s0_u,2.44797542207864,1.1866143974358,1.00364623795733,2.18812815996182,4.76963974581238
s0_pr,4.68687367084988,1.64636170637298,2.51086576804004,4.41407542975347,7.72940929098888
s0_k,0.951918602042284,0.614558990903331,0.308467059894489,0.797011575502623,2.09772334393625
rho_c,0.673154312313264,0.0952186601807277,0.508512723189026,0.681109026424652,0.815288028425539
kapc_2021,8.02964462172129,2.06333260078768,5.20761965903599,7.711360171958,11.7386383789956
