param,mean,sd,q05,q50,q95
gamma1,0.51583953932664,0.0616780988282206,0.41625655970411,0.515836762963407,0.614867720502665
gamma2,-0.244411157056152,0.0502284354790839,-0.331736734344909,-0.24135205076239,-0.166672437359082
xi1,-0.264693070717743,0.0531842565606824,-0.355543888768843,-0.264555979874722,-0.179245699187217
xi2,-0.0212119772181284,0.0783550949862059,-0.146433448189546,-0.0250561334385317,0.116923012778613
rhoU,0.655697983676071,0.0946350237296243,0.492435618716974,0.655503019385216,0.810466997090393
theta1,0.000488936990790216,0.076378417843233,-0.125804205126434,0.00228477957650286,0.123576432526025
theta2,0.0787378756798247,0.0842298086043154,-0.0569844338702108,0.0784560938923046,0.214940658794667
rhopr,0.862793673827428,0.0843165108321112,0.704998407288312,0.874814963097545,0.975097054280036
lam1,0.347416089327453,0.0974366265470441,0.187137234290321,0.348654929948782,0.513221611730933
lam2,-0.194885640088607,0.109182221655917,-0.364847616384084,-0.198776731138991,-0.00734051048671453
rhohpp,0.553809322277068,0.106994097650708,0.374626474937891,0.555548404405371,0.734345768885903
chi1,0.0334542859667489,0.0180164896192033,0.00389717259820239,0.0321106929179963,0.0634300546177334
chi2,0.0106106593424478,0.0180485259108544,-0.0197074157783945,0.0112820494685251,0.0394911075319412
rhok,0.976053081593447,0.0163854491415629,0.945899866423813,0.979690770109943,0.994513664598837
rhow,0.958557669331129,0.0253566442542356,0.909711836432707,0.963999822359607,0.98999017513176
phisum,0.942507218417609,0.0240159875836185,0.896577476274326,0.946619792301856,0.974111344882081
phi2,-0.436745920029632,0.11818304478961,-0.62047032349252,-0.446058279638414,-0.236151964623084
nu,-0.0123548726001959,0.0212775183800001,-0.0509152014777732,-0.0103941039624708,0.0179101412403727
alpha,0.353820321280074,0.039786391897722,0.289228257548569,0.353803735533302,0.417630217608626
gzbar,0.136578772683065,0.0689525091382644,0.0242289251817931,0.137194907512673,0.248817824832202
gwbar,0.34731845169439,0.0547205924758242,0.258090930307404,0.34929021512953,0.435206955794331
pistar,2.67544869947601,0.173094408562084,2.40415741445014,2.67072771073909,2.98102555412092
alphapi,0.0922731694148941,0.0477221170865284,0.0256932387378181,0.0869790997507107,0.178736381991021
phiy,0,0,0,0,0
phiu,-0.00784714642303725,0.00299362168891702,-0.0129177109579683,-0.00746771239262776,-0.00359240926589179
phipr,-0.00448030237754044,0.00942474115956782,-0.0205752637093001,-0.00421734734673057,0.010382563561574
phihpp,0.0117880832255436,0.0140529497632095,-0.0115476164887811,0.0115778554529354,0.03474992333619
phik,0.00037847267136161,0.00152239287695753,-0.00218500121214648,0.000387191079380608,0.00279963487124557
sig_c,0.365275139981331,0.0338165285187723,0.310273251845803,0.365459012141064,0.42140799224532
sig_Ustar,0.102777782593522,0.0128075352160156,0.0829772646930133,0.102463431177346,0.124115197989789
sig_pie,0.195914364384502,0.0140952603502456,0.173513549841872,0.195595978793634,0.221248149310949
sig_z,0.314834167737153,0.0413964142641221,0.250384843690853,0.313513054371569,0.385156929765504
sig_gz,0.0433515874125153,0.00911144135466008,0.0306399227242695,0.0424383126584172,0.0593632335166851
sig_k,0.0719121148460157,0.00553097226226455,0.0634484214746346,0.0715292020261213,0.0816099290885052
sig_gk,0.0353438376547328,0.00386309871732625,0.0294236197871892,0.0350864438042575,0.0420667866187134
sig_w,0.0582159717047037,0.00445632345813447,0.0511321878331936,0.0580895471313621,0.0654724478335397
sig_gw,0.0296091590403398,0.00356032548267755,0.0243810474573194,0.0294126362931255,0.0360208270515212
sig_hpp,0.22501613980226,0.0315111967757592,0.178038385590989,0.223229566649796,0.279369550797757
sig_ghpp,0.0303228784567334,0.0054438208624215,0.0227239659135225,0.0295503940000102,0.0401844888607062
sig_pr,0.179479729935921,0.0245176772297456,0.142548929066016,0.177749055846405,0.223855468128187
sig_gpr,0.0369346916577355,0.00723117877305421,0.0266621978562532,0.0361170724244416,0.0501874834378412
sig_xi,0.142778915970444,0.0440213755590258,0.0883207540864699,0.133923824445695,0.223870005404469
sme_y,0.252763863376813,0.0236658299740518,0.214996540597488,0.251912493574359,0.293689506396075
sme_pi,0.618400171129109,0.0377192558489918,0.561420521279113,0.615851219509579,0.682519581172393
sme_w,0.0546323639272977,0.00421110454450269,0.0482287870548707,0.0543319671273338,0.0619609379601365
sme_U,0.112694864352021,0.0117242596515333,0.0944346768573502,0.111786874312473,0.133113514396196
sme_pr,0.230401741365339,0.0214384856877393,0.19426039693847,0.230159652715565,0.26602950463014
sme_hpp,0.352996509675593,0.0250027303500181,0.312529705272084,0.351856762809918,0.395641440340347
sme_k,0.0587818939412677,0.00473429504612835,0.0513826776406661,0.0585419806944787,0.0667561701776136
sme_pieobs,0.299999999999998,1.72084568816899e-15,0.3,0.3,0.3
m84_y,1.02771689462917,0.319112054119981,0.593694031326763,0.979495220037775,1.6086049256474
m84_z,2.09291603956436,0.440136537700487,1.41699164259935,2.05234833343389,2.89947512347137
m84_c,1.77542878227104,0.320189232181674,1.29351756664008,1.75326987304079,2.34781672349438
m93_pi,1.88227366577764,0.224417384853274,1.54657950544944,1.86262980702739,2.27853827001174
m93_U,1.78660356984062,0.318903796167021,1.30616950701623,1.76499154867162,2.36199193367823
kapc_2021,6.27157490748033,2.0929384366367,3.36320268402644,6.02774413167875,10.2986410850892
kapy_20,6.48176494703216,2.94547162188393,2.6681954929959,5.88372182052844,12.0405905582397
kapy_21,3.10379541907266,1.59818950732164,1.36006785521454,2.70788204657484,6.05034105042559
kapu_20,4.89410472771049,2.07822053704899,2.41281014503565,4.47696759233588,8.89960862471023
kapu_2122,1.99988866828864,0.778937184331891,1.18317695359862,1.80621452177284,3.48661896064556
kappr_20,12.2705173841037,4.09451645122715,6.9790256899678,11.526119297271,19.9572601219882
kappr_2122,2.91477403176387,0.883919373507795,1.72792504601232,2.75865402571611,4.67718174358711
kaphpp_2022,3.42835911597035,0.763051432338349,2.41802239917941,3.30450668140443,4.87070172968865
kappop_2021,6.08810962048527,1.65790956806512,3.77233747365001,5.94496314859086,9.12095133500085
kappi_2023,2.31183440268612,0.485247259704971,1.68030640321159,2.23687159194857,3.20400677873355
kapk_20,3.31965273476199,1.82715441522005,1.40973941517509,2.85162801373876,6.79946426908148
kapk_21,2.00987801994859,0.870325547035793,1.16611467806857,1.7522078012443,3.74060422311657
kapHyp_lm_w2020,1.50053671772336,0.279719618393117,1.04097513062754,1.51146819991572,1.94539496064384
kapHyp_lm_w2021,0.916914053810837,0.378367942707427,0.291846859591592,0.921540060278131,1.53070012202827
kapHyp_lm_w2122,0.90273882741502,0.330564520425612,0.339597947062192,0.904328638986254,1.43692006148573
kapHyp_lm_w2021tot,1.56123547750702,0.273429680261707,1.11607232028082,1.5610829217804,2.00602474969548
kapHyp_lm_w2022tot,1.3240034618361,0.32751255480668,0.776931485595816,1.32279438266787,1.85589870110667
kapHyp_lm_w2023tot,0.876303737756223,0.395207367612268,0.234573185810931,0.865992977328814,1.54899028310927
kapHyp_la_w2020,0.446057923098921,0.51692597680861,-0.43281849009747,0.459815599141592,1.29624870702865
kapHyp_la_w2021,0.523170802920664,0.509975566772399,-0.325199819624586,0.533889304468325,1.35396434230396
kapHyp_la_w2122,1.21510116638594,0.50525621148429,0.367821481132537,1.22526599649149,2.03537290366837
kapHyp_la_w2021tot,0.846468959959087,0.507493923895372,0.0239797469036348,0.850368173333398,1.7184771519189
kapHyp_la_w2022tot,0.670572804725145,0.536478600144295,-0.21887825395983,0.677234941019887,1.56007528491975
kapHyp_la_w2023tot,0.535988301055186,0.539945112840655,-0.383268737471567,0.55446383783617,1.39176986021234
