stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,n_cloud,wf_m,wf_p,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_lm_w2021,mean_kapHyp_lm_w2122,mean_kapHyp_lm_w2021tot,mean_kapHyp_lm_w2022tot,mean_kapHyp_lm_w2023tot,mean_kapHyp_la_w2020,mean_kapHyp_la_w2021,mean_kapHyp_la_w2122,mean_kapHyp_la_w2021tot,mean_kapHyp_la_w2022tot,mean_kapHyp_la_w2023tot
1,0.0062379752280157,1999.99999999998,1000,0.18975,10.512102,-7.82553690151489,2,4500,500,9,0.597702403479811,-0.208431527782333,-0.283373940483365,-0.274517643158155,0.552315104493012,0.228428891496351,0.184096540136926,0.518383733466967,0.277397528565503,0.266111391951914,0.490864509092739,-0.0384399681685301,0.00291649366935885,0.487466441877739,0.5144155853563,0.497740717153593,-0.188468723860353,-0.098744260823083,0.349258194780218,0.292678410475979,0.388993706323317,2.5006685716644,0.430053549892442,0,-0.0361642921711888,0.000360990633955475,0.00390277216827788,0.000304506616736843,0.687417510634219,0.143313888827104,0.284945910262214,0.468474965953455,0.0475992311264933,0.271778248336845,0.0468371299665596,0.17598598609784,0.0463999345360416,0.381732196517685,0.0464949313572348,0.280657941247257,0.0482281254567342,0.146571363206084,0.540766505473218,0.910220806965557,0.17605429011207,0.23256106115636,0.278393128177547,0.458657638789398,0.18320182369382,0.299999999999999,1.73107959462541,1.74722978608037,1.6708213849849,1.62815149204206,1.74084410231927,3.39355853090433,3.53622580441681,3.30474542906554,3.48154168017399,3.48302383339831,3.54365406063044,3.49834020692961,3.5886074988579,3.33039262239505,3.36504347207961,3.6002809099042,3.53327982654054,0.966121999965484,0.940160282182719,0.933847852861178,0.906605847220389,0.937494250460476,0.921372354802142,0.703406334206709,0.690132602281767,0.698886581811861,0.725028751697067,0.668357442842804,0.680913756195216
2,0.0138390346896321,4500.00000000003,2250,0.297125,10.979598375,-8.59432781021392,2,4500,500,9,0.599619904267368,-0.220930999444373,-0.272530902263738,-0.293863243267827,0.591196619366043,0.209419839397286,0.174787909479903,0.506327248585587,0.241199441305068,0.257264725918975,0.507962451159946,-0.0396119008213857,-0.0100232814379132,0.513521253693331,0.522860343467959,0.478629000913687,-0.161490666020398,-0.0955683049186018,0.346341987404098,0.280521364743824,0.391664295732816,2.51356941011648,0.358396235111388,0,-0.0322888712787334,0.00157652485092702,0.00462856114493405,0.000180446951411034,0.632769694030442,0.142221535840084,0.286483807262709,0.462531488820483,0.0455992955920142,0.261429818602737,0.047145177584113,0.167514235934395,0.0457855120875438,0.361971637975437,0.046974698536937,0.274891307624612,0.0491424314919412,0.145946152788199,0.536407540663722,0.871657622022068,0.167434532428267,0.22369485401444,0.26717709890218,0.445677382568355,0.174631564105743,0.299999999999999,1.7092699852743,1.76308755439448,1.64214486410501,1.60835648014755,1.74532674598517,3.37488625005568,3.68709890465567,3.27012887859511,3.65530010040187,3.49742875120254,3.88115592332257,3.25652144501145,3.6604157064406,3.06458035116582,3.19794061035307,3.84705668619805,3.78146925490831,1.02518319368607,0.937608375452359,0.922381603596705,0.899066263499668,0.989053162523611,0.890933359140237,0.703204154287012,0.696135111403994,0.694066349530741,0.771643814645041,0.643410094875777,0.717162874192267
3,0.0222169633579863,4500.00000000003,2250,0.342375,11.1371312916667,-8.69993027461399,2,4500,500,9,0.60531929456096,-0.239139693389299,-0.25894196923951,-0.312846530887961,0.621623654021628,0.159235856064536,0.140770259778601,0.466833280593533,0.205672245363034,0.249039648217309,0.565139374296883,-0.071714545560475,0.0437336927926391,0.550507859588731,0.532054204392563,0.451479359439529,-0.165711868654414,-0.089934653137255,0.344658005524341,0.27230350180459,0.409383494046827,2.489343255972,0.302607914280431,0,-0.0318172689945184,0.00141430708047105,0.00872043827127372,0.00160325603053623,0.59267320079694,0.139609309046494,0.282912484373619,0.432638936764512,0.0434318037175614,0.248285209073274,0.0451741285343604,0.158154828679473,0.0453799825423269,0.336393876197079,0.0456059967049136,0.266753312370623,0.0505106292921467,0.149505941274967,0.507361642740863,0.860277846080445,0.156780646090676,0.215868397689019,0.25146627156475,0.434843031337882,0.161304424699777,0.299999999999999,1.7811487192039,1.76470658393472,1.59192681663557,1.63873999348868,1.68216410703064,3.35640087031185,3.79546129450456,3.24483358329551,4.15051958968563,3.66393395425199,4.53903402629441,3.09733765357465,3.73119358591084,2.93189797700905,2.81676328261852,4.24651387714661,4.18177294334223,1.15172560186258,0.938853691735561,0.948034739594226,0.911572376562081,1.06590470473268,0.769593685920052,0.747857619638223,0.765451652393374,0.779472190553939,0.835793151904836,0.61267229305969,0.783219324058717
4,0.0320559687894621,4500.00000000003,2250,0.404875,11.234823375,-9.33714261379474,2,4500,500,9,0.615150043193318,-0.249538305877699,-0.248370729855263,-0.30747683670536,0.66144913777189,0.10658741213196,0.106443579175279,0.397102025373582,0.185926377941438,0.245751367293101,0.607209309905557,-0.0891373573083951,0.0840940023309127,0.57133341294662,0.558361972619313,0.447612430408898,-0.174717153916994,-0.0833137222317298,0.345842234624997,0.273687922951054,0.424257696163304,2.45841260891702,0.2654387987163,0,-0.0324491247532889,0.00319761067029436,0.0129239527377054,0.00258360957583663,0.564996101771488,0.136219811316494,0.283570286133348,0.39673357604479,0.0409188732074179,0.239855612653207,0.0453092838763491,0.149393717873889,0.0458354093363191,0.320647294282895,0.0434914667794144,0.258879692956257,0.0524723656809401,0.155050198915004,0.480867196269948,0.855212338041242,0.146656477829547,0.209591922884825,0.241355529527701,0.426352543652998,0.153355888346685,0.299999999999999,1.82908741026035,1.72483935841725,1.52452787060813,1.62235174913522,1.60027550736978,3.1197307051571,4.074234808333,3.43034710099936,4.57057958979376,3.70479003441272,5.0432537778573,2.83444800952088,3.73987962997102,2.85680601567215,2.39348012206536,4.70313306518544,4.42364195132171,1.28106003323214,0.974398515281299,0.968088566663505,0.932697378363945,1.16067774797136,0.655426741553833,0.818484221629905,0.8316995482046,0.889102913517091,0.89086418439391,0.549780097999026,0.848901548246632
5,0.0450210638530932,4500.00000000003,2250,0.335125,11.0428099166667,-11.28651612413,2,4500,500,9,0.606772973983947,-0.255546208626883,-0.245855409682798,-0.262614065287117,0.703462967300417,0.0857862152905847,0.0941252397809042,0.372275952742169,0.191551375771918,0.214210639295739,0.585944305121612,-0.0871678713986587,0.0896512464531147,0.594870380521336,0.579879644455088,0.462729204374454,-0.186248587698539,-0.0789649506683478,0.343459461182574,0.279889133881806,0.422087462339135,2.44816563758161,0.244300080408477,0,-0.0322705997850407,0.00388756876995437,0.0198327951493718,0.00193336886155349,0.553471453682082,0.131145840632242,0.278089426537328,0.369304405640097,0.0391183561347944,0.22925507270882,0.0465899576557083,0.142968093333281,0.04786733850027,0.313189561521593,0.0430871716153707,0.25351262316161,0.05300583696392,0.160104909668609,0.46383719255612,0.839496125583463,0.141835772936274,0.210088617102475,0.234705513015813,0.421377945000797,0.149218923340059,0.299999999999999,1.80132921179031,1.70310860875862,1.49457758191846,1.58971562542597,1.64366694374521,2.84805880761873,4.26433522411906,3.63979013434059,4.5791675128013,3.58696069086989,5.37499485771822,2.76221313541317,3.67515679879431,2.85524325301828,2.09657551822645,4.87849789652787,4.43738688880659,1.36049927692452,1.04153513103132,0.966827252112509,0.954514975392127,1.19250136892614,0.552992057322805,0.902158565122777,0.845538303641169,0.976705630207856,0.918721748045025,0.569791543749837,0.90745159229039
6,0.0617079340543164,4500.00000000003,2250,0.348625,11.6142445,-13.4877936714473,2,4500,500,9,0.583131528119203,-0.26288918712578,-0.229468432693866,-0.235947100368438,0.75365586864925,0.0416993928600621,0.0991948838991649,0.36318533211544,0.211851644192976,0.167408134248354,0.565841736228873,-0.0703063064546547,0.0523407751130733,0.62610794332266,0.603108115633088,0.484361262900916,-0.169256627493635,-0.0789799555766915,0.340718786015252,0.282697361124499,0.411142146349821,2.44752773564659,0.224630540573759,0,-0.0327918525758736,0.00336911497197321,0.0234876003750086,0.000604437007416572,0.540107235474652,0.128942164228156,0.272930841679258,0.355401927601806,0.0384461716237225,0.216255219105884,0.0483325965675683,0.138249501240476,0.049830346297145,0.31249778029434,0.043193304727817,0.246278534350321,0.0524321687969812,0.15973401940925,0.455213427932315,0.827784509974207,0.137294614578664,0.20751465739733,0.229486623706958,0.420185645392458,0.147223298753268,0.299999999999999,1.86051341998886,1.67945797988701,1.44003184751507,1.54446793521352,1.6831825849879,2.83145953771805,4.65163787848363,3.74296497352875,4.65865328190494,3.53737656513222,5.55907707366747,2.64235947699406,3.56785403837983,2.68603290074967,1.97845258749968,4.75885402173954,4.40121360074354,1.40820812181602,1.08331139030733,0.975195900522926,0.991647899932545,1.21689069961358,0.518840052442009,0.949228536374336,0.851957425527974,1.03016093738107,0.975281517226321,0.582210380163402,0.969586397773224
7,0.0824232997677534,4500.00000000003,2250,0.352625,11.0854822083333,-15.7088046206947,2,4500,500,9,0.564193077440125,-0.263632045472931,-0.236571716893775,-0.193359330265005,0.801889175022642,0.0100836438423812,0.100254396961344,0.37834549189443,0.226248177748793,0.151651958428975,0.55246816711639,-0.0428764468436857,0.0219912684413857,0.659182696030864,0.606546137989965,0.523388324043819,-0.149122416751388,-0.0706164885180589,0.336770974657635,0.273029713781395,0.395230788134593,2.45874531260009,0.203021034249766,0,-0.0314673797633014,0.00400955071499237,0.0245849297313416,0.000164210242061824,0.529879578955233,0.129024917457823,0.265220043810849,0.349251676807232,0.0393318578196863,0.202745068961898,0.0488390491480044,0.135780962274451,0.0499487066024522,0.311369137744407,0.0436314603391735,0.242264793791615,0.0520974595762235,0.16051222215555,0.44471604498981,0.809401880106092,0.133879735567263,0.203248251761622,0.225554301902563,0.421514018501033,0.14520836513445,0.299999999999999,1.84459172269331,1.60822516396149,1.42775294462587,1.55140826139158,1.68287242390707,2.85545060353925,5.21916960913606,3.79879029751955,4.79699318757756,3.51681733758285,5.67374848945105,2.57087710357689,3.417064956004,2.52366667752988,1.91855191219223,5.05245564451197,4.02472780273899,1.45338810046253,1.0774880124492,1.00572321968818,0.983940159070069,1.20901647265293,0.50647929959034,0.93644029821077,0.843011828896235,1.02296082802752,1.00270992624387,0.642084300772258,1.0233905870423
8,0.107420566564191,4500.00000000003,2250,0.264375,11.020335,-17.9242348099255,2,4500,500,9,0.549587615765732,-0.257799003678304,-0.239137853841932,-0.158984032105944,0.829422250098576,0.00433362973271634,0.108580536008564,0.412482556257307,0.21899731135814,0.119307434983028,0.529951795268538,-0.0197400547667281,0.0143156991629893,0.688636409675626,0.622341963313512,0.563998620413224,-0.129350393917654,-0.0693803376661998,0.336094585589957,0.26625532125208,0.379495894069146,2.46403424114795,0.191542624772723,0,-0.0290277493867557,0.00525772646887697,0.0270090527763641,-8.40132702648749e-05,0.52643806279663,0.128518444736749,0.262327246465856,0.352015545568669,0.0399735231950102,0.188940843004499,0.0493803317165197,0.133182148175827,0.0493060346736831,0.311275254333271,0.0432082709901506,0.238478196472628,0.0513300602720602,0.161367397449241,0.430460931850366,0.8008395836329,0.128755337643286,0.197963576318299,0.226098570381833,0.421210969832492,0.140366531856722,0.299999999999999,1.80463889393182,1.57460115948549,1.42085159190073,1.5781084597626,1.71576206141021,2.79890747708917,5.46040109420463,3.71499411519934,4.94412736751407,3.45686856688229,5.94417765174994,2.52391737114969,3.31767782309556,2.5035088429196,1.93083167007165,5.36163959714623,3.80260507743699,1.50244632576621,1.04358561231231,0.994518354970493,0.961206764223069,1.19019537320625,0.522639639707834,0.934356245101879,0.849984141145939,0.99096692036939,1.06976155789861,0.664785501933604,1.04934645210631
9,0.134415300543374,4500.00000000003,2250,0.2425,11.71824925,-18.336318248824,2,4500,500,9,0.533332993775381,-0.254013595716985,-0.232675490730229,-0.142111595216961,0.841512182175626,-0.0178803000094531,0.103774277168627,0.456780840933057,0.204431422177202,0.106612491880094,0.532156011056277,-0.00653603879324596,0.0083422573455228,0.721367607438471,0.642799456557987,0.58904120035451,-0.132776075040012,-0.0572863970003423,0.336676000163327,0.245890320902024,0.370516514041438,2.48921168060022,0.178634058251214,0,-0.026458595458669,0.00499116656023542,0.028400363616482,0.000146493385535191,0.517010995105848,0.126964467171114,0.256911524326844,0.360219762866137,0.0412118590770589,0.178751866830994,0.0488209344228099,0.128909578467821,0.0490615624398335,0.314969494614501,0.0428372625554351,0.235074741218049,0.0499181610563209,0.163132627396432,0.41914753647706,0.780808334542631,0.125318493738543,0.195518049431946,0.225201789993907,0.414685315855365,0.135024385066721,0.299999999999999,1.76576503330133,1.54843058837605,1.3776726242803,1.59150622428036,1.74629818009601,2.91310815414749,5.8844856262752,3.76388821020898,5.00446731325809,3.30266834378947,6.11219033442663,2.42255496285548,3.26794796486033,2.50502156751066,2.00016861475667,5.42529582008895,3.87868651469184,1.522034145299,1.06341746594179,0.962744759587904,0.959780935579915,1.17540296273087,0.553678722954018,0.927227617578732,0.819621154166523,0.97794044836775,1.12777123111016,0.701312969397922,1.0534531652048
10,0.161926889196202,4500.00000000003,2250,0.2265,10.955654375,-17.7525569989261,2,4500,500,9,0.526279455596728,-0.250655907534141,-0.217540560713313,-0.127344714733524,0.84189087125548,-0.0299710012895315,0.108727384911801,0.53231792126907,0.215143875526044,0.0959480099344922,0.538749378935289,0.0128551252730647,0.014622219407149,0.748732564123568,0.674343532870857,0.621693971616688,-0.114230174171367,-0.0438724287968938,0.336754757587178,0.221708470330266,0.36757018063656,2.5258967516292,0.165925127523687,0,-0.023531954250715,0.00393254204210413,0.0311243588773289,-0.000324170164574013,0.500864223190718,0.126800771831852,0.253614617793213,0.376474052506708,0.0418842245064339,0.17088201355125,0.0473673186502298,0.125243286196197,0.0485054549389327,0.323310280670676,0.0428373063755096,0.230212714755682,0.0476877742885344,0.162723535748666,0.410962821749588,0.763836556371851,0.120582245881396,0.194856570785265,0.225985910636895,0.404861083880697,0.12839281149603,0.299999999999999,1.7305233391131,1.55174516734643,1.34110425988448,1.58221333732169,1.85514695768523,3.13540338693103,5.988011823531,3.93815750268756,5.02408850456464,3.09105977977755,6.30617387057063,2.4089003599563,3.2138813627703,2.44798814010624,2.06268370874047,5.11407800393291,4.03723817141068,1.52348529067266,1.11059070115536,0.943472974988854,0.959225653128328,1.1538195276252,0.58081041570367,0.927891896664487,0.794822895992176,0.975109302728657,1.15164663506839,0.707652065779601,1.04209815564824
