param,mean,sd,q05,q50,q95
gamma1,0.514030488221726,0.0733825293637168,0.389229883191143,0.514893514839553,0.635172603500479
gamma2,-0.234658725451601,0.0485259433393471,-0.324731002731626,-0.229066595697569,-0.162305101927125
xi1,-0.335814109423703,0.0647460180548322,-0.444288386424921,-0.337086341172405,-0.228810510317789
xi2,-0.0121409921869704,0.0927732795472848,-0.161265735149045,-0.0136786355728347,0.139105396599946
rhoU,0.821537419523791,0.0845614976731287,0.666112505246629,0.831631842937958,0.941426644242659
theta1,-0.0162046826814601,0.0988097478335626,-0.173765171722332,-0.0179890972630414,0.14597143526505
theta2,0.134532252241973,0.0910317615677677,-0.0137106853266602,0.137321164823908,0.284131789211721
rhopr,0.855109383994276,0.0854666820220973,0.698978841687238,0.869646015738858,0.963757130367935
lam1,0.283807001451303,0.137493777597716,0.0649638126187634,0.277041917387411,0.513475515166901
lam2,0.184086720903061,0.135987142157752,-0.0433521239501163,0.185057658817042,0.406686587875855
rhohpp,0.283056983628321,0.169815793714809,0.0299276426379869,0.279771233914523,0.569134436026779
chi1,0.018179896026153,0.0285678520224778,-0.030095781368241,0.0181468636184547,0.0650110362647506
chi2,0.0151130336742655,0.0313982071290939,-0.0351260251253742,0.0144593543721706,0.0671808267315144
rhok,0.860535552314588,0.0789174255092524,0.709665250103661,0.878484706387221,0.954128301760095
rhow,0.963552000191519,0.0338083194362915,0.896074189569823,0.97439211673262,0.995621057226102
phisum,0.857108087006379,0.0622044507524323,0.7404334942529,0.864509483001872,0.94194168974037
phi2,-0.055509761511482,0.129259193684936,-0.26760889358379,-0.0575889623278317,0.170314426664959
nu,-0.0263000646321348,0.0348831489224073,-0.0878877645056025,-0.0228135959537146,0.0234469401334834
alpha,0.342678251056923,0.0506373351919207,0.260134674705891,0.340993586471909,0.427675419138717
gzbar,0.223598249392936,0.0915161078700161,0.0724130547177618,0.222734608589105,0.373601804163508
gwbar,0.289168883490988,0.0714718772054908,0.172085361575206,0.288348004338786,0.406982896149116
pistar,2.47492665465103,0.145883980032461,2.23775338835471,2.47274269516804,2.71840096569543
alphapi,0.146237696889279,0.045686126922907,0.0806286942041025,0.141949776790883,0.2262616782582
phiy,-0.0707946743780246,0.0189811725819353,-0.104383698813239,-0.0687900808973572,-0.0433887883567975
phiu,-0.0127537696066173,0.00522866981189946,-0.0228139554719154,-0.011877831997456,-0.00601738839854764
phipr,0.00201050709363262,0.00734360396653419,-0.0101508060442807,0.00200248298261078,0.0137168328868137
phihpp,0.00067572212046851,0.0186456184627622,-0.0305429387614913,0.000857931460083537,0.0305910745918517
phik,-0.000543882073103145,0.00281120741799678,-0.00508139423613144,-0.000545515664268204,0.00422061729162487
sig_c,0.391430182876787,0.0388851615412119,0.331078693892193,0.389015034541873,0.457719175185566
sig_Ustar,0.119528174064215,0.0149108038120486,0.095244755086451,0.119415706687753,0.144302726926239
sig_pie,0.202526281217338,0.0200233754618105,0.171301768621722,0.201586953578025,0.239085802200844
sig_z,0.404337594141471,0.0458193635647311,0.328404354841125,0.404120221261855,0.479256392390692
sig_gz,0.0518947881812401,0.011162261780567,0.0366612992784178,0.0503789663171688,0.0719215388057217
sig_k,0.0989465763591348,0.010000829767248,0.0829014186308327,0.0984877320822939,0.116706346232909
sig_gk,0.0423622773944058,0.00622575948989526,0.0327341353776565,0.0419638556745791,0.0532662065854285
sig_w,0.0684207492516228,0.00801912646165144,0.0557222368602545,0.0682131393122205,0.0819191971699745
sig_gw,0.037605797624837,0.00546293873795663,0.0293504929862987,0.0371754632746307,0.047442942823552
sig_hpp,0.206299604535337,0.0346031644162326,0.154267974680758,0.203045594769173,0.268041762251035
sig_ghpp,0.0411614457649417,0.0071620862356395,0.0305775043304715,0.0404956451347732,0.0536106453033821
sig_pr,0.206453161767738,0.0301997776352503,0.159677521563404,0.204691377608834,0.260431369515113
sig_gpr,0.0360403536699313,0.00767383879773053,0.0249430276332328,0.035309683361907,0.0494351246698989
sig_xi,0.109751005141186,0.0257545159561903,0.0759808329415616,0.106336460236021,0.156291472764708
sme_y,0.312900719867604,0.0335883821193362,0.26050331681626,0.311730649056099,0.370651679326028
sme_pi,0.662763812678977,0.0376480612834823,0.604282370694549,0.660778429076611,0.725202638491888
sme_w,0.064671315994033,0.00631926193465563,0.0546536861735339,0.0645035874735772,0.0754710694341721
sme_U,0.142238812834083,0.017620683817367,0.11384981640517,0.141772730120893,0.170945374640433
sme_pr,0.23275095606812,0.0244837695488475,0.193730285212733,0.231811767576065,0.27322570251411
sme_hpp,0.344600187595307,0.0383588114979833,0.284823094346896,0.342689158353925,0.409971354393133
sme_k,0.0722828360285468,0.00700305051721485,0.0610524364506046,0.0719290936121183,0.0838188176508931
sme_pieobs,0.3,5.55111512312578e-17,0.3,0.3,0.3
m84_y,1.10175200924086,0.244236093061447,0.720075463366235,1.08937747437905,1.52699435485033
m84_z,2.11066875176961,0.387142502603844,1.5281989084404,2.07832639065743,2.78389563972909
m84_c,1.33154243551095,0.26226599186128,0.944292330699274,1.30356939217527,1.79451799205912
m93_pi,1.72606995996098,0.235596741636972,1.3765578173293,1.71148778437653,2.1353949697079
m93_U,1.2101698974273,0.422122600673964,0.637579392868128,1.14916301897302,1.98418794201052
kapc_2021,4.62334215656055,2.18161112739684,1.97882884604934,4.21310963342181,8.6666342891775
kapy_20,6.22900833024393,2.41605540835009,3.15490346081318,5.79710278075821,10.6824009989804
kapy_21,6.1201889285978,3.11293887763706,2.47418136612813,5.37134842118222,12.1830547053425
kapu_20,3.42409538916175,1.90966412085549,1.52313908001559,2.96348513045762,6.9784080485151
kapu_2122,3.00205874619239,1.36780617419289,1.44713028068799,2.65706871749161,5.6904945391386
kappr_20,7.70876699986229,2.1805374618614,4.7067326691574,7.40771044220456,11.7294512397969
kappr_2122,2.03901896497255,0.5819487117303,1.33721853822939,1.91800210736623,3.12843406726334
kaphpp_2022,4.19846550900081,1.18346486827768,2.64455926581304,4.00583686771768,6.45462845667178
kappop_2021,3.69834085070529,1.47822054819449,1.945509969226,3.3617755628582,6.46756445567348
kappi_2023,2.51455695208227,0.629759215475974,1.7233252703584,2.40264780428454,3.65756717371532
kapk_20,2.60409086311352,1.44923556868481,1.2894995810261,2.19794167767021,5.33562920254273
kapk_21,4.38800822556429,1.96264554605013,2.1856168648607,3.98247863909215,8.11322503488524
kapHyp_lm_w2020,1.17654252935721,0.265662607571087,0.741405401642186,1.1809880865336,1.60483536922009
kapHyp_lm_w2021,1.0424481603331,0.309517005882801,0.53631069036492,1.04038295718148,1.54007141262647
kapHyp_lm_w2122,0.839414512412933,0.376080236951513,0.167734495866144,0.857306167649442,1.4304001475013
kapHyp_lm_w2021tot,1.35684882746184,0.260855505982564,0.90639037929756,1.36678627414497,1.76291108618549
kapHyp_lm_w2022tot,1.2341394923401,0.435631840105425,0.54900128043836,1.22015103130536,1.95820751224047
kapHyp_lm_w2023tot,0.929800505480778,0.29740891408168,0.443445410471303,0.934371976648834,1.40303443520989
kapHyp_la_w2020,0.804187372541902,0.390547482579318,0.133035301993332,0.818850177746508,1.42328227442449
