stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_lm_w2021,mean_kapHyp_lm_w2122,mean_kapHyp_lm_w2021tot,mean_kapHyp_lm_w2022tot,mean_kapHyp_lm_w2023tot,mean_kapHyp_la_w2020,mean_kapHyp_la_w2021,mean_kapHyp_la_w2122,mean_kapHyp_la_w2021tot,mean_kapHyp_la_w2022tot,mean_kapHyp_la_w2023tot
1,0.00621356905638387,1999.99999999998,1000,0.197625,14.689692875,-7.87821872597592,2,0.599566711668786,-0.203132775207703,-0.287228547818439,-0.238898725880264,0.545881541275544,0.228357112735429,0.191586432931196,0.516326102711079,0.275787072482983,0.234484676492012,0.506209385768039,0.0135484893059713,0.0196923964691539,0.488512330407934,0.531420059432084,0.546804924293139,-0.212135526116003,-0.0999632128676855,0.351401771447254,0.297992492957505,0.395085276623641,2.5626541368471,0.448306845248215,-0.0717340629765541,-0.0341098539605847,-5.25988013403436e-05,0.00330890835777236,-0.000497983796618557,0.679676671372852,0.144463635846106,0.282403685069754,0.459909856991004,0.0464912039639192,0.267828103242193,0.0475362497383013,0.180460238424427,0.0473997290857092,0.375291198375306,0.0469486615537495,0.279375504562993,0.0464136490808786,0.143032436550363,0.550619905996386,0.917074614786228,0.175023560300125,0.235570852623823,0.283130286980786,0.463248113712892,0.179838132959752,0.3,1.68822266410743,1.69257767881505,1.62733280863074,1.66152811913084,1.74739420762274,3.24107969289128,3.60559575016514,3.64282538714614,3.43134441026832,3.35072708511554,3.64036368704322,3.64063139682673,3.7071078487512,3.37963241482268,3.20961620614108,3.71343311140738,3.51969220762479,0.950200237118518,0.965945645662339,0.942600961962566,0.90249146828556,0.968482753063504,0.871386756150978,0.707944741176869,0.678828253963566,0.712187723503829,0.707988521475219,0.689873324129415,0.699493678129334
2,0.0140927475491351,1999.99999999998,1000,0.303375,9.783245375,-9.02767003767659,2,0.593169285372128,-0.201785284621822,-0.268053779765303,-0.210251317407076,0.600196469379927,0.216935407399218,0.177623201741316,0.527983970627608,0.27655729835841,0.210175502149041,0.503350784399723,0.0172240656685965,0.00861573114165882,0.477250927486434,0.570422858638606,0.560608616674406,-0.182457812967225,-0.0954320137519317,0.350938811684683,0.292440174666747,0.380859000388793,2.56935568228884,0.40724939218901,-0.0663790722633474,-0.0302451869298658,0.000530646234626495,0.00544864862898188,0.00136301672194671,0.630024661652352,0.141652856061062,0.277939244251408,0.449765538653932,0.046649206312033,0.253403230368628,0.0488171641181242,0.169623048992583,0.0469731394991539,0.365794233636479,0.0473913204537946,0.275507454866328,0.0460750676242976,0.142795420861346,0.532999364408816,0.888979449865923,0.1634180183817,0.233369108251705,0.274498343952256,0.451137771488034,0.174896472765065,0.3,1.660539185419,1.70170138476995,1.52766140435321,1.68939632204467,1.78021882451512,3.15710714560371,3.83345455820295,3.87912135520332,3.49401257062317,3.23604637118381,3.93849712927354,3.73257071531258,3.8742054577017,3.3625145712502,3.05121567008955,3.74533368026267,3.55925985408221,0.983871029301702,0.976280500973355,0.952312694964335,0.88544224534557,0.973437732192831,0.851458270404113,0.737614415570595,0.655120778911147,0.684688106977106,0.740424884527867,0.722282490008365,0.671106797804853
3,0.0245522690648013,1999.99999999998,1000,0.326,9.91859145833333,-10.9347948561287,2,0.581611805960453,-0.204831818810285,-0.26552316974754,-0.16684586681113,0.665918314129044,0.188910570868115,0.163313995116063,0.546571874174829,0.333714739687153,0.226695095914447,0.47214413101567,0.0195241145162111,-0.0187486131925935,0.441050562564251,0.622944112304903,0.569817835119924,-0.170758811993048,-0.0855800886234207,0.348056937235548,0.297404578237212,0.359587512551806,2.57499138949653,0.375542433713766,-0.0629250863228576,-0.0281924412795703,0.0013743264609382,0.00587857206057371,0.00434970152082586,0.596309245361587,0.135894107058332,0.280483879098739,0.434848963119296,0.0475373121436733,0.242549471400272,0.051759728299031,0.16234968480209,0.0476461757427969,0.348901516802711,0.048022165909564,0.268012317732868,0.0459550152418114,0.14017216156112,0.510101807695681,0.864429019096835,0.152366632365343,0.229450258327599,0.260558058010717,0.432011714987174,0.171173574872684,0.3,1.66119893941077,1.69220125521489,1.42141493628743,1.72236393364508,1.79250422435839,2.97722804943265,3.94107346510626,3.98693873028291,3.58601726618974,3.10539503183689,4.28460457476655,3.70512845040283,3.87144635638728,3.11413104048923,2.89798245398834,3.64497256798873,3.39330254229557,0.995723728159303,0.932569813333187,0.929278528789254,0.832132389435473,0.968913780802774,0.816198048121928,0.787137877284663,0.596901910186796,0.637864108494626,0.779612500854856,0.832667185038861,0.587761968999969
4,0.03940082392588,1999.99999999998,1000,0.350875,10.3562675,-14.3620646382534,2,0.576966376870221,-0.208008022088679,-0.24005705637317,-0.158882451721869,0.732348444674359,0.162474521351321,0.139840250346597,0.555758045759477,0.379980327377886,0.267741216940201,0.422668523000118,0.0393295494037428,-0.0407267838407256,0.399088221845358,0.672789266128687,0.57056651199555,-0.16150649122735,-0.0685441486615739,0.345220528756835,0.300891904956722,0.351272348060476,2.58276613576318,0.345542513725296,-0.0600801944566361,-0.0268020596113198,0.0020357740094247,0.00388509999813885,0.00561313583836218,0.578458056337608,0.128355620410187,0.288878388515245,0.425108468409593,0.0488132058747502,0.236200122369461,0.0549827020685754,0.157186311402761,0.0499219865243126,0.334894454208729,0.0488976254085549,0.257558254541814,0.0460469209396767,0.135243548799355,0.488545757154894,0.833281685197433,0.144992554395784,0.227412363397345,0.247776704961228,0.419289717194217,0.172178097297532,0.3,1.68115731782178,1.6788940449594,1.35473470342362,1.77417504163888,1.80299335936591,2.76697896898486,3.92813861376524,3.98008712701088,3.66613150992867,2.91582666661565,4.63950281273744,3.55425839266882,3.83677967477004,2.7829966752232,2.83429639952095,3.50890605797539,3.06866814840384,0.993698518563519,0.900472952366512,0.882134650466043,0.752814485967713,0.984425550642023,0.767749979760142,0.801985200256011,0.555925753205448,0.604678358966631,0.852449974928979,1.01726210826895,0.515289272476722
5,0.0582739090429799,1999.99999999998,1000,0.29325,10.0016420416667,-17.188871070644,2,0.586969276875801,-0.214024444081112,-0.197088509227551,-0.170873235294213,0.79187917215379,0.143405816800292,0.132583586575708,0.572038598553238,0.386160460883283,0.286016773618935,0.381253329026634,0.0419796589794549,-0.037759972364596,0.376461841045415,0.724080504353646,0.570204345610503,-0.165457618782904,-0.0461108080587977,0.343731885176984,0.296237642454594,0.351305421188725,2.59032541630123,0.305814802161993,-0.0566370080544891,-0.0261831025457677,0.00206300079660232,0.00468366400025548,0.00561868751616525,0.558330591479326,0.12151662267588,0.297613786534623,0.416147202393157,0.0495829352947025,0.230910529912203,0.0565592906097178,0.155141613323707,0.051471720499649,0.326244165902674,0.0495791529478944,0.249527975992467,0.0456785320471093,0.132127185785915,0.471811355343286,0.811743846127416,0.142714369740908,0.230134388661711,0.240278012553162,0.414069387251827,0.174240535548341,0.3,1.69776462349765,1.66360772541236,1.3181091453012,1.82910450876066,1.76700298728338,2.56261986285459,3.83257015080379,3.89062023437733,3.61200142573264,2.77749435540281,4.89155034950935,3.40016415823932,3.76782329642037,2.51539105482009,2.74415482914113,3.34422431097346,2.8254473236874,0.986069136128614,0.886306955881804,0.83912839155839,0.669950076782582,0.976897994811604,0.726147996097504,0.813044551086074,0.52165452730534,0.582684230118316,0.926769895523389,1.14458196731422,0.510058620632307
6,0.0791322631466582,1999.99999999998,1000,0.31525,10.07762675,-18.0246448702945,2,0.605316268941501,-0.218836146346066,-0.186668611315067,-0.156984741420131,0.83337967880062,0.0894153613615487,0.172931819255233,0.584622134860933,0.328526347545421,0.267830780354635,0.365390667332913,0.0364014535951071,-0.0323243705122538,0.357461193383175,0.761268834271933,0.573824717946757,-0.143389747370135,-0.0389724735608962,0.343887961057095,0.282964224164314,0.351176249483117,2.58176853004753,0.270496958708958,-0.0525624904985533,-0.0245091248040637,0.00135283134110934,0.00971134427458,0.00472142135630106,0.543141962165384,0.116742570244176,0.300397583668581,0.405409936808197,0.0484174455158765,0.220343911094657,0.0567435465216716,0.153692452716023,0.0505859951371962,0.328121491583941,0.0489139202541872,0.249617691347015,0.0456228287872197,0.131903654911044,0.455242323420261,0.792496659814677,0.141747624893616,0.230840116379391,0.238120805248955,0.411880267268183,0.170982361224526,0.3,1.61430487873372,1.64352018047236,1.28951258773633,1.85811186852522,1.66956143471233,2.33844664689304,3.77921375635696,3.72469865264979,3.39467521036164,2.65304247067403,5.09766206455817,3.16099221010453,3.9031227586466,2.34881781335632,2.67767795942994,3.22696287026399,2.6125012351799,0.985720301100933,0.840721212503476,0.776798453615195,0.620148737615881,0.980547641461408,0.726757896354027,0.829197354515161,0.489331765250049,0.598913469541468,0.963297228116174,1.1788209814782,0.518992326106043
7,0.100195954216734,1999.99999999998,1000,0.31875,10.646271625,-17.3116611785264,2,0.621440876475961,-0.219279861700589,-0.237441429941806,-0.158785591033213,0.855249058337974,0.022749504293552,0.227705138853339,0.614321759982052,0.216928547163472,0.204889238982206,0.373751709786579,0.0211375078242782,-0.0264140858612558,0.350511940337481,0.780193485381772,0.594606068742836,-0.084792512555256,-0.0438664734838563,0.342523918682455,0.26934672825528,0.351997217793865,2.55694476523474,0.246708818585996,-0.0490834220059231,-0.0211701260255978,-0.00116314610076487,0.0212710316008419,0.00276163885616354,0.523864967515538,0.112517221894153,0.296103130438239,0.391680715648172,0.0456618116688534,0.206884069223836,0.0565362046405499,0.150779599275252,0.0476894405223848,0.337003685085231,0.046639813348392,0.254230149549885,0.0459954350756089,0.133194807084852,0.438335401504326,0.787254616426067,0.140936518258897,0.231185714589546,0.238576837116695,0.411270311083035,0.163079272183725,0.3,1.48812014530664,1.6139011899417,1.26069106182715,1.87588192345845,1.55644223502818,2.10785714684933,3.87694048913312,3.49782138520941,3.29487361783759,2.46677129240647,5.34281104446313,2.97626036900883,4.14652549158483,2.29673700998515,2.58186444379484,3.06902845665957,2.47636404935431,0.988334849517009,0.769229793929552,0.692213637794545,0.590317070033846,0.987982857071899,0.744555888880654,0.839661183732205,0.445958556934742,0.622168869893954,0.985391077778769,1.10033456370396,0.556123658695117
8,0.120433498504268,1999.99999999998,1000,0.33,10.8381047083333,-15.7773684205632,2,0.625605519402211,-0.218301810109006,-0.307516397904948,-0.151708544314362,0.865609230062499,-0.0463254699313373,0.279193242304155,0.645436890915346,0.107772520454585,0.148950853465989,0.39134755236063,0.0151871675851524,-0.0207972224296958,0.341019083232916,0.781866670395434,0.607646713064388,-0.0211829295159892,-0.0593159059977085,0.33944609879083,0.258646110506326,0.354769135706598,2.52895885632358,0.227096942631722,-0.0467454639523207,-0.0173185759104885,-0.00454261518200215,0.0346808906258198,0.000839455819016403,0.501514564050899,0.109162379043806,0.290858258165824,0.382512249290585,0.0427262523359769,0.193137559214226,0.0564158893397154,0.147124199327821,0.0439609782575889,0.345194804950012,0.0435883571498894,0.259757998078376,0.0460697982210439,0.136651685221259,0.422966931555906,0.781977700466955,0.140692499160296,0.22823290613145,0.23975749676492,0.408888938245051,0.154910192901629,0.3,1.40017702010642,1.59549814132106,1.24179192811719,1.92557440498466,1.46962069058039,1.9181895708591,3.97589117112421,3.18911579350773,3.34698196490866,2.25899387102898,5.49287183235267,2.82292547655015,4.45521161742133,2.28415765607627,2.44395220519497,2.87654818503517,2.34451953526151,0.994222968207848,0.703214739702645,0.604450880793473,0.593492974568162,1.00785682789341,0.754753344610381,0.835237786681545,0.424128390800889,0.614592676084072,0.996291127036934,0.965719350532767,0.606095935243302
9,0.14090795228933,1999.99999999998,1000,0.346375,10.8876527083333,-15.1381309364223,2,0.622797736055932,-0.215656877307001,-0.374790308923622,-0.140027306182257,0.873536348968575,-0.112803548753812,0.316416358421671,0.673955533058303,0.0560880405229306,0.109510560488589,0.427175324763394,0.0167407785391858,-0.016298708883394,0.325297596170174,0.782616609937181,0.625924522210112,0.0418148822111965,-0.0712958517947591,0.335114001992769,0.255149832100683,0.350920464041199,2.50368320376427,0.221174487041342,-0.0439720140375898,-0.0141363879957771,-0.00733150290512404,0.0482190835555233,-0.00121927145241402,0.47681858994165,0.10466443561776,0.286805589140049,0.38201878161197,0.0403082485813676,0.179910076263761,0.0561481868298905,0.14194488076076,0.0405591453295973,0.354374946077335,0.0403770584201473,0.260584428561234,0.0452965372373931,0.139201766209539,0.405529444040536,0.775896780131167,0.139830992015203,0.221635029055252,0.242007635416798,0.404626504122333,0.146186913817771,0.3,1.36710468735694,1.59693400515095,1.22575325966553,1.96032024167709,1.4023685230185,1.78458879450894,4.10997521005156,2.90939829484425,3.42622702849864,2.10783871665642,5.43166920585292,2.60844086964883,4.71383403507962,2.23169575006598,2.3318782424674,2.63351724132675,2.14324618152184,0.999393193928565,0.656650552579934,0.521590771530703,0.594646224097635,1.01320257443496,0.769805961786034,0.860586351171379,0.419350770414818,0.574170911935936,0.999909797483435,0.798888249133986,0.666149332260979
10,0.163342284867646,1999.99999999998,1000,0.368375,10.9264844583333,-15.6741259509095,2,0.606534651292132,-0.213108184698998,-0.411659829771355,-0.11828620065838,0.881314752405301,-0.153797333763899,0.326562152093523,0.712501622862541,0.0444427267508727,0.0990633061290953,0.471560060455124,0.0161316270378287,-0.000608461550723377,0.29039058895916,0.781659909020836,0.636421799317368,0.0730721171973843,-0.0736549855995239,0.330673989420125,0.256958246820655,0.346552008007998,2.51456893211347,0.238230872592625,-0.0395616746398478,-0.0124816063584542,-0.00803139650143643,0.0543993859466778,-0.00313730743082205,0.458229861729361,0.100805959094382,0.284276046292862,0.38448855795093,0.039433704887097,0.169785257984394,0.0557358637811945,0.135547278109529,0.038446516671806,0.367077623596987,0.0386955473357611,0.254201482708888,0.0445642029480203,0.140323520519313,0.395057064217032,0.764593973709542,0.13874584114004,0.216542424553996,0.245586097022332,0.398577777513212,0.1387037235816,0.3,1.36878098680171,1.60564911339313,1.19978243910781,1.92472303696157,1.33822819621455,1.65975185565528,4.22863916771163,2.67635889846714,3.4333255195563,1.97188395209881,5.36973083939666,2.34526915478189,4.76904419331146,2.099971128602,2.20741531448283,2.39890728261758,1.90950738501781,1.00737849062939,0.622869681449187,0.461599762925464,0.553405815732661,1.00087541291314,0.798751648301457,0.876052863683959,0.423336999335839,0.509697631318175,1.02023824120023,0.687910787397095,0.784738607084
