param,mean,sd,q05,q50,q95
gamma1,0.528240486783517,0.0696954746153921,0.415212727333738,0.528414924204668,0.64347571822861
gamma2,-0.222702433164059,0.0731021671568097,-0.342795601448946,-0.220840126962532,-0.106163410068247
xi1,-0.278841523301639,0.0853094670600796,-0.440426339776093,-0.266952286828764,-0.156418257396121
xi2,-0.0315039847273556,0.13476008979935,-0.220747870221216,-0.0474663591505142,0.233627784311107
rhoU,0.748154774267686,0.117714666907685,0.551170528738604,0.747166061592692,0.936468172495595
theta1,0.0184064357222917,0.143874149803753,-0.190293413021229,-0.00736848521207149,0.267612615434383
theta2,0.0730008035401963,0.144623851892447,-0.178123513919587,0.098566347034875,0.281076632903235
rhopr,0.819583079217614,0.120439990300839,0.600637539648597,0.83431210420588,0.974755093182323
lam1,0.33136136532953,0.118246545926236,0.13176267082446,0.333549530730602,0.522252332507531
lam2,-0.112678038492415,0.161241099720896,-0.370943846463528,-0.118096124019251,0.164685859724687
rhohpp,0.462406674646821,0.211810292779121,0.0630308076693747,0.496110162747553,0.761952539226451
chi1,0.0160828815203894,0.0302084036208643,-0.0376320326632413,0.018440977957366,0.0618253011840567
chi2,0.0265177413133083,0.02565212466422,-0.0146926153690483,0.0257395419596178,0.0694395965318894
rhok,0.955528105083422,0.0360815056626228,0.883379436945523,0.965389420303157,0.991037751510046
rhow,0.949504751888441,0.0506388621056,0.849326219562742,0.970289513033126,0.996961826734611
phisum,0.919736747522275,0.0383442524243841,0.847984723277705,0.925596724492512,0.970770446283854
phi2,-0.219406099860646,0.174570367829328,-0.530003470043967,-0.20369171973117,0.0437427190368874
nu,-0.0143556298786592,0.0260582044755841,-0.059576293751041,-0.0123737066390886,0.0241981132455559
alpha,0.338145460561145,0.031727958677282,0.287431812938252,0.337021192649367,0.391436420402085
gtrend_sum,0.570858195493196,0.120297961211048,0.407032077714473,0.54400452726046,0.784346802648312
gtrend_split,-0.238045105866101,0.141085955492705,-0.456390165806502,-0.242291018642693,0.00644761447401389
pistar,2.41501810324838,0.209317172511971,2.04407347763483,2.44248350480609,2.71956336861504
alphapi,0.117476937648616,0.0542598894252621,0.0479579425544752,0.106996825447083,0.220760857737753
phiy,-0.0462656041536966,0.0217412079296625,-0.0871314789904705,-0.042529485086839,-0.0178551671439302
phiu,-0.009512892969991,0.00313306417554015,-0.0151459904900405,-0.009195495402016,-0.00489034222510836
phipr,-0.000179176490486817,0.0098593262718503,-0.0162590942617925,-0.000204442945259342,0.0158371616361073
phihpp,0.00554072738442269,0.0261560441840704,-0.0426287112165231,0.0102249182430556,0.0415283492014208
phik,-3.13120650315473e-05,0.00208429059918246,-0.00331672789888303,-0.000119367489662694,0.00350021350606321
sig_c,0.39511977688207,0.0728139469559279,0.296984421987037,0.38109248325003,0.532194026469951
sig_Ustar,0.096082462984971,0.0130891647914596,0.0761106854703211,0.0953453805067985,0.11915425475677
sig_pie,0.228001235584148,0.0227682157623053,0.192722477839559,0.226640940534481,0.267557163186813
sig_z,0.373575024898822,0.0463401260030478,0.300930695303773,0.371886233604853,0.452565249207405
sig_gz,0.0494607869376106,0.0125827601274056,0.0324906894257312,0.0475981231932245,0.0725706608868237
sig_k,0.0809407976960967,0.00817310657543207,0.0683825181344785,0.0803743095628338,0.095123861486131
sig_gk,0.0392802928502921,0.00643411924033548,0.0302888506641944,0.0381544767233356,0.0510164236849665
sig_w,0.0679595253964259,0.0150389702724311,0.0508908435262929,0.0618166472369908,0.0954442195953016
sig_gw,0.0365629803189245,0.0077595364537971,0.024385999210129,0.037104594067,0.0492122333953727
sig_hpp,0.26273010153701,0.0363530039054499,0.20570576068533,0.260726512749637,0.32524112164337
sig_ghpp,0.036293142300268,0.00784425975483451,0.0253163133780564,0.0353876065413412,0.050616912929284
sig_pr,0.200608112211484,0.0296043255090965,0.152529925005638,0.199617187342337,0.249239213207303
sig_gpr,0.0402743251888602,0.0120309967284423,0.0256067613533253,0.037160344343082,0.0632810613756909
sig_xi,0.146210396351837,0.0311290506596579,0.101255296301884,0.143138403117314,0.202372116207787
sme_y,0.295613221246475,0.0407993756872952,0.223417007642645,0.298207567929101,0.357275737382889
sme_pi,0.71055626931758,0.0481852341413751,0.631710155130416,0.709586740650761,0.790523562852943
sme_w,0.0692884264819753,0.013826568924122,0.0522100230184067,0.0650110316421386,0.0942133816644935
sme_U,0.134174062217307,0.0137315090380313,0.114174697853271,0.132967921806303,0.158499781006117
sme_pr,0.229450312863874,0.0230517821901856,0.192577249994162,0.229001057809663,0.267762007387537
sme_hpp,0.33223913245054,0.0347333193377105,0.280570876944682,0.329632165229417,0.393083642962846
sme_k,0.0658580625238735,0.00647011139332117,0.0557730292805126,0.0655371921779661,0.0771944473240793
sme_pieobs,0.3,5.55111512312578e-17,0.3,0.3,0.3
m84_y,1.29915977029716,0.388223756325014,0.775724579187025,1.24408456019889,1.98276275767546
m84_z,1.96625158553241,0.394247835748373,1.38272008196223,1.92603135774856,2.6828510152733
m84_c,1.62387520460154,0.378553899757148,1.04533177972802,1.59737658254931,2.28810469612236
m93_pi,1.5076036245581,0.223512621222765,1.18770693332228,1.4833241684984,1.91803333263304
m93_U,1.88485115080836,0.58432401443915,1.02440714152949,1.82880705041092,2.93902571492255
kapc_2021,3.47769435169136,1.52314728411614,1.78112235822288,3.08357341368335,6.36923944005986
kapy_20,8.41370336181667,4.40357452572092,3.68925998543633,7.30559553351321,17.0597490566007
kapy_21,5.87642544105082,3.26463672836621,2.11680919433272,5.18898906565997,11.8289293037238
kapu_20,6.95430480174073,3.48248861985653,3.07831372472585,6.20973663308081,13.5902741458646
kapu_2122,1.84070813992508,0.689245915364403,1.1320420185242,1.65959803165208,3.14547962944625
kappr_20,7.84390267197338,2.12656870503763,5.0318125083224,7.54316949543712,11.8828182479198
kappr_2122,2.77620158527216,1.53837229148077,1.25591992451625,2.28346903378585,5.86353536777202
kaphpp_2022,4.37428919088542,1.24481386255274,2.61135492793161,4.23164344219585,6.66931509529416
kappop_2021,4.50899592511792,1.67484443960939,2.17316705839169,4.34156057553059,7.41425350146162
kappi_2023,2.20993870638588,0.544201752999147,1.53898795316912,2.11257804510443,3.21389464891639
kapk_20,2.98199724948233,1.51464388308434,1.55926425198943,2.59621411513113,5.65071066875491
kapk_21,2.5570988079144,1.2166968855072,1.31632466730307,2.25104261790191,4.82702588082834
kapHyp_lm_w2020,1.45766541348089,0.190730600184483,1.14327776291306,1.45899146516703,1.7698963163814
kapHyp_lm_w2021,1.21131117287155,0.322512243354156,0.721889708464357,1.18462407062722,1.77640484319348
kapHyp_lm_w2122,0.548638592878734,0.600436226752871,-0.279614342294899,0.401964872781278,1.56235950041706
kapHyp_lm_w2021tot,1.10032202701857,0.302420740097484,0.609399003728031,1.09831238331749,1.62084685933912
kapHyp_lm_w2022tot,1.07968858242935,0.336671375281483,0.490980823063079,1.11181094176804,1.58022883055261
kapHyp_lm_w2023tot,1.06944983186616,0.32324025150675,0.547689744108029,1.06816063554439,1.60581288866291
kapHyp_la_w2020,0.638619785314849,0.653046423213061,-0.461123737353702,0.660082846655171,1.67287494193956
kapHyp_la_w2021,0.539949515014394,0.343690361865035,-0.00941058626231751,0.534559135552444,1.09948933109874
kapHyp_la_w2122,0.983775837005719,0.399981155387717,0.316963184344575,0.995586945431946,1.62052438473923
kapHyp_la_w2021tot,0.951213273498995,0.41739705048198,0.248237799774279,0.948959466991196,1.62907710896986
kapHyp_la_w2022tot,0.5312233780988,0.533884267607073,-0.325340366424151,0.514711437518552,1.40941019948624
kapHyp_la_w2023tot,0.572218128887903,0.448828901105683,-0.199134891271002,0.590435056449531,1.29582971824196
