param,mean,sd,q05,q50,q95
gamma1,0.514446594026927,0.0558880780809105,0.424822297198101,0.515800304422987,0.604952839444655
gamma2,-0.278054387886314,0.0613123113135928,-0.392214358172617,-0.272559108296677,-0.188684018250986
xi1,-0.258070162164072,0.0524221367376606,-0.342694342589195,-0.259695005300994,-0.167071181872248
xi2,-0.14138379789011,0.0733396020694485,-0.260295766622282,-0.142374475982714,-0.017169053837089
rhoU,0.655336926921065,0.0868152392583807,0.505754534624052,0.657198866455164,0.797105244120697
theta1,0.180030494509716,0.0882434171970497,0.0354755512808558,0.1810510561751,0.324186207929505
theta2,-0.0897884986762777,0.0872176892300573,-0.229250736814497,-0.0926387675669062,0.0555188575971983
rhopr,0.929194335544917,0.0505095833954365,0.827471609915696,0.941678842157027,0.984227075744444
lam1,0.335473082260963,0.0965241471318448,0.176503353120115,0.33383328637291,0.495207797782226
lam2,-0.137672568850384,0.134862304467614,-0.360593468855457,-0.13687574304267,0.0802657087843241
rhohpp,0.597955748305271,0.13107937201172,0.376655319380792,0.605542078046005,0.799075102370677
chi1,0.0333841992879866,0.0225822540976327,-0.00346844301170286,0.0334154415406324,0.0700099911292613
chi2,0.0171018848557321,0.022037989029483,-0.0181127865542416,0.016796831068793,0.0535725796862052
rhok,0.960943626144483,0.0258277896419827,0.908886682049505,0.967632929996981,0.990152626877311
rhow,0.971826960229613,0.022058119644258,0.926906149557187,0.978597134510795,0.99419478139338
phisum,0.918400867938211,0.0349578252091351,0.854037492887042,0.924259671358128,0.963905721974413
phi2,-0.135758861560639,0.144131477203229,-0.382518794210648,-0.128439677369354,0.0957695084019106
nu,-0.00970828920521714,0.0190874226150425,-0.0422194079157678,-0.00885359775109457,0.0204944751627115
alpha,0.324302280718298,0.0259276300929961,0.283782668451565,0.322823161776996,0.370559050687222
gtrend_sum,0.477082659484759,0.0551662678619577,0.384071451082784,0.478662217126929,0.56477551019558
gtrend_split,-0.267735372712162,0.109139275533994,-0.441247794839781,-0.266727416229656,-0.0858027714266975
pistar,2.26209422900808,0.19343453837638,1.96300697858815,2.25587958107432,2.59069308161944
alphapi,0.0876957655159023,0.0321478818290325,0.0449913827773157,0.0833799469638751,0.146991248238289
phiy,-0.0329459504577807,0.0142108435900541,-0.0595600578049311,-0.0302917933222041,-0.0145701581661666
phiu,-0.00990385838073627,0.00228582540306188,-0.0139383294132358,-0.00964298952613271,-0.00659451754104144
phipr,-0.00123847821646864,0.00555202426306661,-0.0103447764591392,-0.00126338882686487,0.00793648577475406
phihpp,0.0180509800436777,0.0168100791057023,-0.0103814963068626,0.0185024479850362,0.043956313891253
phik,-0.000968437290896681,0.00163258249996137,-0.00370773285072113,-0.000957364497321279,0.00176626793515882
sig_c,0.378693036465457,0.0333314312938499,0.326497954062162,0.377982454222952,0.434525107638143
sig_Ustar,0.0953091931253225,0.010878244165126,0.0782606410881501,0.0949152635545028,0.114254538850677
sig_pie,0.227305236945429,0.0159444949364379,0.20149802538614,0.226832781163391,0.252474926149578
sig_z,0.383294333948247,0.0403469470423814,0.317559399252973,0.382483309969066,0.451526209820964
sig_gz,0.0429870557728901,0.0100517935107473,0.0290341969713743,0.0417908938494603,0.0616109078536227
sig_k,0.0774756099029062,0.0070775039960398,0.0669484226530893,0.0767518514786188,0.090092961045166
sig_gk,0.0351228344246722,0.00361823391741202,0.0294831113109396,0.0350211272853198,0.0414111776723262
sig_w,0.0576440601272645,0.00481859250555794,0.0502285355633279,0.0573172605116014,0.0658533931785679
