stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gtrend_sum,mean_gtrend_split,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_lm_w2021,mean_kapHyp_lm_w2122,mean_kapHyp_lm_w2021tot,mean_kapHyp_lm_w2022tot,mean_kapHyp_lm_w2023tot,mean_kapHyp_la_w2020,mean_kapHyp_la_w2021,mean_kapHyp_la_w2122,mean_kapHyp_la_w2021tot,mean_kapHyp_la_w2022tot,mean_kapHyp_la_w2023tot
1,0.00632452135588766,1999.99999999998,1000,0.19425,13.8503470833333,-7.98379615560269,2,0.588767277991462,-0.201155066084459,-0.257181113904229,-0.259017781559534,0.564177554695892,0.205176308021071,0.185418490496842,0.500736508580516,0.254110652006849,0.249362496335882,0.500932824693042,-0.00854124123999541,0.0297680777544819,0.484820211576101,0.523340276220202,0.518999964285639,-0.214301155541737,-0.0968001567922588,0.349802073915387,0.696673473593639,-0.106895723367334,2.51763596946541,0.433200227005208,-0.076094180809221,-0.0337077037045878,-0.000185232859675881,0.00221289937561121,-0.00174784451231686,0.67901439794234,0.142053502517109,0.278328296751521,0.466478340713773,0.0475577521217738,0.275444122810629,0.0480727141571187,0.176345939181083,0.0464756441768341,0.375490016008584,0.0466112167649391,0.280273360434809,0.0468718697365209,0.140476014110015,0.552414103658554,0.910062350875059,0.175359729678702,0.234869026723499,0.280140766809016,0.460334013069048,0.183461749630983,0.3,1.66599927695235,1.7245430383329,1.66472339787811,1.74967663613823,1.73480195256981,3.1707499003444,3.63348910792117,3.50557311697257,3.65500728656923,3.53389153333738,3.94191205313422,3.42320700191661,3.58756247828128,3.22330014727343,3.23098412397519,3.48803558689519,3.55174282369583,0.990248371359479,0.933441350251783,0.940784008265159,0.912371915300804,0.938073199131112,0.892657835590357,0.704005896184889,0.691254066496549,0.667289246804858,0.707260785902753,0.656206028101,0.703407789846898
2,0.0140835555468122,1999.99999999998,1000,0.311625,9.07034095833333,-8.86604525522117,2,0.583995039443099,-0.201980866704803,-0.273529350526419,-0.29107467135076,0.604097445302389,0.176298482471257,0.135164811913783,0.529483189048694,0.252184661743727,0.210933248601045,0.496445285579307,-0.0197130899311427,0.0182126508246669,0.47917619074377,0.542201766717255,0.529264646166897,-0.170093488808268,-0.0871890724678645,0.347749253289545,0.684985114483405,-0.121938004377291,2.5151023120447,0.398772777685075,-0.0750892040655554,-0.0301630023418011,6.5801292500186e-05,0.00271134716034165,0.000634269042909899,0.627315364837669,0.145901681571429,0.272323523346088,0.463946207656315,0.0482811652911321,0.264876121480839,0.0475631574619329,0.166563086360087,0.0462193328800817,0.380139840432343,0.0459818639742644,0.277320947434322,0.0467087385352017,0.137419633570136,0.532137169050903,0.901299884918747,0.162993638524035,0.225735332302244,0.266610484740354,0.444198507809921,0.177799353884268,0.3,1.58364203474201,1.77592986783945,1.53266648295436,1.72458091863262,1.69108706457442,3.11497313549324,3.75483181148244,3.60209781729732,3.69518103669461,3.57471713860824,4.31067039694031,3.32346508563352,3.75574225629155,3.24593493418268,3.20178851817478,3.38719935018316,3.80939626215784,1.00416667111779,0.992812686699272,0.946035836285288,0.909946152409055,0.937701196142585,0.869419655183475,0.703943154135257,0.702343979947663,0.680594957055432,0.716220663481113,0.664880716320977,0.697328886030799
3,0.0235592763556167,1999.99999999998,1000,0.335625,9.17788275,-9.90589175351333,2,0.592383377753293,-0.20189788901859,-0.350143929373645,-0.371697039247612,0.650457736621808,0.150258252398644,0.105441354210831,0.598245811095286,0.292697950873795,0.153858567040729,0.4711152787969,-0.0558610222581516,0.0127571450477781,0.457616229807581,0.561249134194883,0.531509816438264,-0.104571163708864,-0.0852239963461364,0.34498524239221,0.6563700582035,-0.138809405875837,2.52172835231775,0.392834128128475,-0.077033739310866,-0.0264439168047277,0.0038463839501738,0.0060561290845399,0.00268268406624158,0.583442996362342,0.149705162025986,0.263987578858118,0.465894663053214,0.0490544417967938,0.2464705056802,0.0462048462534491,0.160957853948459,0.045396248873052,0.387844389326597,0.0455627953792794,0.273879962391382,0.0463945941536413,0.128162589734499,0.513269150795594,0.939054742552075,0.153947539443737,0.209300718686495,0.253314626955919,0.416165289414374,0.171302558571714,0.3,1.49058101084338,1.90079992846427,1.33871543764471,1.65066665000016,1.56137365385197,3.10079070138348,3.91919277827635,3.80549769514375,3.57917796965023,3.65388683526241,4.72229602053881,3.22220663758084,3.98893641824113,3.40329529937138,3.31135161278434,3.06567449014921,4.19825221099309,0.998380452882587,1.09245287017322,0.947221895266082,0.947864750189347,0.946542600136929,0.841511343877742,0.748422777170676,0.698246730154765,0.783152732580623,0.767149170554463,0.726568337308019,0.651813664764572
4,0.0358601219625618,1999.99999999998,1000,0.415875,9.93320841666667,-11.8262047605979,2,0.620160044545221,-0.19752811241688,-0.482061254666327,-0.463194318408286,0.69655858958878,0.144171114111259,0.07362304382992,0.667639900324943,0.409227811128443,0.110431703929392,0.432033435386455,-0.0939017142199069,0.0226384621761324,0.427526258710819,0.547159582203436,0.527935247564585,-0.0169747877772934,-0.09394086079064,0.3421454971444,0.623584720819083,-0.162349364276992,2.51610361684053,0.397692469987272,-0.0822538785690228,-0.0240401839936712,0.00675991790121061,0.00958588744504328,0.00613954751114341,0.547052455810678,0.148364029962437,0.262892387841525,0.472466459641374,0.049149866568613,0.228279251767283,0.0435786180257462,0.158631668775716,0.0445725558187096,0.390311325554675,0.0446322041600499,0.271253844299038,0.046858088988839,0.11396111838598,0.493391661034222,1.00212016574082,0.149761661234056,0.195169153653568,0.237141051102354,0.390872346336361,0.166199956374146,0.3,1.41190219216062,2.05643027951846,1.16584892435191,1.61995125946186,1.38167398092203,2.91169302617561,3.95336022593254,4.00094259796986,3.27303328701987,3.5707371428988,5.23656333610899,3.07673715719046,4.36453093639149,3.53171371731449,3.46324937201673,2.74508398088467,4.51471497609653,0.996464400371384,1.18106233110748,0.934895213766672,0.996148288647617,0.992687388329532,0.823506289430386,0.815239150748463,0.662311629313898,0.914697179153509,0.816154243140228,0.837453810366172,0.58904373365788
5,0.0495782558715668,1999.99999999998,1000,0.40375,9.47589308333333,-12.2755432576632,2,0.647743155410442,-0.186366919947213,-0.557266097609808,-0.490125790918692,0.74881732011464,0.121085584793705,0.0236755175952295,0.708229357379148,0.478999536276059,0.0965836017550677,0.391457559332819,-0.0932518630001399,0.00578869232643163,0.401110535943184,0.497405677735916,0.544118461333299,0.0945580132737234,-0.102765309900336,0.338095055928264,0.617641260569345,-0.175719226447856,2.50314673661779,0.373566183467874,-0.0819654755617568,-0.0225748695489506,0.00701139848725578,0.0143521027007583,0.00985131784868575,0.530219848746812,0.140685130249613,0.261972943646436,0.47056538696806,0.0477615372530481,0.214622677825378,0.0412398719009396,0.15661139521517,0.0436078162997412,0.379707368664609,0.0432908687962385,0.271072923361786,0.0477230394993203,0.104030556925802,0.477964833865018,0.998902677020443,0.145508080446553,0.187723358613998,0.226939376155396,0.373210393527842,0.158693319906736,0.3,1.34005992728257,2.21082050238149,1.07479145137767,1.69191719254496,1.25789315627197,2.6602464340903,3.99954015623862,3.84135094801756,3.10382427656384,3.33632284439549,5.85268199036266,2.83293915674612,4.42998606685366,3.60609721197783,3.41107863266181,2.69165032279402,4.62904235254392,1.02599613987952,1.20556528854747,0.860876642943664,1.04978739119378,1.07751133270076,0.763014316207748,0.836370425576712,0.549661962951938,0.96141875597342,0.836250431477274,0.953086904234447,0.551722944937467
6,0.0651128614857614,1999.99999999998,1000,0.3665,9.28690158333333,-12.9626659602135,2,0.675528795482473,-0.167472906909763,-0.57736941579996,-0.449650707975383,0.778912470197862,0.0744499883714007,-0.0491190685840821,0.731685625506599,0.497883891541909,0.119407603694629,0.362659804728819,-0.0854107981091848,-0.0306479628276056,0.373799721015549,0.433849858937708,0.589719155089003,0.198093702267192,-0.106651652665081,0.330209484814986,0.627440628239044,-0.182401307487698,2.48244400126556,0.330072390028149,-0.0793495330471107,-0.0214899828054207,0.00645757902863898,0.019495440377143,0.0133446268566555,0.516976517607216,0.131252712721068,0.261327945823935,0.467537696154647,0.0459252720366605,0.205333955734744,0.0395817686494152,0.152621546100966,0.0426338295540325,0.366568424631034,0.0420197542509811,0.274075828664371,0.0481871255482553,0.0979623092678968,0.460965281491777,0.948746338831793,0.137949829627468,0.182277897721361,0.221308796621318,0.361529978483401,0.148307437599835,0.3,1.28149493933121,2.3747033945375,1.05741341286379,1.80963189044962,1.15486074804733,2.48485818652619,4.1807079962518,3.60095131339897,3.08772693266186,3.03323768678161,6.56314612776353,2.58580526217976,4.37045329457555,3.70631365246611,3.11241780181912,2.81832783040217,4.72186322852215,1.06919751066683,1.18756446123036,0.772487978510718,1.09658670326679,1.14974147572846,0.662753408838399,0.821770467971881,0.398711376246261,0.96787542615868,0.842097659393946,1.055060751725,0.531132668120954
7,0.0846421320409988,1999.99999999998,1000,0.28025,9.65226583333333,-15.2845732069359,2,0.69574214679091,-0.153044008571926,-0.555084957494654,-0.406737018773569,0.786520679599043,0.0350483524384896,-0.109531794346187,0.747270882747512,0.502482483368849,0.137602506263838,0.361673122094702,-0.0693696088874099,-0.0364181524726278,0.36857923847245,0.394656384453561,0.640775349669254,0.264801040939305,-0.103426187794686,0.322495775318115,0.629583742615272,-0.183667140907524,2.45538830861535,0.278963734831541,-0.0771762827423749,-0.0201555950539712,0.00631969593074257,0.0228434972993834,0.0150663106508199,0.500774032772854,0.125141744357044,0.261212926360774,0.463847832483152,0.0444523405516447,0.19713150167431,0.0386610150833998,0.149305335462264,0.0422407065929568,0.358314630546487,0.0417459641196094,0.27756315132059,0.0481950762417666,0.0953982074531875,0.44278280671959,0.889094816810896,0.13078747406457,0.178033016924323,0.218870806156542,0.352345312795521,0.139861219781869,0.3,1.22062614185236,2.4943682547003,1.08260239482435,1.86491929676253,1.07360020205804,2.45328142270791,4.4375100698716,3.41443236826014,3.26203869092575,2.67854752012467,7.15539251328777,2.35859845758397,4.19622416586854,3.88095240115604,2.79014201023586,3.00928476586552,4.70384234570122,1.12197922378318,1.16553634748035,0.68303962895866,1.15375849273365,1.19517312052526,0.582395217062089,0.811764305286216,0.290884365894041,1.00292872435789,0.832732320422785,1.11298631851956,0.532578236304788
8,0.106792934378425,1999.99999999998,1000,0.266625,9.52815291666667,-16.4462661696553,2,0.700171196347027,-0.146181468215596,-0.500056833483468,-0.377326761442031,0.782176975414962,0.0187087078253588,-0.126847801307992,0.748921913831726,0.505038890027242,0.133315707574662,0.388814935659125,-0.0498284074604706,-0.029579121916258,0.390107892124798,0.405369062649584,0.677830889980433,0.272806780830307,-0.100137104170268,0.318361410710642,0.628103532425444,-0.174732779684652,2.43505313068601,0.23982108267106,-0.0752157879536255,-0.019252681291995,0.00710037428065832,0.0237771361355686,0.0134993031485944,0.485353870259525,0.122548738155335,0.263289250110924,0.459152928976536,0.0440595426442858,0.190402333965456,0.0384343620546084,0.145615911742332,0.0427718530285376,0.359622578254344,0.0422747886330842,0.282408253781452,0.0475161191639073,0.096834715476938,0.430916993981916,0.837280956896665,0.124331985910912,0.175392019777536,0.217923879900097,0.348429555394241,0.133891851463664,0.3,1.22201977865746,2.5325475072771,1.10856004177866,1.88271430929845,1.03225319801127,2.49859783802196,4.68637472024424,3.36215905106149,3.56395207289109,2.4732333681999,7.49374148055302,2.19570966055133,3.9376841873798,4.0615656826433,2.59128565297377,3.2164336566965,4.59862911114201,1.16094757303941,1.16250502034638,0.615652322305598,1.1936979793525,1.19479289704878,0.533593908977566,0.799875495195792,0.266331030814698,1.05640956408503,0.822056834551218,1.10217557563523,0.549805269333081
9,0.12879332913416,1999.99999999998,1000,0.2565,9.86197383333333,-15.5352934672954,2,0.689567897989253,-0.149174247548079,-0.444319894312171,-0.356519148000552,0.784446193351217,0.0240255748579781,-0.111806969829392,0.763275655526628,0.507103193876842,0.101525245383048,0.421942689631611,-0.0243082468436002,-0.0170784857136915,0.425116378106017,0.465857102085128,0.70975116537227,0.262780352031209,-0.0962247637771115,0.316706790412063,0.622271795478967,-0.166258286761501,2.43213960753789,0.211864228795289,-0.0733574746842239,-0.0180214021395631,0.00734864916292829,0.023799266248026,0.01161344342038,0.469939345130911,0.121808856711071,0.265898755563854,0.454993244890158,0.0442785872980988,0.184972889594589,0.0379649772212019,0.141085698630057,0.0438246680787675,0.358106993378846,0.0428772505443489,0.287535023786144,0.0467778049805018,0.1021117433411,0.42163793580641,0.795233608983038,0.117934473934662,0.172953239277638,0.217244444518501,0.345600738391856,0.12881937088767,0.3,1.24939553124775,2.47050391992475,1.14707405671881,1.90729650611092,1.00294211094187,2.52783237054724,4.96077506638633,3.44787430668892,3.90128024487025,2.34944860971436,7.73161852391906,2.15206132787311,3.70781562787055,4.10174979796699,2.49254323701621,3.41570509233124,4.52628797429609,1.18640039384346,1.1849104524132,0.54387524407959,1.18144135510914,1.17244023733056,0.497052257951338,0.766005427136573,0.278533855322953,1.09928704716815,0.818250623507376,1.03911057396787,0.591754721579345
10,0.150891234084058,1999.99999999998,1000,0.25975,10.0098369583333,-14.7403945763965,2,0.66391769568936,-0.155566011012438,-0.385000701817869,-0.337967079522516,0.779272293656926,0.0562423655090907,-0.112255633080089,0.783878122702151,0.470325095317445,0.0686018388977489,0.492183483111952,-0.0125148978804482,-0.00602467816639143,0.436419658138439,0.574704767380126,0.741215903751344,0.235314758568132,-0.0897725838667673,0.318161908015091,0.617561987485698,-0.169381532152549,2.42973830264505,0.197909460599379,-0.0711258773590325,-0.0168478944299797,0.00841040702595431,0.0227014960568633,0.010935794704877,0.455144061789306,0.120113667908566,0.267806137386431,0.460089723072697,0.0446910341165653,0.17904198630922,0.0375965546015743,0.136572397993187,0.0454411591652591,0.35361102017435,0.0439560686811179,0.291827252447641,0.0457120282332302,0.110263858443367,0.415601512077082,0.763791020329487,0.111647859459014,0.170695718470566,0.215983923229107,0.347408283889456,0.12381815439137,0.3,1.26600171067018,2.32690811268372,1.20577567841813,1.85621910124236,0.999828682711978,2.4619758776113,5.3949933666333,3.73481365656613,4.02298410476773,2.22595924877989,7.58853689933707,2.16980158134551,3.55884247124287,3.97463083414939,2.39453666284424,3.37125373924785,4.37867179951377,1.21068590312739,1.21968425117854,0.473187493300981,1.13742197740847,1.15801886781409,0.473243421248146,0.779042421083909,0.292084733979963,1.10522044816157,0.81390186231693,0.957483843923678,0.668956135581541
