param,mean,sd,q05,q50,q95
gamma1,0.4582576314607,0.0666040732739492,0.346375772841546,0.455587678196734,0.569191299145178
gamma2,-0.235071390684982,0.0661927229641729,-0.352443484736925,-0.229119561888577,-0.137640934023772
xi1,-0.277329921135064,0.0726520017976519,-0.392003445276639,-0.279356034940557,-0.159887622497809
xi2,-0.125062573862151,0.129949107152186,-0.333230870608613,-0.124697723169073,0.0880134304798018
rhoU,0.60951383939324,0.150262651552952,0.32290083789198,0.630373563959492,0.823792886749993
theta1,0.128318757403605,0.110559946119685,-0.0508570178378373,0.130638451904175,0.309235813456828
theta2,-0.00212297220723127,0.109077227209565,-0.18491579967742,-0.00224027703829247,0.181921476298349
rhopr,0.810107496726783,0.0986613775169037,0.628478664977785,0.82617261948553,0.941498408332985
lam1,0.379703753442087,0.158066588182435,0.125581638160392,0.378427728511968,0.633886369065906
lam2,-0.172362799726634,0.189303998725402,-0.461309608506858,-0.178983416686551,0.141139580465846
rhohpp,0.502587451167279,0.124282484454491,0.295182678228003,0.501258885555945,0.713518092279387
chi1,0.0387538239965142,0.0350831688426185,-0.019746210931998,0.03872271837348,0.0939491392503549
chi2,0.0124307927832042,0.0349333865869413,-0.0417020965561109,0.0123085299218093,0.0724101455054861
rhok,0.961278349014714,0.0317828808062006,0.898549849598735,0.970263928902552,0.993264867892909
rhow,0.974288715513984,0.0247704121220136,0.92490008432349,0.98197912228189,0.996255635292294
rho_rg,0.857914162014362,0.0923692588951433,0.679731169075473,0.87888826720255,0.96273253543994
phisum,0.925309829533501,0.0356567933646961,0.859921666957497,0.932992557771393,0.969669997125619
phi2,-0.318849019323373,0.208282857766164,-0.626715740122849,-0.344418232951742,0.0526782742269173
nu,-0.0485629842414933,0.0351010166275865,-0.107162847348472,-0.0461487670875767,0.00490497620918018
alpha,0.351019789682015,0.0337828832925614,0.294544430450341,0.351246274316801,0.405518631762431
gzbar,0.110530230676699,0.0888175319782082,-0.0308951880814652,0.107981750987982,0.262790871493507
gwbar,0.311804053878639,0.0700616279577008,0.198212130483541,0.311442179507933,0.433157423788159
pistar,2.63346828404263,0.114863096299782,2.43693681171168,2.63562195820582,2.81579792772794
alphapi,0.157509712548259,0.0656749757066752,0.0636431969910557,0.150944284789098,0.278004372603077
phiy,-0.0541166563431945,0.0207756793331241,-0.0917798753545659,-0.0507615378094038,-0.0252488359535489
