stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_rho_rg,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_lm_w2021,mean_kapHyp_lm_w2122,mean_kapHyp_lm_w2021tot,mean_kapHyp_lm_w2022tot,mean_kapHyp_lm_w2023tot,mean_kapHyp_la_w2020,mean_kapHyp_la_w2021,mean_kapHyp_la_w2122,mean_kapHyp_la_w2021tot,mean_kapHyp_la_w2022tot,mean_kapHyp_la_w2023tot
1,0.00596496131442419,1999.99999999998,1000,0.197125,15.085411125,-7.57028249641387,2,0.598481482957347,-0.199674696088794,-0.26049026337159,-0.255441604130038,0.528030024696285,0.235330133617515,0.191898141225623,0.501149200922304,0.277091473343874,0.243443963911292,0.516708033787857,-0.0163763194575526,0.00342558603749055,0.498764022329024,0.516012133110719,0.846222412267764,0.529628653803601,-0.201369875043344,-0.0882102338809811,0.349711623185528,0.296045429138379,0.392951213061481,2.51858936456949,0.430384038778888,-0.0733395768547708,-0.0345284828821301,-0.000229208794307378,0.00509847194270853,0.000779991894085204,0.681231939730327,0.144125724127306,0.275550246038842,0.464454122789885,0.0463679364573848,0.272820540525709,0.0477579517657007,0.176784328611869,0.0476444337722796,0.369320951353312,0.0473885303048796,0.273576354751439,0.046919014653229,0.143401785344924,0.548690263154465,0.901309877237711,0.177267503441825,0.236882482143365,0.278726540085053,0.453264982705372,0.181531387855066,0.3,1.66906206561575,1.64904946179072,1.64511602939171,1.7083720373058,1.77753941011616,3.19089701149523,3.66135725047288,3.5948511740486,3.76000029384681,3.66177056585472,3.77460562821584,3.43897782302407,3.74124196034398,3.31215213721013,3.34216516404084,3.61865105625676,3.46175521369269,0.988178314955242,0.946150697931844,0.95436883557947,0.883020277678699,0.966908849185195,0.912352801294598,0.689961043501851,0.662188351712205,0.689880546639189,0.69877850058915,0.679108047466926,0.68411896339859
2,0.013539087406807,1999.99999999998,1000,0.30625,9.53504220833333,-8.64473205723808,2,0.590376893851391,-0.199502099799387,-0.272855268259986,-0.229436852966798,0.558736225349253,0.173984038986321,0.156505482666224,0.495513379754898,0.298794456682725,0.246430864406134,0.52397891225161,-0.0397887810143733,0.0376446151963526,0.507726016221351,0.537383899161259,0.841132865920928,0.537209539863386,-0.171776613214685,-0.0958564892355858,0.348499293685547,0.285368183826073,0.387761841612017,2.54192115323459,0.389802524952397,-0.0699553885567173,-0.0305206685202585,1.27505952338522e-05,0.00354029558687688,0.0014438909490268,0.61581141009702,0.144354359366993,0.269119035903067,0.462009399917391,0.0461310759922777,0.258889717166432,0.0475458129316659,0.165630574805141,0.0468315805744929,0.362446554850289,0.0483750381760849,0.265295799687884,0.0472461205607594,0.147894679634211,0.520791045715275,0.861993726999284,0.162926531224953,0.232903784827554,0.277126336737524,0.441664026162825,0.17187161211724,0.3,1.61076929734929,1.72549162538151,1.56695610197131,1.68275265505614,1.81283869940411,3.27279670899373,3.86618284914543,3.73819067228427,4.01805746893434,3.56045939557754,4.29994546879449,3.48237954857411,3.94504961778837,3.20066178760048,3.26744089183623,3.92884806814653,3.56827655795932,1.05238284156358,0.966326937646121,0.942515981895245,0.889869642032379,1.00950491457339,0.916558886153555,0.670827999560666,0.651310775109451,0.712310960083193,0.727524439071742,0.661867535532439,0.70137583032176
3,0.0224061166415415,1999.99999999998,1000,0.335375,9.65702745833333,-9.24919468076725,2,0.566326746940183,-0.191146855691556,-0.264995396779788,-0.175750487492349,0.609805999202645,0.089437308961421,0.210236639863416,0.49530827038552,0.421733618319325,0.298895399384322,0.479366681414146,-0.048611129292259,0.0551452473369186,0.551976632309859,0.578863963092233,0.82812496355867,0.526676795278444,-0.109090439216611,-0.113833132672893,0.344817488114579,0.266638910769795,0.387074445428742,2.58256841962634,0.35239738334375,-0.0703357195328121,-0.0277832286731473,0.000601623482267247,0.00229823200735796,-0.00159107800897451,0.571635265358478,0.142457169432411,0.249014346440299,0.448545153010947,0.0472037343504698,0.24033324055563,0.0468485577270131,0.156845481231499,0.0444490640421471,0.372692727613367,0.0482920179608216,0.26254631374225,0.0469385101816771,0.152873806084124,0.502348595658027,0.820257968454899,0.148711994721625,0.229336922953291,0.274043116927077,0.44987508184206,0.159902662567063,0.3,1.46839120676411,1.9611790322869,1.5177276687096,1.64663899585111,1.84139072676523,3.38334460244012,3.96745028967575,4.01586209377814,4.16790927995032,3.27437367281938,4.88542661650018,3.2117969384106,4.04467848807072,3.14948056361203,3.07291526140738,4.36198438494852,3.53487747144138,1.12269580000744,0.99187114481847,0.891079065097379,0.952723098572257,1.04407366519958,0.934938222368736,0.625232147157645,0.642838540403489,0.795605641657766,0.797589267208849,0.651891803351792,0.734753346449697
4,0.0329719765278711,1999.99999999998,1000,0.41875,10.4039963333333,-10.0893338745,2,0.540436682445897,-0.176597073269412,-0.24275936951921,-0.11774494678886,0.67548117930772,0.0263982897298968,0.337071996212777,0.487585408032296,0.629725170755796,0.392313281963392,0.368424779441319,-0.0603090090710013,0.0709743179198921,0.631522081223463,0.634298436557361,0.806547509435273,0.473977659270812,-0.0627106090023123,-0.139735731878972,0.341045082360861,0.253793555434033,0.392970524166846,2.63242032798326,0.301559268459361,-0.0752888863268161,-0.0268285055611921,-0.00171889927362835,0.00407355239940811,-0.00613313253685906,0.534593971578172,0.140904612818773,0.221633762644775,0.421034383596215,0.0484588271298172,0.218356351736186,0.0468396257645263,0.155814749450187,0.0410664093816351,0.401029753713295,0.0478426320597623,0.267129418271557,0.0453050957830416,0.154801706500264,0.484622622831733,0.772036189347362,0.138250141236884,0.229498029982298,0.273006770137607,0.469561677430805,0.147808375603505,0.3,1.28689221404981,2.24804927816805,1.53626723094011,1.59929384391674,1.86788628596504,3.42404523692347,3.9729502528725,4.33084436384374,4.34212998170177,2.86482124392804,5.55907399887596,2.56211289009476,3.91811705615164,2.93445190790152,2.70539782728963,4.89776500016612,3.54504231258105,1.18323841812387,1.01004091646373,0.779401538303345,1.06562470191669,1.03973671866454,0.963940130631864,0.516267575282968,0.629204440378988,0.927715465493426,0.905598973089712,0.637289206747096,0.773139234425365
5,0.0469573564132084,1999.99999999998,1000,0.412125,10.1798189166667,-12.199321105778,2,0.518866913791342,-0.167297243996904,-0.241619716939011,-0.07245987687265,0.731414430909483,0.00446777140822289,0.410808970016199,0.489065729744748,0.749951355111145,0.471578420784024,0.277140938882594,-0.0445054011015853,0.0656043091845495,0.702553844629032,0.680747572954642,0.789561786643566,0.426210956027398,-0.0340687403018093,-0.160292373610532,0.33942244309395,0.256115606571839,0.401038650762353,2.65729407514869,0.255498555133718,-0.0789837524531167,-0.0253959045671999,-0.0018828035331589,0.00984947463585271,-0.00830212894805326,0.508359680881304,0.142635482573883,0.202855794622857,0.398878063664936,0.0495758726240491,0.203420712938904,0.0468849277595526,0.156788580431177,0.038889832813097,0.419128189594949,0.0472328218012285,0.270926044406792,0.0432304178632203,0.152425731947486,0.473419749259037,0.732347256320045,0.131280185597454,0.229797059094866,0.270948528937691,0.477840111954003,0.139074273865773,0.3,1.16439514071899,2.30286019788083,1.53798808918732,1.56674033459556,1.86277735634176,3.43973791454547,4.06036238819309,4.29789293616279,4.56371510270432,2.54093498284301,6.11939732597178,1.97165810337988,3.72790412740797,2.506632048985,2.42368437585262,5.15562106966653,3.38380588443517,1.22204800720774,1.0031087890858,0.682073808292501,1.14695698856516,1.03060017004078,0.975662594325308,0.423141126049431,0.643443885003718,1.00841525985852,0.960205329313353,0.632674067478815,0.806938659283053
6,0.0646385204615726,1999.99999999998,1000,0.355625,10.22519425,-14.2691391570915,2,0.50342575841211,-0.166966928110287,-0.260867837640833,-0.0489902866747581,0.761215266937507,0.0269875550739542,0.365567360382442,0.495460824153194,0.707058010425857,0.492191843138079,0.256994954510545,-0.0137831354616373,0.0369164587338,0.746887296124663,0.708100211740224,0.786636881315,0.417979217640931,-0.0394862576375959,-0.166847408353116,0.340605206453155,0.268800942299534,0.407501068830593,2.63956149691535,0.235285439210232,-0.0791060674361657,-0.0244721622544897,-0.000291940478701221,0.0131509291501882,-0.00597462235485796,0.496145621611936,0.147918700391455,0.197101258580138,0.390161688579018,0.0514419579434838,0.197911102069696,0.0470642756579624,0.155316480889493,0.0392145206012326,0.404347305648669,0.0464182115111095,0.262208908951408,0.0424646633158079,0.144540580842099,0.466255812872228,0.723778166241514,0.12498728482056,0.230937260555513,0.263051906730549,0.459882801915292,0.134449504371883,0.3,1.15230347739557,2.15070093661139,1.50430352254217,1.55869823021262,1.8390679737914,3.59076568883946,4.08878747574074,3.70128104587619,4.53773456095687,2.43687800397972,6.40392255847965,1.76976126860285,3.66172013879301,2.23732332299469,2.42996583601564,5.19260357303152,3.22288789920639,1.23137575937294,0.979213442848355,0.652196210432403,1.16580262417829,1.04219162341552,0.968376739487433,0.408616856925243,0.660672381724875,0.983699287878215,0.976112631294052,0.635144569866091,0.837899009951199
7,0.0855316471985597,1999.99999999998,1000,0.247625,10.2239065833333,-15.8559828155141,2,0.493867538717091,-0.169020612426055,-0.270698865619853,-0.0248780789868522,0.783359719668244,0.0471673899274189,0.301576651803468,0.497326341264389,0.614069368151773,0.443599070830707,0.262124730610089,0.00538245945902987,0.0245148795249001,0.768876913578383,0.716959681127907,0.796136172637547,0.42495015125168,-0.0608657260391414,-0.164421965938174,0.341797908976564,0.273363956297419,0.40432270009342,2.60933783200033,0.225425559657891,-0.0765093842805605,-0.0236647152560525,0.00238675562825743,0.0134770094514195,-0.0031194829335183,0.49356622169134,0.15210543391777,0.197853249386756,0.384551823765539,0.0524055356437258,0.194553060677808,0.0475753130861683,0.151551302454511,0.0403017385042374,0.38817211811624,0.0461360012479132,0.253740058338652,0.0425771086849748,0.139653321639968,0.458454215235335,0.719027583401279,0.118183731863549,0.22935289330854,0.255820516326768,0.435828547061689,0.131084155902691,0.3,1.15117090400057,2.05844631450404,1.50655221118894,1.59108884309418,1.85008604579718,3.74638558296929,4.14964662975446,3.26397380283052,4.45230982487263,2.45235289782431,6.67411645596349,1.8257986068574,3.54808202397109,2.11561579355946,2.53656280666446,5.1207484867357,3.05353394593457,1.22857186022875,0.954812698722346,0.658964392044854,1.15245310416497,1.04502169769127,0.954392267594171,0.424344551866032,0.663689312317848,0.934071382462791,1.01911016325717,0.644791652685365,0.876198054873557
8,0.110646511763676,1999.99999999998,1000,0.217125,10.4196500416667,-18.0663819074977,2,0.484994930094409,-0.168982781376958,-0.268885443598034,-0.00658256159087764,0.817534000162155,0.050870367814964,0.23242806984592,0.494629708438228,0.527509727902896,0.392019657684241,0.281500669147228,0.017342596396184,0.0153808713562193,0.777847954594326,0.720173080862532,0.807193917587813,0.447985295957451,-0.0718629186687248,-0.156493983977126,0.341882574110267,0.271705411513565,0.397853777217727,2.57762476136492,0.215856772799859,-0.0746450099645271,-0.0229299974801674,0.00356075499589319,0.0156686989798995,-0.000573874766129622,0.49511430793953,0.155178546788393,0.197830655981922,0.37577153667701,0.0524838897548875,0.190524136953952,0.0476410910727896,0.147873739499573,0.0412754696949126,0.375600878453329,0.0459159904320273,0.246138427641644,0.0433151385731111,0.136197900916726,0.454414693006944,0.707919013380167,0.11293806114736,0.225606739828713,0.248824484077919,0.422922229734202,0.128358322313869,0.3,1.16519020436936,2.00060465271664,1.51651649351507,1.63828831971672,1.90457076895188,3.87779036692504,4.10929711157992,3.01576057890163,4.29479188305368,2.39600407623336,7.03126555589068,1.86105829668612,3.27795800911802,2.04981380067322,2.67535938049603,5.31144450128652,2.88437843310286,1.2155699254656,0.932807056877168,0.661572974030036,1.14821683729362,1.03206971575304,0.948625361218305,0.402603095735667,0.675035872541734,0.930345309467747,1.07331166814767,0.638620212602633,0.898259883047341
9,0.139370631800996,1999.99999999998,1000,0.209875,10.7346939583333,-19.7040471408815,2,0.482100305305415,-0.167627151988469,-0.253204877391018,0.00167695150971036,0.849334347444822,0.0488534738741748,0.168701676091665,0.502616933643411,0.446241685183602,0.325875332969529,0.31541472825675,0.016123375614139,0.0176425841164663,0.773241888887396,0.721113155717595,0.811235584985349,0.479262593521427,-0.0809476076310043,-0.14804423715724,0.340315256976937,0.268674515830324,0.39134931264065,2.55430988400981,0.20688930026781,-0.0741713980769954,-0.0222046538931143,0.00305779663539527,0.0158423265775031,0.00159936756484876,0.499357111186306,0.156104816351401,0.196467976589044,0.368229356390136,0.052485456851709,0.186318591193148,0.0476281739622375,0.143961843783436,0.0426589042350389,0.366969020733984,0.0457942830449322,0.24075107163074,0.0441852552361392,0.136001930171618,0.449688310409327,0.695316396932063,0.109604499648548,0.223787037039348,0.244646412291022,0.419728554074377,0.125377093950921,0.3,1.17404898904113,1.93604624486598,1.55695116897572,1.66584136329228,1.9576897235558,3.88950112196472,4.06431627567587,2.87506865096392,4.23660238343136,2.38074388078657,7.33651165748248,1.83448340652751,3.03627398403528,1.96281945766608,2.73835665559257,5.48027182597877,2.76087703990931,1.19277644961388,0.916668219104463,0.661611231579826,1.15383936136411,1.02231319963304,0.947731358393986,0.373891927397246,0.701680362478426,0.958194075777347,1.11977502437462,0.616824500791023,0.905310711157044
10,0.169521790706163,1999.99999999998,1000,0.2,10.2187065833333,-19.8348302147256,2,0.493233694365221,-0.164951180785608,-0.238523595683881,0.0147647399952408,0.874505352088784,0.0505494332218623,0.131042410142714,0.540268826385508,0.359313448346818,0.30236938161838,0.347405275298316,0.0205694924019881,0.0118598164971771,0.772870120292951,0.73996321013029,0.813368986605243,0.513380700854657,-0.0736744975460061,-0.146017571323858,0.33894064664465,0.255473751227044,0.384126440050497,2.53740858082532,0.198891917631476,-0.0736598137690289,-0.0213523462696269,0.00255592478545679,0.0168461274413595,0.00312235976567455,0.499915189925132,0.15439983511497,0.19536187401645,0.366133247572312,0.0524325747152469,0.180808468757471,0.0480055242881456,0.139455104579242,0.0424692206389888,0.36051470836238,0.0457309450995857,0.235944771739852,0.0451391186817248,0.138502372443993,0.442199448074749,0.681439847726147,0.106735561305193,0.219577825720757,0.240898275840126,0.417477673134077,0.122862181475456,0.3,1.17553511456202,1.9425525887567,1.6023493596615,1.66939884810485,1.99958023558708,3.94963997675882,4.02790785135494,2.82057382154161,4.12324088116603,2.33486579604651,7.51720034927716,1.74629919721867,2.86253252349221,1.93475957516501,2.74802231702857,5.51827479347246,2.72881300658588,1.15726408060878,0.904126748950867,0.644170357389123,1.16290191941431,1.01092849298395,0.951492693908808,0.312735285938628,0.735478775351342,1.01243832028662,1.14324134492287,0.578222423435072,0.915683183671469
