param,mean,sd,q05,q50,q95
gamma1,0.476142744385208,0.0682358338538462,0.361499561293279,0.476048850316532,0.587203221775891
gamma2,-0.1978676155099,0.0554117270917647,-0.294749010867898,-0.193741929640334,-0.113253379699104
xi1,-0.283086054766173,0.0686800103135502,-0.400581928655415,-0.282368668140822,-0.165737719865281
xi2,-0.0133335896512207,0.110735716067515,-0.202413609318412,-0.0147749682085939,0.163630552901344
rhoU,0.672299946811927,0.089375424904417,0.521988435745267,0.674232198746483,0.816370499056054
theta1,-0.0416464651584735,0.0764677925366546,-0.165899013092119,-0.0416691389404713,0.0846290707778643
theta2,0.129163885260753,0.0828885623997074,0.000526641535436641,0.128285955470332,0.267019633189176
rhopr,0.840686619158013,0.0838957689194347,0.689042739108555,0.848178455047406,0.964077202374255
lam1,0.272721563171681,0.1280234769803,0.0631826290376034,0.273743646612444,0.482514081168786
lam2,-0.100306458502553,0.157394209346675,-0.349297064135805,-0.102166147533539,0.166137925305854
rhohpp,0.507951930333928,0.13307894559142,0.273320843816435,0.51174479688159,0.72024356283562
chi1,0.0357561370871798,0.022630019538588,-0.00267845180826899,0.0365209705938704,0.0714725488836583
chi2,0.0158169703358096,0.0221726418550616,-0.019860588638925,0.0152302891504213,0.0532642277810172
rhok,0.980669338474163,0.0194069829873321,0.946398025866141,0.985924570248934,0.997690876203176
rhow,0.947150161607256,0.0285764964697843,0.892830497733937,0.952038875409487,0.985815025265252
phisum,0.957327307072965,0.0232232187463095,0.914617730569744,0.961241094869142,0.988485145686304
phi2,-0.425626763643752,0.125303590690265,-0.618243288145817,-0.431556778755566,-0.20940498430574
nu,-0.0132379793480536,0.0223201526492177,-0.0519445596771558,-0.0116105082893115,0.0198994543238073
alpha,0.347813247716586,0.0340851357648675,0.291953378964582,0.347262737166133,0.405101089243321
gzbar,0.12022725293631,0.0698982212514653,0.00411936773293029,0.121808466297174,0.231332993078079
gwbar,0.403996490601193,0.062697035205992,0.301082028372462,0.40166240118737,0.50921844701403
pistar,2.53371958711643,0.152284255909683,2.28531755449032,2.53237973193617,2.78135414817225
alphapi,0.117389741333667,0.0476448680686888,0.0463245382283316,0.113371374207157,0.201518253418764
phiy,-0.0230763679939838,0.0161988935156711,-0.0536422853404448,-0.0196571657556556,-0.00432513349433583
phiu,-0.0124202889784555,0.00342845368399518,-0.018769448840057,-0.011928535210675,-0.00770622350437169
phipr,-0.00246581943362322,0.00716903976882552,-0.0146688613777924,-0.00236532556418945,0.00863133623559955
phihpp,0.00179340818481761,0.0205569603392628,-0.0335699338258531,0.00338010181482776,0.0347068605818539
phik,0.000242277225643548,0.00145577917604388,-0.00212449010809023,0.000290739927527886,0.00253855071637817
sig_c,0.347774154555756,0.0360855717159126,0.290355239351712,0.346780832904787,0.408328460036049
sig_Ustar,0.104767889954903,0.0158388897659355,0.0797722448600746,0.103794086879516,0.132434234662586
sig_pie,0.211084860746811,0.0201731083778596,0.17989062965002,0.209538532802454,0.246564621275099
sig_z,0.354538766856836,0.0440923103073869,0.284541339215458,0.353887010824427,0.430737783153951
sig_gz,0.0431093230851886,0.00986328104978435,0.0284426404902404,0.042267430914143,0.0611223125365633
sig_k,0.0736052654432788,0.00541966498523344,0.0654764897837433,0.0731259935497727,0.0829604518042528
sig_gk,0.0354757914673084,0.00445374758967132,0.0284199772088438,0.0353460170558442,0.0427140501867639
sig_w,0.0568689085287366,0.00512037306608244,0.0499034642767766,0.0562744450477866,0.0659487318066971
sig_gw,0.0300192370144157,0.00393449671153262,0.023932988960512,0.029775823078193,0.0368887451488504
sig_hpp,0.225271051280633,0.0317353904711462,0.173164419086325,0.224162128008854,0.279232016604393
sig_ghpp,0.0318214826055279,0.0061681294333153,0.022883605378737,0.031288075128084,0.042856650280544
sig_pr,0.176121140960355,0.0231941395845517,0.139791514347835,0.17531150148953,0.216621995635261
sig_gpr,0.0351463653567787,0.00811507230511639,0.024816914037736,0.0338043414099341,0.0497546957898165
sig_xi,0.138367928114522,0.0437188152298795,0.0837821811387777,0.131876342352603,0.225843679426567
sme_y,0.265080706066251,0.030178039067958,0.21800718842864,0.263446442457778,0.317128015391625
sme_pi,0.645400709102514,0.0436225263998159,0.578006750500168,0.643208552399937,0.719128595039069
