stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,n_cloud,wf_m,wf_p,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_lm_w2021,mean_kapHyp_lm_w2122,mean_kapHyp_lm_w2021tot,mean_kapHyp_la_w2020,mean_kapHyp_la_w2021,mean_kapHyp_la_w2122,mean_kapHyp_la_w2021tot
1,0.00647263825516668,1999.99999999998,1000,0.19775,9.66923095833333,-8.15483201788702,2,4500,500,9,0.587582307058561,-0.194656451385892,-0.288293007510141,-0.292250205602921,0.556307454352509,0.225318098800617,0.210706522583158,0.472694815929536,0.234318506785982,0.289793692878613,0.500809232490811,0.00450515298905383,0.0198693875191094,0.512478032910818,0.515427062759254,0.525839263091934,-0.204119229860668,-0.0982687961649985,0.349671383192144,0.296591496256113,0.392922438701362,2.53534858009911,0.452488714242624,-0.0739411296698936,-0.0355379000289203,-0.00218780905171016,0.00310323473515728,-0.00545800430928355,0.690921158745757,0.143960640913517,0.287857995053217,0.463672593100777,0.0469021860751393,0.273805627536446,0.0476721408703771,0.178032032351699,0.0456603281843965,0.375306351491723,0.0478855258974961,0.271569110089789,0.0460893508904903,0.144161181871246,0.545068165186828,0.900427331385795,0.176365406289247,0.228020141974077,0.277511273252098,0.462013259070321,0.18399960096445,0.299999999999999,1.69027637303555,1.74395253806803,1.61425174306484,1.72763042559916,1.72546629336317,3.30339551759169,3.62250817500217,3.32067038604059,3.62218866047419,3.48595495779298,3.65570264129679,3.43840617033565,3.08953731349031,3.14954984810864,2.97920381030198,3.57080107317957,3.4467229009997,0.973332368877742,0.939669210845755,0.914941873542835,0.869948359055843,0.668137569282411,0.677299409160389,0.666266937945329,0.743577874211882
2,0.015077759497347,4500.00000000003,2250,0.297125,10.1393940416667,-9.84297112045613,2,4500,500,9,0.584612641962616,-0.188468908049476,-0.301363527968003,-0.249975704914215,0.621070671604969,0.236601570626979,0.194748190190388,0.486927512505175,0.21328469856573,0.305478518558511,0.49783447179066,-0.0184690154800428,0.0218916294641471,0.523105401894939,0.55339196423686,0.526342178824706,-0.186993857780352,-0.0942750088473368,0.351950508617079,0.30802540914299,0.384691897942038,2.52720638452813,0.411665770324977,-0.0665752681277561,-0.0304802868908795,-0.00516305205720976,0.000167133233609795,-0.00309892792769697,0.626775257625915,0.14676497440335,0.288460447801059,0.455023628949904,0.0483642044504455,0.259807262621685,0.0479308912995237,0.173933386689454,0.0455730334060028,0.368715050688034,0.0479689601786104,0.265363833369998,0.0443205800052656,0.141988184087496,0.521859068401862,0.862112930127639,0.168532042846588,0.221624794790359,0.268849757380808,0.450220560214676,0.179492008816461,0.299999999999999,1.73997408183484,1.70994945862919,1.5895255257461,1.67773413958957,1.77312334214515,3.19159412052416,3.48888416536644,3.20620552624949,3.64781871379922,3.63445342578672,4.01301359253948,3.47503225759917,3.12373217058306,3.04711823599733,2.90103325294823,3.49390397681161,3.56016717131734,1.00561097701114,0.97844782249578,0.917290474223742,0.852007793947506,0.668713626234529,0.671362409025019,0.650829557938973,0.75508473244154
3,0.0255194073477999,4500.00000000003,2250,0.314,10.1328724583333,-11.0197301938263,2,4500,500,9,0.591435853222641,-0.186967144599137,-0.272807240384455,-0.232473432144204,0.676356894527712,0.18350011754683,0.180905849423364,0.521819858550908,0.207633593734898,0.358171075130678,0.501358072668725,-0.0589794730699664,0.055605518599331,0.553645895156459,0.611463170127821,0.548439365620798,-0.181897786328338,-0.1016464284573,0.353059424010282,0.303616679513132,0.376153177110029,2.52515452338688,0.37813375450809,-0.061043479695895,-0.0275996315722784,-0.00493048245940657,-0.00669704959909334,-0.00202746298554893,0.57448840547237,0.149612870928895,0.289077927779826,0.458021515778152,0.0493976209134592,0.239715568377469,0.0477830461417016,0.16647952429462,0.0443569661358018,0.373626951779111,0.0475412294450226,0.256239805574578,0.0440061379272792,0.138705047301727,0.516306100494564,0.854882774538042,0.158838917498409,0.213565180686606,0.251339592964313,0.426095803218648,0.178803749335127,0.299999999999999,1.69401120906896,1.68194542501296,1.50841461649935,1.64526655417114,1.77456742093107,3.0498440538468,3.5851514673237,3.11354761732663,3.62962279722889,3.92212263193557,4.17087815785733,3.34457174989377,3.11323777568703,3.03187631273976,2.88908064143398,3.3226663818362,3.4250542983392,1.01408003984075,0.958002009883096,0.909669397106022,0.820481933816848,0.644588578212592,0.721054913341718,0.664835088658184,0.692539277952766
4,0.0387989404326301,4500.00000000003,2250,0.3375,10.1699164583333,-12.9428850260722,2,4500,500,9,0.61079027000785,-0.181284683941043,-0.205790013873046,-0.22552683964484,0.723399971895797,0.110973424396882,0.198229928450543,0.547618931531894,0.205450815011436,0.398810413938848,0.513205689313748,-0.0714928471975051,0.0620973955662505,0.576538375605951,0.664890501052724,0.564263345317725,-0.178603789691131,-0.114919682711545,0.353666774223658,0.30697927361752,0.375063509016394,2.5228281941744,0.352598890929786,-0.0574624489008986,-0.02505920417761,-0.00441050892178351,-0.0136357692663193,-0.00125013074658654,0.552616140735987,0.150132377938248,0.288197065716335,0.457532172762673,0.0492953647784985,0.226898862665631,0.049462681503984,0.159449831228818,0.0431394126175351,0.371365621381704,0.0476590137597436,0.249635041820128,0.0448864431977051,0.139368178750246,0.519867405907743,0.834272331912839,0.154705408221916,0.203267374303257,0.2411530730045,0.394820346495505,0.177759890747275,0.299999999999999,1.63833380444363,1.64953400299115,1.38413001916128,1.64857770069432,1.76351059888157,3.12277457339177,3.49690315627837,3.04542361866766,3.71957222773639,4.26731312865118,4.61665302180577,3.37754871146503,3.12615842431384,2.77214317943732,2.90899753842434,2.93436915693387,3.32833123381415,1.03015775934187,0.935371238600226,0.950469731746692,0.851903095724014,0.651286073722218,0.810707910297323,0.734055239571687,0.643172109831579
5,0.0535512630382518,4500.00000000003,2250,0.3585,10.177817125,-13.4312945443149,2,4500,500,9,0.613695889475306,-0.181036797417083,-0.166845622257739,-0.222410395433311,0.781704165590746,0.0504977123204351,0.180769068440245,0.561827649887745,0.215869624497705,0.390113473863538,0.520265688068808,-0.0613648027242749,0.0321773550860193,0.578569985221052,0.704699810794268,0.583069634924406,-0.220695295766671,-0.107733544455215,0.354595630947113,0.316634332610553,0.369880791003719,2.52320196290372,0.332547510741322,-0.0592868741490563,-0.0213625671234677,-0.00384740262254771,-0.0158534616385842,-0.00126501323300654,0.544089109707712,0.149621172549511,0.284807049176688,0.459987559908084,0.0474776506600419,0.218378398879916,0.0502799826466993,0.154653925256679,0.0420506956828178,0.365164130307589,0.0477001053730922,0.246201807011534,0.0455371509610008,0.138932517355568,0.506033370956556,0.804275795898822,0.151671334019338,0.197338573465367,0.235337669798001,0.37982463149458,0.175853217687958,0.299999999999999,1.61516013822813,1.62751547201817,1.29532973736369,1.65986134358929,1.67921019158824,3.34192620209797,3.56721764993063,2.81655985908293,3.81373593409472,4.55852312604833,4.88083457833186,3.58132128585793,3.16802288657692,2.52711475246704,2.89048592312159,2.81061343739791,3.3034690307666,1.0810200125734,0.916397655568547,1.02089350101276,0.89224902943873,0.70551012060849,0.849683846692586,0.765192888563536,0.588075862069446
6,0.0691344316159429,4500.00000000003,2250,0.28725,10.2997348333333,-13.2811337232556,2,4500,500,9,0.612754392932993,-0.186710626634485,-0.174223732670631,-0.237486732932999,0.813067385736485,0.0207833302869131,0.170065453672105,0.589694572909399,0.232389297941121,0.305391066031042,0.504158135494373,-0.0333346905638328,0.016097696516304,0.582746164698492,0.736866866788571,0.592726153016438,-0.244593689247913,-0.100826075200585,0.35693795874103,0.336904878046032,0.363652930771376,2.51574875189973,0.312070166830413,-0.0585463979318708,-0.018165669452104,-0.00202306723759536,-0.0137639454340174,-0.000479230473631925,0.545968285963511,0.143361510561979,0.278164568206341,0.454944661800445,0.0452454662374161,0.212260596953616,0.0503296513934052,0.14675868696664,0.0409325221399878,0.363922753978948,0.0463736756155322,0.246405028722543,0.0452947670394715,0.138048380460009,0.486843139962638,0.770873188601261,0.14652916002194,0.196081966101383,0.23225601602616,0.375024754275569,0.170702373352899,0.299999999999999,1.77167314028872,1.63232899413133,1.19171582120112,1.72920369650189,1.55877041074423,3.60736063519228,3.55823392082538,2.69799178807259,4.00599790266922,4.56349985084328,5.14264027304458,3.71370070264416,3.20187581958062,2.52572914167214,2.95153905470203,2.73722318777247,3.30812009206382,1.13246553138516,0.91992899148471,1.07466581754114,0.948911649824656,0.749721613231123,0.889112373597173,0.81431803219089,0.531218690899229
7,0.0869478301543216,4500.00000000003,2250,0.30475,10.3575216666667,-14.2072716360918,2,4500,500,9,0.606482102659523,-0.192483826339076,-0.179568731798127,-0.230167056294168,0.829857303831964,0.0359803873163489,0.135643932663347,0.636741905025138,0.246047325341394,0.232130182166292,0.465934142839304,-0.024110418394126,0.000192251655551111,0.583679546662522,0.773124877693394,0.602305206817958,-0.230703940480996,-0.0964024642439722,0.355910485951563,0.350215906026978,0.354521051646712,2.51103245576339,0.304215579330213,-0.0564580292466486,-0.0161902517638967,-0.00188471084750185,-0.0135052416079755,0.000214908810282418,0.551079007716676,0.141071942615617,0.270093079850401,0.439124929461581,0.0437728186181146,0.206620341665236,0.0501094804855766,0.138314845568717,0.040583493746086,0.366186482910235,0.0448340036366732,0.24431763298407,0.0436732806038228,0.13758741053242,0.466435131429155,0.750114358283081,0.142050791362405,0.197298189864274,0.225458030540822,0.371856479150001,0.164755687018395,0.299999999999999,1.95371281597171,1.64158027023124,1.11401980445707,1.82169368466687,1.41506639369372,3.4921241313995,3.70035288576398,2.57091993157085,4.35110786096679,4.15369632626123,5.47357624785575,3.45241331575494,3.18070215990014,2.49501686116404,3.03510769016703,2.89151971605362,3.367286763143,1.21748969396153,0.913540291280685,1.07790669584011,0.972083947864589,0.776996333596048,0.870314237401695,0.868151036472273,0.482286873970605
8,0.106664233146355,4500.00000000003,2250,0.331125,10.2885597916667,-14.7544629881676,2,4500,500,9,0.609912544336836,-0.201307016665272,-0.183118574227314,-0.201426505389215,0.849178269643453,0.0656842170342481,0.108465881769036,0.683656324241321,0.249875416854371,0.171641698883924,0.43749572125851,-0.0164015873457792,-0.0164680817900416,0.604850034915714,0.783047619391839,0.611975276281478,-0.16686363950706,-0.0918261807370491,0.355965287648474,0.35949178181273,0.347581415783035,2.50185154434914,0.289363916649163,-0.0569613524309984,-0.0152454340610714,-0.00259494633468999,-0.014884873389086,-0.000650952600555754,0.548023096678334,0.138359987891483,0.264768974249423,0.422890570297308,0.0437428695228482,0.197509247239727,0.0499464760111536,0.129623998192393,0.0396011894665137,0.370812545154201,0.0439987863133622,0.242092905798687,0.0435162541212425,0.137710458968746,0.442498919982552,0.738380775198241,0.137223477956435,0.199354082788162,0.220275568142857,0.367139991822497,0.156157725070052,0.299999999999999,2.05558511767504,1.61467557433336,1.06997812916542,1.86685558770025,1.32327216514657,3.32244968186256,3.62844284281051,2.49628692928344,4.6589556846889,3.91679647395658,5.83782391577624,3.20707863432575,3.18751109998468,2.44682755562387,3.15344956281588,3.13735663798549,3.28122517726383,1.27201443830323,0.912724338062116,1.08032981274082,0.969168560413438,0.824166363108458,0.853185274908244,0.919834094771593,0.456461162938851
9,0.127146882282493,4500.00000000003,2250,0.3325,10.4306404583333,-14.3889122639692,2,4500,500,9,0.63270098363179,-0.210344642377841,-0.214992594368169,-0.169663265198903,0.862667883371579,0.0560233512149191,0.083916856626817,0.72450327840849,0.274358587372955,0.131262416424277,0.418723407325229,-0.00606476533212584,-0.00930528931681108,0.640351319629929,0.798573935119535,0.605561890894607,-0.100320066608653,-0.0858099481374153,0.355845664155804,0.348784261458706,0.342998259383172,2.48430875953275,0.254588496091691,-0.0569104415411817,-0.0152969916894491,-0.00408990152707243,-0.00902262116383769,0.00132617666536839,0.551784587763284,0.131880656997834,0.256233414091376,0.41631274886426,0.0443552624215878,0.188432982055791,0.0489924638552413,0.122519277868053,0.0382628808710958,0.382412905746574,0.0448155724457023,0.235796695632136,0.0417687188240194,0.140740709006813,0.4223287316791,0.731767198744203,0.130409799647942,0.196170886137502,0.219301421223915,0.357147945795119,0.148442654616813,0.299999999999999,2.06874710794157,1.57587584273111,1.07485456504508,1.84853636913077,1.29985847258621,3.32342467332066,3.58690968735998,2.38628268336611,4.71158758923685,3.6271770058581,6.00068287111017,3.13265163579901,3.12503965005467,2.61221806171681,3.23078404771069,2.95752936394148,3.22438485211308,1.28965069726802,0.872610165985751,1.04945737845402,0.985322131025797,0.830535360544265,0.819379258750092,0.984183302312594,0.450826886952562
10,0.149718975856525,4500.00000000003,2250,0.341,10.4200356666667,-14.9126726006587,2,4500,500,9,0.639452715154437,-0.213773403915558,-0.24250530136725,-0.14008036648245,0.874875089679121,0.0345928873058641,0.0903822054160476,0.764784002330347,0.298452834296292,0.0733145469806757,0.381042525040455,0.000270623426982252,0.00916694790020963,0.689086877434599,0.815682483784782,0.613642580050835,-0.00982061368037713,-0.0793147366941968,0.35394640129808,0.32473807488794,0.347435859598155,2.46028692174578,0.224750801052722,-0.0587992679348305,-0.0161392265125442,-0.00530472596356111,-0.00707949027724286,0.00249139945800953,0.552913390722573,0.125533104939486,0.246227302856234,0.409957218947555,0.0451325039433768,0.17909198140274,0.0473822725384255,0.116749549700533,0.0365315103116023,0.392937079781355,0.0455565746821337,0.228406017275317,0.0391921625248795,0.147486278161723,0.400755673944665,0.728306606297685,0.123724339724979,0.195226754330612,0.214903558827673,0.342235609631032,0.141256875063928,0.299999999999999,2.04403961003959,1.59616773584036,1.05132428883823,1.82947925557358,1.30355845622834,3.43612603543341,3.49720351801127,2.19019250822864,4.86628133863558,3.44148429417121,6.37957803898695,3.08747802647732,3.02309914216742,3.00159533837497,3.15287342880135,2.90503833110364,3.05432158231604,1.29933141150457,0.799489204142985,1.01467444509091,1.01854499466557,0.813374472552458,0.753587216087322,1.08973853576681,0.421775012743919
