stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,n_cloud,wf_m,wf_p,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_la_w2020
1,0.00604754966139398,1999.99999999998,1000,0.198125,12.2268117916667,-7.62846046587504,2,4500,500,9,0.582935263050905,-0.195192808443581,-0.293259971989031,-0.214711169447762,0.548520432416944,0.260453947815314,0.236375299330302,0.479237760780604,0.240583451086687,0.214244834403149,0.486907180599477,-0.072004937220112,0.0183492526843848,0.488129539697773,0.517414215369686,0.510092637012928,-0.153782659211054,-0.0932913456589382,0.346599379197255,0.308236258491054,0.394864512773803,2.54570082038414,0.419889122559538,-0.0759728141501804,-0.035962159123746,-0.0011384827645411,-0.00102183162329215,0.00201557421846369,0.672907854838447,0.13839772816294,0.285882115460436,0.459108770756409,0.046311815500773,0.273905556901522,0.0475692408742924,0.176384014087655,0.0465152161503619,0.379655423815017,0.0453102600741321,0.2778874555952,0.0462076398674801,0.137236322711991,0.530056749821937,0.911579250754447,0.177310726732648,0.232924756322174,0.275706749278696,0.466866981805054,0.181213456890987,0.299999999999999,1.61230253655852,1.69244048601182,1.64338222884123,1.6795011958947,1.77517763615474,2.91524221171174,3.79539337739553,2.90163540483115,3.70891962365671,2.91476102227324,3.73391687851336,3.02701119690414,3.05947068044515,2.87557663859117,2.96005442619749,3.71355504235743,2.82323762887654,0.989728658767684,0.750016537759273
2,0.013613131903663,4500.00000000003,2250,0.299125,12.5324697916667,-8.62988710513861,2,4500,500,9,0.563307015286696,-0.203910077673161,-0.306538743871367,-0.211466689285568,0.613397493590022,0.234797601724968,0.237344220846069,0.482953847387035,0.228816799066978,0.246464283886868,0.489558400297118,-0.0760748618071199,0.0350657876146216,0.489060811930084,0.542052773088926,0.531667560171815,-0.116207740293085,-0.0841934467952168,0.346887052201828,0.291745218844776,0.382410895136852,2.54775186787102,0.400279851084186,-0.07071887574355,-0.031774162720578,-0.0018721550524796,-9.19170407671603e-05,0.00172550660102366,0.619812208541044,0.140565806199455,0.287776825622168,0.457884300008628,0.0471392965965739,0.254960783117819,0.0478272858161972,0.171907672260603,0.0468805524605754,0.373530794613568,0.0453157672571068,0.271199573836021,0.0465981367330565,0.13312307570955,0.507793194950296,0.88639861662142,0.166477601729841,0.223731623817729,0.265083571930371,0.452491231932452,0.172326415671283,0.299999999999999,1.58129974880765,1.64233979393601,1.53320119425377,1.63079387579239,1.76429517162229,2.95915320094346,4.0023512879026,2.76009908265702,4.20355642028804,2.84579179825439,4.24655192067947,3.16804331757278,3.04576326568257,2.87084147242209,2.88890274116038,3.82611556879474,2.71126920039815,1.0739608973782,0.762581407838182
3,0.023375166363361,4500.00000000003,2250,0.337125,12.2686655833333,-10.1605411362726,2,4500,500,9,0.552285599398202,-0.208093672457776,-0.369485920561146,-0.222191047097602,0.672157767335869,0.216363368461974,0.234317504339655,0.496833313190095,0.293025482112453,0.2381566908065,0.504827458654779,-0.0735853047524806,0.101861569056328,0.525811210959311,0.596411006609774,0.550188778684475,-0.0771797341733148,-0.0703077035098472,0.34969802544495,0.279348294330544,0.372508821337076,2.52993775617474,0.375925539430844,-0.0675779298038212,-0.0281122685645188,0.00147141531406344,0.00254533385116093,0.00169248324010721,0.591245614177547,0.140502044736501,0.301588183526842,0.456031138351432,0.0483126120815693,0.240264896414281,0.0489199605704008,0.162652295737058,0.0464702194789656,0.366395676321328,0.0447960297338449,0.262267868303365,0.0468171372014773,0.125372888746858,0.485617901234444,0.871993733318657,0.154354188260198,0.215375486615433,0.255290147153935,0.440234833824594,0.16484356300344,0.299999999999999,1.53245752405527,1.59055528009019,1.50940104956939,1.63104412304273,1.77068762714879,2.90162721569159,4.33890609376639,2.68070248552334,4.61968863558324,2.85903848560434,5.20800856205738,3.43778756543948,3.06987083067711,2.90009608775247,2.8386123398533,4.09678772588168,2.54005475575104,1.18687452748805,0.70157888384031
4,0.0353531029627542,4500.00000000003,2250,0.34575,18.51355425,-11.4476780379792,2,4500,500,9,0.531395971327451,-0.208493483727094,-0.368280723633814,-0.237893104818761,0.728534607603462,0.235529038320834,0.199157038641019,0.520389486258161,0.337888742618186,0.177926463650072,0.499946296378853,-0.0587156675214601,0.104633030584722,0.550212765725247,0.641933223444594,0.586228158194462,-0.039063087081486,-0.0725643373923737,0.349477501801506,0.26977397710153,0.378269945112346,2.49390498763799,0.351011358143653,-0.0623372971711141,-0.0239558927180969,0.00607677522811167,0.0033671392048412,0.00421486308713663,0.57241698653623,0.138310391315674,0.311814609913519,0.452668855078982,0.0480890269811596,0.229127965599821,0.0468617502040874,0.153450779693915,0.0457398761068853,0.354681339435536,0.0436771191731929,0.259256906247476,0.048321446939655,0.120901970162667,0.469128352750174,0.854102284892392,0.147526713338232,0.208871063574879,0.251477473401407,0.427111516847396,0.157809275007003,0.299999999999999,1.39013285085536,1.5675401258712,1.44708431433568,1.63481792528937,1.78417499854946,2.87112294716731,4.56080691715093,2.6172336038711,4.90438469143639,2.92235325381814,5.97990068091673,3.59964922684953,3.0476989378741,2.95289249478531,2.79215106025819,4.10208832588176,2.38360558901648,1.22843262283053,0.631856090350086
5,0.0496413738846815,4500.00000000003,2250,0.379375,26.4422049166667,-12.6443552771927,2,4500,500,9,0.505961394210885,-0.205942205916572,-0.355285738878399,-0.234248670462678,0.757872802195691,0.268720171103172,0.141087647647038,0.518545595392908,0.348389243608432,0.091349398811193,0.470743348458004,-0.0523318412940451,0.105763551209795,0.575443413669247,0.674349722171489,0.640326044996523,-0.0116958071575031,-0.0713014328300302,0.349551178695021,0.257990321124734,0.375500877534049,2.48082437016687,0.321466480172166,-0.0554251714667922,-0.021336671358072,0.0102429774154181,0.000991661537551604,0.00563387270503057,0.551530823355988,0.133483604963873,0.316081659757734,0.448346710069383,0.047950101251727,0.222366474743269,0.0456273963917187,0.145533668427515,0.0439741724157882,0.344936156308039,0.0415357504861063,0.25762072187984,0.0486456624722254,0.11995225990194,0.459238196764933,0.844884565783157,0.141747870953557,0.205962111625183,0.250712708132915,0.423059940752269,0.154856095023791,0.299999999999999,1.30735646072567,1.60742489809634,1.40300490826763,1.64142257158358,1.88862709799429,2.67466615457891,4.41308967650928,2.57867852615318,4.6052675398969,2.93430439421431,6.352670114613,3.67144858101916,3.14710418412962,2.9379510264805,2.7711089878907,3.83873586165749,2.14962231407596,1.22842762926527,0.584415646036747
6,0.0666477636183935,4500.00000000003,2250,0.302875,33.1082267916667,-14.0061590095082,2,4500,500,9,0.484439018015411,-0.198646046883729,-0.354250115889697,-0.233625084368548,0.777749967751425,0.279432636000466,0.0788287893254881,0.534421184633943,0.397711068137917,0.0173021203529806,0.439957013437815,-0.0441397629713856,0.0972812014320205,0.618045239355217,0.702081619911018,0.667929049581284,0.0301120867756214,-0.0759396321458823,0.348740495133333,0.254831103428592,0.373119874019777,2.46839763116667,0.289631856715925,-0.0523528210843442,-0.0193042805094443,0.013147074884087,-0.00262649097046444,0.00669844276826871,0.533888471946682,0.131158446601866,0.311066848874186,0.437993093089724,0.0483121573537507,0.210937134354659,0.0444675618385639,0.137648615911502,0.0430777641795371,0.348471790762389,0.0397752939251387,0.253744727573446,0.0487903946537872,0.119657336430758,0.448444028826385,0.844978705951909,0.138096833599461,0.200374666105968,0.245956241446089,0.421493534913119,0.149809546725428,0.299999999999999,1.28904845889431,1.63654374180676,1.37301380207174,1.65661247694326,1.92544370914583,2.56878546412577,4.26238253443492,2.56025993643196,4.43853991662817,2.95933190491488,6.73792347036015,3.56346550640352,3.15043498495542,2.91616160911623,2.69973581725404,3.61244416041144,2.03381861006235,1.22464934748561,0.558179508097425
7,0.0843374260760796,4500.00000000003,2250,0.29575,28.959870625,-13.6649608632923,2,4500,500,9,0.47046824683924,-0.194515216499863,-0.309774157473993,-0.239240283661241,0.797305859812977,0.291103187179551,0.0440850771148428,0.548475138160396,0.472097172424624,-0.00212314296421625,0.422025354951198,-0.0597270848835629,0.114735013463218,0.654538285074032,0.735956617333956,0.683527101315516,0.0558549781129443,-0.0696083772721122,0.346640135108575,0.254022665436041,0.368803028396133,2.46038989447184,0.269683753199562,-0.0493005047626499,-0.0186730644952972,0.0136239657255866,-0.00539769562785326,0.00626977012959991,0.513015034382384,0.129897581059006,0.304640202446773,0.428358910219438,0.0492905563447495,0.19906620722016,0.0429335611193624,0.130248693605878,0.042479643060485,0.346354346176305,0.0388129295254308,0.254594960986304,0.0486264731955153,0.119734759585064,0.441598831706986,0.837394196987213,0.134934926333082,0.193767744926657,0.241883591797856,0.414870343852021,0.14363807162367,0.299999999999999,1.28601717180866,1.58855379826722,1.29968174798403,1.69657149278677,2.02787624854607,2.42724794636947,4.26081307998311,2.52704533882758,4.2909249779198,3.15538955171317,6.93060125642376,3.52507975082767,3.21605339337922,2.98082024914185,2.63509441469823,3.2716303907542,1.98936057082276,1.2282680282195,0.514589130559192
8,0.103015262100555,4500.00000000003,2250,0.32325,25.14328325,-13.5482604810482,2,4500,500,9,0.471479430127222,-0.187052146623324,-0.255238700669453,-0.252657775884281,0.799720751362135,0.304492789461451,0.0240354761153319,0.591117974078237,0.519090757517209,-0.0129255988780502,0.412283235094507,-0.0667460920543037,0.100963433088801,0.650484450632415,0.758133566452029,0.717702731230899,0.0559858265521936,-0.0640632812148388,0.339369886014939,0.259693694841466,0.352958531855757,2.46831996808431,0.241202832465802,-0.0478483889891861,-0.0182479727217361,0.0119264156859122,-0.00399460211456522,0.0035451618397872,0.489803244037101,0.125652049685986,0.288163481992077,0.423242606719706,0.0504735573487878,0.187754342530803,0.041857893750473,0.125076310715348,0.0413703785047944,0.341652345837349,0.0378041055499272,0.248329289823273,0.0482237630784772,0.118534406590317,0.43858070527342,0.82346092341978,0.132120153002125,0.185151590336762,0.238755526880753,0.404258314936403,0.136533576944735,0.299999999999999,1.3121257122759,1.48625494115552,1.21904103276257,1.7191822129007,2.07365105520838,2.4073808033421,4.56101283172389,2.52841930015199,4.21855820825267,3.30380586812695,7.32113163935366,3.2846007735685,3.20715883042169,3.15995997102256,2.48645387925555,3.12382781145324,2.04203823205776,1.24554647447859,0.424766664931028
9,0.125163222149721,4500.00000000003,2250,0.326625,24.5127905,-15.0476281013777,2,4500,500,9,0.468642572859169,-0.180808793682081,-0.226243932254914,-0.263419799828362,0.798284535284068,0.306286629643511,-0.0206836534819036,0.62925240919322,0.51130621914569,-0.000602314020578124,0.376868203002461,-0.0853758973948981,0.0837281686655961,0.643853434264079,0.781983640113445,0.751900041048347,0.0586602865317968,-0.053295031664507,0.332212615799942,0.268127529696666,0.337231860380556,2.50829558098285,0.222286208638473,-0.0458974649976781,-0.0186277794484521,0.00825954982865548,-0.00211805955628913,0.000111880239522818,0.471629485345365,0.120071040040591,0.276273600403912,0.410825497604726,0.0528277339109993,0.177856256703516,0.0411842587455743,0.119462061949278,0.0400625334738667,0.33316472288985,0.037771000430859,0.23983616838094,0.0478102667602726,0.117279897670476,0.43988808930781,0.802266607250619,0.129219526245804,0.178857464509102,0.235373950941601,0.391570824123605,0.128728874970456,0.299999999999999,1.37518865430079,1.38433663717776,1.11512807641286,1.71046137069127,2.10150099878645,2.39576925458971,5.21599149010435,2.56580555446815,4.35749605015547,3.48338991044722,7.48569880504887,3.08496021132105,3.22967794972846,3.39161803167766,2.31333020295313,2.99089890192542,2.078505040798,1.27264171073846,0.329751084424781
10,0.151672003839549,4500.00000000003,2250,0.3245,24.760673125,-16.9755170930767,2,4500,500,9,0.482315313240201,-0.190918197596138,-0.221539933573439,-0.255140662815882,0.797110333001633,0.277936109240338,-0.0481374400074616,0.653717163280207,0.493305603251468,-0.0152892343550602,0.380199893531637,-0.081644936179358,0.071587347367796,0.646128328272496,0.812528870447951,0.776063609170205,0.0739186691198456,-0.0492174545286243,0.325850722650076,0.275568255869173,0.330526903899373,2.54060656858691,0.202413950295076,-0.0469881318220491,-0.0177427214053334,0.0061792183790366,0.00398489600167457,-0.000730228760366266,0.459315524676944,0.117098738120068,0.272078810805583,0.40716010274005,0.0544369313182207,0.171417371356015,0.041133806484761,0.115619535130506,0.038780623746257,0.320522093992824,0.0385406495045948,0.234258602862317,0.0470940525749588,0.117047925068477,0.433882156208632,0.789896467598538,0.125678877486083,0.173221672783724,0.235537366268881,0.387443510578652,0.125552042312597,0.299999999999999,1.43290574301179,1.34321184179192,1.06872745643455,1.7344676978106,2.10644409446375,2.29611807143826,5.86479405582893,2.60148692690337,4.54436609069007,3.41768665644489,7.82467878993867,2.98003033028786,3.26266540471673,3.74276499827138,2.22653844643572,2.93877255027797,2.26505933491972,1.31820830432448,0.245084117330085
