param,mean,sd,q05,q50,q95
gamma1,0.479540085790286,0.0641505422231353,0.372932138097842,0.479320577427628,0.580116069981164
gamma2,-0.205860432315121,0.0533325244334034,-0.299282703478659,-0.203015386649154,-0.118013762739032
xi1,-0.233076752892707,0.0523036610759759,-0.319204443116776,-0.231178192065674,-0.151824420902603
xi2,-0.0738933083615664,0.0774284056277322,-0.191930130741355,-0.0768228397117189,0.0623438827594269
rhoU,0.598152859030233,0.0856438794470707,0.460128025343017,0.595820853509274,0.739931875008738
theta1,0.0533846480519269,0.069536932166505,-0.061204207016401,0.0517703455173419,0.169090350092943
theta2,0.0128091357244696,0.0728103356275952,-0.109328797598933,0.013023984059452,0.130703482286367
rhopr,0.906436693464249,0.0758980186680453,0.76190492354856,0.92315628180666,0.992832790996639
lam1,0.382478595277321,0.0978171723105257,0.224945549620083,0.380498978575096,0.555376024425048
lam2,-0.234869572343635,0.112860912244585,-0.418095546107963,-0.234016342501061,-0.062997045288243
rhohpp,0.556612074282606,0.127677318438466,0.341842468753133,0.556682191372063,0.76223573016408
chi1,0.0283892114430307,0.0146565948161058,0.00504524720378879,0.0275358131459962,0.0539149038424161
chi2,0.0164585476096985,0.0151651590642699,-0.00904370200750699,0.0165763143977694,0.0417819178548153
rhok,0.967829238637971,0.0216999602138024,0.92472391639166,0.973062360085669,0.992566953298281
rhow,0.967166778939563,0.025590146075964,0.917746525099276,0.973504958507009,0.996488470053893
phisum,0.965820435346127,0.018808327058735,0.930950566817192,0.968374221219176,0.990362989195462
phi2,-0.40406957550954,0.120485085476439,-0.590794798765446,-0.406225539096994,-0.198489644985633
nu,-0.0239081492844167,0.0268122082149359,-0.0739908729022946,-0.0214344791919051,0.0160204290443222
alpha,0.362939234004514,0.0393269567401848,0.296542390744895,0.363928446537914,0.424539479028706
gzbar,0.154722713110878,0.0652552285264993,0.0482650709754308,0.155338717487739,0.263991520355891
gwbar,0.319683542132557,0.06284937779188,0.215866003628963,0.319487287038394,0.421262833420037
pistar,2.5908224340808,0.13395628383845,2.37984398268259,2.58381760643613,2.80707534459145
alphapi,0.134043362108646,0.0494900619264274,0.0643426486285856,0.128728450125816,0.216353945407197
phiy,-0.0266069792832932,0.0113536324422347,-0.0474775850480351,-0.0252638204525289,-0.0111794429314163
phiu,-0.0042891463523938,0.00319928301471613,-0.0102770948034432,-0.00364569195493467,-0.000499504731712013
phipr,-0.00104890734143494,0.00789358118676977,-0.0141359255441083,-0.00117536055857108,0.0117419217896917
phihpp,0.00974322990007455,0.0153694728951198,-0.0165156559088914,0.0101218612048191,0.0337470978468185
phik,0.000792000713765959,0.00119930362987553,-0.00117604142039091,0.000776738796580277,0.00272470433900586
sig_c,0.383989871716278,0.0336104045717342,0.329128092817587,0.382665429409468,0.43959325999598
sig_Ustar,0.0960950283302033,0.0126365124941248,0.076503053639678,0.0960004354815212,0.117469735061003
sig_pie,0.207751826606928,0.0185630860372541,0.179548380417339,0.206338170250027,0.241968726959057
sig_z,0.310388576358149,0.0366441435099594,0.252962885203466,0.3079979766681,0.373291876283638
sig_gz,0.0436893761533449,0.00978807856701339,0.0302634717262596,0.0422092279022602,0.0617588285534643
sig_k,0.069311137351275,0.00494575179899914,0.0616122159331699,0.0689883931505009,0.0778180491735339
sig_gk,0.0340251950963975,0.00372749239259206,0.0280927530184998,0.0337890006492787,0.040404687292582
sig_w,0.0581478640182148,0.00504766396179673,0.0503910071420504,0.0578311895761388,0.066992586303181
sig_gw,0.0300211168498739,0.00349892375733364,0.0244624069441275,0.0298592127042477,0.0361307816975982
sig_hpp,0.237005978111606,0.0310151398083879,0.188336762574827,0.235797767239685,0.288852123004296
sig_ghpp,0.0343904708541028,0.00571839828390665,0.0258655701515712,0.0338735010102273,0.044516933413386
sig_pr,0.176044525583946,0.0211681666169851,0.144028536475726,0.174359527246856,0.213014514069166
sig_gpr,0.0373462846765115,0.00778200167324436,0.0261746187486823,0.0365489438757247,0.0515126766710167
sig_xi,0.119040923327341,0.0257560861080487,0.0813832260311596,0.116355463451058,0.163481758527541
sme_y,0.259525424910477,0.0284693318217336,0.215025456508416,0.258028048890165,0.309351300566265
sme_pi,0.648183482413388,0.0387030799770254,0.584991859124015,0.647338462010388,0.713242191422824
sme_w,0.0599034112261145,0.00509862904557253,0.0518681302177547,0.0595002610968014,0.0686564809539865
sme_U,0.112023778458134,0.0106165529905717,0.0954743442782156,0.111607412049434,0.130175143583473
sme_pr,0.248745230480243,0.0227000202349077,0.210670319948464,0.248828252678402,0.285234034981561
sme_hpp,0.357932845416578,0.0334902841457902,0.303021455980136,0.357472601966073,0.413826224127422
sme_k,0.0559614579358654,0.00409611554805446,0.0500531593961463,0.0555812156423386,0.0635501327482329
sme_pieobs,0.299999999999998,1.72084568816899e-15,0.3,0.3,0.3
m84_y,1.09227766623683,0.390647423941458,0.566142388003259,1.04204617784194,1.81228942363059
m84_z,2.12063973885358,0.461672294587497,1.41495243261917,2.09199579861496,2.94882859657993
m84_c,1.63937799078181,0.290779172536419,1.18462457938712,1.62980045140749,2.15597990767784
m93_pi,1.75293302939418,0.205345164255033,1.44814041035766,1.74124233099243,2.11536413950077
m93_U,1.78023136667956,0.37248448671053,1.24560584193484,1.74576894688962,2.4169381417587
kapc_2021,5.60011469083019,1.81660496816284,2.90429735881329,5.45848515216805,8.8831284905056
kapy_20,4.78281449527069,2.40072890187631,2.09136178745475,4.1271418090045,9.08552849072571
kapy_21,4.33821978793211,1.68736120209453,2.21310933324022,4.11428816311843,7.25660665861074
kapu_20,5.45993693371103,2.36234114852443,2.67594819683874,4.97874580069126,10.063775949603
kapu_2122,1.86357815456117,0.594042167614752,1.1923222421892,1.72455663826138,2.96341337737385
kappr_20,8.40466112480746,2.43331047277893,5.12470775031252,8.08284476133231,12.6375401067275
kappr_2122,2.4090526126582,0.670785282237212,1.53595429080688,2.29947886862211,3.63414531838817
kaphpp_2022,3.19245960123162,0.88710604340501,2.02434401644935,3.05034822850341,4.82794582076692
kappop_2021,5.04678605924201,1.39278819709104,3.11150921718278,4.83808483764195,7.6602893197535
kappi_2023,2.10207239318069,0.418481902913186,1.56385104603619,2.02461797569566,2.88631293384812
kapk_20,2.68520216776545,1.28735536066544,1.32283095055612,2.34123986254985,5.22889194631139
kapk_21,1.6574074760441,0.755010012051821,1.0344102680453,1.40132348016802,3.14883315454803
kapHyp_lm_w2020,1.25652308839791,0.319610214061503,0.709467634129411,1.26277794287882,1.76919327354832
kapHyp_la_w2020,0.741051374689358,0.550263968960929,-0.152704278763511,0.742180089851519,1.64601024951791
