param,mean,sd,q05,q50,q95
gamma1,0.538941040370966,0.0663879313433472,0.430933343366708,0.53918544383999,0.649158560106806
gamma2,-0.237065137007868,0.0549624217831947,-0.335678606033493,-0.235820383510035,-0.150560457839935
xi1,-0.311299059799579,0.0549789984664245,-0.404898585451971,-0.310312969211655,-0.221867571314568
xi2,0.0562773745705518,0.0892438395245797,-0.0865386482051344,0.0578941752466432,0.208453611894871
rhoU,0.660388316034545,0.0872885584626966,0.515818665704268,0.664278317056588,0.798393472573123
theta1,-0.0393183707930867,0.0606973062407676,-0.137359677283288,-0.0408327136103041,0.0588407030330151
theta2,0.119271484783354,0.0652751635084687,0.0130999387683622,0.118653154203956,0.22801715972808
rhopr,0.790463408659753,0.0698201139230874,0.666250189051386,0.793807377649899,0.896209376231125
lam1,0.301647442648959,0.0846433535150421,0.169370428965094,0.300032666829006,0.445184890503175
lam2,-0.211552991662926,0.0954059512231251,-0.366839162402016,-0.211789401492149,-0.0475383439269589
rhohpp,0.633442623428269,0.124131181344472,0.423267315405419,0.63727954382283,0.835661947023751
chi1,0.0428249196387747,0.0174736107384683,0.0150575911965475,0.042710824153376,0.0722523160573946
chi2,0.000316856505274169,0.0175777193136713,-0.0292835633170174,0.000630434109845093,0.028576487000832
rhok,0.97728563170832,0.0191918654445973,0.944790840494476,0.982411301474894,0.995779828495065
rhow,0.953679980457037,0.0255003331967887,0.90401080889893,0.957727622852318,0.986718797045822
phisum,0.962037948179857,0.0169673138532144,0.929878348118638,0.965141631130162,0.98406533630278
phi2,-0.484058017165446,0.106355181137175,-0.647706107883479,-0.495873711446515,-0.292399773855194
nu,-0.018620301469157,0.0234025678811053,-0.0604741788153926,-0.0167876307157542,0.0162785030407043
alpha,0.382288298064591,0.0388333860435865,0.31761451595445,0.384666546901489,0.442457970725105
gzbar,0.121536903376089,0.0636780328390008,0.0184755517030152,0.120876667893373,0.228746340231262
gwbar,0.32649415187151,0.0579200331317238,0.231522828982391,0.327373176577506,0.421513821280638
pistar,2.52175322722625,0.130689236300563,2.29410895832954,2.53349254557582,2.72053378870882
alphapi,0.148596527463566,0.043573744521671,0.0830989788226824,0.144993723181274,0.223653740201903
phiy,-0.0329095817318537,0.0128212992273878,-0.0557279929905858,-0.0312746020497719,-0.0149105880031025
phiu,-0.00690094193658883,0.00283088304654968,-0.0123953068074949,-0.00660791312447065,-0.00293992790919602
phipr,-0.00670306014382371,0.00805803675210159,-0.0204142506142138,-0.00649159400130939,0.00622411805067665
phihpp,0.0197692532595583,0.0143328349821843,-0.00592634421338795,0.020804678283295,0.0412498275766506
phik,0.000198267851217975,0.00143282507030489,-0.00225866354774066,0.000237646851292746,0.00246150087463314
sig_c,0.36844686611011,0.0357014963223193,0.313745200572762,0.365424808427424,0.430025032173615
sig_Ustar,0.0893963718042126,0.0125516271310657,0.0699489095745887,0.0883769583205049,0.112140602705925
