stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,n_cloud,wf_m,wf_p,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_lm_w2021,mean_kapHyp_lm_w2122,mean_kapHyp_lm_w2021tot,mean_kapHyp_lm_w2022tot,mean_kapHyp_lm_w2023tot,mean_kapHyp_la_w2020,mean_kapHyp_la_w2021,mean_kapHyp_la_w2122,mean_kapHyp_la_w2021tot,mean_kapHyp_la_w2022tot,mean_kapHyp_la_w2023tot
1,0.00632367069231053,1999.99999999998,1000,0.196625,9.139716625,-7.98248062358785,2,4500,500,9,0.588931803344243,-0.198526550667009,-0.266498202615798,-0.242965435086926,0.541785377936007,0.295589930274917,0.248249314183466,0.474074442286817,0.269193223293761,0.287510900248793,0.462280914937069,-0.0488366588475095,0.0188455534822556,0.510073841274879,0.51127249263703,0.515144888405638,-0.208724737691828,-0.102064431491694,0.347471982583105,0.29541927633928,0.399025303025515,2.55227411708722,0.444660587516429,-0.0715428701121878,-0.0370921646377119,-0.00308145116836734,0.00263417146369594,0.00119162711456993,0.705848477761063,0.139255586262442,0.28325394261844,0.465189505518663,0.0465920796226225,0.274721574835249,0.0469289566698676,0.174725025330372,0.0455970083617843,0.369717890320241,0.0464501680584125,0.277403337545474,0.0451933909596446,0.143748779158701,0.535229758589458,0.915229345170692,0.173368734186711,0.232613229163511,0.278776262187585,0.455216839140811,0.182926108090206,0.299999999999999,1.70495060402186,1.63026797514158,1.69796202148903,1.63174518295331,1.80085187994124,3.449990673299,3.96373463310111,3.61618682266235,3.72220345675098,3.45188355389045,3.95750079260365,3.51916537724107,3.65113127447935,3.20537648061358,3.24360918095101,3.58573194608398,3.34825023682422,0.98084146976509,0.942371712505906,0.928501060457377,0.894563089744554,0.94002118124222,0.927977678510114,0.632550708604953,0.692334647264992,0.691685941322304,0.66726727048368,0.66140729125026,0.682079809134625
2,0.0141280054454685,4500.00000000003,2250,0.303125,9.73388320833333,-8.91793841979908,2,4500,500,9,0.600518547724918,-0.202576369456764,-0.260001330683385,-0.240778449019521,0.597059787470594,0.314530699349592,0.285228958573589,0.469066548639262,0.249163713603402,0.240255404632191,0.487397268897672,-0.070285094327283,0.0634485782754886,0.509140755628779,0.540312980497354,0.524556030291024,-0.166761093533454,-0.0940369779085196,0.338921733006586,0.299412482924418,0.404881763919831,2.56078973158238,0.417976614831997,-0.0654968183999507,-0.0342440279401727,-0.00368956754162524,0.0079688300360155,0.000216076410061292,0.629348988455162,0.134086664377435,0.272085873631015,0.461573097872721,0.0466124826030023,0.253476170659886,0.0475649881000815,0.164848603622151,0.0440073848504004,0.362465091915085,0.0474032602549649,0.277635223746856,0.0439692326707479,0.14346018801241,0.511891344588236,0.842503523022135,0.163332710277578,0.231884892651117,0.271637240549481,0.443333283604746,0.178661462495074,0.299999999999999,1.64086096775075,1.64754003964492,1.67063635237384,1.65476265770452,1.80227270797222,3.80963101192074,4.1292607639435,3.50452305518665,4.09988690295968,3.47752623468592,4.42209445084934,3.4645452748905,3.90796499716065,3.3980991142696,3.20073177610539,3.71337101141351,3.36288430279556,1.033691492354,0.951959995134924,0.943394676931997,0.891137418397507,0.943223416901116,0.954107856501285,0.648281621676167,0.704509735753357,0.743864012934882,0.634718168532316,0.669656308199975,0.684324148661676
3,0.0231158986446967,4500.00000000003,2250,0.330625,9.61452558333333,-9.42676101004206,2,4500,500,9,0.629534560642594,-0.218542155642425,-0.330622739979404,-0.214899799337376,0.668000048835205,0.288049918739185,0.301805590516945,0.453781854247219,0.253484860358228,0.213020231463931,0.517564944913103,-0.051156407673656,0.0886860323280439,0.530605089134289,0.582458837784155,0.532135885564711,-0.143859380966945,-0.0938530691199632,0.329277968353841,0.305865466050774,0.426353158061738,2.55929992037867,0.414081401768026,-0.0655541675546572,-0.0317107490046311,-0.00489422081083216,0.0156157627507873,0.00204374275956248,0.577766143929761,0.127807000213973,0.269740042092015,0.452421792536057,0.0447668066945245,0.24622866252964,0.0480328376416175,0.151092611336304,0.0423019837514917,0.355782399740531,0.0472248128813915,0.280611087921152,0.0417486462058702,0.145580388596082,0.488022641267611,0.799385304683982,0.158875248069246,0.236160005623588,0.264956122364126,0.421933967870391,0.173657901481828,0.299999999999999,1.5139184098629,1.57543993290907,1.64986356948666,1.72206318805628,1.78859741035776,4.0145138287066,4.5405001485939,3.6107994024094,4.26377924653345,3.22287183266225,4.89766521584933,3.3426586035832,4.13303275627832,3.49332426776503,3.0350121991357,3.74280662477159,3.36006111271663,1.08186994523467,1.00253135132089,0.943558974708379,0.891716265481872,0.999973334924091,0.972493041182489,0.679444316523564,0.762578707029088,0.829387285798434,0.572023607958031,0.705988819426814,0.615840845287598
4,0.0337712003310611,4500.00000000003,2250,0.382625,9.65020495833333,-10.2751621109327,2,4500,500,9,0.662129456556059,-0.239781998521936,-0.336555500398626,-0.191051166341687,0.740596794675319,0.268889178933141,0.326482940760381,0.421678460137747,0.234251637017229,0.230494692020068,0.567789153342301,-0.0321494339184427,0.0831640551049286,0.560932325461309,0.630806713368221,0.539455081905953,-0.113952110511252,-0.104789358491573,0.322210035274446,0.321777991569521,0.461802029358676,2.54459757922752,0.38007438214334,-0.0668010830109643,-0.0278977389872966,-0.00719886242266831,0.0286223647009495,0.0048401574791917,0.53445346340198,0.123565850707745,0.267144338917427,0.443895652379337,0.042616233969208,0.242263519868586,0.0480030342922081,0.141645364501779,0.040635497079652,0.351742429058901,0.0463510274478938,0.277535799959542,0.0388556288735403,0.151954184103661,0.466538322565881,0.768695181283926,0.155035436446793,0.244131977142832,0.262245619248015,0.393563181853728,0.165108360101525,0.299999999999999,1.35130719476595,1.4560917397228,1.64316880925122,1.79450203527051,1.74747008276397,4.1200483428926,5.18093672580901,3.91112703203347,4.3107806093148,3.01864482948826,5.69851329277428,3.36653590953622,4.21908024035329,3.56131292663442,2.95849420948006,3.70002788300034,3.12478357008366,1.16491158735544,1.0679253894967,0.957518743925659,0.899267420122351,1.03218999048942,0.985130069819186,0.689594899818896,0.818850912783551,0.934730775907505,0.529317059672556,0.766668724037915,0.469327388919999
5,0.0467082767754354,4500.00000000003,2250,0.32975,9.70684616666667,-11.4348304246016,2,4500,500,9,0.665788270240754,-0.25217141741766,-0.312410650908265,-0.170690764588308,0.810482808031286,0.20874894405184,0.289379416251036,0.418935020669598,0.217887513747826,0.237437996941328,0.614274675299219,-0.0304547209029304,0.0615237030079862,0.591376715858272,0.689895367405297,0.539685219320703,-0.101998472613419,-0.106959619694746,0.320088224463071,0.324470835641927,0.476663918801741,2.55105584810234,0.345392228742304,-0.066938920064614,-0.025509290181854,-0.00573584843680187,0.0302388608739231,0.00537899092613709,0.511655874016681,0.119361614715423,0.263231044284338,0.439871080375502,0.0411406296044715,0.238225278293991,0.0475442196120731,0.134303740549801,0.0386245870702128,0.349766447541518,0.0463629342689438,0.268371671360629,0.0384209521137762,0.156989508139638,0.456889469372478,0.761969989850602,0.15182318635226,0.245407515874139,0.260643673281765,0.373566504832697,0.160507537438654,0.299999999999999,1.19659220461993,1.4236381176187,1.60911000509064,1.78715042827912,1.74043644445112,4.28758405085984,5.41783802402764,3.84510587142989,4.02254924743464,2.88551320511368,6.08473571903643,3.50632644901691,4.37117946837097,3.37373020053549,2.78431823230063,3.51982563013442,3.01966370397296,1.18340519190581,1.08566084113663,0.983502608892274,0.925077655564961,1.04569529563365,1.02035500775414,0.714938538980387,0.864343326901363,1.05346757953672,0.50505542099954,0.823353467720146,0.359399476212252
6,0.0624346888448291,4500.00000000003,2250,0.35375,9.67165920833333,-12.8754057638611,2,4500,500,9,0.651583336776726,-0.267225539884717,-0.267179411995727,-0.146748383003581,0.858778594041122,0.14933181046671,0.251367267095614,0.420774257540438,0.219718142298213,0.23934198488842,0.613614658883269,-0.0304245902133924,0.0494828488675746,0.603204343760899,0.738953151658024,0.552167021319647,-0.0763237287695926,-0.103270727686968,0.321460611903938,0.331227375932323,0.473073930591013,2.53934411437276,0.306947134403898,-0.0677245201464393,-0.0241038516536002,-0.00514411791794943,0.0295603595891589,0.00382374673893862,0.494209839139358,0.116903392886806,0.260083419885117,0.437214386911875,0.0405940415216124,0.230131806241033,0.0472753954701523,0.131517337550287,0.0376366528726086,0.3516318642834,0.0454658823971983,0.260283963268119,0.0385651849553391,0.158619957470592,0.450014761321759,0.735294828964214,0.149174489862768,0.24090863455927,0.255964386764699,0.357541203450209,0.155264244202407,0.299999999999999,1.1058139830826,1.41649717734597,1.61004156183053,1.79146509521253,1.70801199178297,4.32478186744588,5.57426523486196,3.72868424025153,3.96679825361711,2.65567192127014,6.43104242652087,3.53208412356213,4.34760824832631,3.34567365880952,2.68515293700244,3.39956537589369,2.89248784065398,1.21607240016315,1.05768130541351,0.999151118015362,0.934831231360397,1.04491529150219,1.05035035238267,0.709427396773518,0.850786007752435,1.11647121767137,0.452279408557113,0.880708485271189,0.352139688526069
7,0.0810578253905171,4500.00000000003,2250,0.257125,9.663683,-14.2703524963834,2,4500,500,9,0.640433358926748,-0.28021592115464,-0.239954351689695,-0.127350375947135,0.871901141322625,0.100815740133632,0.211373583359438,0.419055828467846,0.218569309864682,0.265879535188106,0.591605233012292,-0.0209796599620389,0.049915097609462,0.601306156266197,0.777215541383521,0.550521614728108,-0.0514844454133568,-0.0997122398742005,0.324038328864233,0.33175216676727,0.452512577969646,2.53592795917318,0.286541000791037,-0.0660652988119298,-0.0248192529592504,-0.00617272050671051,0.024663108451789,0.00214297406971426,0.484511053121448,0.11821937628394,0.257816861400394,0.438885846762628,0.0405270743822409,0.215988629975226,0.047342871690913,0.130142597606938,0.0365914314638425,0.341516782646181,0.0452554268226895,0.252174119980852,0.0387693231545061,0.153591916691848,0.448161656470283,0.717570795812278,0.144045505360992,0.231594514435885,0.252661277233639,0.352650226629235,0.149824802741093,0.299999999999999,1.04823294457791,1.43209897329526,1.60821350815894,1.78008525593848,1.65119902712833,4.23128729150293,5.74552709554847,3.55274491637532,3.9422441997508,2.69242263377845,6.73010324854958,3.59074414558013,4.24951693063901,3.15421109904848,2.62312150234059,3.30596463551456,2.68734955285361,1.26448486239926,0.989248579334532,1.02096927432638,0.948476532843409,1.02819717172832,1.09032810411967,0.723840426659451,0.835750394528595,1.10045141058029,0.402277957702409,0.938636474463067,0.403308789615662
8,0.100355415845948,4500.00000000003,2250,0.252125,9.969008,-13.978109497163,2,4500,500,9,0.631165994982262,-0.293732131251072,-0.233254809873196,-0.126492002716164,0.889539271909915,0.0615337104955017,0.159902456895782,0.440531622411361,0.254003942934699,0.240438002500234,0.57597652186216,-0.0102518777332581,0.0497251577998268,0.591409951354116,0.81622689288706,0.558311925277554,-0.0442143604541168,-0.0953853424616981,0.326004123272261,0.323068839025337,0.440744860204348,2.54282876469886,0.260956975884508,-0.0642159915732634,-0.0239706479147956,-0.00597506906208845,0.023085664875804,0.000918533278579241,0.479758287720546,0.118631709739579,0.25235297602433,0.443141215012031,0.0410348885937262,0.201839164381051,0.0488478391697379,0.127959936865144,0.0358455835473699,0.332853633649926,0.0450281474957513,0.244923984553031,0.0393114313388133,0.150193739723162,0.440664867173984,0.707453883234181,0.136978906028922,0.222864016472014,0.245617840670052,0.35094845764376,0.144202830168571,0.299999999999999,0.975004212219367,1.4467641917267,1.60005196781793,1.77322300113912,1.62197249333708,4.32345347533175,5.68496618225349,3.35255989431565,3.97496957515201,2.70873937090983,6.71014903811137,3.53694887680209,4.29924182814605,3.15476349468008,2.49637445975683,3.23613151825471,2.51275167447522,1.29479203070241,0.885436422227808,1.03397921482942,0.96772942043172,1.03972454496286,1.09841600042423,0.735177195222418,0.834269297224719,1.07309172127645,0.336534134267883,0.98725868157754,0.419168519550572
9,0.119434747884862,4500.00000000003,2250,0.254875,9.69559208333333,-13.0223437248371,2,4500,500,9,0.621658818528323,-0.298826966223181,-0.239604252968315,-0.107122362627877,0.901274121262023,0.0225169793999891,0.121475498633124,0.495340726124486,0.282052957800452,0.171051491902553,0.573300077196207,-0.00225492206636884,0.0441914236321152,0.567861796151566,0.839533285370535,0.56384245734751,-0.0321507431355001,-0.103022735181711,0.325877680331672,0.307778293126274,0.430037696071151,2.53223855355096,0.244464082152186,-0.0571381490244459,-0.0224827735786893,-0.00390972765173676,0.02565749001273,-4.8476287414094e-05,0.477368411744283,0.116070932716971,0.244084773085454,0.4526285529107,0.041783430615452,0.192296008550409,0.0500797791013796,0.125092532829412,0.0363153831092276,0.333558137771546,0.0449990764826123,0.232973924694707,0.0393916428310988,0.145139467631044,0.430139515421141,0.702037690914618,0.129324805413867,0.21249946429283,0.238470908648725,0.34630293008965,0.137621515239198,0.299999999999999,0.902538603151937,1.39336241448299,1.67120636454574,1.7430747452067,1.72713238174001,4.60623075534657,5.70751010665016,3.30416334445436,4.124303241281,2.81539824804397,6.78023994562147,3.51413068331721,4.44117962971611,3.3861457076159,2.35445981385404,3.14686832704384,2.30133048953487,1.32988227309093,0.805757162801953,1.05675076522685,0.977667339535517,1.05859384963423,1.09454867539387,0.746289998701939,0.829896285985416,1.03401557128102,0.269862451309564,1.01205132613658,0.416648959880016
10,0.140586027338105,4500.00000000003,2250,0.270375,9.725230625,-13.5480278629759,2,4500,500,9,0.588721998572252,-0.289497335415983,-0.261688329515513,-0.0610255785949582,0.907163472610847,-0.0105927221380655,0.0954088308991353,0.549401118988709,0.314423303363204,0.0882681611025606,0.555848542339332,0.00924243738618136,0.0382003593386203,0.57340409675898,0.872922129380779,0.599842246934975,-0.0113236344661935,-0.11330883363561,0.322150820006287,0.295495095800702,0.429196861119203,2.50144490993309,0.221200159595082,-0.0490164860072852,-0.0212466014478475,-0.00145959733203521,0.0273296533986768,-0.000406795284683361,0.477153474571806,0.11352827166489,0.236200261943603,0.459106892511585,0.042134712991232,0.182297620934224,0.0514859081640009,0.12045556731408,0.0369058884249399,0.338760458867384,0.0462434308795118,0.221102346148782,0.0398177554296867,0.139174579223356,0.42437875192711,0.692164987795626,0.120600204203991,0.202830679844878,0.230860768769703,0.339965744360898,0.132049138931505,0.299999999999999,0.85147174240501,1.33762649676611,1.76634431705745,1.67812968152077,1.8145894402834,4.87191357479444,5.61554122091493,3.39123366212272,4.40045619748122,2.97775082873209,6.57990303271034,3.62384389439845,4.67550500430035,3.57099087585153,2.35746922462226,2.98003771777827,2.10120525989127,1.35580008699662,0.780488068035823,1.11754501840922,0.973178848985703,1.07172196261529,1.0749476129111,0.763017560907427,0.796828917982214,0.981830849611182,0.242396792986386,0.994578310688118,0.390942334950058
