param,mean,sd,q05,q50,q95
gamma1,0.497613673573064,0.0644697896495337,0.390780540287115,0.498980723194236,0.603207985523825
gamma2,-0.219136991809469,0.0637304208410759,-0.330036894532532,-0.216657551457442,-0.118985332226367
xi1,-0.288450711561344,0.0554427079432288,-0.378911193793408,-0.288139723032989,-0.194960687528818
xi2,0.00783166425071005,0.0949372894728008,-0.154324749184384,0.00865657942997085,0.166221758761498
rhoU,0.653721200480177,0.105131641315323,0.471736484619344,0.656768387181484,0.82238180057138
theta1,-0.0267975892384355,0.0816704666218241,-0.152160111715633,-0.0321105378730345,0.116498700721212
theta2,0.11138145064045,0.0811739251767566,-0.0313772620846444,0.115214571891418,0.236116353829912
rhopr,0.807210862576385,0.0784562290239074,0.667613553347055,0.814256727512643,0.921549441978415
lam1,0.321228072153903,0.112055170690271,0.143073020967083,0.317825795390061,0.507382868969837
lam2,-0.188234445211271,0.130805368810207,-0.398138134779025,-0.190942220862635,0.0313313225874328
rhohpp,0.579748904686236,0.13212677608283,0.358157721771127,0.582227834725484,0.797209987166137
chi1,0.031766596270725,0.0198720036400965,-0.000463758943427415,0.0323187200740682,0.0642211739484494
chi2,0.0122830881256128,0.0195975185006979,-0.0189293333501257,0.0119217080049617,0.0450498242771708
rhok,0.972879652478261,0.0225918078025125,0.927832872970758,0.977904648851791,0.99810298241716
rhow,0.967942538462008,0.0256204446695936,0.91542557891892,0.975477597469411,0.995559568926911
phisum,0.953684008968535,0.0215318865792689,0.914763898991937,0.956972930025964,0.982149940438627
phi2,-0.447302386404624,0.120179799336707,-0.633070483045142,-0.453957983096153,-0.242240570201257
nu,-0.0204659341519682,0.0248222300968441,-0.0638026175707414,-0.0179280309989071,0.0147610766233515
alpha,0.354951610337303,0.0383092793284456,0.290690546045755,0.355628263184636,0.416771954329622
gzbar,0.167641575988092,0.0724734029042698,0.0480990732775303,0.167865408833802,0.28496234513646
gwbar,0.326842860029192,0.0679765824158731,0.211358731915235,0.327892593527468,0.438329976580268
pistar,2.56283636450938,0.158865055560728,2.28440576673938,2.56725520513123,2.80474324102377
alphapi,0.13146523815342,0.0500217927260719,0.0532019526837298,0.129588386092504,0.21969392291695
phiy,-0.0287831878120606,0.0151152215390551,-0.0567127875250158,-0.0261815678499012,-0.00905484983852073
phiu,-0.00656064109880648,0.00297867108295239,-0.0118955184503552,-0.00633772719850106,-0.00197782657313032
phipr,-0.00341669540461395,0.00752904709407438,-0.0154949934702917,-0.00339369042718017,0.00869733183657393
phihpp,0.0149414539236984,0.0163388301086178,-0.0117643193801859,0.0147742814646329,0.0420178367665613
phik,0.000185181414831072,0.00149978297722109,-0.0023520269766414,0.00023095092351994,0.00269218532478767
