stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,n_cloud,wf_m,wf_p,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_lm_w2021,mean_kapHyp_lm_w2122,mean_kapHyp_lm_w2021tot,mean_kapHyp_lm_w2022tot,mean_kapHyp_lm_w2023tot,mean_kapHyp_la_w2020,mean_kapHyp_la_w2021,mean_kapHyp_la_w2122,mean_kapHyp_la_w2021tot,mean_kapHyp_la_w2022tot,mean_kapHyp_la_w2023tot
1,0.00659736454007305,1999.99999999998,1000,0.188625,9.77056391666667,-8.35909949717677,2,4500,500,9,0.606888856434964,-0.194985259684986,-0.294392701317933,-0.272875798630601,0.549791668968436,0.257886687556644,0.21546673235265,0.517363556193446,0.237425838191646,0.189076886336477,0.488812879289448,0.0293255573134717,0.00133542907932625,0.507331884087466,0.523233051717306,0.52642761177002,-0.229005610013522,-0.108918248062836,0.347499722741173,0.289383193687,0.391097002600522,2.52895590188573,0.455784507017048,-0.0764326953074684,-0.0362151346317775,-0.00157751976196534,0.00821759092711557,-9.56580430139354e-05,0.679224742515315,0.139208362458555,0.278756801678769,0.464215981223146,0.046741351951229,0.269012039814816,0.0465483946823124,0.175514170434999,0.0470580627180761,0.373221716018571,0.0464485092540925,0.278421536993477,0.0461149203423162,0.143084298561308,0.545200297524973,0.921084494909389,0.184586373158306,0.233841555946114,0.289710888728022,0.469103487486901,0.184172863977359,0.299999999999999,1.74209814300382,1.65121003154811,1.60518044542734,1.74713423756178,1.82250124927937,3.37782219726873,3.43806401972089,3.37375842481464,3.43349315800177,3.76793260212307,3.55447807022887,3.42794686531848,3.52004105249414,3.36247006919736,3.36312007091395,3.51167949700903,3.31527143843291,0.941831470390865,0.901245629219209,0.945567029667251,0.909738647243582,0.953815735525767,0.905518119344896,0.691484053950518,0.685548466484557,0.692655794381024,0.738543599418412,0.676081857516258,0.711814008519805
2,0.0155183804263607,4500.00000000003,2250,0.307125,10.2292668333333,-10.270325029643,2,4500,500,9,0.610966203760187,-0.20730800725366,-0.343500910084552,-0.291867037124827,0.618169928904428,0.24458325618122,0.210787264884577,0.51966172405358,0.226968421077279,0.153888404515662,0.461415848632028,0.00477033004002691,-0.0345309659178542,0.512604787728403,0.565004844324302,0.549920870365221,-0.202018206275229,-0.100083860056304,0.346366767068388,0.285125424138467,0.402703338078547,2.51793919350113,0.388530218849584,-0.0727361013285527,-0.0326865349797926,-0.0010783170839487,0.00493136107684447,-0.00238567176702389,0.631329627470808,0.140697901020486,0.27929318448056,0.45929063614981,0.0466693238376269,0.267949565028978,0.0478313361632011,0.163297742152261,0.0466257128406331,0.379278508857674,0.0460700627054978,0.266977005025334,0.0458264757928222,0.147034692565788,0.530600322129099,0.897263029085948,0.172196479779415,0.225888293863313,0.282308184356389,0.453703616739542,0.175458030294791,0.299999999999999,1.76623040718187,1.6462707081351,1.51169251836777,1.70479297047764,1.87331193915998,3.17777749504769,3.53217321032505,3.33467747475635,3.5509417224155,3.67261867141542,3.99727237487533,3.79729804530436,3.94529363954337,3.39619080171018,3.10888000703273,3.81100264937756,3.35902378752487,1.00847347839171,0.923853865939546,0.986284680415259,0.888986766415699,0.979497103405877,0.86981785706976,0.716855016273668,0.669647635182333,0.662618909163136,0.73178597612203,0.664080273678957,0.692904219067938
3,0.0269423633814114,4500.00000000003,2250,0.312,10.0215968333333,-12.1042305683248,2,4500,500,9,0.626334678963212,-0.21409639790764,-0.375483053149719,-0.26797078962615,0.659570484259172,0.188382177657007,0.224093526496804,0.524680680182139,0.226746662823227,0.145879594814288,0.430300308864659,-0.0495676643438061,-0.0391476739328862,0.537114256856928,0.620128355361434,0.566720799245141,-0.195418325868291,-0.0985447611904469,0.345784811025848,0.266912402542481,0.420762132579623,2.52807307627458,0.323450572603797,-0.0721307105570821,-0.030769617745656,-0.00481655243193996,0.00586798246515335,-0.00108246077521309,0.595827173987349,0.145564019170608,0.278615955059089,0.447359919625241,0.0475203755480228,0.254844931704126,0.0482452307389114,0.153564284692561,0.0469484858006544,0.368265646165611,0.0451862366410995,0.268326117600263,0.0445038674744319,0.149458696540872,0.511297493852661,0.903477780076223,0.164664866508465,0.217220604787921,0.272309181997743,0.4319987807186,0.164848282073361,0.299999999999999,1.85883695893538,1.67739277158872,1.43509235726278,1.65131419713259,1.94709074545861,3.23553746693938,3.51393520225613,3.37103186664588,3.64801268592306,3.60890738204566,4.44840281768058,4.17633393135834,4.22263423209068,3.59860934152057,3.09493316569459,3.95348400069205,3.41133570763808,1.0478390753104,0.956418023024839,0.98236509143063,0.866599061634063,1.01299636358782,0.832784867084103,0.721422723048503,0.64611075177462,0.620975247431796,0.7746391978131,0.676730313832455,0.649129256634869
4,0.0397624401729734,4500.00000000003,2250,0.3215,9.979861125,-12.6487362535813,2,4500,500,9,0.636616253760667,-0.205716686344754,-0.359718723839183,-0.206911129715496,0.68452006086827,0.169532016460987,0.24817607048892,0.524565506812733,0.26102477364848,0.171665125318334,0.41983083787878,-0.0431724985422451,-0.0242657550446289,0.570977859701765,0.670752909598525,0.596475012852848,-0.199691552917647,-0.098203497033371,0.346289120254907,0.254636832920434,0.434008796895137,2.55526753924702,0.293402077009171,-0.0739077326345909,-0.0264514975745103,-0.00844509243106439,0.0157645576783911,-0.000646416901139589,0.585872928085163,0.147092794895941,0.276440438511337,0.434143067195801,0.0469099371208158,0.241183356942633,0.0487022582110424,0.147972978725782,0.0445869339746155,0.363736051259591,0.0447797188255146,0.27074777654988,0.0447917130048645,0.148104787345098,0.501042304031994,0.907763320795809,0.156328456283877,0.209176339763523,0.26951562847681,0.411208963897725,0.155535660464569,0.299999999999999,2.07556039784223,1.63127228592251,1.36084075088915,1.6002953589088,2.03379592358959,3.34706697150599,3.36942695050467,3.60599640903514,3.55710422164919,3.86931048703727,4.53032244402777,4.67793109826802,4.48698541919678,3.42296423803232,2.9521293214915,3.84553326823627,3.32330900003384,1.07716234349108,0.990659130221175,1.0364268309074,0.825831995532133,1.00992775281891,0.815180429246527,0.75392971953003,0.642532920881995,0.596005396025754,0.801855333686671,0.696463461647276,0.615170765721192
5,0.0537780149914554,4500.00000000003,2250,0.355,10.0453470833333,-12.9036167603281,2,4500,500,9,0.611228251646537,-0.194072748243501,-0.279149196202629,-0.129543730793193,0.717063450063857,0.175789680852205,0.213673765626211,0.528089326009845,0.292168721805006,0.14873883058819,0.4228510305112,-0.0242798082055242,0.0047082394340313,0.613630284186331,0.688215582230502,0.636944540370422,-0.180185117579829,-0.118372798162961,0.346297115807658,0.242419822205204,0.445107653172345,2.60096095069323,0.279361149374679,-0.0768023660270179,-0.0207210186349694,-0.00869171851696123,0.01819533968541,0.00025323028031215,0.589028135391354,0.144208575637762,0.273003088362709,0.41791140488723,0.0446323635273699,0.223445827523686,0.0495028356404124,0.145938896009466,0.0416721181794055,0.366033537061061,0.0444767172569564,0.276225710932402,0.0458746470385723,0.148757674557293,0.483558936463706,0.886576987145513,0.149530424654747,0.20335390774636,0.267945200339775,0.402602170218977,0.144319541807107,0.299999999999999,2.32342278688253,1.55380229946396,1.31781223438,1.60062628302974,2.04296299794376,3.61453484122823,3.23123691319226,3.93386572316884,3.3720617430049,4.07832919732913,4.31239852899295,5.01917538417325,4.72355363812101,3.15897744320902,2.9022135424279,3.6626503157799,3.39327663859892,1.0846857613337,1.07176914520782,1.1108712523969,0.806757325078644,1.01781359800258,0.80977717106451,0.735174500928376,0.635593969483968,0.607721820569099,0.830497845739498,0.740501712978151,0.589584713702147
6,0.0688758189355511,4500.00000000003,2250,0.302,10.0354785416667,-12.9740971182319,2,4500,500,9,0.584141960183199,-0.183381407175796,-0.255256940927358,-0.0736133116327796,0.744584580959243,0.135408009752149,0.191363233386787,0.529614701413263,0.335588141138303,0.133030180319244,0.430408308493829,0.01111609896727,0.00274406980534589,0.676729946579879,0.691803984847459,0.661950952235666,-0.150465709152842,-0.12997346135546,0.345620016810522,0.233593278990274,0.461512493182455,2.62935027305104,0.260923119756159,-0.07903920225273,-0.0172484113858801,-0.00491861945358417,0.020305925507816,0.00214760981832516,0.584224216310039,0.140631448830302,0.27012201128046,0.405345822015029,0.0435102124997145,0.202019937269239,0.0499552644261656,0.144789115801624,0.0406004216402802,0.375142876383137,0.0432198854836288,0.281339980797002,0.0471658638871552,0.151311284907168,0.473864665509258,0.857978575059776,0.145584307720112,0.196419169083675,0.270000158468642,0.402621122785269,0.133188853103853,0.299999999999999,2.36919123826029,1.46505809694791,1.29092537628682,1.63149062811593,2.07800301154779,3.88933356719854,3.25990443705391,4.45494874594761,3.36766391508041,3.98948945342329,4.1301624305232,5.11559130028873,5.06420578857518,2.89394017305219,2.90530010042795,3.46101383303269,3.47062917840241,1.13239610886561,1.20568998182374,1.15252957874809,0.800766056212918,1.0532870052788,0.814558850711541,0.772313803008441,0.629721707738868,0.635066655685899,0.842683416466519,0.761281978008548,0.634247205839616
7,0.085105154257308,4500.00000000003,2250,0.31225,10.0196417083333,-12.9435466639517,2,4500,500,9,0.557972938943052,-0.177911674126767,-0.27054745906038,-0.08007781226996,0.764140718632153,0.116754639401806,0.150101180857607,0.512664750500217,0.350661159298372,0.100122455696402,0.421463492973036,0.0229027357242497,0.0213340443877284,0.714112132872548,0.708053801241523,0.685121233617919,-0.168201099563894,-0.129073294640656,0.345350055463863,0.230359147091983,0.46873322690108,2.63434416735704,0.235210062212419,-0.0785639396120974,-0.0154977564083048,-0.00317168626830534,0.021160261071238,0.00319689993331464,0.573461594321626,0.138171685848246,0.264046928841765,0.39896017728529,0.0419380691833069,0.188010770097246,0.0492579654772613,0.141400578909927,0.0395371145569013,0.375050339858829,0.0417950369752845,0.283432865979795,0.047813449360736,0.155829377779119,0.467573099605846,0.836981741684126,0.13922763223621,0.194818897742283,0.270391449851343,0.4055099152142,0.126455129990745,0.299999999999999,2.33160789760682,1.44193788714299,1.31487719054094,1.66290356510063,2.1495579989792,3.89715080140719,3.26308723854756,4.77972981215112,3.46199559393861,3.64783618350587,3.95856991840074,4.88196654173995,5.23490235469724,2.78103103313437,2.77697093341952,3.03048009895554,3.52013833542867,1.15983067319789,1.28331719394378,1.13099009240899,0.803362770328456,1.07270827286891,0.822847777376607,0.802843477720947,0.597108151518212,0.636890829153163,0.83590008373397,0.774055850472439,0.704074893479489
8,0.102217380849519,4500.00000000003,2250,0.340125,10.1725643333333,-12.6994210857975,2,4500,500,9,0.535347265939213,-0.175631033447789,-0.281032570589308,-0.0852134215294914,0.797286381124256,0.0733280190485301,0.154355259619205,0.509947680894272,0.357400428189672,0.0868310522289549,0.397526449366168,0.0271434858170446,0.0221475652017532,0.723199875971486,0.718348541937658,0.700408064223049,-0.191417902718297,-0.122366595616814,0.34818610186053,0.223430440602175,0.467886481456052,2.64240840986896,0.210786195827125,-0.0736753992845247,-0.0142746926711879,0.00021021695951965,0.0219862040347226,0.00350711419035043,0.556218917256531,0.135845574484683,0.261335869406682,0.397026638379571,0.0410126966915565,0.176093030775614,0.0487578094743046,0.138340853759209,0.0390320945821908,0.366079988797674,0.040599345620277,0.269846516284429,0.047794592952976,0.162422053211269,0.458584332723663,0.822316082601701,0.12908832374173,0.196131195227524,0.26502235212828,0.399976149852689,0.120310594635616,0.299999999999999,2.22739515711971,1.46885539971353,1.32686708570687,1.69693119651351,2.1485368704383,3.79606261991815,3.20969024620011,4.66414035876864,3.68927445796093,3.41773494867726,3.8965497112485,4.67522168780169,5.02399914748829,2.68513790316663,2.59652708353067,2.85772851261302,3.39176207134039,1.17517339166809,1.29169082470613,1.09121513881322,0.790408227851164,1.05246630468483,0.861697336415811,0.808123010582737,0.574121806482259,0.64322316223037,0.871149118238632,0.785100720251183,0.75525612646784
9,0.12238009327433,4500.00000000003,2250,0.364,10.0938525833333,-13.8975006275273,2,4500,500,9,0.528248648972096,-0.176433492260641,-0.278752620153028,-0.0713093733155691,0.821626785186255,0.0564980895492367,0.174518344568219,0.52106460202311,0.38013966665926,0.0912830823047999,0.381733375466044,0.0334289775415085,0.0135405270414434,0.719029417695416,0.744332802854732,0.721717389312091,-0.204183251690372,-0.113155258280926,0.354274720212988,0.216890564829316,0.452343091907452,2.65737088904932,0.188813710624491,-0.0675054356798327,-0.0132096503516017,0.00156805138768218,0.0201951271458594,0.00288448000622892,0.540101598230764,0.134694429780809,0.257529132224184,0.39636723026294,0.0408088250769495,0.168008939469779,0.0488468831903424,0.135737911132012,0.0385909838731944,0.344757053241184,0.0400147200599668,0.247951391017489,0.0465412063683764,0.166395539554564,0.456790270149464,0.804758701795357,0.121617744988186,0.197425131872815,0.256591282852886,0.388431596069452,0.11488914634916,0.299999999999999,2.07411538384021,1.51965033452423,1.29213043216878,1.68467006412555,2.19429279768319,3.83601960017996,3.23016532774407,4.08510831236809,3.8157845671129,3.21904016817126,3.9553487211501,4.45148943227347,4.37845690242123,2.58729780002725,2.33841978887993,2.78582932432831,3.14811518294817,1.1728259895233,1.20718540271258,1.01222368655006,0.777496771665476,0.976632215394105,0.888400424116736,0.818464975255632,0.596373949827449,0.643569907711137,0.916264488432338,0.789830391715307,0.778635880986557
10,0.14812583454198,4500.00000000003,2250,0.26875,10.107464125,-16.5590856685493,2,4500,500,9,0.528020990972589,-0.180373305324934,-0.260564887107685,-0.0528928889439586,0.839491096873996,0.043846106330077,0.180719098852954,0.544578357987516,0.393550849283472,0.0756994721991884,0.3723427459971,0.0336053990161013,0.00149888558393423,0.734159584880877,0.777278171864385,0.720574734180656,-0.186506196287508,-0.104157906218922,0.353170131855395,0.21806162823256,0.433399045520021,2.66518333772412,0.18022051914439,-0.064599207375389,-0.0129156928356046,0.0002318339697325,0.0160690463474407,0.00244065818511864,0.526379589672021,0.133094111741283,0.251506200140218,0.395778077979121,0.0414060790650379,0.160160167207895,0.0481456727673241,0.132864630485632,0.0379195447223165,0.325476911229396,0.0392258878439123,0.227437360926763,0.0457937715978152,0.169344395912533,0.450051804673317,0.792056712035015,0.116415767053987,0.198135859914376,0.255888337204821,0.376885066439806,0.11213435355564,0.299999999999999,1.94510698628315,1.55869174033366,1.28564010638981,1.67287563231675,2.21153383543615,3.83834018974886,3.24616928316988,3.7089303119129,3.96568360317118,2.98443818402859,4.12680888895584,4.0616228427408,4.00349732571423,2.43797489786162,2.14980098198666,2.7869713715046,3.00303891308119,1.18593387837447,1.11309329987841,0.957388467743013,0.739413276475737,0.932084759704495,0.909511322050777,0.87467476194577,0.622506081761693,0.672027800635004,0.931416866783402,0.795791641220714,0.760145875238195
