param,mean,sd,q05,q50,q95
gamma1,0.518752103202181,0.0648213173806628,0.411560544586058,0.521059219776991,0.626514407170993
gamma2,-0.244619070118277,0.0615222555153491,-0.351965469417263,-0.241731603399536,-0.151526944225742
xi1,-0.287611871846414,0.0547106205467085,-0.380758563524522,-0.285734194765835,-0.198992490312426
xi2,-0.0266294417853722,0.0936664896277575,-0.184458888792849,-0.022789861679741,0.1259772337207
rhoU,0.60641323679996,0.0973936461631975,0.435502541658312,0.614837729322131,0.763176439397207
theta1,0.02132905087822,0.0838071027866106,-0.109811679679673,0.0192638876172814,0.167145953283877
theta2,0.072454544852649,0.0872144225272932,-0.0780206011524252,0.0744739765803907,0.213269981781416
rhopr,0.807416457750568,0.0804668011697182,0.66546813884301,0.813085593875626,0.925633966651453
lam1,0.374762894764537,0.111694433871864,0.195657996696462,0.376412812686266,0.559170363583093
lam2,-0.252822420536419,0.119368786497076,-0.444000505255693,-0.254323124030866,-0.0578083234947349
rhohpp,0.599377497797226,0.12825609768696,0.383042127408324,0.602088206299981,0.80284668224354
chi1,0.0354384407491825,0.0183530063636248,0.00564254024449943,0.035428916028151,0.0669911118911945
chi2,0.0124037426944009,0.0192932841800834,-0.0178814034310942,0.0124389406378628,0.0434302819230734
rhok,0.985642967582832,0.0168975291823745,0.95477540980453,0.991237015690501,0.999249701600466
rhow,0.967275459687847,0.0262591179486161,0.912795169920761,0.975954007267401,0.994743224614574
phisum,0.957710179891166,0.020675233538584,0.920726959413992,0.961011831035539,0.986638892580039
phi2,-0.439344769891179,0.118115879413627,-0.620304872649802,-0.446747041147169,-0.236156872090957
nu,-0.0198747457922413,0.0248734140110039,-0.0641380749903442,-0.0171051752153747,0.0151563127515702
alpha,0.353107717306614,0.0403810501040633,0.28196612763463,0.355357746657937,0.416147266537426
gzbar,0.182129795300248,0.0690462124267404,0.067140690518893,0.181418361047004,0.29419245272268
gwbar,0.316671734690017,0.063413932272654,0.21047923960062,0.315374670973348,0.416053932959926
pistar,2.55997413539024,0.170165740267858,2.29506590957739,2.55001340387768,2.86252048125374
alphapi,0.120043220847659,0.0458101966167286,0.0508244234058861,0.115059758311738,0.204127568982592
phiy,-0.0282343666962189,0.0154773492311866,-0.0582686188878802,-0.0252402744439065,-0.00854779884236931
phiu,-0.00566895042951731,0.00308243933749631,-0.0110929247389783,-0.00538273120756205,-0.00130071049493021
phipr,-0.00164070220611667,0.00731955664947904,-0.0130114873421122,-0.001783496353996,0.0112690674770351
phihpp,0.0133077088910559,0.0156315912697658,-0.0131409038084921,0.0131488235809767,0.0393530959005055
phik,0.000550941288799644,0.00150581640441387,-0.00193217435158101,0.000587692667144835,0.00304795019720821
sig_c,0.35309819462988,0.0329279565136118,0.302697039236942,0.350676101454375,0.414230872020753
sig_Ustar,0.103832449695937,0.0115426115790598,0.084909704460224,0.103639245810559,0.12271188538909
sig_pie,0.207546593258338,0.0177922125059806,0.181099612431578,0.205718749883665,0.238999409144834
sig_z,0.333670767161774,0.037423498167311,0.275754621652906,0.330626556727051,0.399920224681789
sig_gz,0.0419740836749394,0.00933746577077887,0.0288242210193363,0.0407289120959765,0.059325883125286
sig_k,0.0753945998473157,0.0055637102378981,0.0664675518821498,0.0750925479871829,0.0853909681495633
sig_gk,0.0352827203477045,0.00445419523667829,0.0280569641941491,0.0350310484387233,0.0430812670576844
sig_w,0.0559361050501795,0.00457556805030919,0.04907265503115,0.0556358509971706,0.064006347955392
sig_gw,0.0298336420894574,0.00356011351818388,0.0243297177178175,0.0295696098924288,0.0359111236236378
sig_hpp,0.226715023293407,0.0320422424164665,0.177785145570473,0.2254105091984,0.283116263356873
sig_ghpp,0.0348648789253732,0.00772270204746202,0.0243805605900301,0.0336674100660085,0.048977338052863
sig_pr,0.166193015456979,0.0220206590613256,0.133445136593781,0.164450494341449,0.207587758448056
sig_gpr,0.0347107741048222,0.00639580486473848,0.0256798155893027,0.0337898215892536,0.0463464056160679
sig_xi,0.12392837458768,0.0298819710440997,0.085266652380616,0.11868189146728,0.181476850299682
sme_y,0.256489999565641,0.0259373960198829,0.214725311901754,0.255753730311436,0.301899159009508
sme_pi,0.614909381202667,0.0369996838322468,0.55663441619985,0.613398342696601,0.67743440859322
sme_w,0.0576399243953274,0.00495474911114845,0.0500556622769228,0.0572750670307887,0.0660979407568829
sme_U,0.109637335691305,0.0108150319350712,0.0922681081182927,0.109283192481833,0.128215821666494
sme_pr,0.237230167746573,0.018669076456364,0.20622866362517,0.237423461767454,0.267162821191383
sme_hpp,0.355974699955511,0.0252122152076568,0.317213021403817,0.355205823877899,0.400626594651259
sme_k,0.0584502694482654,0.00521461925577218,0.0507576186420712,0.0580650088329913,0.0674510578203914
sme_pieobs,0.299999999999998,1.72084568816899e-15,0.3,0.3,0.3
m84_y,1.08473269763629,0.37064333328567,0.565917384824106,1.02655614911174,1.76235726656254
m84_z,1.93679829708729,0.416136547993741,1.29047338959951,1.90029595425883,2.67653065088517
m84_c,1.76714187799624,0.333537949195471,1.26597878726975,1.73481706666739,2.36818328559492
m93_pi,1.94628050085865,0.237767188915046,1.59258063935579,1.93543696233089,2.35693237447632
m93_U,1.64436507322112,0.321768052859303,1.13484810171369,1.62528902822559,2.201528848002
kapc_2021,6.03138993815895,2.49064251637906,2.64068993013333,5.63859843625899,10.7257598486653
kapy_20,6.66002701479253,3.32056779055828,2.75946912584798,5.88955855164038,13.1524980812201
kapy_21,4.8698883183296,2.30789322079463,2.26551889559238,4.3619883665749,9.6715317268598
kapu_20,4.68645373196638,2.7490841749029,1.69223526637341,4.11322134119606,9.67539471188153
kapu_2122,1.80202179390598,0.587084717223618,1.17280321999885,1.64690036991145,2.9804743306543
kappr_20,9.28532902228413,3.57145789608574,5.41055671302643,8.53270477990268,15.8163971687837
kappr_2122,2.41863774322796,0.722942192096139,1.49432248177229,2.32011650015235,3.7138755308989
kaphpp_2022,3.62871921751178,1.05017156562647,2.19348101747689,3.48646228391751,5.4257343096903
kappop_2021,5.58918243576752,1.91838471587465,3.18415193916578,5.22781942310767,9.28005013910031
kappi_2023,2.35323940732505,0.490301225125982,1.7029866414392,2.27195524962551,3.25771279250242
kapk_20,2.62826481402568,1.7529757143958,1.14891545337065,2.07023590655543,5.64801997339863
kapk_21,2.0791510662168,0.910064756154474,1.17091943655023,1.81817936260773,3.95412631443669
kapHyp_lm_w2020,1.43173761474557,0.342005960890465,0.89073373279216,1.40854084923706,2.02249160379996
kapHyp_lm_w2021,1.1179784358922,0.392786009545882,0.463782983273981,1.12675593344527,1.75361668373868
kapHyp_lm_w2122,0.621064013994746,0.365168972239768,0.0323667074837515,0.623461419569641,1.20263712218862
kapHyp_lm_w2021tot,1.45662715687666,0.327036484038738,0.915806073633079,1.45651478582924,2.00428108788778
kapHyp_lm_w2022tot,1.35793361995982,0.399221051846441,0.706475303912948,1.3577972410301,2.0386559311686
kapHyp_lm_w2023tot,0.785613676816862,0.353891466282161,0.201928051131829,0.774245748588029,1.3679803037337
kapHyp_la_w2020,0.606106880069852,0.520607955452369,-0.255767326376751,0.609627582221607,1.47232818781925
kapHyp_la_w2021,0.445341819465785,0.487258388441745,-0.345483959981363,0.423267972573342,1.28374782822963
kapHyp_la_w2122,0.896015595532075,0.555608813431332,0.002505600752954,0.878139595088748,1.81936075471039
kapHyp_la_w2021tot,0.786234543671201,0.594521540187705,-0.182306803978606,0.77687518440329,1.74421936452714
kapHyp_la_w2022tot,0.970967281868252,0.553777879484449,0.0761999757062089,0.966994628954028,1.88307014236858
kapHyp_la_w2023tot,0.662449368052592,0.572229571213387,-0.254671061072187,0.642218384289885,1.67825779775467
