param,neff,post_sd,pooled_mean,q05,q50,q95,rhat_classic,rhat_rank_bulk,rhat_rank_folded,rhat_rank
theta1,3.2938690710954,0.0878159735224636,0.057578549640906,-0.078598341135492,0.0533956402446368,0.212543713566444,1.19068626853172,1.17590785944857,1.06496354316311,1.17590785944857
kapHyp_la_w2023tot,3.62226103651654,0.575756214542617,0.706560205163038,-0.259888799052573,0.721420830445789,1.61618374818679,1.16933387067289,1.16613344383853,1.03633007402937,1.16613344383853
theta2,3.93727204106717,0.0884244039937486,0.0252045817863704,-0.125831572799058,0.028262640617858,0.165489438728692,1.1529279318671,1.14610303696881,1.0430026838556,1.14610303696881
rhow,4.07119534484166,0.0289103594058965,0.95738624334837,0.902606961754797,0.962677501751394,0.994072760564904,1.14688207993766,1.17237059687554,1.00881876657596,1.17237059687554
alphapi,4.21737045912387,0.0517258014651793,0.12835702863522,0.0496485758957956,0.124709100766808,0.218559926224373,1.14080829754394,1.14062313462941,1.01447480640788,1.14062313462941
sig_hpp,4.22002406538917,0.0343104426323148,0.228857935094898,0.177104126524136,0.226242145517955,0.290596501715844,1.14070269394628,1.13913641794737,1.02782054304273,1.13913641794737
xi2,4.29361858623738,0.0812724741605484,-0.0436879405113769,-0.170021426812974,-0.0476477800708139,0.0974580760591573,1.13783597697914,1.13890436348378,1.02531394996599,1.13890436348378
kapHyp_la_w2021tot,4.43535254035149,0.602850811478139,0.704562757319076,-0.261501736774749,0.691040320402672,1.71315715121667,1.13263287188102,1.1317359591739,1.01156102516835,1.1317359591739
rho_c,4.55572317399958,0.0814303220311867,0.73725817187501,0.591619924709523,0.743639132857948,0.858978718881785,1.12851392910554,1.12730530854214,1.02118076412662,1.12730530854214
m93_pi,4.6884665422448,0.242639085657388,1.76846387705781,1.40577129249361,1.74816000588528,2.19680958688025,1.12425933050476,1.12532677095047,1.00850650365677,1.12532677095047
gzbar,5.11622074420463,0.0773821748907612,0.149851981951502,0.0219303837959052,0.150735441826466,0.276281658220221,1.11228558943367,1.1118752064628,1.01149343728772,1.1118752064628
sme_pi,5.18523219353438,0.0465669416427563,0.645254826542636,0.573974032505437,0.642469637766199,0.72670550584211,1.1105672350322,1.11226399417684,1.00709827788272,1.11226399417684
gamma2,5.57114672819654,0.0623830026023145,-0.22323649530814,-0.330598943629442,-0.219027419174256,-0.12643734873603,1.10185307299856,1.10210509193971,1.00905444392412,1.10210509193971
sig_xi,5.61003631564015,0.0381420495340189,0.130093508735362,0.0826111094078118,0.123045837119701,0.200937073188422,1.10105067460749,1.11032313794739,1.01656963659256,1.11032313794739
gwbar,5.82383635325808,0.0702598329500648,0.340355167503554,0.224620182521927,0.340602193710058,0.454925868598731,1.09685626721167,1.09674744537417,1.01034445013686,1.09674744537417
