param,neff,post_sd,pooled_mean,q05,q50,q95,rhat_classic,rhat_rank_bulk,rhat_rank_folded,rhat_rank
kapHyp_la_w2122,3.00651651957765,0.58081433088643,0.776584859245413,-0.213343150042348,0.789792906196059,1.70841415967118,1.21437942115637,1.20896752861147,1.05953323935422,1.20896752861147
sig_k,3.58103532502779,0.00601350773244801,0.0735186322977895,0.0646785166973206,0.0728716463847097,0.0845109500877347,1.17174666055414,1.15000652264976,1.0608006087451,1.15000652264976
phi2,4.45308035896047,0.127237470842609,-0.437314888741936,-0.623750238375492,-0.45002527827652,-0.205319248730192,1.13200968560939,1.12729380143422,1.03124248415796,1.12729380143422
sig_c,4.72966947841928,0.0396393344873207,0.378869608250033,0.318830016779808,0.375900802775195,0.448752462662406,1.12299560988459,1.12210003997927,1.01022489760681,1.12210003997927
rhok,4.80660239902734,0.0199741582948369,0.974382761422522,0.934409954399872,0.979403005117509,0.996112692572519,1.12070375535225,1.15552479643648,1.0108839640877,1.15552479643648
xi1,4.99697132574037,0.0597376365235852,-0.276080221091044,-0.377096332883486,-0.273960116503651,-0.181785284404788,1.11538457188558,1.11484381474997,1.01748142025366,1.11484381474997
kapHyp_lm_w2020,5.02660068440912,0.357972385566999,1.49043876609141,0.88588028832347,1.49745465745124,2.06044414685512,1.11459867551972,1.11456362840746,1.01721928357605,1.11456362840746
kapHyp_la_w2021tot,5.05150025512853,0.552117871881685,0.617857234602421,-0.310246027755966,0.620599567485174,1.50593754308354,1.1139464873674,1.11345338655346,1.00536977118455,1.11345338655346
sme_k,5.06789583263501,0.00528693181455492,0.0585446604896416,0.0505235533927768,0.0581889107144112,0.0677401856823577,1.1135210913674,1.11314437414955,1.01407690470896,1.11314437414955
kapu_2122,5.14370882209742,0.716583104865965,1.87424912172378,1.12760059644986,1.68335467770219,3.24647883853697,1.11159477081326,1.13864703229878,1.03454343366703,1.13864703229878
m84_y,5.2190979899351,0.419693052467986,1.24404715876019,0.663508126079027,1.184552371984,2.03574165750024,1.10974313450941,1.10628634876147,1.02573084368051,1.10628634876147
kappr_2122,5.24853792344971,0.812968077158191,2.41426100693399,1.36038151559142,2.28464999032905,3.906604378516,1.10903667658633,1.1228811440324,1.01607666758709,1.1228811440324
phisum,5.2666824835389,0.0219181257720632,0.956544021424694,0.915947387572028,0.959769983695046,0.986416610196881,1.10860579291419,1.13337077850732,1.02245138453111,1.13337077850732
kappi_2023,5.45013760184711,0.532298072500124,2.29040543954489,1.58389462953172,2.20350383194703,3.27671638237707,1.10443359843484,1.11244057983327,1.00932057141429,1.11244057983327
sme_pi,5.83714355057607,0.0432402375138725,0.645366919286642,0.577986467498572,0.643658413610459,0.719448660741548,1.09660670609303,1.0966165044031,1.00840744827811,1.0966165044031
phiu,5.94775326001021,0.00312194172627749,-0.00748492559988634,-0.0129433300616518,-0.00722267568297077,-0.00282745048669264,1.09458117104496,1.10194230148178,1.00951720159889,1.10194230148178
sme_pr,6.26633183775749,0.023346714240361,0.22693733199941,0.18946833303295,0.226332899273867,0.266172752234611,1.08919558849977,1.0891762585888,1.0203078247975,1.0891762585888
gamma1,6.65141288630564,0.0688054918454505,0.50567157492268,0.392385044134029,0.506366874145779,0.617483856375171,1.0834529616808,1.08324256650999,1.00895134046189,1.08324256650999
sig_hpp,6.7693710102885,0.0325749863625012,0.230391067338247,0.18046965055079,0.228204699135946,0.287244768757086,1.08183917826288,1.0813935384666,1.00578203954957,1.0813935384666
kapy_20,6.86750094353161,3.54612904388603,6.95163292495063,2.50312054744752,6.35334354756103,13.493519817681,1.08054353666443,1.09962995106323,1.01091234864673,1.09962995106323
theta2,6.95860785020909,0.0798541781291129,0.092751445842295,-0.0389047914349794,0.0926895120789012,0.223871531191782,1.07937686616878,1.0800442020353,1.01002311665335,1.0800442020353
rhopr,7.05053261598081,0.0829688991511918,0.809943982455662,0.667566942385601,0.81348674553178,0.942116074231049,1.07823353001471,1.0832959903731,1.01375380102275,1.0832959903731
sme_w,7.06999264523584,0.00478828352401087,0.0567626969480708,0.0494207225956554,0.0564446169996776,0.0652073500998343,1.07799570847538,1.07791083940605,1.00682666062108,1.07791083940605
sme_hpp,7.16680127742809,0.0311992090042858,0.360049624404453,0.311217191851493,0.358809433773113,0.413653797301857,1.07683380353184,1.07744796379433,1.0146368960845,1.07744796379433
sig_pr,7.19819248175285,0.0241130656464764,0.181915172141014,0.14485343110908,0.18049069373472,0.224069261590543,1.07646445027139,1.07412872707087,1.01094471490789,1.07412872707087
sig_gpr,7.41176645456539,0.00722653532088106,0.0355797370040602,0.0254192451412722,0.0347171610079844,0.0486368165714232,1.07404290468732,1.08257072511862,1.01055817076328,1.08257072511862
kaphpp_2022,7.5620761577339,0.931685547922262,3.67852685913273,2.41031144283192,3.55147590682077,5.34703637986278,1.0724287191327,1.07559225040833,1.01223782644266,1.07559225040833
m84_z,8.21419973082338,0.470599369417326,1.82259743128306,1.09557223609908,1.79381874914227,2.63424803132708,1.06617088556347,1.06887418148827,1.00754513946056,1.06887418148827
alpha,8.2891180317901,0.0410189398775985,0.356748078047666,0.290389649744403,0.356236679121026,0.424914811047507,1.06552059994457,1.06532334951278,1.0094786369071,1.06532334951278
sig_z,8.4512608942713,0.0404996588778862,0.327632239475173,0.264424791426786,0.326053558706214,0.396705585529031,1.06415610454361,1.06437222671629,1.00649088735262,1.06437222671629
kapk_20,8.9093935352475,1.87174839541022,3.35117989841073,1.36803524740023,2.88668465173207,6.88959391063261,1.06059106075361,1.09936205856551,1.00908366176093,1.09936205856551
lam1,8.91177860755817,0.1005592108687,0.288830424989323,0.123969299837343,0.28935896366474,0.453252741226864,1.06057353815117,1.06079667366811,1.00517519433151,1.06079667366811
xi2,9.1963322705662,0.0875605880254247,-0.0126724680937362,-0.150080695132756,-0.0163397681826904,0.135996992756434,1.05855334850111,1.05736770019298,1.00865833682893,1.05736770019298
phihpp,9.2915080833416,0.0165248429082444,0.0121643963679218,-0.0150417432436251,0.0123759671702173,0.039083222772745,1.05790741141687,1.05774586622907,1.00867646461686,1.05774586622907
theta1,10.2412579163225,0.0749755030425835,-0.0122101098889212,-0.135114096400802,-0.0122342432503514,0.111806038978466,1.05216536881765,1.05236369250706,1.01152944326961,1.05236369250706
pistar,10.3262178436958,0.162725454268973,2.57559521305203,2.31214916540291,2.57257896920606,2.84205789388639,1.05170674990672,1.05126982857733,1.00793689212882,1.05126982857733
kapu_20,10.4154220675953,2.64640016350383,5.39173930827483,2.20797701140271,4.87432893566275,10.3612573598113,1.05123382423455,1.06989960313749,1.00416708937354,1.06989960313749
m84_c,10.4479889782907,0.327504060398198,1.70588699094461,1.20870436737162,1.68395959808776,2.27211129585,1.05106331712283,1.05318617066147,1.00171979376784,1.05318617066147
sig_xi,10.6661295654763,0.042651898087248,0.138458806236763,0.0848483066556113,0.131329409993346,0.216960088386321,1.04994986047947,1.06510155289731,1.01617009363182,1.06510155289731
kapc_2021,10.6967103430502,2.60041285500838,5.22610681345372,1.80066213440349,4.853974473525,9.97264294556343,1.04979763803136,1.06404834056143,1.01034182312204,1.06404834056143
kapHyp_lm_w2122,10.7260930421225,0.361939443125329,0.74312082191006,0.118756991435573,0.755562912441729,1.31684549388383,1.04965225121237,1.04836294225554,1.01064959030441,1.04836294225554
