param,neff,post_sd,pooled_mean,q05,q50,q95,rhat_classic,rhat_rank_bulk,rhat_rank_folded,rhat_rank
phisum,3.45513223829676,0.026962842741195,0.9511135104938,0.902329518949321,0.956230254306475,0.983919923624008,1.18286961418857,1.15197783123007,1.05941399351988,1.15197783123007
phi2,3.5401915108373,0.144386132802865,-0.423375112131545,-0.630398014927116,-0.44076052438566,-0.156369174395811,1.1773155222874,1.16014749605156,1.04597042528941,1.16014749605156
phiu,3.65079647846493,0.00353829209395891,-0.00771034785222154,-0.0137710230577494,-0.00755078908741384,-0.00215020182500664,1.17058154192068,1.18323414443032,1.03798564374034,1.18323414443032
kapc_2021,3.99163645544568,2.06453348092365,3.95423780950504,1.33176790691905,3.57722951103708,7.76933698783799,1.15272303212227,1.18808052084534,1.02780105141591,1.18808052084534
theta2,4.24876939611992,0.0888861970272407,0.104404630380202,-0.0401727159711346,0.103791439031912,0.250870808378161,1.1415530422618,1.14232935929708,1.02357866582317,1.14232935929708
lam2,4.45481255947658,0.141206965646237,-0.151233837026981,-0.366957722164735,-0.160596874085016,0.0984030633828814,1.13372040784594,1.12283538542484,1.04579169350679,1.12283538542484
theta1,4.5241229228935,0.0835732803039392,-0.0208985786179836,-0.157471864435329,-0.021289004959506,0.116308487812771,1.13127756191229,1.13154719756953,1.02145396716925,1.13154719756953
xi2,4.60827316454078,0.100881396657902,-0.0115280766381081,-0.17241603842683,-0.0141750137604845,0.161347852531909,1.12842944627167,1.1268056706122,1.02056327933517,1.1268056706122
xi1,4.749385819663,0.0652715985374309,-0.280703124878025,-0.391597890546945,-0.278203933620893,-0.177058097514462,1.12392189892216,1.12204109573652,1.01941199992406,1.12204109573652
sig_Ustar,4.84155161216668,0.0145862808695406,0.0969697122567634,0.0744375944475924,0.0961692383155468,0.122231238383714,1.12114535713643,1.12156632300434,1.01280263612683,1.12156632300434
sme_pr,4.98335823560345,0.0242490632873204,0.225648097643644,0.186457245056847,0.225307280039322,0.265851261411743,1.11710892644105,1.11681857575045,1.01512004390878,1.11681857575045
rhoU,5.53549224648433,0.103423349982796,0.652273980383278,0.477874054151527,0.65441526846338,0.817888801587421,1.10366620640714,1.1060292993767,1.01446833644037,1.1060292993767
lam1,5.5805336125578,0.115288782530745,0.301627785884661,0.109054628376144,0.302557391812937,0.486699279574551,1.10270478007771,1.10170048941226,1.03246821987174,1.10170048941226
kapk_21,5.59892778099253,0.893664432975133,2.03928385877406,1.11364923373569,1.79705706150216,3.77813238286712,1.10231726966075,1.14680528108718,1.01964770004026,1.14680528108718
kapHyp_lm_w2020,5.8826136482769,0.363952966740591,1.50028270568597,0.883056102363452,1.51376347145506,2.0745210538157,1.09669151438056,1.09522063205682,1.01154226552963,1.09522063205682
alpha,6.1860545355827,0.0443742852827994,0.358563020277394,0.28510941348189,0.358446596356536,0.431977981761503,1.0913219029753,1.09125896067366,1.02342636976945,1.09125896067366
sig_c,6.48200191645162,0.0381109117686954,0.36245058925399,0.304032649341387,0.360209024061983,0.429257724699999,1.08663075012812,1.0875477556461,1.00579476824214,1.0875477556461
kapHyp_la_w2020,6.48788114369257,0.576886227359977,0.493555228630422,-0.47152409059732,0.495852702009738,1.44032409086513,1.08654244214718,1.08619252219101,1.02007335812023,1.08619252219101
kapy_20,6.5866717706173,4.3128654935901,8.5719536961754,2.80178708274247,8.02288517178879,16.4629973644127,1.08508509160972,1.11484693532524,1.00949694813078,1.11484693532524
alphapi,6.96716025005913,0.0488347849817491,0.118391553034441,0.0452440812851549,0.11448729560484,0.203793965791854,1.07990339960217,1.08746622049341,1.00789976456881,1.08746622049341
m84_z,7.06200663478385,0.468230280629897,1.90950638489588,1.19565066025342,1.88180787400056,2.72643056026763,1.07870866680407,1.08205769286446,1.00973777968322,1.08205769286446
phiy,7.10160753797838,0.0152642157397584,-0.024242810438765,-0.0533837144014968,-0.0213782478797106,-0.0051326102508109,1.07822035547567,1.1006777083508,1.01245717908265,1.1006777083508
sme_w,7.26574993357124,0.00488189554886305,0.0569471203322521,0.0495775583137817,0.0565930537943007,0.0655457909936009,1.07625941324023,1.07601025100226,1.00623405602656,1.07601025100226
kapk_20,7.40233822666626,2.0223220917567,3.40889530110526,1.37913580400189,2.88683119698106,7.16100754922948,1.07470115663064,1.10955538900504,1.0199942318263,1.10955538900504
rhok,7.41122828132485,0.018798546689213,0.97694279990736,0.941264250574905,0.981591652435267,0.997062161303561,1.07460194226584,1.116406867666,1.00875275105097,1.116406867666
kapu_20,7.51016399483831,3.28306108451087,6.31350400560898,2.22157781986601,5.73168382484826,12.4134203416215,1.07351535323434,1.09808208106503,1.00605885765535,1.09808208106503
sme_U,7.57745235965929,0.0124157738554923,0.115404882454208,0.0964046327583242,0.114633639962571,0.136987251124573,1.07279426851687,1.07201015762882,1.00871956346545,1.07201015762882
m93_U,7.69993487286947,0.422199601988808,1.71402571282802,1.06688765503466,1.68631875972872,2.44109851877624,1.07151741822706,1.07592512720069,1.01216223568036,1.07592512720069
rhopr,7.70233991544735,0.0889830448138826,0.828840558571213,0.675365601671919,0.834379150812735,0.967939252406121,1.07149279501818,1.08167961581415,1.01482041851468,1.08167961581415
sig_w,7.72309381286179,0.00482494996962887,0.0571573408811455,0.0496196141443969,0.0569126109360562,0.0655269552915082,1.07128101647907,1.06956278428528,1.00971329430751,1.06956278428528
sig_pr,7.85336574768884,0.0250369520926327,0.181782693364859,0.142486173341909,0.180624328920057,0.224879847088144,1.06997984867266,1.06941048419344,1.00968899208423,1.06941048419344
kaphpp_2022,7.85841340156423,1.00409573337073,3.97519679817592,2.56287538787569,3.85448895615504,5.80579056189713,1.06993038859325,1.08007464889791,1.01019077482694,1.08007464889791
kappr_20,7.91712640334519,3.15657253433245,9.70648790398924,5.80265438519315,9.11949716551571,15.6796833109274,1.06936018165161,1.0733582016247,1.01470199594188,1.0733582016247
chi2,7.93882198893119,0.0201722146223054,0.0114805988416636,-0.0206226373969008,0.0108319888337639,0.0453022754150267,1.06915182756909,1.06765898290449,1.01194215732442,1.06765898290449
sig_k,8.18258542858649,0.00530852828438198,0.0718369305944151,0.0636487177929197,0.0715612934555276,0.0809844938621702,1.06689415778528,1.06659801146678,1.00574118214724,1.06659801146678
kapu_2122,8.35065433078466,0.70578401393518,1.87417303448473,1.1290848931958,1.69093150141506,3.24269885860049,1.06542160064778,1.09838899700535,1.01059447797879,1.09838899700535
gwbar,8.36978448213856,0.0675568845366561,0.339894215607339,0.23005241893436,0.33921206240703,0.451846563411274,1.06525809271463,1.06484291644292,1.00899384172254,1.06484291644292
gamma2,8.40888375665057,0.0621514378178269,-0.236668014460119,-0.345870825266945,-0.232751133782866,-0.141344868007396,1.06492643787206,1.06626870732032,1.0043521077998,1.06626870732032
sig_z,8.4463451350857,0.040322750091195,0.3351782645554,0.271487835340965,0.333582046329456,0.404112106023769,1.06461182615474,1.06450723091666,1.0094190026612,1.06450723091666
sme_hpp,8.74724399531438,0.0300909310224345,0.355672222702015,0.307195926070586,0.355272786329733,0.405923092714635,1.06219134031438,1.06253399667338,1.00704206122324,1.06253399667338
kapy_21,8.99254302154831,1.75387386917149,4.46633764190613,1.99870168848982,4.24829152949684,7.64458690401849,1.06034842460724,1.07576167321106,1.00962929949607,1.07576167321106
sig_gz,9.41520249844247,0.00940164015274534,0.0422208763610767,0.0294243520546082,0.040963434077918,0.0594373977309495,1.05741697780055,1.05479653512544,1.01265653860203,1.05479653512544
m84_y,9.43269108258336,0.407925303972714,1.1797534956927,0.603277167537687,1.13186900794418,1.92179355620945,1.05730181001289,1.0622696450916,1.00715044895469,1.0622696450916
sme_k,10.2945427007449,0.00486888712681208,0.0571555861180409,0.0498324009996321,0.0568109842831469,0.0657794469992105,1.0521474861153,1.05123964512603,1.00674415181867,1.05123964512603
sme_pi,10.3299002856751,0.0421697222764242,0.638552847267608,0.573009111190246,0.636733244244268,0.711653568229971,1.05195576971308,1.05258141621023,1.00674276214635,1.05258141621023
kappr_2122,10.416608944745,0.828792139635963,2.78940297864784,1.70242636895338,2.65929910514504,4.33478924809143,1.05149153439812,1.0606508039461,1.00366279144088,1.0606508039461
nu,10.4702569973649,0.0271014068493077,-0.0207065252402411,-0.0702453855466432,-0.0171930186364309,0.0173845233537152,1.05120843852171,1.05094623550971,1.01124884853254,1.05094623550971
rhohpp,10.5061668831063,0.130731027380871,0.543652194583458,0.32160046024468,0.547796101371779,0.751021436756525,1.05102067916938,1.04980521236979,1.0110164122026,1.04980521236979
rhow,10.5229256806393,0.027265466945915,0.95843021396559,0.905416727007782,0.964053788957412,0.992423025138056,1.0509335243932,1.06383558943403,1.00663397691985,1.06383558943403
m93_pi,10.570421855565,0.220411268674809,1.75997235524532,1.42916074503973,1.74267519845292,2.1474704420774,1.05068812962616,1.05205360935786,1.00395686983553,1.05205360935786
sig_gpr,10.6133643481741,0.00755376510288013,0.0368923501173485,0.0262377700251341,0.0359513058711281,0.0506420193109326,1.05046828978866,1.04975460506497,1.00970760044101,1.04975460506497
sig_xi,10.8570023082298,0.0356537091609365,0.129107900764977,0.0827768408478951,0.123295462679704,0.196047800600629,1.04925626358535,1.0559234908689,1.00577795336964,1.0559234908689
phihpp,11.601780759021,0.0178142335160492,0.0105884277646162,-0.0191058725301331,0.010915495993581,0.0388879013018674,1.04588766892653,1.04580122209181,1.01146767839105,1.04580122209181
phipr,12.0061989802869,0.00893634863430046,-0.00263046215374011,-0.0168853663265142,-0.00286359524598994,0.0122869158061825,1.04424470185951,1.04429535720078,1.00753637067115,1.04429535720078
sig_gk,12.1398302899028,0.00430553175025736,0.03590089038133,0.0293514422080443,0.0355935562026482,0.043454565057623,1.04372738790995,1.04367792748634,1.00424481549962,1.04367792748634
sme_y,12.5621010258869,0.0265707592747047,0.254826977785574,0.213676532089624,0.253298755972843,0.301091590439206,1.04216940078544,1.04247209786335,1.00352491437551,1.04247209786335
chi1,13.7261307152104,0.0193636703804164,0.0347590407186255,0.00333989184138372,0.0345086253776543,0.0670841520283831,1.03839826595327,1.03846642290012,1.00812730893045,1.03846642290012
kappi_2023,14.8461153038882,0.48962206005489,2.23418484483288,1.5788441264782,2.15991332049442,3.13890084444375,1.03535624677978,1.03831057438078,1.00412785484631,1.03831057438078
sig_ghpp,15.0907246600794,0.00671332294444422,0.0341456431708593,0.0247087227028919,0.0333160823361713,0.0462629497796326,1.03475491477008,1.03325313816417,1.00884181822833,1.03325313816417
sme_pieobs,15.2,4.44089209850062e-16,0.3,0.3,0.3,0.3,1,NaN,NaN,NaN
m84_c,16.0524896471986,0.343679271232834,1.76270414899147,1.24829000869377,1.73460956865125,2.3715117660161,1.03257650967692,1.03459450580063,1.00402676469143,1.03459450580063
gamma1,16.22598140035,0.0683356773052942,0.509565255548471,0.397688357078115,0.508970669773979,0.622780674134716,1.03221230499105,1.0321647798791,1.00454822932057,1.0321647798791
sig_hpp,16.6549564563755,0.0323287057290059,0.22560440387503,0.176466643289358,0.223465135116788,0.282219228891654,1.03134580317087,1.03106726492005,1.00443560367348,1.03106726492005
gzbar,17.9534626835493,0.0718392115607029,0.15132302812053,0.0325577818965319,0.151681750395976,0.268363124755908,1.02898569001118,1.02902271020018,1.00419511237578,1.02902271020018
kappop_2021,19.1982507607746,1.46011273527267,5.25635601201282,3.22076105912691,5.0634172377203,7.91681532359571,1.02703445562274,1.02713338611773,1.00501551011251,1.02713338611773
pistar,19.6659538085686,0.169825592090836,2.5608270276345,2.28765161249266,2.56161511439687,2.82810643054462,1.02636755209798,1.02565070430546,1.02416733807489,1.02565070430546
sig_gw,20.2607022690416,0.00380784614917836,0.0296527841949255,0.0238665915380483,0.0293966665561266,0.036306611177108,1.02556557846448,1.02622180489935,1.00334032164639,1.02622180489935
sig_pie,27.2659803770298,0.0189731412133046,0.206552076362293,0.177227646498734,0.205551885106638,0.239543341555268,1.01882271487122,1.01936664484272,1.0024362935158,1.01936664484272
phik,34.875731462509,0.00144248278671048,0.000305431044772399,-0.00204688631727299,0.000305672076622315,0.00267161899451045,1.01463104204931,1.01477420391885,1.00908193432713,1.01477420391885
