stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,n_cloud,wf_m,wf_p,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_la_w2020
1,0.00429332373163053,1999.99999999998,1400,0.188625,10.276061625,-5.49425993887374,2,4500,500,9,0.581316346136363,-0.197696119219136,-0.216537138570304,-0.28427631373676,0.54606881156331,0.222780134297235,0.254735954933365,0.505913163845659,0.241021536823561,0.294774738335057,0.490494891824624,0.0302973735535764,0.0227681098999932,0.511989321713132,0.541474395271808,0.520910905674842,-0.200045471516614,-0.0926682300446414,0.348283270034578,0.292941621589572,0.390677601281229,2.50714557596016,0.451741812090488,-0.0725778804246966,-0.0371996637312341,-0.00166995882083737,0.00815076772193892,-0.000717313874640229,0.700781655784187,0.143712091676194,0.275440985760873,0.479317162901156,0.047270201724435,0.271765178081664,0.0460957384511544,0.1797446961943,0.046579653561311,0.366254321362933,0.0466422896881094,0.284580325173124,0.0470204515681307,0.141122104062317,0.553803028535344,0.930828881146341,0.178855758075629,0.236389901100623,0.286389732021557,0.458693568345763,0.182479911758226,0.299999999999999,1.68468083677968,1.68765314367616,1.68178415451614,1.6899632897538,1.72440316704991,2.91503847792458,3.29186179942102,3.06992381631957,3.52534277809405,2.9921928059399,3.64292092276118,2.93634622148198,3.14660810475436,3.01877714942752,2.88951974342401,3.39948781303192,3.0604878662919,0.945315442075253,0.692127514944727
2,0.00957146660437751,4500.00000000003,3150,0.297375,10.585747125,-6.24693919328286,2,4500,500,9,0.575407771358881,-0.194779254597694,-0.224156567658003,-0.312757149118132,0.567466440638356,0.217878343351429,0.247812103210428,0.515942970308256,0.252270062538966,0.284802413247669,0.484076930679841,0.0345488337871445,-0.0194650413327171,0.510169669022773,0.564545855602076,0.516116185245483,-0.188089660596803,-0.0873339644595044,0.346702232711057,0.287967403053749,0.389821975975597,2.55922520086735,0.413112119676901,-0.0688457726440626,-0.033883168370922,-0.0013154506226189,0.00832368176337339,-0.000593963668481345,0.664443338861296,0.146459809488417,0.270814904262534,0.479637640650083,0.046423995286562,0.265311859744093,0.0464117665070439,0.170027467036745,0.046489760606976,0.364371238235339,0.0468264380743758,0.283124999370615,0.0470738482072101,0.141799356120004,0.542491388498333,0.90588581838584,0.172751049168552,0.232082394372748,0.279615153040926,0.454341027442337,0.179335876651479,0.299999999999999,1.65598663704081,1.64536777013172,1.60609972167128,1.69604936459097,1.79550081665877,2.89115827108619,3.51069534518576,3.0859972968244,3.83899487127705,3.06218599803567,3.66632436031781,2.89876575526029,3.20832473987906,2.89584373117373,2.88866757387145,3.46402591693361,3.06134669190868,0.976905950890746,0.733711402948652
3,0.0156064423825217,4500.00000000003,3150,0.298125,10.67643525,-6.7326807318817,2,4500,500,9,0.567857075490384,-0.192762109596727,-0.220201885201819,-0.264452709813763,0.582280109789323,0.18532963076786,0.231178694590597,0.526267190332372,0.234983776306449,0.237652500715968,0.496898821567432,0.0068716293718147,-0.049777089880582,0.489930970503318,0.581698048495099,0.518220799559354,-0.157129261168657,-0.0879884792615581,0.345183693522599,0.289369145808964,0.388869551263575,2.58910649368419,0.369381684908978,-0.064071494734567,-0.0327754976888126,0.000487611763902845,0.0105190913733486,-0.00190310317680588,0.62223202675073,0.148677827823113,0.267009817526893,0.474252819032125,0.0463926832233618,0.255048164219797,0.0471971869151961,0.167082352053918,0.0462028344687911,0.362918754832846,0.0463422307847463,0.271526031233612,0.0465785527451035,0.141412120962678,0.524957705150887,0.88213918651608,0.165780994633249,0.230846762943141,0.277621159474738,0.439128857204076,0.175185151659641,0.299999999999999,1.61657295394078,1.62048345666476,1.54402927423323,1.71217571628619,1.8239145416648,2.91321102779728,3.73037295624312,3.07962582582302,4.13512673171394,2.94061584963085,3.75128921976658,2.88498845509339,3.33193114940191,2.84984976845802,2.83949999072456,3.59671336877039,2.96371565330598,1.02012435261889,0.778447163949638
4,0.0224299181070666,4500.00000000003,3150,0.2975,10.6848983333333,-7.18002225244172,2,4500,500,9,0.562834439489425,-0.192254795763547,-0.179976726964215,-0.218273311059523,0.606771854898719,0.17878049883617,0.228221746715145,0.544017887378456,0.183943755042961,0.213467496608077,0.502592524721554,-0.00764258720394492,-0.0657406298573503,0.480746729141772,0.620200672317922,0.512480258949443,-0.13002680422581,-0.0837479906413344,0.34385668366424,0.282482451096307,0.39580813619806,2.64232247228666,0.336424224645707,-0.0582087956695371,-0.0296741651676422,0.000292018127727592,0.0121546316421283,-0.00128012042865854,0.594306513759993,0.150716988007793,0.264502469647104,0.466992906345743,0.046816131028221,0.243749188892309,0.0465870034351568,0.161679286687061,0.0454486050603343,0.360453828098099,0.0461218074251075,0.262423992876418,0.0459856235247239,0.140295622328473,0.50126901361217,0.857620412263851,0.15788769702198,0.230325121220267,0.273716546008076,0.432005110866786,0.171493085596141,0.299999999999999,1.60967377179502,1.59523734708585,1.46340972207639,1.65183545390535,1.80189187842154,2.83811796131055,3.99170645341576,3.0063960081926,4.39675545879009,2.89363892136765,3.8913473305,2.88010652891568,3.39058637833181,2.83705233083817,2.82038144930512,3.75477975381387,2.89042572830531,1.07945279329719,0.865871916572248
5,0.0310012745863584,4500.00000000003,3150,0.30625,10.6403353333333,-8.51166027315767,2,4500,500,9,0.561571130991745,-0.194126312694561,-0.15021622751273,-0.160271824278705,0.631266112576805,0.195379561947754,0.223872870374148,0.559049520972196,0.145588878327979,0.190276011205268,0.502712550108109,-0.0167041128522085,-0.0474906302970791,0.470591398370442,0.666393888549741,0.500489249470927,-0.093194732161772,-0.0695809540076786,0.341106710056119,0.2871642533181,0.396846407849785,2.67511457395422,0.298974376334751,-0.0530018372784605,-0.0277562835475304,0.00166056388624598,0.00797651690500307,-0.0024352306375401,0.572312558418929,0.153805433141994,0.259944803431149,0.451356338463454,0.0468357094648968,0.236494141647462,0.0463625113989031,0.155229213285718,0.0440073227394955,0.360625962356347,0.0459365908255181,0.255656650837362,0.0454958794539377,0.139328336676386,0.484714443066843,0.822681741352529,0.153269395491647,0.228978932703513,0.269605156165606,0.426517508547452,0.167782284608279,0.299999999999999,1.6182821635218,1.60300058525403,1.42877055108553,1.61163141226702,1.87139556119047,2.80231497492693,4.22293921498773,2.94752672832388,4.64794474861805,2.84625601574785,3.9915023906686,2.91950704079449,3.41674118887486,2.90329068644835,2.86343214741964,3.86841225249315,2.70372463029791,1.12808898273749,0.967480519353506
6,0.0405230434190238,4500.00000000003,3150,0.334625,10.8420089583333,-8.96284539978018,2,4500,500,9,0.55550086364992,-0.196544466762623,-0.126803821460925,-0.0973277788494697,0.659377056772392,0.221204468688065,0.20511932917863,0.580517598869358,0.105804813204083,0.205029970893975,0.516845856557891,-0.0221989988994691,-0.0463944833056109,0.476838828821606,0.708364913797877,0.493777540295121,-0.0582957049172767,-0.0579217629629352,0.339285968097578,0.287078948646114,0.398508712881957,2.65894937350383,0.269727130383131,-0.0516884973392774,-0.0267142196344274,0.00230816276739436,0.00628624321997333,-0.00333904878605707,0.545900616874084,0.15273991256341,0.258828124818686,0.443320267653056,0.0464781654885567,0.227468122810919,0.0463085674835979,0.149926117921803,0.0436746731702366,0.364730009855172,0.0465881324776655,0.251084493864147,0.0445823095270584,0.139344297049473,0.476942100232476,0.809174225911472,0.147806577654819,0.227229710783284,0.265154905666858,0.419585609123047,0.164072396434561,0.299999999999999,1.61032948177101,1.6089680262307,1.47117386836373,1.53592432268156,1.89378276311026,2.80070400477542,3.99138966093565,2.85836136075248,4.68031969389658,2.72352511013341,3.92065994880273,2.89452792375121,3.43922080446413,2.89562538643985,2.9704101961563,3.80852648928477,2.67415628375349,1.14829764478007,1.03654983181842
7,0.0508347660441717,4500.00000000003,3150,0.334125,10.7817780416667,-9.25100774682463,2,4500,500,9,0.549569158941386,-0.203216027812666,-0.14085180108327,-0.0565591872180721,0.674279969689869,0.238337902345777,0.183164252254228,0.603867310743801,0.0765852201306207,0.19079501899172,0.517665592874526,-0.0235944098331402,-0.0144815333721994,0.497760998466043,0.727759690056922,0.50748444458522,-0.0460260560462184,-0.0459072354362133,0.337355822707748,0.274492625744412,0.394367526917975,2.6495275340282,0.232740795472301,-0.052049952024914,-0.0255946902819811,0.00426358522332445,0.010813216357069,-0.00338163291672149,0.528395186919555,0.151478725378239,0.260001152124518,0.436855545901109,0.0471135123130328,0.219981936221829,0.046721685259922,0.143276812220414,0.0441050492972171,0.364348178301174,0.0471944401983426,0.244000244708138,0.0440873805916079,0.138884676945572,0.475180711027582,0.800714876363303,0.140943098937761,0.221699042070772,0.258765423528364,0.416738527759905,0.159657289439077,0.299999999999999,1.5759135717225,1.61447412377776,1.54626933227424,1.53564167315843,1.89044517288397,2.82516007866973,3.86211824738831,2.78893928042188,4.70467826318554,2.67799796406512,3.85755049343871,2.95858085729792,3.4651883051617,2.81989835136977,3.05785479002514,3.85578490332029,2.58583572745478,1.18291195998373,1.08158412636467
8,0.0605213138740596,4500.00000000003,3150,0.342,12.396822,-8.25444648074561,2,4500,500,9,0.539326472083595,-0.211272013166809,-0.153504656329188,-0.033395259539955,0.702842270074566,0.229451575731258,0.137845023378605,0.618264148466159,0.0534071472347298,0.128709212742793,0.49696528202262,-0.0325183522818865,-0.00723419568808763,0.530301359134607,0.754281651061973,0.516238675981581,-0.0270786972130706,-0.0350046799277001,0.336966747075823,0.260536471141745,0.389711134843867,2.64243945281955,0.209839144810784,-0.0484602858015857,-0.0249513515743517,0.00538114021701546,0.015003472836644,-0.00359315843596479,0.508532509407331,0.148941622572483,0.259236881001214,0.42878662142843,0.048247553786045,0.212918750785203,0.0477732719435442,0.137371676196306,0.0447169602450584,0.357735765400278,0.048697594252763,0.237474450108673,0.0436031659202682,0.138075523720949,0.479631000521669,0.799457342058206,0.133782850630442,0.217004398996731,0.256484771891218,0.408763662422867,0.156604240136367,0.299999999999999,1.55685575811073,1.61341671513549,1.60456934491444,1.51530726255554,1.88967292976314,2.77362324653291,3.68635059631925,2.74701652950868,4.48037053655021,2.72592165210194,3.88297208962002,2.97292926418802,3.54970257427634,2.81778164856972,3.07910981707364,3.86323008895273,2.57263353015041,1.18423735937681,1.13151053845729
9,0.0700854799767974,4500.00000000003,3150,0.351625,10.9356436666667,-7.7321593876993,2,4500,500,9,0.531187432460264,-0.219155970565441,-0.1739724180376,-0.0173790902350618,0.725644449961018,0.228408609421705,0.0955018968247858,0.637682420412147,0.0716064317252089,0.0938808865787818,0.491592638931309,-0.0455911200837134,0.0221529607013012,0.548242090791151,0.776986232370944,0.537649886816112,-0.0246878121247038,-0.0253140839355337,0.335642268504386,0.249690596858474,0.382753529028581,2.65526230573489,0.18926773545983,-0.0470064338880113,-0.0251043701388595,0.00379722271145516,0.0224455123057237,-0.0036062612034477,0.486766166122886,0.145428722079967,0.261746168481363,0.430243903456469,0.0501905902893515,0.203418405784686,0.0486204271193079,0.130798758974818,0.0447074596758038,0.353295345515937,0.0485279571726725,0.231749644593313,0.0429793142969631,0.1382485970255,0.485686398813245,0.796367237272867,0.128348553736008,0.211237853666889,0.253414118714443,0.398030368809379,0.154192969339103,0.299999999999999,1.51423824325975,1.64988946588304,1.60629396328072,1.49921294350592,1.84246065347322,2.78982401218478,3.52222489259495,2.69133509642432,4.44052581571305,2.8694797732854,3.99654839225854,2.94286521106767,3.57845930176609,2.75716849030784,3.12958958371983,3.85667142825414,2.4617328765839,1.19850262041941,1.14209589744811
10,0.0800601863981003,4500.00000000003,3150,0.272,11.0033460416667,-7.64595388002213,2,4500,500,9,0.525289317722152,-0.223610729516971,-0.200149294402,-0.00613627685043453,0.765799120499775,0.212891403048592,0.0769399192557035,0.658025715384657,0.0948841019059292,0.0597036904697766,0.490392705775788,-0.0592780118727147,0.0638788017804056,0.559378636457553,0.800565588420042,0.564675126219057,-0.00939466330786889,-0.0140195512715257,0.333228296225197,0.237409983726799,0.368413132582535,2.65471807656241,0.185411414765942,-0.0451931754782963,-0.0253943852170262,0.00233441611307276,0.0288817560891994,-0.00212215598065245,0.470638235561501,0.143413722814641,0.265045044503617,0.427852956246167,0.0510660564466138,0.193770000955934,0.049081253777352,0.124170910633193,0.0437919346114097,0.347727185625836,0.0479736610477553,0.227008998777345,0.0421543762056244,0.136653009132786,0.489909518156515,0.797485438049364,0.124633390640795,0.206068759584195,0.250548546535831,0.388123249418512,0.15040268522873,0.299999999999999,1.46055767757566,1.64490767551819,1.60427233852131,1.53540770245648,1.82199648636904,2.69203837545584,3.51653620737699,2.58603218842503,4.56693093307293,3.02540543040334,4.29101716022312,3.01453797422028,3.64270998987703,2.75938419440151,3.1424565247889,3.7584065621614,2.39875159174827,1.21717653974743,1.13280797914665
