param,mean,sd,q05,q50,q95
gamma1,0.507431398958225,0.0664252179243405,0.400480144600805,0.507338046658799,0.616451675515733
gamma2,-0.216062171400265,0.0571788553474154,-0.312026141119631,-0.213352900629663,-0.125821258473738
xi1,-0.28821344561819,0.0537776220997126,-0.380751901430335,-0.288388634330502,-0.200570823105835
xi2,0.0343487548365788,0.0848011372780077,-0.102127246160236,0.0315951956283219,0.172920573657516
rhoU,0.652011818975321,0.0979569845118199,0.486239155289189,0.655538767992553,0.809743665615353
theta1,-0.0377289338038858,0.0605754049655576,-0.133970467888478,-0.0401998296151937,0.0582667744889795
theta2,0.115524101147107,0.0633631242024416,0.0121926897258066,0.114564350084083,0.22391258481082
rhopr,0.789730422282195,0.0745411035913698,0.658991865671767,0.793676731847683,0.907951151708156
lam1,0.287966290790958,0.0849968970050632,0.147598097466405,0.288353531456165,0.4262737418796
lam2,-0.175291758721648,0.095390117084798,-0.327278432286898,-0.175231472044905,-0.0199723310967695
rhohpp,0.608061461206521,0.130437569846417,0.396160522796267,0.603480089287465,0.835652226531592
chi1,0.0334721712111694,0.0158289136599993,0.00820149461839606,0.0336702694980122,0.0597153844367313
chi2,0.00541019319904905,0.0156653134419974,-0.0205558865432483,0.00511650448012704,0.0307706677850828
rhok,0.980479111906298,0.0153389123489424,0.951566298141021,0.984209080800961,0.997037122188449
rhow,0.964872746087107,0.0239304876652125,0.918970921298639,0.969926299674014,0.994536022732739
phisum,0.961936847362771,0.0177927385352865,0.929598917796709,0.964076508286057,0.986697930739026
phi2,-0.484377366116876,0.108498387241133,-0.653096486168269,-0.487431525636235,-0.309782606185814
nu,-0.0184714044795075,0.0261505564705167,-0.0634843149699393,-0.0149236254959072,0.0187910828999455
alpha,0.374260921206119,0.0420520182209644,0.303877786637114,0.375136779815245,0.447367817780889
gzbar,0.139472694005139,0.0659167960621849,0.0323528578881286,0.138113081330521,0.252662897162932
gwbar,0.345364766404423,0.0630028513067256,0.24363984209439,0.346884983510315,0.447517435980741
pistar,2.54340671489012,0.178944947673064,2.23375984094648,2.55715117328386,2.82749464406432
alphapi,0.11229474588995,0.0478093252357271,0.0436746841887361,0.107589046231884,0.19946254381482
