param,mean,sd,q05,q50,q95
gamma1,0.529863626437923,0.0683054612241645,0.419570264614842,0.531205583538762,0.639960779244499
gamma2,-0.237475844710436,0.0568544678040308,-0.332225224067393,-0.234661269376871,-0.150912879241505
xi1,-0.279367872638327,0.0554751346977638,-0.369518072993318,-0.278245223270709,-0.190503784432039
xi2,-0.0011328235470476,0.0857089191281621,-0.135387225710941,-0.00281262953797708,0.142327218371844
rhoU,0.597578510370444,0.0956616063584015,0.440171489249235,0.601747116685262,0.752259303761102
theta1,-0.0066130163294241,0.0658428504480814,-0.114480456040892,-0.00545693047326483,0.0982158177780177
theta2,0.0872100900049744,0.0707191140981384,-0.0263011427434672,0.0849553577043655,0.208776125051822
rhopr,0.801390999857623,0.0753406964291839,0.672319421508791,0.80571240041734,0.920248480059265
lam1,0.323324305127827,0.0903998323775033,0.177733082928928,0.320672694092304,0.472811570377383
lam2,-0.21780199787049,0.100967526557265,-0.377663598758093,-0.220794718545892,-0.0456783404632368
rhohpp,0.59733400154262,0.113539323442657,0.405536448430405,0.600503543595483,0.775831286912351
chi1,0.039790256309164,0.0173022960274246,0.0119253860087649,0.039231131899767,0.0693772023033802
chi2,0.000643067036688099,0.0165702473293406,-0.026224572357402,0.000679224970968543,0.0274266796582716
rhok,0.985470629177207,0.0144273403476874,0.958586173184835,0.98981937649194,0.999086478354545
rhow,0.966529478883887,0.0253430153132087,0.915448643933263,0.972266840865446,0.995564501088344
phisum,0.966633857669864,0.0153559786940647,0.939126796657432,0.96848065308223,0.988045253184127
phi2,-0.52889021528889,0.0904994168546642,-0.670468772666944,-0.533012550266091,-0.366226465573264
nu,-0.0168319484866254,0.021186190294387,-0.0545023671318228,-0.0140831826621217,0.0132739684374682
alpha,0.362932353114835,0.043977892019631,0.287021282484544,0.364799619756672,0.432650668575788
gzbar,0.136043718741912,0.0675637981622795,0.0261454382115678,0.133733069028912,0.248355218688441
gwbar,0.349058456970543,0.0614500112248754,0.24616811201031,0.349952649526833,0.452111908638001
pistar,2.53928538042542,0.153929748035323,2.28817903204815,2.54822975025824,2.77867435013783
alphapi,0.129083410535575,0.0445550687944727,0.0633502437723243,0.125626391479881,0.210215027790079
phiy,-0.0252059594087541,0.0154140033488871,-0.0541384258219747,-0.0219614489551999,-0.00635227154408454
phiu,-0.00715674499894177,0.00297379297333341,-0.0123149321434814,-0.00700300883349037,-0.00251702079673141
phipr,-0.00437386083311512,0.00805165915565827,-0.0175870601032227,-0.00442339598311436,0.00919166327832642
phihpp,0.0155421661371732,0.0158588057764424,-0.0100964364247003,0.0153713164351789,0.041348096486415
phik,0.000337132013705044,0.00124148691070603,-0.00177996576342231,0.000366708057745371,0.00237172569043416
sig_c,0.354564101549093,0.0328107962209581,0.303131156671192,0.353275906677392,0.410585358471144
sig_Ustar,0.0926656326396121,0.0129618624002594,0.0723716723064413,0.0917715838841091,0.115284306209058
sig_pie,0.205033405116265,0.0176457298628966,0.177338053329413,0.204290358975768,0.235326453746321
sig_z,0.313021178742036,0.0381400119523924,0.251587233145169,0.311789747836474,0.376905981902514
sig_gz,0.0413095633812679,0.00944845950174676,0.0287513204720687,0.039848715652241,0.0586577827579823
sig_k,0.0694814559387317,0.00466601187777537,0.062058610790867,0.069204040124296,0.0774631664815436
sig_gk,0.0343731002862211,0.0037928666261235,0.0285724256111326,0.0340750670915331,0.0410861330592628
sig_w,0.0551952697103966,0.00433579974113718,0.0483371760038602,0.0550472474594492,0.0630867906275857
sig_gw,0.029190513360293,0.00373559465183969,0.0232857515655157,0.0289690653029789,0.0355793109380233
sig_hpp,0.214560278641958,0.0288671715655774,0.16921331635227,0.212931285173801,0.263940436410597
sig_ghpp,0.0330167414671859,0.00683313149918725,0.023831566119306,0.0322006062814074,0.0450375100721991
sig_pr,0.174266752409407,0.0231487473393419,0.138795201357013,0.172589974565069,0.21460040873751
sig_gpr,0.0340126772127882,0.00664453920125294,0.0246398274497183,0.0332291095418031,0.0466958974745332
sig_xi,0.138140142577293,0.0413976233329938,0.0852450562722265,0.131381659476552,0.215731957487523
sme_y,0.254558619093507,0.0251787931889546,0.217683370781627,0.251969156150679,0.299996311928174
sme_pi,0.623007457769789,0.0396467439109849,0.55845611780708,0.622595102820207,0.692337115316706
sme_w,0.0555273435705904,0.00399556138570074,0.0492159271508685,0.0553757837453767,0.0623509641561269
sme_U,0.114166388235071,0.0117643146108755,0.0962308219479204,0.113762687284274,0.134095266314718
sme_pr,0.230730375318369,0.0213753631643635,0.193582837083385,0.23120157078612,0.267046840088255
sme_hpp,0.368283753324691,0.0274513420611774,0.323252553695371,0.368378710421261,0.413519153983479
sme_k,0.0549044563452119,0.00418448249774489,0.0484950937644974,0.0547025036880873,0.0622682389993277
sme_pieobs,0.299999999999999,6.10622663543836e-16,0.3,0.3,0.3
m84_y,1.13412539700561,0.380886486545072,0.585537757277029,1.09108675391098,1.81652493814403
m84_z,1.82796829022151,0.503519419429879,1.05853294911943,1.77189983309462,2.73054283467942
m84_c,1.88551248881427,0.351338673420863,1.37288264927721,1.85373687102866,2.51391287838434
m93_pi,1.85438672522066,0.227511525389484,1.51289972676129,1.83508579755036,2.2475719180005
m93_U,1.70059299092982,0.440747969961926,0.991878112830783,1.68510985505224,2.45940524349793
kapc_2021,4.64575849018045,2.16156330953752,1.7956765461315,4.35354642219768,8.72663118867073
kapy_20,7.98842663185324,3.64062685041993,3.04359862637237,7.43511238519999,14.9121388895293
kapy_21,4.70575670160787,1.69154177875082,2.32161918057912,4.50022788767197,7.88486527190081
kapu_20,5.86056693371386,2.97920711879318,2.39770179057332,5.21030715463579,11.222073082687
kapu_2122,1.67845803248182,0.573939460005384,1.08381814740991,1.52063385308307,2.79083089187845
kappr_20,10.120167217038,3.36080728819538,6.00294968739593,9.51667659612141,16.1928020076591
kappr_2122,2.49329030034802,0.708709321930869,1.58888828856435,2.38219156833045,3.77944768210214
kaphpp_2022,3.78875535489223,0.904642279544631,2.51990632546713,3.6631168981449,5.48605939196667
kappop_2021,5.54740840430931,1.46890627110817,3.48112841464363,5.33488630794148,8.11211561470981
kappi_2023,2.42249733179327,0.517657085144413,1.69223822003916,2.35900453825319,3.38404355846122
kapk_20,3.24457439078392,1.72867143724832,1.39994119591153,2.81256853170859,6.54351188561303
kapk_21,1.97966291304623,0.78250541817305,1.1260097517668,1.78350729657607,3.52097362528269
