stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,n_cloud,wf_m,wf_p,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_la_w2020
1,0.00647187082565322,1999.99999999998,1000,0.189,19.407989125,-8.1789736947748,4,8500,500,17,0.602547787751484,-0.198506431674974,-0.281490393387512,-0.277196032347012,0.551533678835993,0.257119049794068,0.218187987690176,0.517224595818206,0.245691280255898,0.21787742641602,0.489815903672712,0.00803685957873168,0.0200543424480307,0.482172003983737,0.493450304511808,0.51292209302272,-0.214295387025946,-0.0950281385677577,0.352361635180191,0.29317064986924,0.386781614472335,2.50152718515318,0.432813933829074,-0.0777325527835311,-0.0340138576786445,-0.00113612169361246,0.0082555643505848,0.00154494055700794,0.694698460534573,0.141699935431811,0.276715945219086,0.476249773937679,0.0470046678859395,0.266864091625966,0.0474251534007047,0.178970516090837,0.0468156638586609,0.37270280659345,0.046059271596509,0.284211734604558,0.0469421664315355,0.143664144561285,0.538644699024384,0.901383408999429,0.180191480697357,0.236855610802022,0.281323339893311,0.462371676302085,0.185285052967854,0.299999999999999,1.701478587964,1.68895668317767,1.58663131699453,1.73414857272214,1.78862934454404,2.95066810680765,3.23439256200448,2.99860758133263,3.62090005478559,2.88132772481646,3.53613677611525,2.95066599095108,3.15304875891447,3.00986977458383,2.83874497625749,3.42991769553134,2.95156412701911,0.955898473763741,0.687482531983742
2,0.014768920592641,8500.00000000007,4250,0.2934375,19.944661375,-9.47819550441121,4,8500,500,17,0.590332644835702,-0.193897611277602,-0.323120892831635,-0.252630155675211,0.594654832213879,0.298416167900293,0.21367582636955,0.506712279806981,0.225955259550642,0.217701403525724,0.502120609503524,0.0487909891486972,0.0186928496776478,0.481155214906558,0.504614386854472,0.514154200246365,-0.178926976916121,-0.0945157903012488,0.354271021507357,0.277820858823046,0.379719472130471,2.50138195955504,0.381802828297272,-0.0720427843563951,-0.030343191153709,-0.00257985990664606,0.00986357565946572,-0.000663624730966151,0.621345044358736,0.145134378278772,0.271758689710612,0.472808852270705,0.0484099458105053,0.252088988431356,0.0472346585372066,0.170990511470037,0.0449766082493069,0.361878999921549,0.0451756371890529,0.275576417046285,0.0470844202733254,0.144412135477362,0.525289204946519,0.860001392942715,0.163417246728366,0.228241632597344,0.275107068670602,0.44765891154625,0.18183477767532,0.299999999999999,1.62886234656996,1.63806237327089,1.56486599596538,1.74611077216959,1.77370704544655,3.13101300470586,3.45769161011608,3.09696495108955,3.8173208390914,3.03543556293613,3.79798158555376,3.03026454124862,3.29538012093478,2.91500743551197,2.8481692185233,3.48283180238164,2.90530413922574,0.980359222328252,0.709590503156859
3,0.0247288627291082,8500.00000000007,4250,0.3051875,20.0416027916667,-10.4415266277068,4,8500,500,17,0.575836450600394,-0.201409866624288,-0.326280137484741,-0.271611747827384,0.641173886495782,0.333616196283691,0.188202890985221,0.511414072754145,0.186510750926344,0.219459929008971,0.518932267896742,0.0428594620960485,0.00357415888606041,0.499813242921031,0.518134309116697,0.513870756524981,-0.115279583098099,-0.0995427028833279,0.358344722772254,0.256140007748354,0.375194249984731,2.48606565193638,0.354616336556551,-0.0677809740264935,-0.0267905103385362,-0.00818066447821804,0.00862067167473433,-0.000700352070166163,0.578734016249671,0.148123660351263,0.275705782992952,0.465398346591524,0.0491835603436768,0.240275253207183,0.0473931348026135,0.166915205785233,0.0435403209906407,0.348416504291304,0.043763545304289,0.26969786896394,0.0469480668806339,0.142340001838419,0.510111176736377,0.843633532566599,0.154255611389994,0.225333598435915,0.268372392344392,0.435091919852559,0.173626553585204,0.299999999999999,1.56990671471979,1.66251489522911,1.58378961326343,1.72652353278792,1.78532106774481,3.12904047372186,3.59131156218532,3.09270033324994,3.81313278557236,3.03399409499009,3.88891973667226,2.91706672149469,3.38394916526061,2.92096644218915,2.6384224980692,3.33150098357408,2.94663347627548,0.972882343389059,0.715975310697144
4,0.0373244011251577,8500.00000000007,4250,0.3208125,20.1672742083333,-12.2030852320431,4,8500,500,17,0.579924350524025,-0.215002903327573,-0.279118901080961,-0.303715935645975,0.695431477060153,0.30559843433976,0.15738576471851,0.523909796572881,0.141012641492953,0.206412103599038,0.516364390672295,0.0311406147570387,0.00267744123576433,0.52124850676164,0.546287686026092,0.55212670893681,-0.0635871921490227,-0.0896286324014891,0.3591252162959,0.2464883777046,0.363745709199382,2.47077833759751,0.356000305649466,-0.0652620261678348,-0.0255143558821185,-0.010447246435606,0.00623647908573409,0.00153407635773232,0.552936402891102,0.146921715356009,0.27910938303552,0.453756033211548,0.0499868195357388,0.22500904832832,0.0465548038340278,0.161035784178342,0.0420118610949741,0.333944703621862,0.0434196053940503,0.26102504242319,0.0473817024357384,0.139787450680428,0.494835996172626,0.813724871808916,0.149336227853798,0.221102963953955,0.261847125632419,0.429323611602699,0.167246619553119,0.299999999999999,1.50934463467557,1.63511830082702,1.47242768454391,1.70859717237452,1.81041066064089,3.12359761158797,3.88304790444435,3.17006684681227,3.92794415586193,3.16526894167672,4.11876981276435,2.89332700385392,3.41441205694536,3.04748778139678,2.47573921714452,3.308229786541,2.93899661577811,0.986119835834476,0.705922296284627
5,0.0519484259544391,8500.00000000007,4250,0.3221875,20.3501059166667,-13.1321750093288,4,8500,500,17,0.582607960273194,-0.226098986280434,-0.244947221174631,-0.273284433883463,0.732676961177781,0.240656660512372,0.163907327564501,0.555183024821153,0.123564094267491,0.197460439682785,0.509355069677806,0.0155100998004369,-0.00404014540261907,0.52685384969184,0.599207425463973,0.609315920505651,0.0218504900645748,-0.0935022713815746,0.358390294585291,0.247226349811431,0.349077968615572,2.49111088653002,0.346867422382983,-0.0619455371493503,-0.023974893292399,-0.0122267322061622,0.00229741645527822,0.00238205449436957,0.536643129380074,0.145343553378664,0.280460930451552,0.450277358256488,0.0490452729178068,0.214992502673819,0.0459474751056696,0.155110962094743,0.0411982547948524,0.332634834308911,0.0435294757673836,0.253257510684967,0.0486445502436175,0.137417019449616,0.475577771604442,0.809498237667149,0.144423433611981,0.211191357201263,0.26133481528696,0.421289071683323,0.157693203424514,0.299999999999999,1.48914706707402,1.6554692434147,1.43421498872954,1.680334744269,1.86081432639678,3.09170398858985,4.15053374180467,3.18849536335679,3.89330288759254,3.20517633391528,4.21519385664785,2.95940145570356,3.35637314966699,3.12850171801589,2.34569257873495,3.06942599571167,2.79582944223928,0.986098940239298,0.6956594537808
6,0.0676885841019167,8500.00000000007,4250,0.3214375,19.6806524166667,-13.1708552891055,4,8500,500,17,0.582516062524252,-0.234495996620162,-0.227555344994617,-0.255272784977135,0.741903533692452,0.167643332470218,0.162414888760098,0.594114045817418,0.0998720865877973,0.260981674056913,0.490798609968859,0.0167354982822658,-0.0189407091612449,0.546307248601278,0.656437658946681,0.667706635541604,0.0819825949174507,-0.0995973318879954,0.359796892344683,0.240871591397185,0.344446475929091,2.51924456686041,0.322570470078692,-0.0580376747683156,-0.0215023393048008,-0.0118051534800879,0.00101661119636498,0.00237176292789288,0.526542184077455,0.140592102892982,0.276886037601475,0.447568023998107,0.0496789989925879,0.204540166495565,0.0453170274190744,0.145592881675697,0.0401009010771832,0.331313894595242,0.0432622732025821,0.247466845481348,0.0497177082416799,0.135930046358735,0.467274067249447,0.81177855134541,0.140896035814193,0.201870563208748,0.260741102293815,0.418727225885611,0.151323092652238,0.299999999999999,1.49728401972394,1.62701930272992,1.37582051212148,1.64399434779311,1.90724229366501,3.15636704192433,4.21349782035929,3.16528317612268,4.08355452317744,3.24687817494794,4.38203818797776,2.96194330577672,3.31900885238889,3.06046230875183,2.2945787538761,3.10142271919492,2.81858784112798,1.0139428253993,0.714062752165143
7,0.0848060454258317,8500.00000000007,4250,0.32925,19.7121666666667,-13.3632067502354,4,8500,500,17,0.578290595739187,-0.242743596150366,-0.239694385922018,-0.211885220840256,0.75990202361475,0.16871848143641,0.140282704997202,0.606588773649761,0.134654440789427,0.247775404880039,0.478061271528989,0.0297835610500967,-0.0196072568392417,0.567211567832604,0.711750266478424,0.681954472171602,0.0887879320615993,-0.106849750264043,0.362133585525297,0.243689698256397,0.33940289416304,2.52814629413975,0.286754230627987,-0.0554300921886479,-0.0188412699393652,-0.0100278512248077,0.00234834859781529,0.000367830521016024,0.516561782076179,0.133643164942958,0.271450738887465,0.443240739782815,0.049693047091119,0.193238935699198,0.044443948560705,0.137876736880949,0.0391680056569108,0.334378423871357,0.0422585912778239,0.242405675694098,0.0502337482663863,0.134196785093348,0.461458954540222,0.818625617376125,0.135878648391886,0.194310950336899,0.257953073712141,0.41020210981119,0.140464655932936,0.299999999999999,1.4278739631845,1.59566252094645,1.38007758571618,1.60803338666264,1.9412448262465,3.27623823887529,4.32586058215476,3.22867691446421,4.18940533975535,3.15062576813737,4.51295859886523,2.96144654227469,3.31368819719255,3.04814620265331,2.3052405482382,3.03167591609321,2.8049573668265,1.03036981319056,0.715586367345506
8,0.103223072518211,8500.00000000007,4250.00000000001,0.3278125,19.9803825,-13.3586266979188,4,8500,500,17,0.580384355557567,-0.235622325071674,-0.236032779028753,-0.191781871920653,0.773986314450568,0.131704882238937,0.0965348353970831,0.61861579033938,0.182031421561466,0.200328007511848,0.48201673462838,0.0352881570897838,-0.0134313556109108,0.574600867627031,0.782174682309069,0.699238190007808,0.0975405198122256,-0.104889156699001,0.364112900031527,0.240460803172911,0.342726767659626,2.49480676455715,0.243977361285473,-0.052695465802524,-0.0176854409686314,-0.00790150533906462,0.00247520415330841,-0.00110300293143978,0.508087768527865,0.127289359103923,0.266043186070651,0.446501997667462,0.0495747239627705,0.182114983632411,0.0450711909815336,0.131364713921965,0.038367809951406,0.338732177422828,0.041256651754816,0.247560739488858,0.0492720449221154,0.13628842739945,0.454847610594354,0.817049212104914,0.129168816877259,0.187163861037736,0.252489274873626,0.399618623792901,0.131308203012462,0.299999999999999,1.36381187444202,1.58053240115768,1.34729351512018,1.54958288435971,1.98491000463477,3.44290325685977,4.32609691529921,3.30695546617749,4.42604650094771,3.12886447659768,4.71877241230523,2.90173180082969,3.30759836761412,3.01348319191182,2.25496930128366,2.99137735582236,2.72499442514659,1.06491371282112,0.743191703224339
9,0.123731927027404,8500.00000000007,4250,0.336875,19.8779912916667,-13.8577488452875,4,8500,500,17,0.576367829281854,-0.227603617371991,-0.238587001766783,-0.188359505758511,0.777221839686227,0.138302936736387,0.0466752305182841,0.649805632088526,0.179088122591001,0.165582362206767,0.488060431920736,0.0480117874675972,-0.0165957999599398,0.584682178123779,0.825284408991883,0.714895092964126,0.0599787955775217,-0.0941926565746549,0.360683693194797,0.235147223298598,0.346106288292023,2.45329227187914,0.209486147429196,-0.0504960362517084,-0.016536308498185,-0.00804198699459027,0.00311176792735742,-0.0017289597618947,0.493048790149863,0.124593047027918,0.259038607470725,0.443546682402728,0.0508008214124053,0.172066880618035,0.0448074385402421,0.127105856646415,0.0379908893998235,0.339005674940651,0.040273352373213,0.244700476706319,0.0488126580425002,0.135563343504268,0.448828916168153,0.797380793026171,0.121160862134888,0.177619997262754,0.252951378933626,0.391390335230789,0.121702009513987,0.299999999999999,1.30279867808608,1.55133337114292,1.33288348893384,1.55047721655883,1.99471982029459,3.55715808790454,4.51641902964034,3.42845511168822,4.64600241458098,3.16624159946575,4.86700061890544,2.80173342111105,3.33656838861949,2.98496209336946,2.23464603106995,3.12611469508199,2.55346139213039,1.12026721975287,0.750415733091701
10,0.145876554968755,8500.00000000007,4250,0.3305,19.7979170416667,-13.9590732408437,4,8500,500,17,0.563368683440322,-0.222826932423314,-0.236844996614943,-0.189773128904964,0.79155995856308,0.119223408001406,0.0285528143805962,0.672188210883056,0.171952931515269,0.136341409800783,0.490694991967454,0.0498064578159587,-0.0139744114365176,0.590179172567242,0.858484977027243,0.717500812696267,0.0312561722272387,-0.0868759456597125,0.358962122886762,0.238896981316605,0.347578000461995,2.42857908564743,0.184694803023788,-0.0480026856283979,-0.0150560336136232,-0.00575282260579478,0.00469644556960843,-0.00189306518786438,0.47159790375506,0.120131931336149,0.250322137719113,0.43640272625693,0.0514459635178173,0.161792911413113,0.0455720604551266,0.123703659773055,0.0379030622178699,0.337141767050892,0.0396302666010938,0.244458594756337,0.0476437042028728,0.133179393385121,0.438969164460509,0.778201944642174,0.114966162616589,0.169010321111298,0.253235139889203,0.384148587990673,0.114905053031097,0.299999999999999,1.26605009673919,1.52342028824342,1.33684138505921,1.57166658673162,2.01073213349171,3.63946738511341,4.51968012351868,3.47058264282509,4.79183013170777,3.14104820170628,5.15482344319138,2.71313078233783,3.46851245523032,2.95612726861918,2.15659730005303,3.22112566625005,2.44319019080136,1.15049705841391,0.754169593694285
