stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,n_cloud,wf_m,wf_p,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_la_w2020
1,0.00624925399014396,3999.99999999994,2000,0.1923125,22.1497777916667,-7.89280421050819,2,9000,1000,9,0.578239430743184,-0.200175959289872,-0.233373859708126,-0.213298361631871,0.54860591636357,0.250317593654379,0.209797383123578,0.506092828439481,0.257109821464839,0.218530536696688,0.491408244041198,-0.0242057078927432,0.0306703803166606,0.485229700085807,0.503237644745325,0.522279584067172,-0.214719440658462,-0.0975624572476959,0.346872570056055,0.296906952142458,0.392218823525856,2.53084872890636,0.445573309791012,-0.0756459009525546,-0.0351908637724847,-0.00165782002984058,0.00107014255974306,0.000171106616811866,0.686764870800643,0.146159441375335,0.281470853875052,0.464715618212617,0.0470904583934085,0.273379944739251,0.0470272504234221,0.178662311723034,0.0471789008027202,0.364343717757553,0.0466411782767036,0.276887990462021,0.04730648901711,0.14137731802532,0.550031439093311,0.912004687638533,0.172023896835954,0.234735800277474,0.282248990405917,0.465867044915867,0.185148446598195,0.299999999999999,1.66337344148493,1.68949817994396,1.62762857940523,1.68666364868007,1.73507729788993,2.93939754925233,3.55404828336436,2.96887167959209,3.61221141336243,2.99483882909053,3.60331464687879,2.91947604206188,3.23732400260084,2.93324796823506,2.85419614404052,3.53631187675631,3.01687609244413,0.980485676687005,0.687707344442396
2,0.0132707656822647,8999.99999999951,4500,0.2893125,22.00535525,-8.06648897173028,2,9000,1000,9,0.564212727098077,-0.194928346002784,-0.261426066768211,-0.190746872393766,0.595388720920623,0.257099779206656,0.183904200318506,0.519871934902989,0.287878022680382,0.208069986003355,0.474333018172702,-0.0270526362124431,0.0280595604353689,0.485937183838792,0.527073766140012,0.523890909078619,-0.20800894700526,-0.0937969084620822,0.342984944401302,0.283929110775179,0.390091473041021,2.51117333971834,0.381892666707361,-0.0726221047077764,-0.0325462251784751,-0.00251209641455441,0.00505959260728393,4.2600022286429e-05,0.627646512234377,0.149535884079832,0.274592508970688,0.458981916856383,0.0468371575018012,0.259872215879372,0.0470634199919267,0.170170345067754,0.0471141863409437,0.355447906089935,0.0463898666382294,0.26573050732705,0.0475911084901714,0.136307940043777,0.516163404250115,0.894245448374484,0.159459938049323,0.227918410887726,0.277957718364992,0.450022615624318,0.174790040030412,0.299999999999999,1.65063448226752,1.75998052648635,1.54535588314979,1.68350924117117,1.76722681251304,2.88998598670753,3.8113926595055,3.02060181259109,3.78690084868743,3.00999598861519,3.82069893696492,2.97922877337205,3.4544358811848,2.8963279086831,2.88985936026791,3.55756865451027,3.08237969536773,1.0021804088655,0.704751737865719
3,0.021215000373155,8999.99999999951,4500,0.3085625,22.2398855416667,-8.28715055470524,2,9000,1000,9,0.543108830768146,-0.184501931673809,-0.294413154887646,-0.135741161337459,0.654357068925679,0.291945449113969,0.109206103048988,0.533939810668558,0.390356858865327,0.15708837829367,0.431305232412566,-0.0298011990501179,0.0385279263692671,0.495765505940319,0.542088646710538,0.530530321878495,-0.229027933398529,-0.0819712514129956,0.33565205207619,0.268284596217434,0.376178697857545,2.46457105567415,0.313545642861621,-0.0684030850624684,-0.0315220744099623,-0.000256154378175664,0.00704667833580221,0.00166447384283662,0.583978649490342,0.156209954861508,0.264751270140273,0.463297593585803,0.0453931541299229,0.246777458187969,0.0474605212214656,0.162399040165368,0.0480599450915438,0.345589155231673,0.045147678973008,0.261798417532474,0.0489031310164304,0.130200065424644,0.483958674703596,0.861351001730148,0.146647859262628,0.223752157093754,0.275690171392733,0.431429872033055,0.165407322752149,0.299999999999999,1.53656218755499,1.85001666107603,1.46480700543048,1.70218657165252,1.78727053023669,2.87692940357402,3.92883740455749,3.06586873518688,3.8249923502938,3.00468186466498,3.83531402629019,2.89358858608851,3.71141530972838,2.97971316052874,2.96760327541781,3.43987458129744,3.2198530869283,1.01225251765228,0.758329849477163
4,0.0307932650947973,8999.99999999951,4500,0.3481875,22.2762769583333,-9.11889769151714,2,9000,1000,9,0.534894548489947,-0.173364332023431,-0.330762569930048,-0.0688020111650929,0.707729080420842,0.344412213228366,0.0423153459361638,0.560684497391419,0.461249017718837,0.0595161507988075,0.405441416125698,-0.0501672626758022,0.0251679090868356,0.496737670189153,0.539109824587422,0.558063306368565,-0.233524809745035,-0.0606374761687838,0.325765391745032,0.251373912326956,0.3581445087279,2.39651745005999,0.244742962702894,-0.0662875800367048,-0.0312811070373462,0.00209143228428919,0.0106487713050086,0.00448083675690594,0.549682103963034,0.161965668685887,0.257725197429941,0.480673827706947,0.0438943326777396,0.236308280404781,0.0472078751373323,0.152753853156751,0.0478490103505539,0.333372584704247,0.0436148241070111,0.255845560286061,0.0500182191586261,0.125991159277964,0.454022221933292,0.845789199795854,0.133353747022921,0.221858463116086,0.280508543899636,0.416506811682852,0.155684607693483,0.299999999999999,1.40364973752239,1.94774050756109,1.42998995558387,1.70131587715376,1.74776836542509,2.87176592133694,3.6618336155468,2.98496813684906,3.54009463350682,2.91045841973937,3.665559471237,2.7872040066502,3.93104853351363,3.07250678906756,3.01121255617804,3.13560861649976,3.39480652515208,0.966990043628493,0.793597363615155
5,0.0423349120317182,8999.99999999951,4500,0.388,22.1521802083333,-10.0506269238404,2,9000,1000,9,0.538699402777244,-0.161887789920308,-0.348845964095397,0.00311396851640947,0.756173336039391,0.343611495764248,0.0393474473575025,0.58010387332972,0.476840280271464,0.00689103534819895,0.415984947742363,-0.0560623646935243,0.0146364772665711,0.482460690031302,0.543657882030949,0.578556463550416,-0.210684717033428,-0.0368488186196752,0.319505008332531,0.246399183717263,0.344053756548597,2.35617322525,0.200134614994739,-0.0633855319943577,-0.0298002414538556,0.00179144946285696,0.0140779130084026,0.00410632694083337,0.537431503468739,0.161403828883508,0.243761432492572,0.49145929588676,0.0425821250165977,0.224687366849182,0.046212054881251,0.142657327691143,0.0472792321551323,0.318755383295385,0.0414763573023974,0.253563494347527,0.0507876243083864,0.12423214654512,0.435907906851426,0.825277244161958,0.119958244398513,0.219374476011488,0.287643585229507,0.409312985850024,0.148917646718482,0.299999999999999,1.24779020374085,1.97651034193195,1.47148432580138,1.70119959222274,1.69425160424885,2.97173321091771,3.38417526896565,2.64448948960839,3.22274085240893,2.76549318684499,3.50863867780404,2.68704222579254,4.04823999338791,3.13440836148251,2.93351632242706,2.7971254627707,3.52820240857612,0.931981692020033,0.810117136437602
6,0.0562915357853922,8999.99999999951,4500,0.3148125,22.1632408333333,-11.18835576317,2,9000,1000,9,0.538967827394175,-0.156791392925321,-0.341933273797087,0.0234076052652862,0.782317227139419,0.306860120174661,0.0429380117151736,0.602375717715672,0.441262914170452,0.0227386261880769,0.434220300115171,-0.0489712502684483,0.00434191291619145,0.461139335835806,0.569880230554518,0.58461526754111,-0.171846953901957,-0.0205733738813913,0.314582920507502,0.248597681833677,0.333256375495431,2.3557999006089,0.183706590478646,-0.0593103041527139,-0.0273908981221425,0.00317107804166755,0.0147034643355962,0.00250255068094417,0.53253869278152,0.159297897882616,0.234292336571814,0.488891644491299,0.042062835714016,0.212687704021668,0.0453311967858952,0.13330524890304,0.0457679611517877,0.308691446042842,0.0399843879891334,0.247930109784528,0.0507376858131251,0.123678382969871,0.42250045087328,0.801836173533895,0.113125432165436,0.212555423245074,0.290632111960811,0.411264108856771,0.143946054913139,0.299999999999999,1.18368862211679,1.95368503362096,1.50121842593583,1.72354989511732,1.67246003101357,3.03938716768741,3.02137965826706,2.34696382900328,2.9432981291255,2.65569814918629,3.50045336411738,2.68700586242383,4.05474949065955,3.09826072601822,2.78613097355398,2.67351349097036,3.59590111628113,0.934068663905371,0.805531334398396
7,0.073212514488605,8999.99999999951,4500.00000000001,0.3164375,22.2506594583333,-12.6226658695803,2,9000,1000,9,0.535477339465028,-0.157024839270614,-0.331806946919696,0.0220233656815956,0.80201305633494,0.251487451598798,0.0555616187898108,0.64380377035016,0.371899710619457,0.0876707536395865,0.483613330339951,-0.0309063207673229,0.002297839551234,0.470744858848697,0.603075778456769,0.579340143496791,-0.151932871210791,-0.0135286013136152,0.311951948964058,0.257946488430895,0.337400877011628,2.37408545187529,0.175423220868803,-0.0534501850482533,-0.025845616881546,0.00493080894392598,0.0197423958170882,0.00129444237525117,0.527685119850379,0.156376008957168,0.229090667908909,0.480741968207622,0.0425483582843732,0.198496176714988,0.0443951047189367,0.126414348003625,0.0438464891320265,0.30463529667215,0.0384472289856133,0.243922613760654,0.0502803553665646,0.120655828852976,0.412187428150519,0.782390905443723,0.108924590197897,0.203609574068337,0.283626908961683,0.40525014640352,0.135581730781813,0.299999999999999,1.22735812270338,1.91774491556704,1.48634144261036,1.71086573672614,1.65924916596823,3.11802181967491,2.81892491555905,2.28082834117243,2.88672543477158,2.5678886324395,3.48821308953906,2.64352620192779,3.87570946707935,3.04454105976925,2.68987603911251,2.78526683503978,3.55249451438119,0.966230599946399,0.76364958413556
8,0.0930951404021944,8999.99999999951,4500,0.3170625,22.260735875,-13.8767654007765,2,9000,1000,9,0.539700810384909,-0.161259527726828,-0.322326912098797,0.0116856759079196,0.815881593858596,0.223532015494254,0.0446185749404128,0.693238435389842,0.325174106557188,0.143523906694744,0.506405080004028,-0.0116293938484463,0.000867830246195787,0.514343942853049,0.653289957600561,0.591112991234553,-0.129803001498338,-0.0119182644938727,0.309833923611951,0.268604142354412,0.345925504211429,2.38352873662919,0.170168643342389,-0.0494152580820175,-0.0238754728348762,0.00567183707836729,0.0243178834053008,0.00113823518928421,0.519429517656266,0.154181522029475,0.226007484482047,0.47255156263146,0.0441507518239508,0.187031069841521,0.0441731047275635,0.121727018112798,0.0418925742991908,0.301728641454032,0.0372410851805049,0.239849692042287,0.0505975584969483,0.11725656269432,0.402056785413653,0.770076265008302,0.107158879625838,0.194927667744078,0.276872103342397,0.398834676804374,0.129666906290992,0.299999999999999,1.28805759942345,1.84469034312057,1.45626642413812,1.67735905403541,1.65373137486109,3.34647160096826,2.81461538874015,2.23983367981807,3.08963397501348,2.50811091925591,3.553210983117,2.62121851790852,3.7516319900628,2.99528201339871,2.72964014923226,2.80763473735845,3.46300014617318,1.00177418383198,0.696491813323198
9,0.115912735184486,8999.99999999951,4500,0.308,22.1229027916667,-14.9627956082146,2,9000,1000,9,0.543144379923191,-0.167301104847778,-0.317382677938466,0.00329320943194209,0.813883835175642,0.206715607810136,0.0578486887668376,0.729429784713899,0.292836460253748,0.187897706216691,0.521358726245262,0.00324438738380236,0.00909925692534187,0.553323745065881,0.705492249898419,0.61404807169461,-0.0985448999797132,-0.0157125691120991,0.310506660600413,0.271561541653142,0.347117570588596,2.41745159975072,0.184510386758587,-0.0460332128424289,-0.022181912374584,0.00458386928181587,0.0255693689021336,0.00153297488242877,0.504155537627058,0.149482111244601,0.226615498785867,0.465298966845953,0.0454439107360078,0.177038339457723,0.0438589344751831,0.117946516747898,0.0401522691116905,0.300458060513386,0.0361754264835947,0.23888317787914,0.0506799075344124,0.113912315462386,0.395376169592229,0.760938401946341,0.106834173391555,0.187072467820255,0.270636898352148,0.392240860339083,0.123889373505529,0.299999999999999,1.42086401806013,1.74030828167325,1.39540668001044,1.61997930382952,1.68618696370912,3.4896829595297,2.7777559709849,2.37342643843744,3.27885371137214,2.46959431448156,3.65810176540074,2.53947358038527,3.71609295847379,3.10023703991452,2.73787582595028,2.75423751008837,3.40851493846682,1.02830044541925,0.638238355057893
10,0.14262260478071,8999.99999999951,4500,0.309125,22.1928970833333,-16.5307853134514,2,9000,1000,9,0.542709313970788,-0.178717184755638,-0.307929134368507,-0.0169235463745192,0.802874095732268,0.192771642290709,0.055358122910051,0.74616945395111,0.263713612274156,0.19282551390081,0.52363839290163,0.0107445525430266,0.01203617497458,0.599484597175792,0.747667691076825,0.658259267277391,-0.0615422336372509,-0.0182504909988825,0.308470622243155,0.266897772280121,0.346417884542746,2.44160912235623,0.203592867360011,-0.0445086691984659,-0.0198606051761302,0.00243994886016913,0.0233883306978693,0.00149257548111787,0.491034072384537,0.145519040961528,0.228653688252434,0.455940174843969,0.0458336473523411,0.169725507655179,0.0431017907412668,0.115046469014132,0.0391476309575408,0.299913753197779,0.0356539527707462,0.240125464271661,0.0507555229904263,0.114585517604998,0.386331905129872,0.748040688396596,0.10541285207088,0.179938944001402,0.265719303459492,0.385054993352002,0.117500225629546,0.299999999999999,1.49256099843601,1.73709768954647,1.32065114767283,1.58206487887563,1.66231555569045,3.44623773693617,2.75132356645904,2.52775442533407,3.4870002431398,2.45172996868605,3.86393241051891,2.46016235631578,3.71182948917289,3.23953178748461,2.70543095216498,2.70771388956982,3.39428389596074,1.0402939570144,0.595871227035587
