param,mean,sd,q05,q50,q95
gamma1,0.492731432719698,0.0649018722295888,0.388821054420142,0.489727112844976,0.600105837467738
gamma2,-0.199339810353025,0.0579275219975187,-0.301893245086169,-0.193563107825199,-0.114358065323498
xi1,-0.236659449837537,0.0502324585339664,-0.322153167874948,-0.234721731512557,-0.156377387833129
xi2,-0.0364578684481178,0.0764507514842837,-0.164153969117415,-0.0348730529659042,0.086723546165977
rhoU,0.61333858704853,0.0825263777529582,0.466625144490368,0.619990683105021,0.737032194497337
theta1,0.020472019590249,0.0627782269394951,-0.0836007068265912,0.0199566422095211,0.126261718603558
theta2,0.0438456625293139,0.0674691540753836,-0.0673571293734431,0.0442155743987047,0.156339949098344
rhopr,0.850246799189791,0.0783738432203147,0.711065332386649,0.857118260454585,0.964786082768359
lam1,0.32226160712487,0.0837228753843058,0.18252997482583,0.323667851425149,0.456925789780002
lam2,-0.194819517150748,0.101945535084193,-0.355400642508315,-0.198120707944056,-0.0255803452971855
rhohpp,0.570516885080268,0.116742797508165,0.375455787789655,0.574510193712584,0.756543708993668
chi1,0.0291546421959919,0.0150169638169376,0.00520784186501768,0.0287236915665783,0.0540492529024888
chi2,0.00802073313955959,0.0150104151631192,-0.0173532340311955,0.00826429083680104,0.0323165523631159
rhok,0.978772197693322,0.0146128439418358,0.95043974235895,0.982201742530086,0.995190727072828
rhow,0.960897793668555,0.0259313601160084,0.912327755262665,0.966249676199798,0.993195261433065
phisum,0.965135334594635,0.0166832545055967,0.934581679845652,0.967166025528028,0.988489634054082
phi2,-0.455530589317109,0.0961199529930399,-0.605022848301681,-0.45753524157277,-0.298676034701805
nu,-0.0111444786769689,0.0220765330553826,-0.0491342267687008,-0.00958390611715002,0.0226251772308171
alpha,0.345205889721373,0.0443584166220661,0.274401876600662,0.344986731335351,0.419941970730996
gzbar,0.142769593625855,0.0656619890558012,0.0289756213287294,0.14498690285486,0.246115850978226
gwbar,0.354133069294855,0.0525711589453861,0.26627176684657,0.35455110214079,0.440236556498247
pistar,2.63682196594157,0.116066538306442,2.44958271595781,2.63535532070686,2.83014917120946
alphapi,0.135310657664135,0.0418438139981532,0.0700330719947657,0.132854490822678,0.206355041189584
phiy,-0.0166286037444842,0.0103495278323228,-0.0364745231294913,-0.0142638970572532,-0.00473128746568827
phiu,-0.00639182003925045,0.00281168790128925,-0.0113367057986899,-0.00604491703840135,-0.00236981535273118
phipr,-0.00385796163304746,0.00853526172490716,-0.0181518273918675,-0.00368585112368436,0.0099192781036993
phihpp,0.0117508159448468,0.013608678195244,-0.00986118268549176,0.0112400321195388,0.0343375263213253
phik,0.000367134771139147,0.00122287491930037,-0.00163975009856556,0.000374202105524356,0.00236878352535412
sig_c,0.39057380448723,0.0367810604611187,0.331395950172884,0.389975178323864,0.453039139248517
sig_Ustar,0.0913219477761757,0.0133688825807034,0.0715720334071066,0.0900856921391428,0.115966166217022
sig_pie,0.203623352201562,0.0176258419860194,0.176619102605702,0.202790620425343,0.233866636016023
sig_z,0.327098870683844,0.037298646048308,0.268191287671808,0.325812793306433,0.391778674259068
sig_gz,0.042577815740527,0.00902937657964643,0.0296210071565072,0.0417294552304112,0.0591697228712167
sig_k,0.0702887249918771,0.00456900522333245,0.0631505927713896,0.0699780971389592,0.0780430814617952
sig_gk,0.0344187511298914,0.00401680939973123,0.028326521941479,0.0342022983817143,0.0412754606325655
sig_w,0.0566276633200373,0.00439907405314154,0.0495835687142939,0.0564940501414788,0.0640322196218941
sig_gw,0.0283632732461314,0.00347396146707118,0.0228350595430225,0.0282738194792181,0.0342577414601602
sig_hpp,0.221341709603671,0.0289496444821578,0.177606256484249,0.218935052396367,0.272209235550378
sig_ghpp,0.034931385630037,0.00657789210013772,0.025542070394354,0.0341458837083615,0.0468657210220405
sig_pr,0.177727646119832,0.0221733959523449,0.143279350703816,0.176710188243533,0.21577628105393
sig_gpr,0.0326950935338611,0.00594125809076134,0.0244185150350505,0.0320528691659907,0.0432452483499724
sig_xi,0.139284056126218,0.0316080045849519,0.0933354631864769,0.136547678033609,0.194943293169573
sme_y,0.260981862267275,0.0261478231949311,0.219137626274211,0.260019768308792,0.30557463222321
sme_pi,0.630543394798641,0.0368417411137968,0.571874437805702,0.629335650342697,0.6915692362407
sme_w,0.0556674180038077,0.00432993173120159,0.0490984427993496,0.0554696786547638,0.0632226202676925
sme_U,0.114691676886071,0.011115055056643,0.0971386215290059,0.114396906894431,0.133923150080378
sme_pr,0.237055662477628,0.0196189179208886,0.204562669213638,0.236812168194182,0.270035881138207
sme_hpp,0.356626023243372,0.0276319766130195,0.313199165478254,0.355815532291523,0.402132052789491
sme_k,0.055778431403577,0.00416055741440909,0.0493690706686094,0.0555185345326921,0.0630176202884415
sme_pieobs,0.3,4.44089209850063e-16,0.3,0.3,0.3
m84_y,1.12038892252312,0.377905006585281,0.601446346913743,1.070007968375,1.81087259310379
m84_z,1.73652306282994,0.443876187095808,1.07544392607885,1.69343805798126,2.48716320374285
m84_c,1.82083302575952,0.323816334154841,1.35191117236252,1.783909180463,2.40785476913991
m93_pi,1.83599043961651,0.21275869747618,1.50438459421814,1.81987214975577,2.20126432758699
m93_U,1.81888986445277,0.409701439899804,1.19390473210995,1.79151370039734,2.54095768331257
kapc_2021,5.32760254419565,1.97064675418303,2.36236018368005,5.13603486144339,8.79616422281231
kapy_20,5.69901288599993,3.19581592853063,2.02671701848026,4.98497267869321,11.784019144358
kapy_21,3.61977563931594,1.53787369252644,1.57003424651091,3.40516935079928,6.53126821026887
kapu_20,5.98811141085655,2.41297725194239,3.0230430568278,5.49865405934082,10.6685071967443
kapu_2122,1.79885794250403,0.629640195104178,1.14086113839205,1.63289163225597,2.99700709821143
kappr_20,8.1441436921243,2.18595530041875,5.35596882817448,7.74729533812396,12.1890604755879
kappr_2122,2.74434950707583,0.774211378913996,1.7669510142018,2.60191008302851,4.21939164069595
kaphpp_2022,3.36228104059935,0.785056082267243,2.30404867918191,3.24449543496273,4.87195978056268
kappop_2021,5.28351789073717,1.34109672302833,3.34282914601435,5.14449847607003,7.69057489627617
kappi_2023,2.41405153270677,0.47059536866051,1.77138808852799,2.34413853242749,3.27247691336073
kapk_20,2.55182953960453,1.36747193081133,1.22840259657004,2.1446088298545,5.24315580713477
kapk_21,2.0087014961863,0.766998782753386,1.18736118177209,1.82508262421179,3.42209114664082
kapHyp_lm_w2020,1.35737640645568,0.328056504908677,0.834374229043073,1.3475639086984,1.898123561245
kapHyp_la_w2020,0.95369065193204,0.56894023714856,0.0193223633147965,0.94798017866313,1.87399367210931
