x,ll,lp,lpost
-0.0281196734789198,-245.893210101446,-32.5646590192041,-278.45786912065
-0.0274166816419468,-244.822715211233,-32.556850698343,-277.379565909576
-0.0267136898049738,-243.788053441366,-32.5492400564911,-276.337293497857
-0.0260106979680008,-242.78922407659,-32.5418270936484,-275.331051170238
-0.0253077061310278,-241.826227832159,-32.5346118098147,-274.360839641974
-0.0246047142940548,-240.899063992819,-32.5275942049903,-273.426658197809
-0.0239017224570818,-240.007733035406,-32.5207742791749,-272.528507314581
-0.0231987306201088,-239.152234721502,-32.5141520323687,-271.666386753871
-0.0224957387831358,-238.332569289526,-32.5077274645717,-270.840296754098
-0.0217927469461628,-237.548736977896,-32.5015005757838,-270.050237553679
-0.0210897551091899,-236.800737071356,-32.495471366005,-269.296208437361
-0.0203867632722169,-236.088569808325,-32.4896398352353,-268.57820964356
-0.0196837714352439,-235.412235427221,-32.4840059834748,-267.896241410696
-0.0189807795982709,-234.771733928045,-32.4785698107235,-267.250303738769
-0.0182777877612979,-234.167065072378,-32.4733313169813,-266.640396389359
-0.0175747959243249,-233.598229098639,-32.4682905022482,-266.066519600887
-0.0168718040873519,-233.065225529989,-32.4634473665242,-265.528672896513
-0.0161688122503789,-232.568055320105,-32.4588019098095,-265.026857229914
-0.0154658204134059,-232.106717276892,-32.4543541321038,-264.561071408995
-0.0147628285764329,-231.681212115606,-32.4501040334073,-264.131316149014
-0.0140598367394599,-231.291539836248,-32.4460516137199,-263.737591449968
-0.0133568449024869,-230.937700677237,-32.4421968730417,-263.379897550278
-0.0126538530655139,-230.619693684896,-32.4385398113726,-263.058233496269
-0.0119508612285409,-230.337519812902,-32.4350804287126,-262.772600241615
-0.0112478693915679,-230.091178584417,-32.4318187250618,-262.522997309479
-0.0105448775545949,-229.880669999441,-32.4287547004201,-262.309424699861
-0.00984188571762193,-229.705994296392,-32.4258883547876,-262.13188265118
-0.00913889388064893,-229.567150998434,-32.4232196881642,-261.990370686598
-0.00843590204367594,-229.46414105924,-32.42074870055,-261.88488975979
-0.00773291020670295,-229.396963286718,-32.4184753919448,-261.815438678663
-0.00702991836972995,-229.365618634542,-32.4163997623489,-261.782018396891
-0.00632692653275695,-229.370106864294,-32.414521811762,-261.784628676056
-0.00562393469578396,-229.410427737555,-32.4128415401843,-261.823269277739
-0.00492094285881097,-229.486581254324,-32.4113589476158,-261.89794020194
-0.00421795102183797,-229.598567653021,-32.4100740340564,-262.008641687077
-0.00351495918486498,-229.746386695227,-32.4089867995061,-262.155373494733
-0.00281196734789198,-229.93003861936,-32.408097243965,-262.338135863325
-0.00210897551091898,-230.149522948584,-32.407405367433,-262.556928316017
-0.00140598367394599,-230.404840398153,-32.4069111699101,-262.811751568063
-0.000702991836972994,-230.69599072965,-32.4066146513964,-263.102605381047
0,-231.022973466238,-32.4065158118919,-263.42948927813
