x,ll,lp,lpost
-0.142317663036235,-289.962142956157,-33.1736666515481,-323.135809607705
-0.138896424391756,-288.733483326335,-33.1255616263841,-321.859044952719
-0.135475185747276,-287.545263302226,-33.0786270886063,-320.623890390832
-0.132053947102796,-286.39748288383,-33.0328630382147,-319.430345922045
-0.128632708458317,-285.290143501658,-32.9882694752095,-318.278412976868
-0.125211469813837,-284.2232437252,-32.9448463995904,-317.16809012479
-0.121790231169358,-283.196783077617,-32.9025938113576,-316.099376888974
-0.118368992524878,-282.210763466258,-32.8615117105111,-315.072275176769
-0.114947753880398,-281.265183937449,-32.8216000970508,-314.0867840345
-0.111526515235919,-280.360043537517,-32.7828589709767,-313.142902508493
-0.108105276591439,-279.495343696971,-32.7452883322889,-312.24063202926
-0.104684037946959,-278.671084415812,-32.7088881809874,-311.3799725968
-0.10126279930248,-277.887264740367,-32.6736585170721,-310.560923257439
-0.0978415606580003,-277.143884670634,-32.639599340543,-309.783484011177
-0.0944203220135206,-276.440945160289,-32.6067106514002,-309.047655811689
-0.090999083369041,-275.778445732493,-32.5749924496436,-308.353438182137
-0.0875778447245614,-275.156385910411,-32.5444447352733,-307.700830645684
-0.0841566060800818,-274.574765694041,-32.5150675082892,-307.08983320233
-0.0807353674356022,-274.033586513896,-32.4868607686914,-306.520447282587
-0.0773141287911226,-273.532847416301,-32.4598245164799,-305.992671932781
-0.073892890146643,-273.072547447581,-32.4339587516545,-305.506506199236
-0.0704716515021634,-272.652688515086,-32.4092634742155,-305.061951989302
-0.0670504128576837,-272.273269188304,-32.3857386841626,-304.659007872466
-0.0636291742132041,-271.934289467235,-32.3633843814961,-304.297673848731
-0.0602079355687245,-271.635750305552,-32.3422005662157,-303.977950871768
-0.0567866969242449,-271.377650749583,-32.3221872383217,-303.699837987905
-0.0533654582797653,-271.159991276164,-32.3033443978138,-303.463335673978
-0.0499442196352857,-270.982771885295,-32.2856720446922,-303.268443929987
-0.0465229809908061,-270.845993053813,-32.2691701789569,-303.11516323277
-0.0431017423463265,-270.749653828044,-32.2538388006078,-303.003492628652
-0.0396805037018468,-270.693754684825,-32.239677909645,-302.93343259447
-0.0362592650573672,-270.678295624156,-32.2266875060684,-302.904983130224
-0.0328380264128876,-270.703277122874,-32.214867589878,-302.918144712752
-0.029416787768408,-270.768697750468,-32.2042181610739,-302.972915911542
-0.0259955491239284,-270.874558460612,-32.1947392196561,-303.069297680268
-0.0225743104794488,-271.020859730143,-32.1864307656245,-303.207290495768
-0.0191530718349692,-271.207601082225,-32.1792927989791,-303.386893881204
-0.0157318331904895,-271.434781563182,-32.17332531972,-303.608106882902
-0.0123105945460099,-271.702403080363,-32.1685283278472,-303.87093140821
-0.00888935590153031,-272.010464203257,-32.1649018233606,-304.175366026618
-0.00546811725705072,-272.358965885539,-32.1624458062602,-304.521411691799
