param,rhat_ref,seed42_mean,seed42_sd,seed42_q05,seed42_q50,seed42_q95,seed42_nUnique,seed42_N,seed7_mean,seed7_sd,seed7_q05,seed7_q50,seed7_q95,seed7_nUnique,seed7_N,seed101_mean,seed101_sd,seed101_q05,seed101_q50,seed101_q95,seed101_nUnique,seed101_N,pooled_N,pooled_mean,pooled_sd,BIC_k1,BIC_k2,BIC_k3,AIC_k1,AIC_k2,AIC_k3,best_k,overlap_42_7,overlap_42_101,overlap_7_101,min_overlap,mean_overlap,sd_ratio_seed_over_pooled,verdict
gwbar,5.81836,0.281838,0.0471855,0.216893,0.278037,0.364774,1688,2000,0.201137,0.0457667,0.12506,0.200421,0.278723,1742,2000,0.651248,0.0306319,0.598868,0.653048,0.697957,1665,2000,6000,0.378371,0.200451,-2242.56,-11530.8,-11539.1,-2255.96,-11564.2,-11592.7,3,0.257932,0,0,0,0.0859774,0.20551,MULTIMODAL (seed-disjoint, pooled k>=2)
kappr_2122,4.32063,3.38339,0.793025,2.00862,3.44873,4.67173,1836,2000,2.89242,0.796111,1.71533,2.78232,4.34422,1680,2000,10.3805,1.31015,8.40918,10.3873,12.6787,1682,2000,6000,5.56038,3.56688,32304,24186.5,24166.4,32290.6,24153,24112.8,3,0.790015,0,0,0,0.263338,0.270945,MULTIMODAL (seed-disjoint, pooled k>=2)
kapHyp_lm_w2023tot,3.37028,1.80867,0.299804,1.27441,1.82799,2.2565,1833,2000,0.414839,0.223671,0.0494462,0.418603,0.786524,1778,2000,0.560686,0.173396,0.294844,0.543562,0.864198,1638,2000,6000,0.927829,0.66969,12232.4,7293.75,7244.71,12219,7260.25,7191.11,3,0,0,0.603472,0,0.201157,0.346863,MULTIMODAL (seed-disjoint, pooled k>=2)
sig_xi,2.66485,0.131292,0.0136904,0.107995,0.133546,0.150214,1611,2000,0.084958,0.0122529,0.0676743,0.0835084,0.108346,1708,2000,0.208998,0.0399253,0.130689,0.210895,0.26892,1765,2000,6000,0.141763,0.0571706,-17296.9,-19088.3,-20376.7,-17310.3,-19121.8,-20430.3,3,0.00425179,0.121336,0,0,0.0418625,0.384047,MULTIMODAL (seed-disjoint, pooled k>=2)
gzbar,2.60234,0.218191,0.0348146,0.169941,0.213338,0.274896,1452,2000,0.330417,0.0362722,0.263755,0.334104,0.384218,1709,2000,0.0871269,0.0719616,-0.0183731,0.0796606,0.213118,1772,2000,6000,0.2119,0.111657,-9264.21,-10133.4,-10789.9,-9277.61,-10166.9,-10843.5,3,0.0519936,0.147229,0,0,0.0664075,0.427046,MULTIMODAL (seed-disjoint, pooled k>=2)
kapHyp_lm_w2021,2.47694,1.53998,0.152966,1.27639,1.54975,1.77288,1608,2000,1.1265,0.301222,0.600128,1.16272,1.60882,1723,2000,0.566772,0.158861,0.277614,0.587985,0.804558,1735,2000,6000,1.07757,0.4539,7565.11,5543.91,5372.29,7551.71,5510.41,5318.7,3,0.283466,0,0.153567,0,0.145678,0.450209,MULTIMODAL (seed-disjoint, pooled k>=2)
kapHyp_la_w2020,2.45712,1.22014,0.193736,0.9037,1.21749,1.54275,1782,2000,0.271655,0.217839,-0.0672959,0.250261,0.655045,1774,2000,0.412361,0.266529,-0.0110797,0.398212,0.835986,1747,2000,6000,0.633975,0.476689,8152.98,6188.16,6147.25,8139.58,6154.66,6093.65,3,0,0,0.73745,0,0.245817,0.474177,MULTIMODAL (seed-disjoint, pooled k>=2)
m93_U,2.44105,0.903791,0.159859,0.661789,0.889222,1.15904,1615,2000,1.86243,0.413916,1.11169,1.90536,2.46987,1756,2000,2.31682,0.343405,1.79369,2.27967,2.92759,1716,2000,6000,1.69521,0.672631,12285,9544.67,9468.09,12271.6,9511.17,9414.49,3,0.0261878,0,0.372368,0,0.132852,0.454523,MULTIMODAL (seed-disjoint, pooled k>=2)
rhok,2.35906,0.941682,0.0674642,0.805771,0.965881,0.994574,1346,2000,0.544104,0.132507,0.332127,0.544687,0.749887,1783,2000,0.900652,0.0964932,0.68475,0.931281,0.993177,1600,2000,6000,0.795695,0.205839,-1924.29,-6956.58,-8238.89,-1937.69,-6990.08,-8292.48,3,0,0.604882,0.0985353,0,0.234473,0.480092,MULTIMODAL (seed-disjoint, pooled k>=2)
sig_gw,2.34236,0.04897,0.00356942,0.0433328,0.0486139,0.0563624,1611,2000,0.0316454,0.00487906,0.0247054,0.0310051,0.0410736,1769,2000,0.0349774,0.0044675,0.0284822,0.0346317,0.0424325,1631,2000,6000,0.0385522,0.00867507,-39924,-41549.9,-41624.1,-39937.4,-41583.4,-41677.7,3,0,0,0.710292,0,0.236764,0.496287,MULTIMODAL (seed-disjoint, pooled k>=2)
theta1,2.30353,0.128573,0.0421,0.0546812,0.129636,0.189577,1688,2000,-0.123363,0.0757228,-0.241607,-0.125739,0.00840917,1715,2000,-0.0125145,0.0600114,-0.0994098,-0.0145577,0.11057,1665,2000,6000,-0.00258482,0.119972,-8402.25,-9511.35,-9555.34,-8415.65,-9544.85,-9608.93,3,0,0.193397,0.306149,0,0.166515,0.494097,MULTIMODAL (seed-disjoint, pooled k>=2)
kapy_20,2.22769,6.08468,1.45165,4.13236,5.71455,9.27783,1613,2000,5.45455,0.904288,4.09487,5.38912,7.05145,1763,2000,2.24039,0.541636,1.35287,2.27227,3.07923,1661,2000,6000,4.59135,1.97481,25209.3,23617.4,23146.6,25195.9,23583.9,23093,3,0.563209,0,0,0,0.187736,0.489089,MULTIMODAL (seed-disjoint, pooled k>=2)
