section,item,metric,value1,value2,value3
per_seed_summary,seed42,phi,1,NaN,NaN
per_seed_summary,seed42,N,2000,NaN,NaN
per_seed_summary,seed42,ESS,1211.4243451639,0.605712172581952,NaN
per_seed_summary,seed42,n_unique_P_rows,1935,0.9675,NaN
per_seed_summary,seed42,n_unique_ll,1935,0.9675,NaN
per_seed_summary,seed42,lpost_max,-305.281791924898,NaN,NaN
per_seed_summary,seed42,lpost_wmean,-339.851172594465,NaN,NaN
per_seed_summary,seed42,lpost_wsd,10.3915224819589,NaN,NaN
per_seed_summary,seed42,ll_max,-236.014547468881,NaN,NaN
per_seed_summary,seed42,ll_wmean,-273.193261608239,NaN,NaN
per_seed_summary,seed42,ll_wsd,12.8373995568978,NaN,NaN
per_seed_summary,seed42,lp_max,-31.7716362661878,NaN,NaN
per_seed_summary,seed42,lp_wmean,-66.6579109862261,NaN,NaN
per_seed_summary,seed42,lp_wsd,9.45288122699694,NaN,NaN
per_seed_summary,seed7,phi,1,NaN,NaN
per_seed_summary,seed7,N,2000,NaN,NaN
per_seed_summary,seed7,ESS,1707.36362994913,0.853681814974566,NaN
per_seed_summary,seed7,n_unique_P_rows,1970,0.985,NaN
per_seed_summary,seed7,n_unique_ll,1970,0.985,NaN
per_seed_summary,seed7,lpost_max,-318.339390299176,NaN,NaN
per_seed_summary,seed7,lpost_wmean,-346.570155547585,NaN,NaN
per_seed_summary,seed7,lpost_wsd,8.54522873409907,NaN,NaN
per_seed_summary,seed7,ll_max,-230.490915613008,NaN,NaN
per_seed_summary,seed7,ll_wmean,-278.358060350142,NaN,NaN
per_seed_summary,seed7,ll_wsd,11.9529192396589,NaN,NaN
per_seed_summary,seed7,lp_max,-38.0339568222422,NaN,NaN
per_seed_summary,seed7,lp_wmean,-68.2120951974429,NaN,NaN
per_seed_summary,seed7,lp_wsd,8.50925628285785,NaN,NaN
per_seed_summary,seed101,phi,1,NaN,NaN
per_seed_summary,seed101,N,2000,NaN,NaN
per_seed_summary,seed101,ESS,1249.29203349178,0.624646016745889,NaN
per_seed_summary,seed101,n_unique_P_rows,1963,0.9815,NaN
per_seed_summary,seed101,n_unique_ll,1963,0.9815,NaN
per_seed_summary,seed101,lpost_max,-333.181578042357,NaN,NaN
per_seed_summary,seed101,lpost_wmean,-357.068640882889,NaN,NaN
per_seed_summary,seed101,lpost_wsd,11.98422500976,NaN,NaN
per_seed_summary,seed101,ll_max,-260.14766164356,NaN,NaN
per_seed_summary,seed101,ll_wmean,-292.211006893834,NaN,NaN
per_seed_summary,seed101,ll_wsd,12.9036780558871,NaN,NaN
per_seed_summary,seed101,lp_max,-36.2059927590856,NaN,NaN
per_seed_summary,seed101,lp_wmean,-64.8576339890558,NaN,NaN
per_seed_summary,seed101,lp_wsd,8.71963974537069,NaN,NaN
pairwise_height_diff,seed42_vs_seed7,lpost_diff,6.71898295311985,9.46837560802897,0.70962361774308
pairwise_height_diff,seed42_vs_seed7,ll_diff,5.16479874190298,12.3951593982783,0.416678686892914
pairwise_height_diff,seed42_vs_seed101,lpost_diff,17.2174682884245,11.1878737458594,1.53894016678519
pairwise_height_diff,seed42_vs_seed101,ll_diff,19.0177452855948,12.8705388063925,1.47761842543446
pairwise_height_diff,seed7_vs_seed101,lpost_diff,10.4984853353047,10.2647268719295,1.02277298424904
pairwise_height_diff,seed7_vs_seed101,ll_diff,13.8529465436918,12.428298647773,1.1146293580718
worst_param_spread,gwbar,mean_seed42,0.281838165661831,NaN,NaN
worst_param_spread,gwbar,mean_seed7,0.201136876816645,NaN,NaN
worst_param_spread,gwbar,mean_seed101,0.651248029300042,NaN,NaN
worst_param_spread,gwbar,within_sd_seed42,0.0471855453550736,NaN,NaN
worst_param_spread,gwbar,within_sd_seed7,0.0457667256465056,NaN,NaN
worst_param_spread,gwbar,within_sd_seed101,0.0306318651079799,NaN,NaN
worst_param_spread,gwbar,between_seed_sd,0.239991803667128,0.0411947120365197,5.8257915106767
worst_param_spread,kappr_2122,mean_seed42,3.38338540846784,NaN,NaN
worst_param_spread,kappr_2122,mean_seed7,2.89241791521697,NaN,NaN
worst_param_spread,kappr_2122,mean_seed101,10.3804704898575,NaN,NaN
worst_param_spread,kappr_2122,within_sd_seed42,0.793025179506082,NaN,NaN
worst_param_spread,kappr_2122,within_sd_seed7,0.796110665472934,NaN,NaN
worst_param_spread,kappr_2122,within_sd_seed101,1.31015096729937,NaN,NaN
worst_param_spread,kappr_2122,between_seed_sd,4.18869868567424,0.966428937426128,4.33420246793305
worst_param_spread,kapHyp_lm_w2023tot,mean_seed42,1.80867370634869,NaN,NaN
worst_param_spread,kapHyp_lm_w2023tot,mean_seed7,0.414839223233631,NaN,NaN
worst_param_spread,kapHyp_lm_w2023tot,mean_seed101,0.560685970050935,NaN,NaN
worst_param_spread,kapHyp_lm_w2023tot,within_sd_seed42,0.299804266349239,NaN,NaN
worst_param_spread,kapHyp_lm_w2023tot,within_sd_seed7,0.223670859629688,NaN,NaN
worst_param_spread,kapHyp_lm_w2023tot,within_sd_seed101,0.173396010007889,NaN,NaN
worst_param_spread,kapHyp_lm_w2023tot,between_seed_sd,0.766106958353663,0.232290378662272,3.29805721083054
worst_param_spread,sig_xi,mean_seed42,0.131292422848924,NaN,NaN
worst_param_spread,sig_xi,mean_seed7,0.0849579939932356,NaN,NaN
worst_param_spread,sig_xi,mean_seed101,0.208997993005105,NaN,NaN
worst_param_spread,sig_xi,within_sd_seed42,0.0136904243979373,NaN,NaN
worst_param_spread,sig_xi,within_sd_seed7,0.0122528581298205,NaN,NaN
worst_param_spread,sig_xi,within_sd_seed101,0.0399253186349888,NaN,NaN
worst_param_spread,sig_xi,between_seed_sd,0.0626776891266535,0.0219562003875822,2.85466920597529
worst_param_spread,gzbar,mean_seed42,0.218191464697474,NaN,NaN
worst_param_spread,gzbar,mean_seed7,0.330417109611044,NaN,NaN
worst_param_spread,gzbar,mean_seed101,0.0871269229936788,NaN,NaN
worst_param_spread,gzbar,within_sd_seed42,0.0348145854579653,NaN,NaN
worst_param_spread,gzbar,within_sd_seed7,0.0362722246552532,NaN,NaN
worst_param_spread,gzbar,within_sd_seed101,0.0719615634398793,NaN,NaN
worst_param_spread,gzbar,between_seed_sd,0.121766596659761,0.0476827911843659,2.55368013564787
stage25_vs_stage29_seed42,lpost,stage25_wmean,-377.074607499027,10.3553061848109,NaN
stage25_vs_stage29_seed42,lpost,stage29_wmean,-339.851172594465,10.3915224819589,NaN
stage25_vs_stage29_seed42,ESS,stage25,1999.99999999998,0.999999999999989,NaN
stage25_vs_stage29_seed42,ESS,stage29,1211.4243451639,0.605712172581952,NaN
stage25_vs_stage29_seed42,unique_rows,stage25,1861,0.9305,NaN
stage25_vs_stage29_seed42,unique_rows,stage29,1935,0.9675,NaN
stage25_vs_stage29_seed42,gwbar,stage25_sd,0.0561183080260111,NaN,NaN
stage25_vs_stage29_seed42,gwbar,stage29_sd,0.0471855453550736,NaN,NaN
stage25_vs_stage29_seed42,gwbar,sd_ratio_29_over_25,0.840822665808151,NaN,NaN
stage25_vs_stage29_seed42,kappr_2122,stage25_sd,0.974012061925668,NaN,NaN
stage25_vs_stage29_seed42,kappr_2122,stage29_sd,0.793025179506082,NaN,NaN
stage25_vs_stage29_seed42,kappr_2122,sd_ratio_29_over_25,0.814184146691401,NaN,NaN
stage25_vs_stage29_seed42,kapHyp_lm_w2023tot,stage25_sd,0.297366914344139,NaN,NaN
stage25_vs_stage29_seed42,kapHyp_lm_w2023tot,stage29_sd,0.299804266349239,NaN,NaN
stage25_vs_stage29_seed42,kapHyp_lm_w2023tot,sd_ratio_29_over_25,1.00819644650272,NaN,NaN
stage25_vs_stage29_seed42,sig_xi,stage25_sd,0.0178914544575986,NaN,NaN
stage25_vs_stage29_seed42,sig_xi,stage29_sd,0.0136904243979373,NaN,NaN
stage25_vs_stage29_seed42,sig_xi,sd_ratio_29_over_25,0.76519348554823,NaN,NaN
stage25_vs_stage29_seed42,gzbar,stage25_sd,0.0384331914920139,NaN,NaN
stage25_vs_stage29_seed42,gzbar,stage29_sd,0.0348145854579653,NaN,NaN
stage25_vs_stage29_seed42,gzbar,sd_ratio_29_over_25,0.905846850246602,NaN,NaN
