stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,m_stage,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_lm_w2021,mean_kapHyp_lm_w2122,mean_kapHyp_lm_w2021tot,mean_kapHyp_lm_w2022tot,mean_kapHyp_lm_w2023tot,mean_kapHyp_la_w2020,mean_kapHyp_la_w2021,mean_kapHyp_la_w2122,mean_kapHyp_la_w2021tot,mean_kapHyp_la_w2022tot,mean_kapHyp_la_w2023tot
1,0.00632367069231053,1999.99999999998,1000,0.193375,10.00526775,-7.98248062358785,2,0.58891301787102,-0.200834331773396,-0.227592826811533,-0.26538706868164,0.549403854246896,0.249450055198128,0.255467449699784,0.47926942972189,0.268323795457698,0.260696388994059,0.476918362223796,-0.00593035901971436,0.00950965205159519,0.504084655262531,0.503036290575485,0.521152920819126,-0.196029251929284,-0.104999624800355,0.346420432588782,0.29401758272811,0.39754634947435,2.54746760224333,0.443385445028742,-0.0713247676145814,-0.0361176319662972,-0.00216358951409295,-0.00117242179753102,-0.000919807793829822,0.68642403764879,0.139393878915765,0.280844070902266,0.475420541908872,0.0476986601698408,0.269962502186568,0.047154450009248,0.178640532393786,0.0458786102902716,0.372659233718385,0.0471471767852818,0.28294954392503,0.0461590238017999,0.142478812077383,0.540174603105204,0.900140064687165,0.176491230313382,0.231847885083904,0.277487311867607,0.45871478892733,0.183851102729101,0.3,1.715848299172,1.66875361411539,1.64135203408357,1.7046989728029,1.80266457742227,3.44658417725813,3.82689233848099,3.39780871552848,3.73425756323684,3.35044714037839,3.837264154624,3.38101466950452,3.48626232301444,3.28186039930342,3.33736953342599,3.6074395908035,3.36322353146559,0.989498578940535,0.925439973056875,0.915507762440021,0.887618934421416,0.93422401105889,0.928768470221061,0.671524319487968,0.701706915237781,0.707546574123203,0.698420580035838,0.663775904467497,0.716904819719529
2,0.0139357436223077,1999.99999999998,1000,0.299625,10.1767592916667,-8.71415241196204,2,0.599284755467844,-0.208681675593582,-0.246449384853768,-0.26315455385037,0.611361668162874,0.272019814256266,0.261145379857245,0.469455793342446,0.246267319233294,0.230837887280799,0.483044158106494,-0.0283965532264642,0.0473889775890339,0.51102645527443,0.514468838539155,0.532493223057691,-0.163729676529699,-0.097467501058914,0.341237386171981,0.300835262653182,0.408834523553282,2.5663765226867,0.423388096538348,-0.0657149761260718,-0.0349624721917552,-0.00472142460122009,0.0046094344845049,-0.00221528929837982,0.618516872766162,0.135734183254759,0.275556517461253,0.465447593458408,0.0473236895209538,0.258530436413815,0.0475600269349251,0.165268142496456,0.0437696326877447,0.362994476887954,0.0467202992618074,0.278491240966092,0.0436709573439567,0.14281288128868,0.51885770397232,0.855621345248711,0.1665351997538,0.233101326884624,0.27279270378322,0.439772439407559,0.179042593706838,0.3,1.6417950570034,1.65786273189227,1.63849422880887,1.71389494219735,1.8212113624781,3.59354185511844,4.24414199020055,3.55833874049319,4.01861802025951,3.40467890824378,4.40227067916773,3.32841241332096,3.72979759790263,3.25389677474658,3.19940218517312,3.60881928482902,3.36399507738265,1.05276620837539,0.949743413600491,0.937322245809273,0.8704048743399,0.953632099616198,0.947857830322111,0.682901643715032,0.699590043589474,0.71734548167676,0.659124349473224,0.674562429980574,0.694079256617695
3,0.0227807727357618,1999.99999999998,1000,0.332,10.2976168333333,-9.27480827110946,2,0.649961117865477,-0.23060372477187,-0.27721161333473,-0.2100544676415,0.673402111650952,0.297467926674117,0.281434087375602,0.437312883054181,0.191007117873341,0.233680952327417,0.520962083481871,-0.0324543113091353,0.0551990599227402,0.5413200036149,0.532331256614011,0.525925807323558,-0.168461074571733,-0.0808714298762414,0.33244779397448,0.31997195250061,0.446222561984613,2.56612550567678,0.423136379995326,-0.0682733884829431,-0.0340635616151911,-0.00831225803914767,0.0178399567307473,0.000285441483964959,0.565457636217939,0.127349378994539,0.271652375222436,0.449390399114407,0.0455963736967343,0.251195071265549,0.04836563653414,0.154134309662034,0.0413126298241628,0.358488663481981,0.0446804352037583,0.272807247578319,0.040941662758454,0.1418725215905,0.477099682455084,0.79430762025583,0.163404025601856,0.244252439018965,0.272403217492875,0.412321612016112,0.173021281824767,0.3,1.51513668564654,1.57991913759365,1.67032112484203,1.75999637475569,1.76760046725679,3.71881449805948,4.94462366578007,3.96216101736658,4.13194763207127,3.2332406103747,5.24260256914554,3.18833279142461,3.98767259746004,3.28624196304226,3.06859695783098,3.41227589625112,3.28663568969503,1.13117139105509,1.04434874044462,0.939654562491732,0.8543995496413,0.994592551473773,0.951390092662039,0.685320078735666,0.711808434516683,0.806374987586842,0.583758721227085,0.740724697864808,0.582463129191333
4,0.0342303345558218,1999.99999999998,1000,0.421875,10.1813125,-11.0119961298215,2,0.722857410072949,-0.257012951279269,-0.297694874638601,-0.137825899458028,0.734754751963892,0.299981286477947,0.289875158718525,0.371213329016838,0.123769142994127,0.283684598649736,0.582206963965891,-0.0500924641705967,0.0415502785388492,0.594664336831278,0.560587049469708,0.518108819771533,-0.199065346971728,-0.0614077414626635,0.325777435755959,0.359173840258523,0.504357759529824,2.56221282919007,0.418298872852043,-0.0754859397967908,-0.0324508103432788,-0.012209899515015,0.0364280300443705,0.00296497617806773,0.517392729487118,0.117059290548975,0.270965372203366,0.42447670149416,0.0429619190893692,0.254356318615074,0.048964710827924,0.143317937339399,0.0387670043164216,0.350976446945138,0.0404000165188794,0.267865056164036,0.0387919441532736,0.140779007101479,0.426017770526923,0.730232468654028,0.160750284912485,0.261703190286202,0.278411793270991,0.371531047143826,0.16592319746206,0.3,1.31401900045493,1.49122791814554,1.64560455162407,1.83575251028655,1.66423632738846,3.91882362952382,5.71796781509432,4.4673484418944,3.99783631061447,2.89370114649463,6.41074305792697,2.95892743484037,4.15616349680648,3.36865336304158,2.89403346101563,3.00135409399942,3.27853334276747,1.23960940504721,1.19254812772955,0.926042955965051,0.83783113451367,1.04402405417337,0.965873660701652,0.684406012013356,0.72992457619453,0.953795698987332,0.494473283051169,0.873123527414615,0.371978556738905
5,0.048673457823501,1999.99999999998,1000,0.427125,10.166905875,-12.8107093668832,2,0.775113699148497,-0.275613389247749,-0.30643037938018,-0.10172613706715,0.786119904792375,0.274543141998438,0.295374087519321,0.323227537536846,0.0888007701695673,0.301943209606508,0.632360144357344,-0.0610327637732078,0.0238886879593979,0.639116940302062,0.602761398336371,0.505857480371201,-0.204548495461851,-0.049853819202773,0.324090417335233,0.388615339376467,0.536778929048843,2.56186732682978,0.401566211117314,-0.0786827678190982,-0.030007754678525,-0.0140828234974183,0.0442616588228616,0.00393618873607957,0.484294980876204,0.110255346016888,0.272376085352317,0.40966620386267,0.0411084444642004,0.256159096580293,0.0490588532385773,0.137190286130884,0.0372066099763094,0.348173984449031,0.0371308086335539,0.266088453542534,0.0378694136331776,0.140893662881888,0.39745335806933,0.700764099670077,0.156519596430386,0.271083419769515,0.282706791843954,0.346888520491703,0.161006208065885,0.3,1.11969567464551,1.46119853418933,1.61358636050939,1.89462960658916,1.599314577483,4.09918090950284,5.80636145172327,4.6280490590532,3.56949262160009,2.53009788233674,6.77097610428642,2.74173407809539,4.24484741214672,3.36720562885308,2.73854338144507,2.50425794482634,3.29032992237057,1.27578701583044,1.27359193150972,0.897682550794185,0.837903059289675,1.08122192542865,0.986699691935207,0.684481461519286,0.737716926543506,1.03595968975286,0.42465108719284,1.01193403144016,0.236135449849244
6,0.0655818172274928,1999.99999999998,1000,0.37325,10.1501133333333,-13.9999193506851,2,0.785191732560967,-0.281898216779899,-0.310760754933162,-0.0923453674230891,0.822626600001516,0.225841559115735,0.256740548282409,0.323327749029089,0.0846812091408879,0.273249986681718,0.63919984507585,-0.0489193216451815,0.0254403022184619,0.660941942185889,0.636730359099915,0.491067325300318,-0.181102382601603,-0.0419667708781915,0.324069505562674,0.39217096548725,0.533988823612944,2.55402165732999,0.372501995011757,-0.0783326268880115,-0.0275756249635763,-0.0142166409454432,0.0430874943809029,0.00360051155826201,0.467817678430227,0.107330839581091,0.274553055404707,0.407501350648431,0.0403836499187454,0.246735213790014,0.0484398967330416,0.134176458653524,0.0370201868235569,0.345713790380184,0.0366671625825485,0.261899859322953,0.0379885968627945,0.140768655271803,0.394110154184807,0.692091233323349,0.152437145402953,0.262842100138033,0.277617992334444,0.33991764485325,0.158430163564377,0.3,0.999506025948637,1.45748310778217,1.58865017919638,1.90119215140816,1.63660081927217,4.49883495129174,5.36702953686114,4.41010947345552,3.37633793175941,2.38349029650206,6.51578585098511,2.58319044581877,4.27664111368624,3.3934376464621,2.63213134188617,2.28388512792775,3.2180595136925,1.25014538741096,1.26689612544093,0.894748166916499,0.8511285946552,1.0927567964442,0.991107213328449,0.664762389026641,0.781804401437261,1.04865882380067,0.356253440532258,1.08844083356598,0.187977814490109
7,0.0866209395414803,1999.99999999998,1000,0.26725,10.299154625,-16.381838709439,2,0.785503737797746,-0.288739682019653,-0.323485430626056,-0.0739262639119838,0.860069315979754,0.184081361639097,0.204134007179083,0.362731990947239,0.115453141817436,0.239399143031199,0.607205533934565,-0.0392175111992789,0.0336581787526613,0.670440254593726,0.663005657652305,0.476353575058825,-0.15410548953214,-0.0387223923946404,0.324296219030567,0.381346342899005,0.522597651313744,2.55466343281664,0.342613805182918,-0.0765988541748785,-0.0241986283758338,-0.0117630673042914,0.0387437310799911,0.00389196187520634,0.458600730687843,0.106908801562557,0.273805797843414,0.408407574856588,0.040419548832542,0.229107967585603,0.0481443248759693,0.131875327884547,0.0371871453681719,0.344633051763785,0.0379306732503646,0.260645146303579,0.038243374731415,0.14094777036332,0.394525482359245,0.686111076348048,0.150006595412455,0.246214110474918,0.269296179180236,0.336303562597586,0.156467155383507,0.3,0.957594145951508,1.44668451558541,1.57270137101936,1.87551483043804,1.7186794160352,4.99568467698199,4.84976748754564,4.13577343776206,3.31700558557403,2.37312839433441,6.0595127154657,2.52004765134266,4.33015152659243,3.45236886731514,2.60518240813511,2.02942451609617,3.14091894994141,1.19119774801221,1.22565448685407,0.89946891922987,0.883311600935247,1.10060425407492,1.00078012378444,0.654919773236337,0.849236687447418,1.03899360860659,0.32263971714868,1.13175582366931,0.16750628638177
8,0.111021399549617,1999.99999999998,1000,0.252875,10.0764068333333,-17.9796725896772,2,0.782974889633613,-0.292254632076029,-0.332888756929412,-0.0545028438809386,0.880858526262086,0.173801274085678,0.159994224871409,0.427547687611111,0.13123267564254,0.20784736312062,0.568744018961952,-0.0314679616611052,0.0417226746702893,0.677341622933075,0.695149185795178,0.483476968492945,-0.128407542793962,-0.0396020687923346,0.324584801677422,0.366564079954341,0.50449592530547,2.5602658980212,0.321685970583331,-0.0742736339563758,-0.0212212946637368,-0.00860602980681966,0.0350190232466203,0.00407903871467347,0.45331590612559,0.106231924491068,0.269329175542231,0.408457337557136,0.0407269611256905,0.211168547215179,0.0479571351229499,0.131331966858901,0.0374288405184937,0.347851534821093,0.0395063764236669,0.261439632565083,0.0384257452291664,0.141213764819348,0.388577990469177,0.680994934734044,0.148214989613631,0.229239986211924,0.261357232137526,0.330575332308413,0.154655404273279,0.3,0.967338499644256,1.44502046974316,1.54365571561104,1.85938007484195,1.79638791246317,5.21683781414993,4.41650153004453,3.87560847134056,3.12282094863941,2.41513632154616,5.55330596510796,2.48553583660542,4.42710123184643,3.48897170531244,2.65165140113209,1.77567252587574,3.08441241121032,1.12438938946274,1.19208536075742,0.910824762045568,0.900230250489246,1.10116207977366,1.01691476146337,0.668636856491334,0.906437667408232,0.964879913359868,0.332885002930133,1.11720980403284,0.157277317328074
9,0.138210693528518,1999.99999999998,1000,0.230625,10.0424814166667,-19.0708627129459,2,0.779989348947742,-0.293970265174142,-0.335576007243756,-0.0453090580893164,0.896167671585758,0.178014278862625,0.121811575713601,0.484946814763383,0.100172892369011,0.231657938128482,0.535349189751405,-0.0253532717770603,0.0375105751642241,0.695371916363533,0.733778233215434,0.514847717960894,-0.0866264318681654,-0.0441347500881679,0.326368799316698,0.351362614599278,0.48894354659376,2.55659654750383,0.301697621027564,-0.0718592996538301,-0.0189926034402674,-0.00630489084737501,0.0299959777282933,0.00285354505387657,0.448556290830283,0.107472565870401,0.26377322242087,0.405245651618021,0.0406890522328856,0.197817019616335,0.0474090302200713,0.130994612782236,0.0377445147949484,0.350127262619387,0.0411052433205306,0.265869525488296,0.0386984814251062,0.141980536066898,0.376582525748913,0.677242195282582,0.146008830436753,0.21651331327079,0.253962390779682,0.32070958400771,0.152633705101472,0.3,0.970504864200293,1.45127114872422,1.51433700184934,1.82861635419587,1.8363972365134,5.40181336366953,4.23597246796132,3.755042220281,2.97731268000212,2.36595119933998,5.29332535219859,2.47962479111485,4.55935906931546,3.58575468043973,2.76661712967329,1.65197367721987,3.12124325081582,1.08332314791147,1.19235145356962,0.918187505713118,0.923519394959326,1.11145997057105,1.01010796192989,0.702479026440813,0.956230892595724,0.82785673386693,0.326729905500351,1.06015811107665,0.177982875906108
10,0.16944524988758,1999.99999999998,1000,0.232875,10.0622096666667,-20.9201791977976,2,0.775814331461619,-0.295590225772417,-0.334060687590095,-0.0333471964464016,0.906009041170778,0.18718223900979,0.0815320992939756,0.529165629649866,0.0624012848370567,0.252482314276119,0.513569986410481,-0.020480254120659,0.021650184298702,0.724363026532219,0.774730867900358,0.554233476798184,-0.0429451132157353,-0.0411760802695912,0.328929795915966,0.337764417674629,0.471530562739633,2.54666023772095,0.279915192348401,-0.0703115307833821,-0.0176620797776254,-0.0055725692351723,0.0256776263808904,0.00141653471518321,0.444576108022536,0.110589389037284,0.257800268275288,0.402573394684385,0.0406313043549558,0.188123263153794,0.0467817850902377,0.130724816128254,0.0378268164937864,0.349035677161187,0.0422117822122566,0.267903197185155,0.0390190985737194,0.145765732390031,0.359667097128289,0.670074118776607,0.143271667527126,0.20898165600289,0.246974974093134,0.308338028920179,0.149462294996153,0.3,0.957174613476829,1.47448053648389,1.45788782598252,1.8118926701617,1.86514739134054,5.41484727912074,4.14689926393909,3.67848476940393,2.82120190273584,2.25331850843367,5.25735922886305,2.44178902508278,4.59406484512982,3.84388702366684,2.818875279967,1.55331623417858,3.1703404273864,1.04641613159176,1.20822801128703,0.910194387855034,0.923949555233619,1.12740839835665,0.986447842001403,0.718681399223048,0.977184079045263,0.692519282000662,0.301837319066773,1.01148926970812,0.193167327825461
