param,mean,sd,q05,q50,q95
gamma1,0.539082266842899,0.0680401281560569,0.430769123190218,0.532016350192172,0.656187408468169
gamma2,-0.246043101319953,0.0743949869165691,-0.370828124515508,-0.24196284474904,-0.138109950239824
xi1,-0.19469478898732,0.0630760842788495,-0.292451470780212,-0.201720728802997,-0.0882975866718793
xi2,-0.0462913087455022,0.113587378705109,-0.240406055443958,-0.0112323238971495,0.103190068653829
rhoU,0.861689377669804,0.0619088088340344,0.760334300841893,0.863285303101584,0.956350332263426
theta1,0.0236098271475916,0.154629908047483,-0.197768793316055,-0.0170244618708038,0.280597658221963
theta2,0.0625901313482471,0.104345525229343,-0.119730391302265,0.0782086669900318,0.219442021613396
rhopr,0.713896618136726,0.129506930238204,0.513335203768756,0.698879049742473,0.944058205742515
lam1,0.319602886053257,0.19089245568331,0.018674217042457,0.290573712074845,0.606408470005595
lam2,-0.164544158550715,0.22554691981614,-0.529686209848436,-0.0800473317578859,0.124242517037969
rhohpp,0.543350412735167,0.308290587670838,0.0811500783432572,0.578658170061859,0.948583285621109
chi1,0.0169648721719605,0.0281142329708087,-0.0317414355549003,0.0190831974910817,0.0604034545181853
chi2,0.0147509922369295,0.0228004022222443,-0.0235312013081928,0.0143936096531715,0.0521440566037882
rhok,0.543545805196934,0.217081533706816,0.251013056603836,0.490208537578967,0.910430635162671
rhow,0.864214541943425,0.0708865075346911,0.760592105339227,0.854087955069694,0.982411551924168
phisum,0.806525871133456,0.138242447263904,0.514237938524034,0.864674163435723,0.940909726335338
phi2,-0.113468714408107,0.136635796415836,-0.317239967189413,-0.130427736668683,0.125484327366138
nu,-0.0629029854889528,0.0345687148611246,-0.109244768803887,-0.071857561331479,-0.00211770941134135
alpha,0.345188806261371,0.0174027181549661,0.314250410376965,0.345927719142652,0.373656864962864
gzbar,0.318120928144978,0.0799194548869153,0.172627616022921,0.343755497471055,0.417614403806935
gwbar,0.257810904181685,0.0923842685762196,0.112399909420971,0.279028721595006,0.383005884491464
pistar,2.44601572722764,0.10322159341042,2.28622731292142,2.44004959136931,2.62129382555976
alphapi,0.212295861026878,0.0717984501819486,0.112157172398111,0.198266410658118,0.322035795282179
