param,rhat,means_by_seed_1,means_by_seed_2,means_by_seed_3
gamma1,1.01882172467811,0.495584581909118,0.51573410288888,0.490458976533442
gamma2,1.01714623511317,-0.247242989912148,-0.239220959000525,-0.225176476895323
xi1,1.05908341550133,-0.312723709093862,-0.312336801108371,-0.276357741589539
xi2,1.07297384214079,0.0275738164378338,0.0586366410091287,-0.0117170366985943
rhoU,1.27004473975266,0.765828245728512,0.709736903306951,0.625560967876399
theta1,1.06024584101843,-0.0415900922158023,-0.0587599469646157,-0.00507906878510784
theta2,1.08767690413894,0.12742405693445,0.146229059269845,0.0800950553387657
rhopr,1.13139057840431,0.898365181609011,0.807242011044041,0.835557374669585
lam1,1.18008338361304,0.183467921280555,0.239007841820731,0.319595837404868
lam2,1.27499921687184,0.0395069663665225,-0.0801385077704679,-0.171002477270634
rhohpp,1.03864920867203,0.479216778849445,0.505883201234932,0.549022841761696
chi1,1.01518601886158,0.0342238092444783,0.0277184572344482,0.0311782487560863
chi2,1.0378019252668,0.0174980961388264,0.019762301531163,0.00976993398719812
rhok,1.10493345010865,0.969890317111597,0.970873384889046,0.986573851889954
rhow,1.16562689861447,0.944671620808553,0.962309589117753,0.974460538239044
phisum,1.45242081588994,0.902122863266475,0.953153874596665,0.957045411160516
phi2,1.48260462158907,-0.236595637421192,-0.491615786399579,-0.454938938417602
nu,1.10511507592477,-0.0258578780984416,-0.0175270948385311,-0.00181694561738707
alpha,1.0208894870691,0.376635156495547,0.379700654370552,0.394574389320005
gzbar,1.02828809942742,0.121409793728427,0.155136795296251,0.143106221843327
gwbar,1.01167051963972,0.337787887141661,0.33230863706219,0.318775291548643
pistar,1.07692269557424,2.66321911664454,2.5400965122582,2.52004153312543
alphapi,1.02944990562959,0.108780655443744,0.0936566709417053,0.116123562554757
phiy,1.17861768255257,-0.0279795932835984,-0.0276825507166954,-0.0131195270619282
phiu,1.1206845755394,-0.00895112221124949,-0.00597034457870729,-0.00667213753764747
phipr,1.08462121394906,-0.00454401214115366,-0.00135537815350032,0.00289526502122104
phihpp,1.04216811181839,0.0061891182098862,0.000501144416262986,0.0118024665988562
phik,1.02081750124992,-5.55474367373732e-05,0.000551477138606314,9.37408338467253e-05
sig_c,1.06410459559443,0.369749900292263,0.348126268993487,0.372358728004533
sig_Ustar,1.13288329605782,0.10496749826338,0.0942203431976111,0.0915605960106116
sig_pie,1.01075943280633,0.209134598793412,0.204045350983587,0.2046405368984
sig_z,1.01151538380734,0.347161541661262,0.335414518745293,0.337862099682422
sig_gz,1.03152380276861,0.042117950652962,0.0395038339659594,0.0441808964444001
sig_k,1.16815436234678,0.0751406985788299,0.0717802712464449,0.069023134927751
sig_gk,1.02107350751685,0.0376559507363768,0.0362566814406767,0.036024370560545
sig_w,1.13093328353707,0.0592643545269831,0.0551709437119882,0.0552732016206977
sig_gw,1.04775134829578,0.0283734839692627,0.0302351112046578,0.0305183646006233
sig_hpp,1.0338592845839,0.242398785219934,0.240701777126308,0.226156468462413
sig_ghpp,1.01244709679549,0.0342089799188614,0.0337299980800267,0.0357742564535435
sig_pr,1.12395023898852,0.179173121806581,0.203857411265505,0.185695563792538
sig_gpr,1.10026031560272,0.0420310628361043,0.0364935964989415,0.035257027708291
sig_xi,1.01017339965291,0.13865324091541,0.128446920037606,0.133415261248947
sme_y,1.01613423851799,0.248111449556142,0.241237033441664,0.249567170644395
sme_pi,1.00890722121466,0.649183622021863,0.646947442765096,0.658344146321033
sme_w,1.02285331079855,0.0559189088104338,0.0541037761934902,0.0547026915070412
sme_U,1.05559850597244,0.118973081376158,0.121485246919175,0.113588363032686
sme_pr,1.24599211681374,0.238341690923558,0.205736170456243,0.223477238542791
sme_hpp,1.03785646006734,0.33654684292083,0.342261748868286,0.351641236820006
sme_k,1.06108720904652,0.057967085422083,0.0579775758531087,0.0550198825108244
sme_pieobs,1,0.299999999999998,0.299999999999998,0.299999999999998
m84_y,1.16609339809494,0.972353648101947,1.42872605051128,1.24226992647573
m84_z,1.05598038839206,2.06555024866254,1.77019016644735,1.80148722058911
m84_c,1.01517443213823,1.7033349078022,1.8129063254545,1.72143203976766
m93_pi,1.04424323127633,1.78573604105144,1.70129601303275,1.6563055589861
m93_U,1.02918929379711,1.8923131792099,1.7285698200188,1.71764538643616
kapc_2021,1.06483589146751,4.27072480782321,3.85126111859554,5.17590186176488
kapy_20,1.06182414853069,7.9357273665208,10.2592807702231,7.87112172378716
kapy_21,1.11337740154597,4.47627351719174,4.93229918267175,3.40504804066463
kapu_20,1.01390728614249,5.10557800532498,5.78579636270071,4.79186342409455
kapu_2122,1.05024969467928,2.11597779379768,2.10398521113521,1.70021427907793
kappr_20,1.04378832232109,10.1719760835911,11.5660904151393,9.8021512001396
kappr_2122,1.03394393899771,2.74069149035455,3.15419356999122,2.82745654978713
kaphpp_2022,1.16436464765259,4.67033818688302,4.32653562351199,3.52937832841596
kappop_2021,1.10061113635561,5.0289651747462,6.26329889881366,5.12760355258014
kappi_2023,1.06024196629109,2.07034173173213,2.36433936169839,2.09214961926915
kapk_20,1.09255358992025,4.69803198992008,3.07715153889882,3.44588878842284
kapk_21,1.03525008912863,2.55479904080877,2.1012320923166,2.24652669698458
kapHyp_lm_w2020,1.01779604975751,1.53947446249918,1.6422523927536,1.66486468174188
kapHyp_la_w2020,1.03283368503639,0.710508992724227,0.424559097013821,0.582557975444517
