param,mean,sd,q05,q50,q95
gamma1,0.497893876761933,0.0641686935476298,0.393687786091398,0.497811220142717,0.603703932612962
gamma2,-0.217863466414,0.0560702182517422,-0.314211316444248,-0.214054200676999,-0.129912042419751
xi1,-0.27948623322239,0.0603221360868153,-0.380709311471577,-0.277960628242797,-0.184583977945623
xi2,0.00291214745127721,0.0886302129875428,-0.141758401855613,0.00189322590884363,0.148894024897315
rhoU,0.61956090827693,0.0953110230943331,0.459305623472551,0.622747453142913,0.767733736172461
theta1,-0.0235523824333805,0.0701429025887812,-0.137667035090981,-0.0219559403994195,0.0899973529181243
theta2,0.103823560863983,0.0771434927693493,-0.0183972131384723,0.101784740324654,0.231319075486476
rhopr,0.807526433370408,0.0809079866300303,0.671817798606018,0.809299703185106,0.939020180435933
lam1,0.300281079183791,0.0918737243674641,0.148083551184443,0.300382291777629,0.451473002273974
lam2,-0.189948933722581,0.107010441737437,-0.361505677324307,-0.192800314618939,-0.00990709678167997
rhohpp,0.598587016325582,0.120534915875223,0.404515750883759,0.596348228942907,0.798874966205949
chi1,0.0363262140614278,0.0177878771063581,0.00812850640646267,0.0355151505015385,0.0671898146242072
chi2,0.00506906835073011,0.0166465998812779,-0.0219037268234107,0.00476638909547723,0.0324376736848229
rhok,0.980324113099331,0.0152152442566427,0.951394102355793,0.98416582037417,0.996662460583779
rhow,0.96246640911709,0.0262701733999308,0.911092927352226,0.968084715383449,0.994647618089169
phisum,0.96534136046396,0.0173373848399895,0.933432699590975,0.967725996240189,0.989076961966615
phi2,-0.500893524812375,0.102364374068021,-0.656925934647343,-0.507762711593843,-0.326469891897179
nu,-0.0160141837938298,0.0237169070255236,-0.0585702635083891,-0.0131607453861635,0.0182141930700804
alpha,0.355578717006355,0.0479768669871182,0.275913087803279,0.357355915141049,0.432028746152867
gzbar,0.142651860490963,0.0712949390893817,0.0260057827036938,0.14118103461719,0.261973186452991
gwbar,0.353774602918452,0.0639599897791936,0.250614521210468,0.354239612177534,0.458073730681702
pistar,2.56789701774691,0.158931775225833,2.29208381689801,2.57528850694895,2.81597574649536
alphapi,0.12089534056579,0.0463252697742009,0.0513425768203309,0.117236726267027,0.20362862944184
phiy,-0.022610792189489,0.0136981607145346,-0.0488133843723195,-0.0201388011846232,-0.00563790608198909
phiu,-0.00725007626038954,0.00302314937094674,-0.0126252263670573,-0.00701616582349507,-0.00283494519194432
phipr,-0.00414581338275795,0.00760984068336755,-0.0167284815564978,-0.00401720681711565,0.00849558606564917
phihpp,0.0141137596359575,0.0155083230002575,-0.0124916504060996,0.0142828542213733,0.0389582309207088
phik,0.000574411995273295,0.00126648562892031,-0.0015480302125985,0.000603257713997755,0.00259714019271468
sig_c,0.363484946411069,0.0388726697247876,0.302573253950495,0.362448206533319,0.428837716859155
sig_Ustar,0.0931820198178804,0.0131259465343877,0.0731569317979227,0.0922847063326659,0.116203397439267
sig_pie,0.206076961484466,0.0183853636622395,0.177640374654626,0.204835923007791,0.238149697480849
sig_z,0.318308094893927,0.0385512218374492,0.256570040114607,0.31664238586305,0.383197129014469
sig_gz,0.0405127021049891,0.00860432724049793,0.0283092827986218,0.0393586644496908,0.0564048832873987
sig_k,0.0714656934556333,0.00486454353625793,0.0640288011772032,0.0712153092458125,0.0799171978147045
sig_gk,0.0346674242818735,0.00407158815774451,0.0283302409576013,0.0344619588537165,0.0418090987907918
sig_w,0.0568195413703951,0.00442783930210515,0.0499583263831757,0.0565650491504706,0.0646063539957797
sig_gw,0.0293067668163559,0.00368787441379025,0.0235453209564604,0.0291489758594685,0.0354412366075435
sig_hpp,0.219284593762275,0.0294499435747195,0.174070188689342,0.217256359700207,0.270320932945214
sig_ghpp,0.0333445758233256,0.00640506228619236,0.0243868257756721,0.0325409806563153,0.0447821000690541
sig_pr,0.182787443636849,0.0256367884060044,0.141253320412742,0.18284049731535,0.225534956744556
sig_gpr,0.0349638041516181,0.0069907255295195,0.0252001522451407,0.0340961180427798,0.047682662987185
sig_xi,0.130853069931038,0.039428076353358,0.0815335431047327,0.123277085037116,0.2032872776341
sme_y,0.256125411738021,0.0252262695188681,0.217924697752418,0.254335033288167,0.299741344372775
sme_pi,0.646645936312411,0.0399805767009622,0.583899413936511,0.644665812339877,0.716516631207642
sme_w,0.0565018713974243,0.00420846873327057,0.0496134033047564,0.056408882607679,0.0636538073425389
sme_U,0.114889889827356,0.0123749949033048,0.0957793670377869,0.114155178130089,0.136441297916843
sme_pr,0.221684107662835,0.0226270752083046,0.185575929608835,0.221854303127835,0.259464248408276
sme_hpp,0.367838758201323,0.0293509184880896,0.320922436023249,0.366828624060645,0.417907835696371
sme_k,0.0562333870717528,0.00445043945563962,0.0495162528146459,0.0558812789769925,0.0641854252627101
sme_pieobs,0.299999999999999,6.10622663543835e-16,0.3,0.3,0.3
m84_y,1.14151179002614,0.372217599781382,0.627228443039854,1.08101653340045,1.82791256060819
m84_z,1.79535670601313,0.494495176886281,1.01519373723575,1.7756018300001,2.65168424619407
m84_c,1.83433348186675,0.328502475137353,1.34194627626446,1.80492198230608,2.41460274082655
m93_pi,1.74611839738971,0.205008336789974,1.43519007442955,1.73327822447095,2.11454922266182
m93_U,1.71551241984569,0.41565753688604,1.06821758520548,1.70182547781435,2.42853003180617
kapc_2021,4.11041025611172,2.20875372725688,1.24379125208314,3.73260099158156,8.34646406102818
kapy_20,8.54721234651213,4.38847314846822,2.79547984890717,7.9161063054717,16.3912153154157
kapy_21,4.31502588574329,1.62370283029554,2.02434745106296,4.08683440160399,7.33215241276335
kapu_20,5.79731904278873,2.67434502991207,2.34315976182738,5.32183666020014,10.7379553794834
kapu_2122,1.79739319322708,0.716728243000391,1.09147027792592,1.58358471388806,3.16377134464259
kappr_20,11.0459068214963,3.94990234272655,6.39966044686589,10.2451827223478,18.6421823354459
kappr_2122,2.56353577250715,0.764396093551131,1.56941181506839,2.43530508048247,4.00816058436744
kaphpp_2022,3.67439936355144,0.891263747824389,2.49488803009623,3.54130210180377,5.30264423829607
kappop_2021,5.17122487854917,1.35579271325166,3.26476748285912,5.01951088301663,7.64439235010591
kappi_2023,2.2711595013,0.492444638731143,1.60430065262679,2.19978885700363,3.19036705130754
kapk_20,3.03529857263755,1.77747841140758,1.3027344678126,2.57201536888875,6.44552577105712
kapk_21,1.79960493112666,0.715927904334981,1.07620403438933,1.59736174102504,3.21013022999141
kapHyp_lm_w2020,1.58048894849502,0.340543012963534,1.01090850428272,1.59556533257871,2.12676551322349
kapHyp_la_w2020,0.559030299415137,0.552695529410483,-0.366957611383346,0.574261606318119,1.44189021428672
