stage,phi,ess_pre,ess_post,acc_rate,wallclock_s,lml_inc,mean_gamma1,mean_gamma2,mean_xi1,mean_xi2,mean_rhoU,mean_theta1,mean_theta2,mean_rhopr,mean_lam1,mean_lam2,mean_rhohpp,mean_chi1,mean_chi2,mean_rhok,mean_rhow,mean_phisum,mean_phi2,mean_nu,mean_alpha,mean_gzbar,mean_gwbar,mean_pistar,mean_alphapi,mean_phiy,mean_phiu,mean_phipr,mean_phihpp,mean_phik,mean_sig_c,mean_sig_Ustar,mean_sig_pie,mean_sig_z,mean_sig_gz,mean_sig_k,mean_sig_gk,mean_sig_w,mean_sig_gw,mean_sig_hpp,mean_sig_ghpp,mean_sig_pr,mean_sig_gpr,mean_sig_xi,mean_sme_y,mean_sme_pi,mean_sme_w,mean_sme_U,mean_sme_pr,mean_sme_hpp,mean_sme_k,mean_sme_pieobs,mean_m84_y,mean_m84_z,mean_m84_c,mean_m93_pi,mean_m93_U,mean_kapc_2021,mean_kapy_20,mean_kapy_21,mean_kapu_20,mean_kapu_2122,mean_kappr_20,mean_kappr_2122,mean_kaphpp_2022,mean_kappop_2021,mean_kappi_2023,mean_kapk_20,mean_kapk_21,mean_kapHyp_lm_w2020,mean_kapHyp_lm_w2021,mean_kapHyp_lm_w2122,mean_kapHyp_lm_w2021tot,mean_kapHyp_lm_w2022tot,mean_kapHyp_lm_w2023tot,mean_kapHyp_la_w2020,mean_kapHyp_la_w2021,mean_kapHyp_la_w2122,mean_kapHyp_la_w2021tot,mean_kapHyp_la_w2022tot,mean_kapHyp_la_w2023tot
1,0.0063112751727953,1999.99999999998,1000,0.034125,3.15313779166667,-7.96447644636357,0.590672465882479,-0.200323022886347,-0.258958371871464,-0.270167803064669,0.56232038003918,0.205785695288097,0.197374580518668,0.506500158628997,0.261439060716967,0.236034935533144,0.50483472499956,-0.0112681341543297,0.0100756586556217,0.488592778881942,0.522354451151213,0.520396530710114,-0.21165167275038,-0.0962190845892139,0.350223477842153,0.302066449266562,0.391312781309212,2.52869365615584,0.432534843924024,-0.0747948276139309,-0.0344165505254148,-1.51653065111304e-05,0.000994830088605052,-0.00150053901289848,0.679926650859875,0.140806147135406,0.278264366544442,0.468183971447446,0.0473798846532185,0.275823365785618,0.0479412777972183,0.17577372228316,0.0463622497764859,0.374722566638867,0.0465472411608508,0.279643190013765,0.0468733073821397,0.140404982646213,0.55003210384449,0.910933405443298,0.177047001090836,0.23515782223326,0.279016294038683,0.457365577327222,0.183563446619724,0.3,1.67708997425849,1.72823020339557,1.66842911800732,1.73313267501029,1.73293636281334,3.20747553289907,3.6204055211398,3.48385417994531,3.64379802102331,3.54080153743235,3.88403198802124,3.42401079572211,3.66212729936161,3.26895471094716,3.29485879495754,3.47386085181418,3.56788948287521,0.982621830539766,0.925050272137649,0.952405331964623,0.907488917626042,0.936682769724201,0.89420867767071,0.70339627714354,0.686985156749263,0.666957027357115,0.716238375392888,0.649283420439622,0.700733796803361
2,0.0141177925145922,1999.99999999998,1000,0.231,8.08069583333333,-8.91422760312907,0.578337516561271,-0.203567237420475,-0.267540510047651,-0.293555669941196,0.609767329305628,0.163745912871967,0.141014571829909,0.537990091557896,0.263165301944212,0.200895144277758,0.508282363890312,-0.0200026460570583,0.00996768870371205,0.47319691681142,0.543703445702499,0.53259735316781,-0.173852622345584,-0.0861899250444385,0.348284879689965,0.297387500143628,0.372146347949456,2.53254693233192,0.394519163752753,-0.0747161133577828,-0.0303788227419261,0.000244143290713198,0.00464423211879364,-0.000228883774651176,0.628931351166681,0.144742646826913,0.271553624556826,0.463011968754951,0.0475626762570923,0.265218499511933,0.0476510534333965,0.166607695104081,0.0461035661469921,0.378554212668724,0.0461612923517639,0.27827615243453,0.0463899368761481,0.136127182409826,0.532581016077146,0.895301956654482,0.164362010568863,0.225840799109721,0.267815197370302,0.442139968098507,0.177215840654918,0.3,1.62252794969988,1.80384512846196,1.53234930038669,1.69468723332571,1.68508217415757,3.13620173840433,3.76157558461478,3.61125946030675,3.75737629947398,3.60562743646511,4.40586120922693,3.36844628293327,3.84334468207183,3.27368109552358,3.2119497945565,3.41755870798979,3.76093817827615,0.999927967221643,0.985850343107292,0.943041396032522,0.904418773456855,0.940235030739829,0.849845386935868,0.691833037706774,0.68584993723952,0.692887838768674,0.713351573680015,0.670388038802852,0.679871847811342
3,0.0238339031823276,1999.99999999998,1000,0.311625,5.35526904166667,-10.1410408279542,0.591900837036089,-0.199060489584605,-0.369586933379394,-0.349685139159157,0.662518227881401,0.134553145685293,0.106286631602524,0.601649517346056,0.332667848737246,0.130458533820392,0.486364885768445,-0.0370197478568366,0.00761072593517021,0.427400948857732,0.559042191127998,0.518889533476285,-0.0893767622649268,-0.0803460282711148,0.345345288506077,0.277249763384412,0.348863925655298,2.54859360007235,0.386073974398901,-0.0771200251948183,-0.0269134465593339,0.00322867549013249,0.00466474464988987,0.00268225389169108,0.581119789283252,0.150000358320817,0.265317793121172,0.466061725196462,0.0480776802168595,0.24667542998245,0.0457017479793935,0.162832856461174,0.0450980256639544,0.382476158906273,0.0457641946104695,0.276193037137848,0.046278210370769,0.125585365626275,0.516141245990423,0.947216293420873,0.156182566395522,0.209820524811122,0.249939644737271,0.418946171553673,0.167174764634335,0.3,1.50939160804901,1.9535885978086,1.31425787108969,1.63416860722661,1.54217574760254,3.06268348816414,3.92817819204976,4.05570973302667,3.65629727286238,3.73395371356724,4.81793096417726,3.27123873523794,4.12850262366155,3.3476214057966,3.32259284935602,3.15835551102646,3.95812785129753,0.980114439766844,1.08045418440876,0.935482802939596,0.951979875688823,0.940364961450392,0.827271438318647,0.717096193845676,0.685738422287836,0.79327731263592,0.735276340885373,0.750011976132787,0.610757164864383
4,0.0385827655889237,1999.99999999998,1000,0.463375,6.59911733333333,-14.1129933981532,0.628571772393275,-0.195639779003801,-0.569823223638535,-0.444793219634105,0.71805972466929,0.120541158778135,0.0876121863733285,0.678788953410325,0.497894895288897,0.0579368819680491,0.450347019427178,-0.0778252324623012,0.0178414559601988,0.375835634519806,0.529296590015589,0.486825226713146,0.0214698798950735,-0.0911211337085174,0.343924687850933,0.250228927405918,0.32549329240747,2.57807798996459,0.399843592520614,-0.0842251586589734,-0.0252410075934135,0.00654563991355256,0.00630702335334443,0.00659477879938926,0.541762896742654,0.152059166567857,0.266042742112469,0.47047461450569,0.048449214074062,0.221174748181345,0.0421953147949957,0.165672265647424,0.0436762007282198,0.382171002392625,0.0445053254232201,0.269297050572149,0.0467810102178338,0.108356960945448,0.497533867637384,1.05929905304207,0.154314613561301,0.19434647274686,0.233932767226296,0.394408347829294,0.161931212639254,0.3,1.40457899123833,2.11194126031997,1.0771316792453,1.55875337440596,1.32010313903726,2.85103100778214,4.03609715749283,4.96119371219638,3.24997723502173,3.83512001254904,5.00450369833267,3.27204530908886,4.65114487055931,3.33945664323572,3.69668803722865,2.80915475125359,4.26266404364482,0.947170687333509,1.19391057037049,0.923820055905721,1.01271756578303,0.983308457855104,0.834312346619031,0.823518634444912,0.631542504356281,0.97018752758176,0.784903253218663,0.912581974191371,0.511911542302131
5,0.0622909002362335,1999.99999999998,1000,0.4935,7.123612375,-21.2119773142094,0.655861501122362,-0.193596836916521,-0.678147840862437,-0.50321510216359,0.749630990337402,0.113448355297221,0.0707847990790882,0.714082427472541,0.629839983360267,0.033720924721595,0.422298226163503,-0.0842862933105086,0.0258699758034358,0.360251300252206,0.512288715282092,0.456789501153108,0.0856579058353822,-0.102552333579886,0.344248848494038,0.240361408188073,0.31370206273876,2.5917900824685,0.406273529238354,-0.0887808263944029,-0.0250258152332511,0.00713255670214812,0.00585982211351705,0.00877612374524601,0.522114270632026,0.149715940728722,0.270331494019154,0.473677235027654,0.0476844051987187,0.205257983540773,0.0401896149585031,0.166721096770727,0.0428776155115923,0.374856582893958,0.0434014249423782,0.260730354732885,0.0473987489238653,0.0982467999231569,0.488462058844612,1.12305466856989,0.154609434333471,0.186888486538456,0.225921548049926,0.379317600221829,0.159226860117874,0.3,1.36081389633638,2.18820467649856,0.997754099042739,1.53725134104964,1.21056371161355,2.67946375761211,4.10185543217469,5.50272993286023,2.93156356050292,3.87522457347898,5.13164874242224,3.28429535958817,4.94525327251867,3.20336614814549,3.8995614597432,2.71347271472732,4.46443156978928,0.945302734946042,1.2328205267289,0.912784675792621,1.04995357584464,1.00877777189662,0.835196359027566,0.892711430067819,0.567271585607182,1.05615440622539,0.813916466032658,1.00704680395411,0.456355404369753
6,0.0895465695068148,1999.99999999998,1000,0.47725,7.558398625,-23.2838414972267,0.663163046205464,-0.193977603540487,-0.662153185851899,-0.506016407167062,0.752870386452354,0.111467281619869,0.0601498904954778,0.707807128012645,0.682496853233947,0.0320958019668691,0.421904975555618,-0.0781453216477251,0.0301863849069873,0.364054248140312,0.549872157752616,0.446164936741655,0.0798010864318904,-0.114270038345017,0.342760564579443,0.23999336443679,0.315943490010862,2.60151790114952,0.416355525503482,-0.0913519903210431,-0.0254500955235569,0.00584478499936372,0.00698488042158553,0.00817119778806968,0.51135564115533,0.147876049667052,0.273100836924072,0.484326186263287,0.047415751590583,0.202074388370017,0.039911965406951,0.161085488458174,0.0433950438278104,0.371471632692871,0.0429973470347433,0.254572969904444,0.0472341033954613,0.0967274511815506,0.485210487416881,1.1322812713881,0.1480016184704,0.184374459067882,0.219911693153442,0.368940161781645,0.151815588977086,0.3,1.40643415826552,2.21161363146772,1.00978722551062,1.5422511605832,1.20904609581452,2.66508360497916,3.96584348156901,5.4033665057376,3.04713540513115,3.85344527266847,5.23869317913236,3.33137045255564,5.04551462754871,3.19556707174177,3.94236125565018,2.76081394355556,4.86059317571602,0.955432752449518,1.22822280508217,0.906441646540241,1.07466656809684,1.00475480516933,0.858237228514966,0.910290812678794,0.54009545960207,1.08140957551635,0.791861093531293,1.00814459712695,0.457261345898139
7,0.11550902926565,1999.99999999998,1000,0.443,7.72354958333333,-21.28391682041,0.653644255869881,-0.195282149170485,-0.616286866940062,-0.502646883643361,0.763354128605492,0.132945792436757,0.063347620392959,0.704713342144998,0.725118620302165,0.0390911377037248,0.423758952050013,-0.0730453648329425,0.022618652248213,0.376866655837082,0.619442927659086,0.445778332323975,0.0637492637999004,-0.125514742447055,0.343361026056183,0.232900979772283,0.317431607831817,2.6189160392831,0.401951723743717,-0.0953618259956424,-0.0243149104686256,0.00320757207365148,0.00806472863951297,0.00584821182284597,0.501371603415898,0.146759256991594,0.273074308192171,0.509525000978484,0.0472578359045351,0.206569006076706,0.0395413328027788,0.149334718846786,0.0443399242794254,0.370292312674855,0.0432156361787397,0.250433120447326,0.0465453967711146,0.0972352322591871,0.479895540548546,1.1371190027,0.14041499961011,0.18077155492901,0.217385074199338,0.356591192107425,0.142646239747284,0.3,1.50995100056568,2.1928026058114,1.04413242500079,1.52944924101718,1.23736667759051,2.77682645602092,3.90070349976742,5.40691032288491,3.30983805912429,3.82858840345274,5.24429338302865,3.32571943830886,5.24049509866823,3.39994744437142,3.90486085925284,2.87002460260808,5.64511612145654,0.957522200233426,1.24549326517841,0.909790898599873,1.09522964305777,1.0426331615611,0.901283101851213,0.918977428095229,0.536612794973437,1.05704290824516,0.765263807356884,0.972173553000761,0.500404642904558
8,0.139128992283205,1999.99999999998,1000,0.381625,7.950395625,-18.5499345369486,0.6451309560552,-0.194238128888896,-0.549441427483276,-0.486254666057257,0.767293484282596,0.154934592113031,0.0676249750019991,0.703648346428039,0.731782276995854,0.0546271288005429,0.428761290417122,-0.0648354773744542,-0.00159468729258706,0.381807131379905,0.686958847532895,0.449917602275564,0.0307960314974226,-0.13614951487668,0.345454284402859,0.228679007480919,0.310545218960292,2.6334235668642,0.376529061477181,-0.10011117797929,-0.0223517324268229,-0.000364881598951458,0.00950999893739081,0.00283473636751255,0.49676426453772,0.145552515463849,0.270309284214276,0.534239881444422,0.047119524732552,0.214138105040278,0.0387664009622722,0.137955036335029,0.0453853613471836,0.366071631617221,0.0437034883766728,0.246759097332411,0.0459305645331559,0.0996942556682012,0.47575817371668,1.1350037447102,0.132872538443904,0.176082271953184,0.217557717342142,0.346153144958479,0.13346306405946,0.3,1.58717600931587,2.14671454199782,1.08801129106414,1.53475970142189,1.25690889645724,2.91478006096786,4.02429806136677,5.5606740776217,3.66561574724682,3.79218374224032,5.21252853888234,3.27186227978664,5.31462040743256,3.64401717242104,3.81995672239059,3.03440387267608,6.61666058431475,0.95862421439225,1.27377347965335,0.905287047936619,1.11550550373912,1.08407603066239,0.925966694688051,0.941372090445278,0.539186510555054,1.03651193427957,0.744174673233465,0.95104704733362,0.549338143627957
9,0.162335314041069,1999.99999999998,1000,0.32875,8.01893941666667,-17.460127444962,0.634822433974043,-0.195437841639217,-0.473073454317522,-0.414828222661668,0.769606445812696,0.151295013046696,0.0550706444949536,0.700316358869132,0.695364640511918,0.0377174526379547,0.427737669050226,-0.0486894048488522,-0.0282022084939009,0.374349416749825,0.763840163266127,0.464053455255866,0.0342534406737077,-0.136652448878631,0.348892006655932,0.220063065751268,0.290701971485998,2.64554729830385,0.345100271996919,-0.105446112191309,-0.019894862710075,-0.00348588192792337,0.00967529373091267,-0.000670676083412139,0.495295969659074,0.146059215121939,0.265995133940518,0.562875346212788,0.0469303845115641,0.219498531710483,0.0382542541681065,0.125741350050944,0.0464029713139181,0.353411210571158,0.0443638806524092,0.244412740346055,0.0454719163404764,0.104337552262428,0.466371770880208,1.11690511794386,0.125626364965929,0.171783288775739,0.2219038626432,0.333715364797196,0.122742468605569,0.3,1.61478550258998,2.08302372994875,1.13473431830936,1.52291819086054,1.27343206182365,2.98912559792863,4.25288898820523,5.50935916329276,3.90957553486543,3.76650474817874,5.09005294864792,3.27390472397214,5.03596205552679,3.8738585989887,3.66921857560948,3.20451948591065,7.69536611678942,0.960062340099874,1.28612632036539,0.915662869233033,1.13295565290451,1.08512487103452,0.980348640541128,0.970661767091699,0.540275709890276,1.02468150406493,0.720880630776265,0.921529612710485,0.612069329952945
10,0.187734202719446,1999.99999999998,1000,0.32175,8.04695929166667,-18.0993124768192,0.619348551174444,-0.196304870037435,-0.400991948825455,-0.335206201890215,0.767827759036423,0.132047662441154,0.0439781990361986,0.69671108414097,0.636524716384559,0.00843459531276597,0.437830590074706,-0.033765985580359,-0.0430379494468802,0.356231218925057,0.819606422629353,0.47988175992247,0.0440336476030763,-0.132731331530745,0.352362328127174,0.215674819925774,0.27111411060811,2.65059932500656,0.32205681211205,-0.108714166311928,-0.0173047836021777,-0.00491300093480712,0.00897752657393915,-0.00234591870152724,0.494252434118807,0.146525007202652,0.260391582582202,0.57597971799858,0.0466874330656652,0.2236893840274,0.0381154939953056,0.117293214806314,0.0469911852159933,0.336878772105251,0.0445918686082016,0.242807571359542,0.0450939132902797,0.109429345721183,0.460790762119367,1.07813262295166,0.122567160233813,0.166769813179388,0.227581542991694,0.32496550608544,0.11446463210315,0.3,1.60490318303477,2.00985216502381,1.18263923449447,1.50941868376656,1.26311118138287,2.93190372738678,4.5381552415229,5.58877180117313,4.07095767681105,3.7355342452665,4.95140400722299,3.28732348846759,4.6095618459262,4.01942640425601,3.61998501762128,3.32776243222664,8.47809050887586,0.968316092735179,1.26565014251108,0.937331621998115,1.14148840376501,1.04602342740547,1.03764814290827,1.00799681519542,0.539800096070338,1.02910298960332,0.705796937276015,0.890772937760405,0.653765791393628
