param,mean,sd,q05,q50,q95
gamma1,0.503308229694817,0.0481195473852732,0.420501190748296,0.499880737885643,0.576842835738059
gamma2,-0.187578065082459,0.0320501565633413,-0.247484606964408,-0.181639554716106,-0.142928635666148
xi1,-0.270903720298864,0.0297513592401562,-0.318813495154444,-0.271493992962544,-0.219800505804126
xi2,-0.0852520141804461,0.0601025022860697,-0.163188831220523,-0.0981270375326906,0.0238869217167365
rhoU,0.771411552147572,0.0583261637673976,0.663647230865517,0.782247320414333,0.853529463595927
theta1,0.128573494473948,0.042099957530498,0.0547203610019659,0.129642711132983,0.189591638843584
theta2,0.0234581120905277,0.0424508646505459,-0.0484946355992247,0.0286663496590127,0.0937121096213487
rhopr,0.784018791351397,0.0743412642888878,0.673471197954886,0.770813669184587,0.912341913241195
lam1,0.302730809776201,0.08811624766657,0.163783954683289,0.29563963190903,0.456121176002124
lam2,-0.0278623885200714,0.0751817886894205,-0.157972292914413,-0.0204711125572871,0.0888865958345397
rhohpp,0.33366013869901,0.0978041439126492,0.204281841237413,0.324879890268219,0.505081364184184
chi1,0.0426982268583761,0.0173136542955526,0.0127793315883415,0.0436335011514655,0.0697182792351529
chi2,-0.00493656576056322,0.013786702522209,-0.0252414978815682,-0.00693828363043669,0.0196755233037274
rhok,0.941682460528006,0.0674641892222414,0.805770635274964,0.965913240428631,0.994573838960447
rhow,0.950194686586727,0.0421466396719889,0.867114249283738,0.966002472738215,0.99436290875752
phisum,0.882216121644607,0.050520642954409,0.793779356714067,0.881247460956446,0.964821683534337
phi2,0.151498705673268,0.122339010235585,-0.0627643620473985,0.163285792005402,0.34704297156489
nu,-0.0559752905515533,0.0360591862039017,-0.106677202690552,-0.060810072071427,0.00691338071448428
alpha,0.359783959822917,0.024159558347116,0.319082113912126,0.358760770696702,0.400224525713173
gzbar,0.218191464697474,0.0348145854579653,0.169940767896127,0.213358600883508,0.274988023456718
gwbar,0.281838165661831,0.0471855453550736,0.216876377794513,0.278012764171008,0.364754385520689
pistar,2.62487292442511,0.0572189789574124,2.53191912580351,2.62944002633471,2.71388922097383
alphapi,0.245117108590009,0.0575525765121043,0.148798865039468,0.245167574248182,0.33622614672039
phiy,-0.055926655817875,0.0196508621288662,-0.0925530687543683,-0.0544721646459978,-0.0266526340187251
phiu,-0.00628142302072152,0.00313420347887306,-0.0118362419098423,-0.00597934066334594,-0.00170639954941025
phipr,0.0049023174887431,0.0112065248824556,-0.0142122563042685,0.0051624404077164,0.0209523765124718
phihpp,-0.00245017114552955,0.0130986514419102,-0.0264861388010387,-0.000430969852421666,0.0169625428538571
phik,0.000741507966968752,0.00217205367416147,-0.00343949898434292,0.00120781560112687,0.00362644181031224
sig_c,0.464107943755209,0.031686563154937,0.409533745939042,0.466433280359559,0.514388415552371
sig_Ustar,0.131086236947759,0.0194089103884618,0.102081068343781,0.129882377799251,0.163690043797877
sig_pie,0.255437282791221,0.021057244866749,0.219987960185541,0.257359760976472,0.284926860179269
sig_z,0.422207078215417,0.0494463456225388,0.35186768380235,0.415748204366225,0.51140741303001
sig_gz,0.0656674057952213,0.00575600078496005,0.0561478925084031,0.0660846562002055,0.0730666860615481
sig_k,0.0673012737583192,0.00627019794556174,0.0575221532363622,0.0666287112691595,0.0773703490650302
sig_gk,0.0422242300411442,0.00360954106148423,0.0363714925432857,0.0420157957648539,0.0484778423861948
sig_w,0.0606117071824021,0.00507498080678547,0.052928840008427,0.0599303289882572,0.0697291839005148
sig_gw,0.0489699824820808,0.00356941978050763,0.0433328254717574,0.0486139390647935,0.0563623909925205
sig_hpp,0.268156518518283,0.0385285775905945,0.207722782032461,0.270454416985949,0.338333564429929
sig_ghpp,0.0393057197814448,0.00485177166288154,0.0317061738573798,0.0392865286775839,0.0470872687122711
sig_pr,0.168245777819685,0.019263517439322,0.136073288817524,0.169905762391565,0.200864261084884
sig_gpr,0.035714795044432,0.0043529431409913,0.0285144880636293,0.0352506304745347,0.042772068605754
sig_xi,0.131292422848924,0.0136904243979373,0.107988351345755,0.133545445672703,0.150260049815306
sme_y,0.284697813315019,0.0319255563541419,0.239700354726123,0.277725944531437,0.341385937163479
sme_pi,0.683625585107787,0.056157203444093,0.61475195079911,0.67661559271345,0.785137803021964
sme_w,0.0616397572600618,0.00728811374576102,0.0506575163231644,0.0600372097285708,0.0752773934830973
sme_U,0.135113976836846,0.0152146916016702,0.109202533644571,0.135391509213992,0.16217943599887
sme_pr,0.252991589600239,0.0221222056232796,0.217308921000818,0.253395868519889,0.283995364422401
sme_hpp,0.307233546716261,0.0204103599752918,0.275059064299454,0.306012951078513,0.341630189443006
sme_k,0.0522757576152532,0.00357687557152315,0.0470139190378605,0.0518277719638531,0.0583362165663262
sme_pieobs,0.3,0,0.3,0.3,0.3
m84_y,1.62109597480353,0.421577482807568,0.88066016723194,1.67285064752231,2.19689353754445
m84_z,1.28603327352421,0.275585868196293,0.820822634483797,1.24818103335853,1.75073388157445
m84_c,1.56751695699702,0.179154932235846,1.29114986115394,1.56220842956899,1.85606031958738
m93_pi,1.67069995379598,0.172510566625572,1.37324269052014,1.67442341110676,1.95089261261203
m93_U,0.903791150620788,0.159858871926633,0.661940627345209,0.889192233047076,1.15848058585314
kapc_2021,2.82709679085575,0.884542768683127,1.64231328993347,2.70557037393941,4.34536880298541
kapy_20,6.08467619647897,1.45164920942034,4.1323558816921,5.71436919854156,9.27717375339805
kapy_21,4.9635217371272,1.28183229503702,2.76491394229687,4.98287380783397,7.04594662345873
kapu_20,7.26490467620875,0.861941114323132,5.79511829603041,7.30563413742804,8.50050469861253
kapu_2122,2.51207989973963,1.21162170157335,1.03383243999645,2.33762664478303,4.69839908166778
kappr_20,4.59582426528956,0.330998286379537,4.0560120770008,4.58335250009416,5.13911310605788
kappr_2122,3.38338540846784,0.793025179506082,2.00982945644442,3.4489994532011,4.67441259766033
kaphpp_2022,3.99428115574927,0.944590444630905,2.62604547886656,3.93115897125415,5.28630734822204
kappop_2021,3.57743843303219,0.533244419251414,2.72324018181877,3.64494224980861,4.39143894224487
kappi_2023,2.52933788955104,0.477589752006182,1.78994719690979,2.51671400053769,3.34546601735914
kapk_20,3.51427852076411,1.15103180326925,1.97121406520118,3.39573862604858,5.63136295803164
kapk_21,9.39703967079945,3.64620446090149,3.45543423058755,9.24594497051442,15.7324683171431
kapHyp_lm_w2020,1.38487838387844,0.114562155855881,1.18956279524631,1.39078741376263,1.57953727583119
kapHyp_lm_w2021,1.53997609221716,0.15296635197427,1.2765516044963,1.54963397506641,1.77282878761842
kapHyp_lm_w2122,0.79990455647084,0.200171485063513,0.522447399437722,0.763209551020478,1.15979508015843
kapHyp_lm_w2021tot,0.980520477857906,0.110635686860684,0.826874001277077,0.960129880678113,1.17142539729374
kapHyp_lm_w2022tot,1.22241007326503,0.30508813057127,0.718275862586071,1.24015233684663,1.72768313609366
kapHyp_lm_w2023tot,1.80867370634869,0.299804266349239,1.27441244047855,1.82846380105788,2.25657970583791
kapHyp_la_w2020,1.22014460959404,0.193736130451977,0.903448605279002,1.21749428203502,1.54317897505042
kapHyp_la_w2021,0.590457001210191,0.301513253684465,0.0407215907819048,0.5892258689916,1.07343720765197
kapHyp_la_w2122,0.794666055179442,0.504236925811969,-0.0912734103456178,0.824613359724154,1.59354878171874
kapHyp_la_w2021tot,0.333654388094261,0.328999131873482,-0.171009180990821,0.309842785733622,0.9091611823479
kapHyp_la_w2022tot,0.927736753587351,0.313151945015188,0.402918635423474,0.92739789793488,1.42334105142529
kapHyp_la_w2023tot,0.863856478565517,0.227886526592324,0.559050933107132,0.831374564954025,1.24745367167248
