param,mean,sd,q05,q50,q95
gamma1,0.506251089192672,0.0845992074921502,0.369640089442378,0.505411921629337,0.645489221261052
gamma2,-0.240062622284266,0.0750272097357271,-0.373222234238923,-0.234385950043133,-0.1256199707394
xi1,-0.28847639579525,0.0771104862516442,-0.422606915514889,-0.28456516063228,-0.167213886250442
xi2,-0.0524046341321811,0.113387056945356,-0.236667845971839,-0.0540394203432207,0.135603667182759
rhoU,0.766968518827976,0.1225561059507,0.567224535003528,0.763521591796838,0.968110340850398
theta1,0.000852536188205987,0.1089349729342,-0.174173524731605,-0.00141389086486009,0.183277614056757
theta2,0.108808694238695,0.105930513265783,-0.065172905039963,0.108718096760783,0.28474557065082
rhopr,0.829400413803156,0.10145109451192,0.639063348535594,0.845378626292001,0.965016591939685
lam1,0.259533149979827,0.162734974414967,-0.011698367231943,0.258724374674257,0.529457300021694
lam2,-9.31526418342134e-05,0.206633903792789,-0.329494201610921,-0.00497669716444153,0.348463622487648
rhohpp,0.484918536073329,0.176310077629465,0.186325337199192,0.484657806044526,0.776810608988797
chi1,0.0287116365569522,0.0305559021352402,-0.022604846249387,0.0290504345207975,0.0777204548332801
chi2,0.0208016951544718,0.0291077029201845,-0.0259279078936145,0.019834577102612,0.0693348107947932
rhok,0.949261616055071,0.0472676925916886,0.859527483662211,0.962652112176993,0.993404217151744
rhow,0.950222822345927,0.0398027591438636,0.87399224545751,0.959717718302633,0.9947421356128
phisum,0.887500115665178,0.0745174327640085,0.737671822047622,0.906631308936105,0.973168482010308
phi2,-0.155705598659186,0.189845634239724,-0.462417742281702,-0.160110870959374,0.164370481835161
nu,-0.0253167584664895,0.0357727634054216,-0.0902140563966061,-0.0203958115589539,0.0252485648858352
alpha,0.339254554642318,0.0514962122020627,0.250215105751254,0.340261160651799,0.426704894907957
gzbar,0.189557938279102,0.0885147707348877,0.0399757999458665,0.190816847027678,0.333593076546048
gwbar,0.348830612216908,0.0830568768940191,0.213072044168286,0.347962221238599,0.48927021056285
pistar,2.56296208536696,0.189470513077608,2.26066017494049,2.55934051967823,2.87785304207673
alphapi,0.125505916442871,0.0581892494250843,0.0383243009689514,0.120517756521859,0.227873857798631
phiy,-0.0351359370239776,0.0210013227107259,-0.0733302689416051,-0.0325434004656495,-0.00677674764050717
phiu,-0.0102572081301536,0.00519545681284945,-0.0196842283966093,-0.00968847390616195,-0.00281604433729541
phipr,-0.00290951510996327,0.00974314184841822,-0.0178792684869108,-0.00335754493216955,0.0134598304856618
phihpp,0.0104875147919231,0.0219527735551078,-0.0246301125711366,0.00998523293683044,0.0470957512370013
phik,0.000474292337597725,0.00229980224788027,-0.0032110052496845,0.000426112968012657,0.00430302634301813
sig_c,0.380068971014847,0.0490258348601927,0.304641296004779,0.377069581746579,0.464708657852863
sig_Ustar,0.104132979204009,0.0194653716418933,0.0740312759048536,0.102926698850578,0.13805932690945
sig_pie,0.217869041762019,0.0274028477352559,0.177815863728054,0.215342702227574,0.267903089203366
sig_z,0.377797393721362,0.0611759014181922,0.276293210141649,0.376393680218833,0.481705590963848
sig_gz,0.0463908484077998,0.0126462106768671,0.0288943215098537,0.0449145414113734,0.0694222445055079
sig_k,0.0810661130491719,0.00929957177799987,0.0677472349635244,0.0801061280998974,0.097673972566285
sig_gk,0.0400183224227198,0.00629370516860081,0.0300136478384872,0.0398204984882244,0.0505056828235438
sig_w,0.0647182484069925,0.00977436150229914,0.051047361022748,0.0631875271078497,0.0823627706314763
sig_gw,0.0320697799462604,0.00562939413520829,0.023571266314961,0.0315917651283879,0.0420997294106714
sig_hpp,0.258283554548377,0.045384206422209,0.18365744383846,0.258170754732658,0.333483685758019
sig_ghpp,0.038232570546954,0.0103025870915466,0.024809090863118,0.0364314452164115,0.0574247061602393
sig_pr,0.197757599394434,0.0295684582437488,0.151675280351219,0.196386404981333,0.249145137675424
sig_gpr,0.0393074861612579,0.00897267938970149,0.0267129791726614,0.0382893079016575,0.0554793849204643
sig_xi,0.147798234515362,0.0491840992077013,0.0869725923009151,0.138178912408741,0.241115723824893
sme_y,0.29262006848164,0.0403369243041522,0.233165074247565,0.288707599848734,0.365377165480171
sme_pi,0.659167681683107,0.0529271024294963,0.577454135754474,0.656421744650347,0.750769976584367
sme_w,0.0648610063572703,0.0103798835495727,0.0510595530229499,0.0631401689359975,0.0856871102964997
sme_U,0.129342362409022,0.0202955168682482,0.0995234842744052,0.127466919679008,0.165926599096672
sme_pr,0.230654209820123,0.0273828163995869,0.186040931924235,0.230304562198216,0.276494415515058
sme_hpp,0.347172079268129,0.0410950972888939,0.282008559936093,0.345915975011251,0.416430319123978
sme_k,0.0661461185864953,0.00815865193893945,0.0540750162771236,0.0654429299739147,0.0806967670455084
sme_pieobs,0.3,5.55111512312578e-17,0.3,0.3,0.3
m84_y,1.15597993254077,0.459684511222335,0.513702422270771,1.09602825817488,1.98461051471501
m84_z,2.09167064557135,0.532177569731651,1.31056795164683,2.04382509214374,3.0331990595284
m84_c,1.44592496906177,0.372233685986549,0.928350478785835,1.39589924542987,2.12610423676314
m93_pi,1.72870414156451,0.254087253576954,1.36239137686693,1.70087077040538,2.18476349776504
m93_U,1.8996347537858,0.623264726112933,0.956316666723637,1.8521103435118,2.98468135038166
kapc_2021,4.365650215344,2.642951009522,1.32911766770083,3.82388207765876,9.24999287476661
kapy_20,6.97190646735712,4.17659634402234,2.00621113729569,6.21469690029575,14.5952427187004
kapy_21,4.3560066154942,2.56076072040049,1.49486566032013,3.75950045598826,9.30121177308986
kapu_20,5.08064534129805,2.84115071451677,1.87633372219345,4.43378506153559,10.4620757358831
kapu_2122,2.32907357180456,1.01131037988904,1.26163454411112,2.07706970212362,4.26214349393497
kappr_20,8.5984606532653,3.11171705876678,4.86583670237118,7.95873641554432,14.4773625777752
kappr_2122,2.33039778475325,0.871242472205098,1.34310584566062,2.14866681668023,3.9299499909615
kaphpp_2022,4.17618079646645,1.36411678940743,2.45054149419909,3.94018407986593,6.71162972393871
kappop_2021,4.43184248454995,1.91881903192185,1.92156056949752,4.13833209816294,7.84898340027936
kappi_2023,2.16411847809757,0.56402854197704,1.41998712824407,2.07680852173753,3.20885289858354
kapk_20,3.92435111175402,2.77582329211054,1.38354188790135,3.10068120472752,9.06940068591978
kapk_21,2.81182954179396,1.76412000869438,1.17702117388631,2.33072548908012,6.0412320003061
kapHyp_lm_w2020,1.40987273974462,0.39089166234996,0.80566269142609,1.3946026222804,2.06953302048159
