param,mean,sd,q05,q50,q95
gamma1,0.518899605716473,0.0243834049953013,0.479416660843926,0.519039554473205,0.558422731861226
gamma2,-0.242141212389019,0.0161634713401588,-0.268620478356441,-0.242236155003044,-0.214662033528514
xi1,-0.129310709567971,0.0398080221678661,-0.201071913903138,-0.12577569523557,-0.0698086252929041
xi2,-0.188150505239699,0.0519693709695381,-0.269012967744231,-0.190383970377403,-0.0990791772280075
rhoU,0.808115540313347,0.0416653183569481,0.740956110332309,0.807344191148179,0.877077530526632
theta1,-0.023514095710694,0.063760914609137,-0.129001909288179,-0.0242515116042613,0.0842228923190798
theta2,0.145543007785065,0.0670956036031778,0.0468379906716367,0.140064700549028,0.263093577401106
rhopr,0.833571378963987,0.0957789476144812,0.663114173107784,0.841352488007639,0.98153304363523
lam1,0.546659181595502,0.0628442255637711,0.427015409893115,0.553209095607361,0.633821437998307
lam2,-0.458374259328204,0.0743431392918561,-0.565575060585714,-0.470665474412321,-0.320218342796738
rhohpp,0.893960710459793,0.0548409958098246,0.79556319904565,0.899783740029252,0.979147261602265
chi1,-0.00138241540607335,0.026079254383261,-0.0459363282591964,-0.000108116565112261,0.040325392052321
chi2,0.0184307328011435,0.025474677426022,-0.0209061378691041,0.0160844560422444,0.0640864347004093
rhok,0.356545521100897,0.10008620523271,0.20435987039759,0.34949923126633,0.538820753301759
rhow,0.826333367128127,0.0310042345963337,0.777676682729953,0.824885035310863,0.879745498083991
phisum,0.873005333008988,0.0386923036892109,0.807076729093107,0.874099023837301,0.937033452914652
phi2,-0.144480367476214,0.0916355305824996,-0.293098091546892,-0.148164949094569,0.0114496088528382
nu,-0.0234633388926971,0.0214474417882079,-0.0605433032208628,-0.0219810204749067,0.00851166298363679
alpha,0.34704133590635,0.00846592006433079,0.333282352451177,0.347027394281912,0.361369639005182
gzbar,0.381780222209284,0.0329791944961033,0.327347669627433,0.382914737917069,0.432769774806021
gwbar,0.144028443449305,0.0310313878026531,0.0981665204400565,0.142335025375763,0.198144398768925
pistar,2.43129566520592,0.042628557769268,2.3639646375038,2.42997628727464,2.50573438055882
alphapi,0.28558763652722,0.0289781944407802,0.23655649958386,0.286776375081686,0.330158824538998
phiy,-0.084082433710781,0.0121950537961967,-0.103792581518694,-0.084288059132499,-0.0637345383592871
phiu,-0.00985697967836412,0.00396315105967178,-0.0164740645146814,-0.00963615913129755,-0.00364537079535775
phipr,-0.0310807772012988,0.00992449576375191,-0.0460846047986996,-0.0319013914722162,-0.0141328566132036
phihpp,0.0238293864308399,0.0119844393640272,0.00606825140885202,0.022862897254771,0.0436764578481226
phik,-0.00360955178453328,0.00310255100492569,-0.00893097304837897,-0.00351899685325308,0.00142740707896868
sig_c,0.355963122588155,0.0265318325494086,0.31363414556736,0.355251359815538,0.399260335202161
sig_Ustar,0.119794459986599,0.00806034381614976,0.107337879713808,0.1197249400392,0.133437674057093
sig_pie,0.259223765479499,0.0221519643934268,0.219409805431841,0.260714178336299,0.292786263894522
sig_z,0.30002173411877,0.0322139217606687,0.251203986501392,0.298501003855075,0.354515732192172
sig_gz,0.0369130092723634,0.0027655666051747,0.0327840294139721,0.03667396588446,0.0420628079076439
sig_k,0.108247987176651,0.00809697100912455,0.0946194782354421,0.108406032970512,0.121270215451694
sig_gk,0.0419938348744417,0.00267757640259575,0.0377581059885327,0.0419594613013373,0.0466384407257646
sig_w,0.0680896436626775,0.00594036715420379,0.0588696172748297,0.0679099437374855,0.0776975657032154
sig_gw,0.0316618609016364,0.00136019045308041,0.0293069707228818,0.031786299363856,0.0337859871276653
sig_hpp,0.385900044187701,0.013930434611277,0.36184484764158,0.386885046331708,0.407071223068498
sig_ghpp,0.0432732765136919,0.00371521141384044,0.0367123694183877,0.0434780770162785,0.0488112557958593
sig_pr,0.176277514496618,0.0124980762941814,0.158027719677089,0.175139988622832,0.198501445001126
sig_gpr,0.0347336651519082,0.00179147605409037,0.0319255099481199,0.0346546239842972,0.0377892436099029
sig_xi,0.12449910545156,0.0111929869169943,0.107035927887967,0.124462349423328,0.14263421116774
sme_y,0.415035503383056,0.0139459217212786,0.389892415241088,0.416189742180506,0.435559515260238
